CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_G3_TCDCA_EcAZ-1-cat_48h.raw
Data points: 2891
Time(min),Relative Abundance
0.003711882,0
0.008315932,0
0.011459668,0
0.013782564,0
0.016107566,0
0.018430467,0
0.020753367,0
0.023078349,0
0.025401266,0
0.027724134,0
0.030049132,0
0.032372033,0
0.034696999,0
0.0370199,0
0.045899017,0
0.050130247,0
0.052453148,0
0.054778114,0
0.057101014,0
0.059423915,0
0.061748897,0
0.064071817,0
0.066394718,0
0.0687197,0
0.0710426,0
0.073367583,0
0.075690467,0
0.078013384,0
0.080338366,0
0.082661266,0
0.084984167,0
0.087309149,0
0.092138365,0
0.094463264,0
0.096786149,0
0.099109049,0
0.10143405,0
0.10375695,0
0.10607985,0
0.10840483,0
0.11072773,0
0.11305272,0
0.11537562,0
0.11769852,0
0.12002348,0
0.1223464,0
0.12466932,0
0.1269943,0
0.12931718,0
0.13164218,0
0.13396505,0
0.13628795,0
0.13861295,0
0.14093585,0
0.14326083,0
0.14558373,0
0.14790665,0
0.1502316,0
0.15255452,0
0.15487743,0
0.15720241,0
0.1595253,0
0.16184821,0
0.1641732,0
0.16649608,0
0.16882108,0
0.17114396,0
0.17597947,0
0.17830225,0
0.18062725,0
0.18295015,0
0.18527512,0
0.187598,0
0.18992093,0
0.19224592,0
0.1945688,0
0.19689172,0
0.19921667,0
0.2015396,0
0.20386457,0
0.20618747,0
0.21168535,0
0.2171812,0
0.22141236,0
0.22373526,0
0.22606027,0
0.22838315,0
0.23070605,0
0.23303105,0
0.23535393,0
0.23767683,0
0.24000182,0
0.24232473,0
0.24464972,0
0.24697262,0
0.24929552,0
0.25162048,0
0.25394338,0
0.2587871,0
0.2611121,0
0.263435,0
0.26575788,0
0.26808286,0
0.27040578,0
0.27272866,0
0.27505365,0
0.27737657,0
0.27970155,0
0.28202445,0
0.28434735,0
0.28667233,0
0.28899522,0
0.29132022,0
0.29364312,0
0.295966,0
0.298291,0
0.3006139,0
0.3029368,0
0.30526177,0
0.30758467,0
0.30990757,0
0.31223255,0
0.31455548,0
0.31688045,0
0.31920335,0
0.32152625,0
0.32385123,0
0.32617412,0
0.32849703,0
0.33082201,0
0.33314491,0
0.33546988,0
0.33779278,0
0.34263035,0
0.34495317,0
0.34727813,0
0.34960103,0
0.35192395,0
0.35424893,0
0.35657183,0
0.35889681,0
0.36121972,0
0.3635426,0
0.3658676,0
0.36819051,0
0.37051338,0
0.3756821,0
0.38709245,0
0.4060923,0
0.42361095,0
0.44360453,0
0.46182107,0
0.47772513,0
0.49480418,0
0.51383322,0
0.53290807,0
0.55199128,0
0.57098697,0
0.59000768,0
0.60530966,0
0.62235328,0
0.6402219,0
0.65889261,0
0.67532165,0
0.69351945,0
0.71006933,0
0.72869422,0
0.74675033,0
0.76224815,0
0.78059175,0
0.79969371,0
0.81818732,0
0.83409345,0
0.85305583,0
0.87147862,0
0.89062638,0
0.90976585,0
0.92886363,0
0.95026971,0
0.96949875,0
0.98864862,0
1.0078693,0
1.0276192,0
1.0455045,0
