CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_G9_GUDCA_EcAZ-1-cat_48h.raw
Data points: 2857
Time(min),Relative Abundance
0.003714632,0
0.008339551,0
0.011485381,0
0.013808265,0
0.016133248,0
0.018456148,0
0.020779064,0
0.023104031,0
0.025426951,0
0.027749832,0
0.030074818,0
0.032397714,0
0.034722701,0
0.037045601,0
0.045926816,0
0.050160081,0
0.052482982,0
0.054807984,0
0.057130884,0
0.059453785,0
0.061778751,0
0.064101667,0
0.066424548,0
0.06874955,0
0.07107245,0
0.073397449,0
0.075720333,0
0.078043234,0
0.0803682,0
0.0826911,0
0.085014032,0
0.087338983,0
0.092166049,0
0.094491016,0
0.096813948,0
0.099138915,0
0.10146182,0
0.10378472,0
0.1061097,0
0.1084326,0
0.1107555,0
0.11308048,0
0.11540338,0
0.11772837,0
0.12005127,0
0.12237417,0
0.12469913,0
0.12702205,0
0.12934495,0
0.13166995,0
0.13399283,0
0.13631782,0
0.13864072,0
0.1409636,0
0.14328862,0
0.1456115,0
0.14793442,0
0.15025938,0
0.15258228,0
0.15490728,0
0.15723017,0
0.15955307,0
0.16187803,0
0.16420096,0
0.16652387,0
0.16884883,0
0.17117175,0
0.17601346,0
0.17833835,0
0.18066123,0
0.18298415,0
0.18530915,0
0.18763205,0
0.18995495,0
0.19227992,0
0.19460281,0
0.1969278,0
0.19925068,0
0.20157362,0
0.20389858,0
0.20622148,0
0.21172353,0
0.21722147,0
0.22145055,0
0.22377345,0
0.22609842,0
0.22842133,0
0.23074423,0
0.23306922,0
0.23539213,0
0.23771502,0
0.24004,0
0.2423629,0
0.24468582,0
0.24701078,0
0.2493337,0
0.25165867,0
0.25398157,0
0.25882112,0
0.26114402,0
0.26346692,0
0.2657919,0
0.26811482,0
0.2704398,0
0.2727627,0
0.27508558,0
0.27741057,0
0.27973347,0
0.28205638,0
0.28438136,0
0.28670427,0
0.28902925,0
0.29135215,0
0.29367505,0
0.29600003,0
0.29832293,0
0.3006458,0
0.30297083,0
0.30529372,0
0.30761868,0
0.3099416,0
0.31226448,0
0.31458947,0
0.31691237,0
0.31923528,0
0.32156027,0
0.32388317,0
0.32620813,0
0.32853105,0
0.33085395,0
0.33317892,0
0.33550185,0
