CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H10_GCA_ctrl_48h.raw
Data points: 2982
Time(min),Relative Abundance
0.003717616,0
0.008344598,0
0.011490416,0
0.0138133,0
0.016138298,0
0.018461199,0
0.020784083,0
0.023109082,0
0.025431966,0
0.027754882,0
0.030079881,0
0.032402749,0
0.034727747,0
0.037050632,0
0.045929733,0
0.050163066,0
0.052485966,0
0.054808866,0
0.057133849,0
0.059456749,0
0.061781716,0
0.064104616,0
0.066427532,0
0.068752499,0
0.071075431,0
0.073398315,0
0.075723282,0
0.078046198,0
0.08037118,0
0.082694081,0
0.085016965,0
0.087341948,0
0.092173198,0
0.094496082,0
0.096818983,0
0.099143965,0
0.10146685,0
0.10378977,0
0.10611473,0
0.10843765,0
0.11076262,0
0.11308553,0
0.11540843,0
0.11773341,0
0.12005631,0
0.1223792,0
0.1247042,0
0.1270271,0
0.12935208,0
0.13167498,0
0.13399788,0
0.13632285,0
0.13864577,0
0.14096865,0
0.14329363,0
0.14561655,0
0.14794153,0
0.15026443,0
0.15258733,0
0.15491232,0
0.15723523,0
0.1595581,0
0.16188311,0
0.16420602,0
0.16652892,0
0.1688539,0
0.17117677,0
0.17601425,0
0.17833715,0
0.18066213,0
0.18298505,0
0.18531003,0
0.18763291,0
0.18995581,0
0.1922808,0
0.19460372,0
0.1969266,0
0.19925158,0
0.2015745,0
0.20389948,0
0.20622237,0
0.2117369,0
0.21723478,0
0.22146811,0
0.22379098,0
0.22611598,0
0.22843888,0
0.2307618,0
0.23308675,0
0.23540966,0
0.23773258,0
0.24005757,0
0.24238045,0
0.24470541,0
0.24702833,0
0.24935125,0
0.25167623,0
0.25399912,0
0.25896573,0
0.26211575,0
0.26443863,0
0.26676361,0
0.26908653,0
0.2714094,0
0.27373441,0
0.27605728,0
0.27838228,0
0.28070518,0
0.28302808,0
0.28535306,0
0.28767596,0
0.28999886,0
0.29232387,0
0.29464675,0
0.29696965,0
0.29929465,0
0.30161753,0
0.30394252,0
0.30626543,0
0.3085883,0
0.31091332,0
0.31323622,0
0.3155591,0
0.3178841,0
0.32020698,0
0.32253198,0
0.32485487,0
0.32717777,0
0.32950276,0
0.33182566,0
0.33414855,0
0.33647353,0
0.33879645,0
0.34362558,0
0.34595053,0
0.34827347,0
0.35059845,0
0.35292135,0
0.35524425,0
0.35756922,0
0.35989213,0
0.36221502,0
0.36454,0
0.3668629,0
0.37494411,0
0.38874608,0
0.40770845,0
0.42352708,0
0.4433311,0
0.46118513,0
0.47806213,0
0.493937,0
0.51139936,0
0.52693051,0
0.54599496,0
0.56500941,0
0.58405303,0
0.59520922,0
0.60609665,0
0.62057776,0
0.63622767,0
0.65182963,0
0.66563372,0
0.68208358,0
0.69816265,0
0.71405837,0
0.73053741,0
0.74463525,0
0.75919347,0
0.77812873,0
0.79459945,0
0.81226392,0
0.82890963,0
0.84514911,0
0.86423647,0
0.88067177,0
0.89981122,0
0.91899443,0
0.9399651,0
0.95907748,0
0.97828358,0
0.99623348,0
1.014325,0
1.0347124,0
1.0506352,0
1.0672434,0
1.0864578,0
1.1066618,0
1.1212805,0
1.1405512,0
1.1582969,0
1.1774197,0
1.1978341,0
1.2159611,0
1.2351297,0
1.2533046,0
1.2739961,0
1.2931751,0
1.3124083,0
1.3315811,0
1.3488872,0
1.3680392,0
1.3843849,0
1.4038056,0
1.4230305,0
1.4428491,0
1.4588177,0
1.4764092,0
1.4895633,0
1.5021799,0
1.5190006,0
1.5338588,0
1.5461858,0
1.562042,0
1.5729273,0
1.5861397,0
1.5999688,0
1.6127729,0
1.6258019,0
1.6402727,0
1.6542059,0
1.66906,0
1.6831869,0
1.6937244,0
1.7087972,0
1.7238992,0
1.7389011,0
1.7542927,0
1.7658822,0
1.7823425,0
1.7971299,0
1.8113027,0
1.8271401,0
1.8423734,0
1.8558857,0
1.8673357,0
1.8841168,0
1.8956292,0
1.911402,0
1.9228874,0
1.9351352,0
1.9473413,0
1.9609225,0
1.9803953,0
1.9955222,0
2.0148388,0
2.0342678,0
2.0469844,0
2.0635363,0
2.081355,0
2.0964528,0
2.1169235,0
2.1348692,0
2.1543857,0
2.1734314,0
2.1917229,0
2.2106041,0
2.2262477,0
2.2445788,0
2.2640766,0
2.2859223,0
2.3055284,0
2.3250428,0
2.3445469,0
2.3667946,0
2.3841883,0
2.4003319,0
2.420011,0
2.438742,0
2.4583148,0
2.4760689,0
2.4947479,0
2.514279,0
2.5364184,0
2.5550662,0
2.574739,0
2.5943951,0
2.6169095,0
2.6362594,0
2.6560072,0
2.6755716,0
2.6981611,0
2.7178776,0
2.7375483,0
2.7457857,0
2.7654022,0
2.7879479,0
2.8075103,0
2.8270372,0
2.8465267,0
2.8688515,0
2.8884285,0
2.907895,0
2.9250928,0
2.9422427,0
2.9617759,0
2.9806466,0
3.0002839,0
3.0200359,0
3.042317,0
3.0602877,0
3.0802292,0
3.1000707,0
3.1162185,0
3.1360476,0
3.1557162,0
3.1605057,0
3.1799598,0
3.2021617,0
3.221649,0
3.2411989,0
3.2610884,0
3.2728237,0
3.2844049,0
3.2914631,0
3.2949777,0
3.3065651,0
3.3182171,0
3.3252963,0
3.3287525,0
3.3320962,0
3.3368357,0
3.3404816,0
3.3437732,0
3.3519773,0
3.3554981,0
3.3587752,0
3.3611001,0
3.3634231,0
3.365748,0
3.3680709,0
3.3703938,0
3.3727188,0
3.3750417,0
3.3773646,0
3.3821625,0
3.3856937,0
3.3889666,0
3.3912895,0
3.4029957,0
3.4063853,0
3.4096998,0
3.4178372,0
3.422556,0
3.4300038,0
3.4335184,0
3.4368476,0
3.4399725,0
3.4482245,0
3.4528641,0
3.4635745,0
3.4669973,0
3.4702723,0
3.4785264,0
3.4831826,0
3.486516,0
3.4898118,0
3.4929513,0
3.4976575,0
3.5047512,0
3.5082303,0
3.5119741,0
3.5166616,0
3.5237407,0
3.5319781,0
3.5459197,0
3.5644737,0
3.5830444,0
3.5901402,0
3.5936485,0
3.5967464,0
3.6015006,0
3.6046359,0
3.6080443,0
3.6111859,0
3.6144879,0
3.6226921,0
3.630817,0
3.6342295,0
3.6373919,0
3.6457961,0
3.6540002,0
3.662073,0
3.6655022,0
3.6686605,0
3.6768354,0
3.6806125,0
3.6836145,0
3.6859374,0
3.6944061,0
3.6982124,0
3.7014707,0
3.7037957,0
3.7061186,0
3.7084435,0
3.7107664,0
3.7130893,0
3.7154143,0
3.7177372,0
3.7200601,0
3.7223851,0
3.724708,0
3.727033,0
3.7293559,0
3.7344142,0
3.7382412,0
3.7415454,0
3.7438704,0
3.7487974,0
3.752612,0
3.7557786,0
3.7702035,0
3.7738056,0
3.7768139,0
3.7885013,0
3.7956033,0
3.8037241,0
3.8107429,0
3.8178449,0
3.8249448,0
3.8365468,0
3.8470884,0
3.8545529,0
3.8616362,0
3.8756986,0
3.886309,0
3.8968568,0
3.9163254,0
3.9210816,0
3.9434627,0
3.9551814,0
3.9622084,0
3.9693188,0
3.9739583,0
3.9771666,0
3.9805666,0
3.9837499,0
3.9919832,0
3.9953457,0
3.9999852,0
4.0070935,0
4.0108206,0
4.0137685,0
4.0219059,0
4.0252309,0
4.0285371,0
4.031735,0
4.0340579,0
4.0363808,0
4.0387058,0
4.0434599,0
4.0468307,0
4.0501328,0
4.0533057,0
4.0614765,0
4.0648431,0
4.0682389,0
4.0714764,0
4.0746972,0
4.0781264,0
4.0814326,0
4.0845888,0
4.0869117,0
4.0892367,0
4.0930346,0
4.0953596,0
4.0976824,0
4.1024179,0
4.1057741,0
4.1091595,0
4.1122698,0
4.1169761,0
4.120474,0
4.1237698,0
4.1269177,0
4.1302156,0
4.1334197,0
4.1367176,0
4.1400676,0
4.1447113,0
4.1480675,0
4.1513779,0
4.1545445,0
4.1627654,0
4.166257,0
4.1744277,0
4.1781319,0
4.1811569,0
4.1834798,0
4.1858048,0
4.1881276,0
4.1904526,0
4.1952713,0
4.1986192,0
4.203415,0
4.2066359,0
4.20994,0
4.2181816,0
4.2252878,0
4.2323399,0
4.2394294,0
4.2428606,0
4.2461814,0
4.2494856,0
4.2528543,0
4.2565355,13102.8232421875
4.2593146,0
4.2616396,0
4.2639626,0
4.2662854,0
4.2686104,0
4.2769125,0
4.2803437,0
4.283527,0
4.2868916,0
4.2902311,0
4.2933353,0
4.2956602,0
4.2979831,0
4.3003081,0
4.302631,0
4.3049539,0
4.3072789,0
4.3154538,0
4.3200934,0
4.3271496,0
4.3306287,0
4.3339579,0
4.3385995,0
4.3461182,0
4.3532578,0
4.3568286,0
4.3602181,0
4.3633514,0
4.3656743,0
4.3679993,0
4.3703222,0
4.3726451,0
4.3749701,0
4.377293,0
4.3821325,0
