CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H12_BHI_50DMSO_25MeOH.raw
Data points: 3115
Time(min),Relative Abundance
0.00371768,0
0.008342631,0
0.011490515,0
0.013813399,0
0.016138366,0
0.018461262,0
0.020784183,0
0.023109149,0
0.025432065,0
0.027757032,0
0.030079932,0
0.032402848,0
0.034727815,0
0.037050699,0
0.045931915,0
0.050161063,0
0.052483963,0
0.05480893,0
0.057131814,0
0.05945473,0
0.061779713,0
0.064102633,0
0.066425513,0
0.068750496,0
0.071073396,0
0.073398399,0
0.075721283,0
0.078044199,0
0.080369182,0
0.082692066,0
0.085014982,0
0.087339933,0
0.092175463,0
0.094498248,0
0.096823215,0
0.099146131,0
0.10146903,0
0.103794,0
0.1061169,0
0.10843981,0
0.1107648,0
0.1130877,0
0.1154127,0
0.11773558,0
0.12005845,0
0.12238346,0
0.12470635,0
0.12702925,0
0.12935425,0
0.13167715,0
0.13400213,0
0.13632503,0
0.13864793,0
0.14097292,0
0.1432958,0
0.14561873,0
0.1479437,0
0.1502666,0
0.15259158,0
0.1549145,0
0.15723735,0
0.15956238,0
0.16188526,0
0.16420816,0
0.16653315,0
0.16885605,0
0.17117893,0
0.17601858,0
0.1783414,0
0.18066638,0
0.18298928,0
0.1853122,0
0.18763717,0
0.18996005,0
0.19228297,0
0.19460793,0
0.19693085,0
0.19925583,0
0.20157873,0
0.20390163,0
0.2062266,0
0.2117224,0
0.21722028,0
0.2214515,0
0.22377441,0
0.2260994,0
0.22842228,0
0.2307452,0
0.2330702,0
0.23539308,0
0.23771598,0
0.24004097,0
0.24236387,0
0.24468886,0
0.24701175,0
0.24933465,0
0.25165965,0
0.25398253,0
0.25895963,0
0.26210541,0
0.26443036,0
0.26675328,0
0.26907616,0
0.27140115,0
0.27372406,0
0.27604696,0
0.27837195,0
0.28069485,0
0.28301775,0
0.28534271,0
0.28766563,0
0.28999062,0
0.29231352,0
0.29463642,0
0.29696141,0
0.2992843,0
0.30160718,0
0.30393218,0
0.30625508,0
0.30858006,0
0.31090296,0
0.31322586,0
0.31555085,0
0.31787375,0
0.32019665,0
0.32252163,0
0.32484453,0
0.32716951,0
0.32949241,0
0.33181531,0
0.3341403,0
0.33646322,0
0.3387861,0
0.34362566,0
0.34594855,0
0.34827353,0
0.35059642,0
0.35291933,0
0.35524431,0
0.35756721,0
0.35989013,0
0.3622151,0
0.364538,0
0.36686296,0
0.37833581,0
0.39399401,0
0.4120564,0
0.42972087,0
0.44971655,0
0.46689143,0
0.48083301,0
0.4974454,0
0.51063696,0
0.52703266,0
0.54603255,0
0.56501575,0
0.58411353,0
0.59642178,0
0.60803006,0
0.6227716,0
0.63881106,0
0.6545401,0
0.67070876,0
0.68503368,0
0.70042938,0
0.7150272,0
0.73333538,0
0.7481457,0
0.76152271,0
0.78052673,0
0.79801826,0
0.81591192,0
0.83151386,0
0.84987,0
0.8681553,0
0.88584681,0
0.90501543,0
0.92414861,0
0.9441839,0
0.96333793,0
0.98253155,0
1.0016231,0
1.0183147,0
1.0368207,0
1.0560394,0
1.074383,0
1.0922516,0
1.1104265,0
1.126516,0
1.1444637,0
1.1636928,0
1.182878,0
1.2017467,0
1.2208757,0
1.2396526,0
1.25874,0
1.2785461,0
1.2977814,0
1.3170042,0
1.3361499,0
1.3560039,0
1.3752142,0
1.3935766,0
1.4116494,0
1.4304034,0
1.4500928,0
1.4663781,0
1.4808093,0
1.4952279,0
1.5103591,0
1.5264756,0
1.5388422,0
1.5522859,0
1.5687733,0
1.5799565,0
1.592071,0
1.6053938,0
1.6172708,0
1.6303457,0
1.6432894,0
1.657956,0
1.6720121,0
1.6862475,0
1.6971349,0
1.7118014,0
1.7292013,0
1.7401575,0
1.7521678,0
1.7650448,0
1.783878,0
1.7979008,0
1.8146798,0
1.8301756,0
1.8447255,0
1.8570587,0
1.8701482,0
1.8822648,0
1.8976334,0
1.9101813,0
1.9205541,0
1.9370915,0
1.9520018,0
1.967685,0
1.9833287,0
2.0011452,0
2.0172118,0
2.0337221,0
2.0496678,0
2.067401,0
2.08378,0
2.101107,0
2.1232235,0
2.1425525,0
2.161917,0
2.1814148,0
2.1986605,0
2.2156062,0
2.2331436,0
2.2526018,0
2.2723558,0
2.2918223,0
2.3109326,0
2.3303387,0
2.3484282,0
2.3695093,0
2.3868883,0
2.406659,0
2.424761,0
2.446065,0
2.461919,0
2.4815001,0
2.5011188,0
2.5208103,0
2.5430435,0
2.5625642,0
2.5822224,0
2.6020014,0
2.621345,0
2.6409824,0
2.6607093,0
2.6803071,0
2.7027194,0
2.7225193,0
2.7422129,0
2.7620316,0
2.7843605,0
2.80405,0
2.8235894,0
2.8410205,0
2.8632204,0
2.8827244,0
2.9020972,0
2.9217554,0
2.935322,0
2.9549406,0
2.9745529,0
2.9942424,0
3.0137319,0
3.0361629,0
3.0547315,0
3.0745022,0
3.082723,0
3.102602,0
3.1134332,0
3.1333768,0
3.1531392,0
3.1726516,0
3.1949889,0
3.2145346,0
3.2341094,0
3.2539218,0
3.2656259,0
3.2821216,0
3.2937903,0
3.3043069,0
3.3079027,0
3.3111006,0
3.3134235,0
3.3157484,0
3.3239026,0
3.3275005,0
3.3308088,0
3.33909,0
3.3432046,0
3.3460899,0
3.3484128,0
3.353217,0
3.3569294,0
3.3602461,0
3.362569,0
3.3648919,0
3.3697043,0
3.3768168,0
3.3805105,0
3.3838417,0
3.388548,0
3.3990916,0
3.409627,0
3.413127,0
3.4164227,0
3.4211123,0
3.4249852,0
3.4330914,0
3.4402143,0
3.4439288,0
3.4472684,0
3.4590724,0
3.463712,0
3.4671245,0
3.4704099,0
3.4736849,0
3.4768598,0
3.4815661,0
3.485066,0
3.4881827,0
3.4915222,0
3.4948889,0
3.4996284,0
3.5029805,0
3.5067429,0
3.5095971,0
3.5258199,0
3.5291115,0
3.5373136,0
3.5534926,0
3.5695758,0
3.5812362,0
3.5843507,0
3.587609,0
3.595084,0
3.5997256,0
3.6031506,0
3.6064818,0
3.6147026,0
3.6217942,0
3.62899,0
3.6453316,0
3.6485191,0
3.6518607,0
3.6599815,0
3.6633939,0
3.6667522,0
3.6699814,0
3.6738688,0
3.682273,0
3.6859833,0
3.6894291,0
3.694425,0
3.6984874,0
3.7015937,0
3.7039186,0
3.7062416,0
3.7085644,0
3.7108894,0
3.7132123,0
3.7155352,0
3.7178602,0
3.7201831,0
3.7225081,0
3.724831,0
3.7300414,0
3.7340768,0
3.7372663,0
3.7395913,0
3.7446413,0
3.7486954,0
3.7519579,0
3.7637224,0
3.7676703,0
3.7792389,0
3.7863452,0
3.7934493,0
3.8075492,0
3.8191012,0
3.8331177,0
3.8364406,0
3.8474031,0
3.8579696,0
3.8696883,0
3.8767591,0
3.8907111,0
3.9126442,0
3.9173838,0
3.9371628,0
3.9453815,12996.4931640625
3.9569335,0
3.9603043,0
3.9636897,0
3.9668876,7456.43505859375
3.9751251,0
3.9822125,0
3.99035,0
3.993802,16743.857421875
3.9971395,0
4.0003978,7590.23193359375
4.0085853,6602.02001953125
4.0123831,0
4.0155248,6209.47705078125
4.0178477,0
4.0225685,8657.6123046875
4.0261226,0
4.0294705,0
4.0326205,0
4.0373767,0
4.0409517,0
4.0443017,0
4.047485,0
4.0498079,0
4.0545391,0
4.058012,0
4.0613307,0
4.0636536,0
4.0659765,0
4.0683015,0
4.0706244,0
4.0729494,0
4.0752723,0
4.0775952,0
4.0799202,0
4.0822431,0
4.084566,0
4.086891,0
4.0892139,0
4.093091,0
4.0954159,0
4.0977388,0
4.1000638,0
4.1023867,0
4.1047096,0
4.1070346,0
4.1093574,0
4.1116803,0
4.1164387,0
4.1210782,0
4.1246719,0
4.1277969,0
4.1325031,0
4.1361552,0
4.1392968,0
4.1416218,0
4.1439447,0
4.1462676,0
4.1485926,0
4.1568738,0
4.1650467,0
4.1686154,0
4.1719174,0
4.1756549,0
4.1779778,0
4.1803007,0
4.1826257,6742.5283203125
4.1874694,0
4.1907111,0
4.1940444,0
4.1971798,8627.828125
4.2019776,0
4.2067339,0
4.2101609,0
4.2133401,0
4.2166629,0
4.2200046,0
4.2247088,0
4.2279754,0
4.2313691,0
4.2395566,8055.17724609375
4.2430252,0
4.2462378,0
4.2494961,0
4.251821,0
4.2541439,0
4.2578585,0
4.2601814,0
4.2625064,0
4.2648293,0
4.2671522,0
4.2719334,0
4.275473,0
4.2787396,0
4.282025,0
4.2868166,0
4.2914541,0
4.2950707,0
4.2981936,0
4.3028707,0
4.3065581,0
4.3097082,0
4.312031,0
4.3143539,0
4.3166789,0
4.3190018,0
4.3213247,0
4.3236497,0
4.3284101,0
4.3400288,0
4.3439537,0
4.347012,0
4.3493349,0
4.3516599,0
4.3539828,0
4.3563057,0
4.3586307,0
4.3609536,0
4.3632765,0
4.3656015,0
4.3679244,0
4.3702494,0
4.3725723,0
4.3748952,0
4.3772202,0
4.379543,0
4.3843909,0
4.3915534,0
4.4023096,0
4.4093866,6778.529296875
4.4163741,0
4.4270552,0
4.4305635,0
4.4334322,0
4.4453197,0
4.4594716,0
4.4755569,0
4.4953235,0
4.5059109,0
4.5218025,0
4.5358045,0
4.5463252,0
4.5493252,0
4.5524793,0
4.5556522,0
4.562696,0
4.5657376,0
4.5689459,0
4.5759396,0
4.5830708,0
4.5861291,0
4.5895999,0
4.5926874,0
4.5974436,0
4.6007269,0
4.6055206,0
4.6087685,0
4.6159497,0
4.6243371,0
4.6327329,0
4.6444891,0
4.6492787,0
4.6633223,0
4.6750764,0
4.6896971,0
4.7092803,0
4.7255865,0
4.728701,0
4.7358072,0
4.7429801,0
4.7534529,0
4.75658,0
4.759932,0
4.764707,0
4.7676778,0
4.7748049,0
4.7779694,0
4.7811048,0
4.7917589,0
4.7999984,0
4.8070921,0
4.815265,0
4.8201108,0
4.8284482,0
4.8315336,0
4.8386961,0
4.8462523,0
4.8533585,0
4.8567564,0
4.8600647,0
4.8632605,0
4.8665792,0
4.8712334,0
4.8745667,0
4.8779333,0
4.8812499,0
4.886102,0
4.8894895,0
4.8927978,0
4.8960103,0
4.8983332,0
4.9006581,0
4.902981,0
4.9053039,0
4.9076289,0
4.9099518,0
4.9147601,0
4.9183059,0
4.9216122,0
4.9255246,0
4.9278496,0
4.9301725,0
4.9324954,0
4.9348204,0
4.9371433,0
4.9394662,0
4.9417912,0
4.9441141,0
4.9464391,0
4.948762,0
4.9510849,0
4.9534098,0
4.9557327,0
4.9580556,0
4.9603806,0
4.9627035,0
4.9650285,0
4.9673514,0
4.9696743,0
4.9719993,0
4.9743222,0
4.9766451,0
4.9812847,0
4.9848867,0
4.988195,0
4.9914221,0
4.993745,0
4.99607,0
4.9983929,0
5.006797,0
5.010524,0
5.0136052,0
5.0218552,0
5.0252698,0
5.028376,0
5.0331822,0
5.0365092,0
5.0446301,0
5.0479175,0
5.0550696,0
5.0583029,0
5.0613404,0
5.0719153,0
5.0790319,0
5.0861735,0
5.0893318,0
5.0968193,0
5.1073421,0
5.1180003,0
5.1286565,0
5.1357961,0
5.142921,0
5.1461189,0
5.1507585,0
5.153996,0
5.161125,0
5.1682208,0
5.1715083,0
5.1749958,0
5.1781103,0
5.1900832,0
5.1972665,0
5.2077435,0
5.2239121,0
5.2357537,0
5.2389079,0
5.2459807,0
5.2602202,0
5.2791471,0
5.28632,0
5.2934116,0
5.3051345,0
5.3082741,0
5.3154073,0
5.3185593,0
5.3231989,0
5.3263697,0
5.3295343,0
5.3377884,0
5.3409925,0
5.3444446,0
5.3473571,0
5.3521133,0
5.3605049,0
5.3637986,0
5.3671632,0
5.3719173,0
5.3790985,0
5.3837381,0
5.3869902,0
5.390363,0
5.3936672,0
5.396815,0
5.4015713,0
5.4087546,0
5.4123712,0
5.415717,0
5.4188691,0
5.421192,0
5.4235149,0
5.4273898,0
5.4297127,0
5.4320377,0
5.4343606,0
5.4366835,0
5.4390085,0
5.4413314,0
5.4436543,0
5.4459793,0
5.4483022,0
5.4506272,0
5.4529501,0
5.455273,0
5.457598,0
5.4599209,0
5.4622438,0
5.4645687,0
5.4668917,0
5.4692166,0
5.4715396,0
5.4738624,0
5.4761874,0
5.4785103,0
5.4808332,0
5.4831582,0
5.4854811,0
5.4878061,0
5.4924477,0
5.4961498,0
5.4992914,0
5.5016143,0
5.5039393,0
5.5077997,0
5.5101247,0
5.5124476,0
5.5147705,0
5.5170955,0
5.5194184,0
5.5217433,0
5.5240662,0
5.5263891,0
5.5287141,0
5.531037,0
5.5333599,0
5.5356849,0
5.5380078,0
5.5403328,0
5.5426557,0
5.5449786,0
5.5473036,0
5.5496265,0
5.554289,0
5.5578889,0
5.5612327,0
5.5635555,0
5.5658784,0
5.5682034,0
5.5705263,0
5.5728492,0
5.5751742,0
5.5774971,0
5.5798221,0
5.582145,0
5.5844679,0
5.5867929,0
5.5891158,0
5.5931928,0
5.5955157,0
5.5978407,0
5.6001636,0
5.6024865,0
5.6048115,0
5.6071344,0
5.6094573,0
5.6117823,0
5.6141052,0
5.6164281,0
5.6187531,0
5.621076,0
5.623401,0
5.6257238,0
5.6280468,0
5.6303718,0
5.6326946,0
5.6350196,0
5.6373425,0
5.6396654,0
5.6419904,0
5.6443133,0
5.6466362,0
5.6489612,0
5.6512841,0
5.653607,0
5.655932,0
5.6582549,0
5.6630799,0
5.6670007,0
5.6701735,0
5.6743298,0
5.6766548,0
5.6789777,0
5.6813006,0
5.6836255,0
5.6859484,0
5.6882713,0
5.6905963,0
5.6929192,0
5.6952442,0
5.6975671,0
5.69989,0
5.702215,0
5.7045379,0
5.7068608,0
5.7091858,0
5.7115087,0
5.7138337,0
5.7161566,0
5.7184794,0
5.7232524,0
5.727144,0
5.7304481,0
5.732771,0
5.7350939,0
5.7374189,0
5.7397418,0
5.7420668,0
5.7443897,0
5.7467126,0
5.7490376,0
5.7513605,0
5.7536855,0
5.7560083,0
5.7602168,0
5.7625396,0
5.7648646,0
5.7671874,0
5.7695124,0
5.7718353,0
5.7741582,0
5.7764832,0
5.7788061,0
5.781129,0
5.783454,0
5.7857769,0
5.7881019,0
5.7904248,0
5.7927477,0
5.7950727,0
5.7973956,0
5.7997185,0
5.8020435,0
5.8043663,0
5.8066914,0
5.8090142,0
5.8113371,0
5.8136621,0
5.815985,0
5.8183079,0
5.8206329,0
5.8229558,0
5.8252808,0
5.8276037,0
5.8324162,0
5.8363911,0
5.8395598,0
5.8437703,0
5.8460931,0
5.8484181,0
5.850741,0
5.8530639,0
5.8553889,0
5.8577118,0
5.8600368,0
5.8623597,0
5.8646826,0
5.8694826,0
5.8731679,0
5.8764429,0
5.8787658,0
5.8810887,0
5.8834137,0
5.8857366,0
5.8880595,0
5.8927449,0
5.896597,0
5.8996907,0
5.9020136,0
5.9043365,0
5.9066615,0
5.9089844,0
5.9113094,0
5.9136323,0
5.9159551,0
5.9182801,0
5.920603,0
5.9247864,0
5.9271092,0
5.9294342,0
5.9317571,0
5.93408,0
5.936405,0
5.9387279,0
5.9410508,0
5.9433758,0
5.9456987,0
5.9480237,0
5.9503466,0
5.9526695,0
5.9549945,0
5.9573173,0
5.9596403,0
5.9619653,0
5.9642882,0
5.9666131,0
5.968936,0
5.9712589,0
5.9735839,0
5.9759068,0
5.9782297,0
5.9805547,0
5.9828776,0
5.9852005,0
5.9875255,0
5.9898484,0
5.9921734,0
5.9944963,0
5.9968191,0
6.0018004,0
6.0057899,0
6.010142,0
6.012467,0
6.0147899,0
6.0171149,0
6.0194377,0
6.0217607,0
6.0240856,0
6.0264085,0
6.0287314,0
6.0310564,0
6.0333793,0
6.0357043,0
6.0380272,0
6.0403501,0
6.0426751,0
6.044998,0
6.0473209,0
6.0496459,0
6.0519688,0
6.0542937,0
6.0592333,0
6.0640333,0
6.0711957,0
6.0748957,0
6.0782165,0
6.0805394,0
6.0828644,0
6.0851873,0
6.0875123,0
6.0915685,0
6.0938914,0
6.0962143,0
6.0985393,0
6.1008622,0
6.1031872,0
6.1055101,0
6.107833,0
6.1101579,0
6.1124808,0
6.1148037,0
6.1171287,0
6.1194516,0
6.1217766,0
6.1240995,0
6.1264224,0
6.1287474,0
6.1310703,0
6.1333932,0
6.1357182,0
6.1380411,0
6.1403661,0
6.142689,0
6.1450119,0
6.1473368,0
6.1496598,0
6.1519827,0
6.1543077,0
6.1566305,0
6.1589555,0
6.1612784,0
6.1636013,0
6.1659263,0
6.1709534,0
6.1753721,0
6.1784116,0
6.1807366,0
6.1830595,0
6.1853845,0
6.1877074,0
6.1900303,0
6.1923553,0
6.1946782,0
6.1970011,0
6.1993261,0
6.201649,0
6.203974,0
6.2062969,0
6.2086198,0
6.2109448,0
6.2132676,0
6.2155906,0
6.2179155,0
6.2202384,0
6.2225634,0
6.2248863,0
6.2272092,0
6.2295342,0
6.2345925,0
6.2388362,0
6.2421674,0
6.2444924,0
6.2468153,0
6.2491382,0
6.2514632,0
6.2537861,0
6.2561111,0
6.2604862,0
6.262809,0
6.2651319,0
6.2674568,0
6.2697797,0
6.2721047,0
6.2744276,0
6.2767505,0
6.2790755,0
6.2841318,0
6.2880963,0
6.2914171,0
6.29374,0
6.2960629,0
6.2983879,0
6.3007108,0
6.3030337,0
6.3053587,0
6.3076816,0
6.3100065,0
6.3123294,0
6.3146524,0
6.3169773,0
6.3193002,0
6.3216231,0
6.3239481,0
6.326271,0
6.328596,0
6.3309189,0
6.3332418,0
6.3355668,0
6.3406897,0
6.3451376,0
6.3482438,0
6.3505667,0
6.3528896,0
6.3552145,0
6.3575375,0
6.3598604,0
6.3621854,0
6.3645082,0
6.3668332,0
6.3691561,0
6.371479,0
6.373804,0
6.3761269,0
6.3784498,0
6.3807748,0
6.3830977,0
6.3881456,0
6.392233,0
6.3953455,0
