CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H1_TLCA_ctrl_48h.raw
Data points: 3121
Time(min),Relative Abundance
0.003753916,0
0.008358001,0
0.011507999,0
0.013830883,0
0.016155882,0
0.018478766,0
0.020801682,0
0.023126649,0
0.025449565,0
0.02777245,0
0.030097448,0
0.032420348,0
0.034745299,0
0.037068199,0
0.045949399,0
0.050182715,0
0.052505631,0
0.054830598,0
0.057153498,0
0.059476399,0
0.061801365,0
0.064124281,0
0.066447182,0
0.068772168,0
0.071095068,0
0.073417965,0
0.075742951,0
0.078065851,0
0.080390834,0
0.08271375,0
0.085036615,0
0.087361601,0
0.092188783,0
0.094513666,0
0.096836566,0
0.09915945,0
0.10148443,0
0.10380733,0
0.10613023,0
0.10845523,0
0.11077813,0
0.1131031,0
0.11542602,0
0.11774892,0
0.12007387,0
0.12239678,0
0.12471968,0
0.12704466,0
0.12936757,0
0.13169257,0
0.13401545,0
0.13633835,0
0.13866333,0
0.14098624,0
0.14330915,0
0.14563412,0
0.14795703,0
0.150282,0
0.15260492,0
0.1549278,0
0.15725278,0
0.1595757,0
0.1618986,0
0.16422357,0
0.16654648,0
0.16887145,0
0.17119435,0
0.17602778,0
0.17835057,0
0.18067557,0
0.18299845,0
0.18532133,0
0.18764633,0
0.18996923,0
0.19229213,0
0.19461712,0
0.19694002,0
0.199265,0
0.2015879,0
0.2039108,0
0.20623577,0
0.21173365,0
0.21722945,0
0.22145857,0
0.22378148,0
0.22610647,0
0.22842938,0
0.23075228,0
0.23307727,0
0.23540017,0
0.23772515,0
0.24004805,0
0.24237093,0
0.24469592,0
0.24701883,0
0.24934172,0
0.25166672,0
0.2539896,0
0.25882505,0
0.2611479,0
0.2634708,0
0.26579578,0
0.26811868,0
0.27044367,0
0.27276657,0
0.27508945,0
0.27741443,0
0.27973733,0
0.28206025,0
0.28438522,0
0.28670813,0
0.28903312,0
0.291356,0
0.29367891,0
0.2960039,0
0.29832678,0
0.30064968,0
0.30297468,0
0.30529758,0
0.30762258,0
0.30994547,0
0.31226835,0
0.31459335,0
0.31691625,0
0.31923915,0
0.32156412,0
0.32388703,0
0.32621202,0
0.32853492,0
0.33085782,0
0.3331828,0
0.33550568,0
0.3378286,0
0.34266825,0
0.34499107,0
0.34731603,0
0.34963892,0
0.35196183,0
0.35428682,0
0.35660973,0
0.35893472,0
0.36125762,0
0.36358052,0
0.3659055,0
0.36822837,0
0.37630956,0
0.39197612,0
0.41098848,0
0.42764045,0
0.44752573,0
0.4637027,0
0.47975883,0
0.49713372,0
0.51277735,0
0.52603977,0
0.54393546,0
0.56297075,0
0.58195395,0
0.59632263,0
0.60758507,0
0.61961832,0
0.63479942,0
0.65069097,0
0.66719292,0
0.68255116,0
0.69889482,0
0.71376136,0
0.7268446,0
0.74105492,0
0.75421733,0
0.77091512,0
0.78800458,0
0.80495445,0
0.823971,0
0.83832298,0
0.85754993,0
0.87557688,0
0.89361842,0
0.91217455,0
0.930114,0
0.95027843,0
0.96942413,0
0.98860733,0
1.0078093,0
1.0260779,0
1.0431132,0
1.0611006,0
1.08009,0
1.0992608,0
1.1162065,0
1.1354459,0
1.1535103,0
1.1727956,0
1.1942726,0
1.2111099,0
1.2302452,0
1.2482472,0
1.2674283,0
1.2893365,0
1.3085488,0
1.3277299,0
1.3451382,0
1.3644026,0
1.3836858,0
1.4011732,0
1.4204605,0
1.4417167,0
1.4599519,0
1.4781289,0
1.4922851,0
1.5046933,0
1.5222807,0
1.5352764,0
1.5492826,0
1.5600096,0
1.5730845,0
1.5914552,0
1.6039239,0
1.61543,0
1.6314091,0
1.6423236,0
1.6548422,0
1.6699713,0
1.6837983,0
1.6979294,0
1.7134418,0
1.7241251,0
1.7378021,0
1.7546249,0
1.770631,0
1.7873913,0
1.8011245,0
1.8163619,0
1.8332035,0
1.8478534,0
1.8609241,0
1.8742699,0
1.8905614,0
1.9061592,0
1.9181466,0
1.9306216,0
1.9440215,0
1.9576213,0
1.9745296,0
1.9892982,0
2.0086502,0
2.0287708,0
2.0439582,0
2.0592602,0
2.0782955,0
2.0941391,0
2.1103682,0
2.1298118,0
2.1490888,0
2.1685324,0
2.1880676,0
2.2083696,0
2.2248215,0
2.2401902,0
2.2597526,0
2.2802566,0
2.2996189,0
2.3187876,0
2.3382103,0
2.3604727,0
2.3799496,0
2.3939266,0
2.4133056,0
2.4327638,0
2.4522012,0
2.4696552,0
2.4892863,0
2.5088321,0
2.5311944,0
2.5493443,0
2.5688004,0
2.5885065,0
2.6110105,0
2.6304624,0
2.6501519,0
2.6699226,0
2.6924516,0
2.7121931,0
2.7319284,0
2.7482699,0
2.7680323,0
2.7904571,0
2.8099049,0
2.8294756,0
2.8489838,0
2.8711587,0
2.8908523,0
2.9104146,0
2.9298999,0
2.9494352,0
2.9690184,0
2.9885016,0
3.008241,0
3.0306659,0
3.0423679,0
3.0505929,0
3.0692114,0
3.0891863,0
3.0938925,0
3.1021549,0
3.113909,0
3.1222006,0
3.1422234,0
3.146963,0
3.1667878,0
3.186219,0
3.2084584,0
3.228127,0
3.2477456,0
3.2676475,0
3.275812,0
3.283987,0
3.2955578,0
3.3025973,0
3.3109056,0
3.3179597,0
3.3285263,0
3.3332638,0
3.337045,0
3.3403762,0
3.3427012,0
3.3450241,0
3.3533303,0
3.3604573,0
3.3642885,0
3.3675656,0
3.3698885,0
3.3722114,0
3.3745364,0
3.3768593,0
3.3816843,0
3.385428,0
3.388703,0
3.3910279,0
3.3933508,0
3.3956737,0
3.4004404,0
3.4074924,0
3.4145798,0
3.4192861,0
3.4273589,0
3.4312151,0
3.4343547,0
3.4390776,0
3.4427567,0
3.4460088,0
3.4483338,0
3.453215,0
3.4568754,0
3.4615129,0
3.4652191,0
3.4685899,0
3.4768461,0
3.4804294,0
3.4837439,0
3.4868731,0
3.4891981,0
3.491521,0
3.4938439,0
3.4961689,0
3.4984917,0
3.5067959,0
3.5105875,0
3.5135313,0
3.5158541,0
3.5240395,0
3.5275541,0
3.5306874,0
3.5388748,0
3.545956,0
3.5564788,0
3.5671663,0
3.5831974,0
3.5903973,0
3.5977681,0
3.6048744,0
3.6119764,0
3.6154076,0
3.6187888,0
3.6219742,0
3.6242971,0
3.6325491,0
3.6443366,0
3.6548928,0
3.665501,0
3.6689322,0
3.6723322,0
3.6797446,0
3.6834279,0
3.6868279,0
3.6891508,0
3.6976404,0
3.7014778,0
3.704932,0
3.7072569,0
3.7095798,0
3.7119048,0
3.7142277,0
3.7165506,0
3.7188756,0
3.7211985,0
3.7235214,0
3.7258464,0
3.7281693,0
3.7304943,0
3.7328172,0
3.7351401,0
3.7374651,0
3.739788,0
3.7451234,0
3.7490921,0
3.7523046,0
3.7546295,0
3.763144,0
3.7706961,0
3.7847626,0
3.7884022,0
3.7915209,0
3.7997084,0
3.8029584,0
3.8061833,0
3.8224457,0
3.8306165,0
3.8339144,0
3.8444456,0
3.8553976,0
3.8659642,0
3.8730558,0
3.883639,0
3.8867515,0
3.9007681,0
3.9147993,0
3.9366762,0
3.9529364,0
3.9691551,0
3.9724634,0
3.9772176,0
3.98063,0
3.9887529,0
3.9993403,0
4.0029444,0
4.0067508,0
4.0090756,0
4.0113985,0
4.0161152,0
4.019786,0
4.0231026,0
4.0254276,0
4.0277505,0
4.0300734,0
4.0323984,0
4.0347213,0
4.0429338,0
4.0464691,0
4.0512254,0
4.0548941,0
4.0580503,0
4.0627232,0
4.0665253,0
4.0695252,0
4.0718481,0
4.074171,0
4.076496,0
4.0788189,0
4.0811418,0
4.0834668,0
4.0857897,0
4.0881147,0
4.0920959,0
4.0944188,0
4.0967438,0
4.0990667,0
4.1013896,0
4.1037146,0
4.1060375,0
4.1083625,0
4.1106854,0
4.1130082,0
4.1153332,0
4.1176561,0
4.1224165,0
4.1270561,0
4.1341165,0
4.1378268,0
4.1411206,0
4.1434456,0
4.1457684,0
4.1480934,0
4.1504163,0
4.1550559,0
4.1621496,0
4.1692558,0
4.1729078,0
4.180414,0
4.1839119,0
4.1870973,0
4.1894202,0
4.1917452,0
4.1940681,0
4.196391,0
4.2047431,0
4.2080326,0
4.2113346,0
4.2161242,0
4.2194325,0
4.2227512,0
4.2260825,0
4.2293137,0
4.2374678,0
4.2410407,0
4.2441698,0
4.2489094,0
4.2525427,0
4.2556323,0
4.2594135,0
4.2617364,0
4.2640593,0
4.2663843,0
4.2687072,0
4.2710321,0
4.273355,0
4.2756779,0
4.2780029,0
4.2803258,0
4.2886924,0
4.2921799,0
4.2968257,0
4.3005465,0
4.3037132,0
4.3060361,0
4.308361,0
4.3106839,0
4.3130089,0
4.3153318,0
4.3176547,0
4.3223568,0
4.3270214,0
4.3306567,0
4.3339671,0
4.3421212,0
4.3460566,0
4.3508462,0
4.3545753,0
4.357742,0
4.3600669,0
4.3623898,0
4.3647127,0
4.3670377,0
4.3693606,0
4.3716856,0
4.3740085,0
4.3763314,0
