CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H6_GLCA_ctrl_48h.raw
Data points: 3137
Time(min),Relative Abundance
0.00375258,0
0.008387883,0
0.011537897,0
0.013860765,0
0.016183681,0
0.018508664,0
0.020831564,0
0.023156547,0
0.025479447,0
0.027802347,0
0.03012733,0
0.03245023,0
0.034773146,0
0.037098097,0
0.045975132,0
0.050214715,0
0.052537599,0
0.05486048,0
0.057185466,0
0.059508382,0
0.061831263,0
0.064156265,0
0.06647915,0
0.068804132,0
0.071127048,0
0.073449933,0
0.075774931,0
0.078097831,0
0.080420732,0
0.082745714,0
0.085068583,0
0.087393581,0
0.092233264,0
0.094556033,0
0.096878929,0
0.099203916,0
0.10152683,0
0.10385181,0
0.10617473,0
0.10849761,0
0.1108226,0
0.11314551,0
0.1154684,0
0.11779338,0
0.12011628,0
0.12244126,0
0.12476418,0
0.12708706,0
0.12941205,0
0.13173496,0
0.13405785,0
0.13638283,0
0.13870573,0
0.14103072,0
0.1433536,0
0.14567651,0
0.1480015,0
0.1503244,0
0.1526473,0
0.15497228,0
0.15729518,0
0.15962016,0
0.16194307,0
0.16426595,0
0.16659096,0
0.16891385,0
0.17123673,0
0.1760785,0
0.17840128,0
0.1807242,0
0.18304917,0
0.18537207,0
0.18769706,0
0.19001995,0
0.19234286,0
0.19466783,0
0.19699075,0
0.19931365,0
0.20163861,0
0.20396153,0
0.2062844,0
0.21178437,0
0.21728016,0
0.22151138,0
0.22383638,0
0.22615928,0
0.22848217,0
0.23080716,0
0.23313005,0
0.23545298,0
0.23777793,0
0.24010085,0
0.24242583,0
0.24474876,0
0.24707165,0
0.2493966,0
0.25171955,0
0.25404241,0
0.25887576,0
0.26119862,0
0.2635236,0
0.26584648,0
0.26817148,0
0.27049436,0
0.27281728,0
0.27514226,0
0.27746516,0
0.2797881,0
0.28211306,0
0.28443595,0
0.28676093,0
0.28908383,0
0.29140673,0
0.29373171,0
0.29605463,0
0.29837751,0
0.30070252,0
0.30302542,0
0.3053504,0
0.30767328,0
0.3099962,0
0.31232117,0
0.31464407,0
0.31696698,0
0.31929196,0
0.32161486,0
0.32393983,0
0.32626275,0
0.32858565,0
0.33091063,0
0.33323353,0
0.33555645,0
0.33788138,0
0.3427169,0
0.3450397,0
0.34736468,0
0.34968756,0
0.3520105,0
0.35433547,0
0.35665838,0
0.35898335,0
0.36130623,0
0.36362915,0
0.36595413,0
0.36827701,0
0.37299577,0
0.38336233,0
0.40238718,0
0.41050796,0
0.42514953,0
0.4443369,0
0.4620951,0
0.47951167,0
0.4963282,0
0.5071594,0
0.52179885,0
0.54073413,0
0.55600901,0
0.57501932,0
0.5922213,0
0.60621078,0
0.61646901,0
0.63181473,0
0.64835211,0
0.66393951,0
0.68034148,0
0.69286018,0
0.7091767,0
0.72825573,0
0.74100356,0
0.75498888,0
0.77080543,0
0.78738033,0
0.8048531,0
0.82404258,0
0.83977787,0
0.856584,0
0.87456926,0
0.89140875,0
0.91057322,0
0.9291314,0
0.95034166,0
0.96840403,0
0.98745598,0
1.0066996,0
1.0263536,0
1.0423306,0
1.0604721,0
1.0789908,0
1.098151,0
1.1174322,0
1.132605,0
1.151909,0
1.1697256,0
1.1917504,0
1.2097523,0
1.2289501,0
1.2457812,0
1.2650311,0
1.2869205,0
1.3061558,0
1.3253307,0
1.3444868,0
1.36027,0
1.3795511,0
1.3980114,0
1.4160967,0
1.435305,0
1.4545944,0
1.4717526,0
1.4869066,0
1.5027774,0
1.5184147,0
1.5340376,0
1.5456416,0
1.5586291,0
1.5717873,0
1.5847122,0
1.5963372,0
1.6132891,0
1.6279827,0
1.6389223,0
1.6542888,0
1.670197,0
1.6825595,0
1.6937114,0
1.7090738,0
1.7247154,0
1.7404319,0
1.7517235,0
1.765813,0
1.7816025,0
1.7960669,0
1.8132898,0
1.826898,0
1.842102,0
1.8558165,0
1.8689727,0
1.884458,0
1.8978787,0
1.9102745,0
1.9225744,0
1.9356826,0
1.9482513,0
1.9632929,0
1.9784844,0
1.993801,0
2.0128758,0
2.0321736,0
2.0461694,0
2.0616859,0
2.0779066,0
2.0933482,0
2.1133043,0
2.1317667,0
2.1510957,0
2.1703435,0
2.1920496,0
2.2114474,0
2.2289139,0
2.2466013,0
2.2660511,0
2.2878177,0
2.3074634,0
2.3270486,0
2.3466131,0
2.3675296,0
2.3850628,0
2.4048793,0
2.424498,0
2.4403853,0
2.4584852,0
2.4781496,0
2.4976974,0
2.5173911,0
2.5397534,0
2.5595928,0
2.5792448,0
2.5989696,0
2.6215299,0
2.6408297,0
2.660665,0
2.6804003,0
2.7027085,0
2.7227438,0
2.7425144,0
2.7585372,0
2.7810663,0
2.7893516,0
2.8090119,0
2.8286138,0
2.8368513,0
2.8564741,0
2.8785489,0
2.8981488,0
2.9166299,0
2.9341277,0
2.9517859,0
2.9712003,0
2.9908315,0
3.002498,0
3.0219,0
3.0293479,0
3.0471686,0
3.0670517,0
3.0717413,0
3.0916891,0
3.1062036,0
3.1261868,0
3.1293992,0
3.1492074,0
3.1574949,0
3.1769593,0
3.1992258,0
3.2187694,0
3.2383922,0
3.2580754,0
3.2662191,0
3.2826357,0
3.2858336,0
3.2881565,0
3.2904814,0
3.3021126,0
3.305573,0
3.3088459,0
3.317175,0
3.3242541,0
3.331302,0
3.3350228,0
3.3382415,0
3.3422311,0
3.344554,0
3.3493373,0
3.3531186,0
3.3563831,0
3.358708,0
3.3610309,0
3.3633538,0
3.3681163,0
3.3716455,0
3.3749537,0
3.3772787,0
3.3796016,0
3.387912,0
3.3914558,0
3.3947474,0
3.3970703,0
3.3993952,0
3.4075681,0
3.4122743,0
3.4203451,0
3.423818,0
3.4276138,0
3.4323367,0
3.4359763,0
3.4392679,0
3.4415908,0
3.4439158,0
3.4485553,0
3.452349,0
3.4554532,0
3.4637073,0
3.4672094,0
3.4704677,0
3.4752739,0
3.4787509,0
3.4834905,0
3.4867988,0
3.4901634,0
3.4933134,0
3.4956362,0
3.4979592,0
3.5002841,0
3.502607,0
3.504932,0
3.5086507,0
3.513357,0
3.5238673,0
3.5308798,0
3.5448546,0
3.5555483,0
3.5661524,0
3.5766961,0
3.579944,0
3.5845835,0
3.5876814,0
3.5912127,0
3.5943585,0
3.5976709,0
3.6024272,0
3.6056792,0
3.6090188,0
3.6123625,0
3.6170062,0
3.6275416,0
3.6308603,0
3.6341728,0
3.6425789,0
3.6542351,0
3.6576038,0
3.6609288,0
3.6656184,0
3.6690767,0
3.6724537,0
3.6763683,0
3.6786933,0
3.6871203,0
3.6944307,0
3.6983931,0
3.7015785,0
3.7039035,0
3.7062264,0
3.7085493,0
3.7108743,0
3.7131972,0
3.7155222,0
3.7178451,0
3.720168,0
3.722493,0
3.7248159,0
3.7271388,0
3.7294638,0
3.7346846,0
3.7385616,0
3.7419012,0
3.7442241,0
3.7493615,0
3.7542261,0
3.765401,0
3.7725135,0
3.7829842,0
3.7876238,0
3.8017216,0
3.8050299,0
3.8155444,0
3.8187236,0
3.8219881,0
3.8302089,0
3.8372984,0
3.8404963,0
3.8441067,0
3.8471796,0
3.8554004,0
3.8660003,0
3.8765815,0
3.8906064,0
3.9067188,0
3.9262624,0
3.948681,0
3.9569351,0
3.9732621,0
3.9765724,0
3.9848245,0
3.9881786,0
3.9916702,0
3.994764,0
3.9970869,0
3.9994119,0
4.0042243,0
4.008118,0
4.0128055,0
4.016318,0
4.0195617,0
4.024268,0
4.0276992,0
4.0310929,0
4.0344741,0
4.0392303,0
4.0439866,0
4.0475678,0
4.0508573,0
4.0531823,0
4.0579073,0
4.0616364,0
4.0649698,0
4.0672926,0
4.0696155,0
4.0719405,0
4.0742634,0
4.0765863,0
4.0789113,0
4.0812342,0
4.0835592,0
4.0858821,0
4.088205,0
4.09213,0
4.0944529,0
4.0967778,0
4.1014174,0
4.1051278,0
4.1084861,0
4.1108111,0
4.113134,0
4.1154569,0
4.1177819,0
4.1201048,0
4.1224277,0
4.127186,0
