CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\P1_H8_GCDCA_ctrl_48h.raw
Data points: 2833
Time(min),Relative Abundance
0.003725651,0
0.008350566,0
0.0114964,0
0.013819265,0
0.016144283,0
0.018467167,0
0.020790067,0
0.02311505,0
0.025437934,0
0.027760851,0
0.030085833,0
0.032408717,0
0.0347337,0
0.0370566,0
0.045937851,0
0.050169034,0
0.052491914,0
0.054816901,0
0.057139817,0
0.059462717,0
0.061787684,0
0.064110584,0
0.066433516,0
0.068758483,0
0.071081399,0
0.073406334,0
0.075729266,0
0.078052166,0
0.080377149,0
0.082700033,0
0.085022933,0
0.0873479,0
0.09217925,0
0.094502051,0
0.096827033,0
0.099149918,0
0.10147492,0
0.1037978,0
0.1061207,0
0.1084457,0
0.11076857,0
0.11309148,0
0.11541648,0
0.11773938,0
0.12006435,0
0.12238727,0
0.12471015,0
0.12703513,0
0.12935805,0
0.13168095,0
0.13400593,0
0.13632882,0
0.13865173,0
0.14097672,0
0.1432996,0
0.1456246,0
0.1479475,0
0.1502704,0
0.15259538,0
0.15491828,0
0.15724118,0
0.15956617,0
0.16188907,0
0.16421403,0
0.16653693,0
0.16885985,0
0.17118482,0
0.17602863,0
0.17835145,0
0.18067435,0
0.18299932,0
0.18532225,0
0.18764721,0
0.18997011,0
0.19229302,0
0.194618,0
0.1969409,0
0.1992638,0
0.20158876,0
0.20391168,0
0.20623665,0
0.21173245,0
0.21723038,0
0.22145947,0
0.22378238,0
0.22610737,0
0.22843025,0
0.23075317,0
0.23307817,0
0.23540107,0
0.23772395,0
0.24004893,0
0.24237183,0
0.24469681,0
0.24701972,0
0.24934263,0
0.25166762,0
0.25399048,0
0.25882595,0
0.26114878,0
0.26347377,0
0.26579666,0
0.26811956,0
0.27044455,0
0.27276745,0
0.27509243,0
0.27741533,0
0.27973823,0
0.28206323,0
0.28438613,0
0.28670903,0
0.28903402,0
0.2913569,0
0.29368188,0
0.29600478,0
0.29832768,0
0.30065268,0
0.30297557,0
0.30530056,0
0.30762347,0
0.30994637,0
0.31227133,0
0.31459423,0
0.31691715,0
0.31924211,0
0.32156503,0
0.32388792,0
0.32621292,0
0.3285358,0
0.3308608,0
0.3331837,0
0.3355066,0
0.33783157,0
0.34266707,0
0.34499195,0
0.34731485,0
0.34963773,0
0.35196273,0
0.35428563,0
0.3566106,0
0.35893352,0
0.36125642,0
0.3635814,0
0.3659043,0
0.36822718,0
0.37323133,0
0.37684795,0
0.39596032,0
0.4040311,0
0.42301012,0
0.44468915,0
0.46263068,0
0.47928473,0
0.49714918,0
0.51570948,0
0.53473642,0
0.55379253,0
0.5727549,0
0.59179437,0
0.60487553,0
0.61987123,0
0.63792528,0
0.65595223,0
0.67285628,0
0.69068117,0
0.70513943,0
0.72358093,0
0.73934123,0
0.75587238,0
0.77247225,0
0.78782422,0
0.80595742,0
0.8242323,0
0.8405697,0
0.86023621,0
0.87904025,0
0.89597553,0
0.91511915,0
0.9341607,0
0.95544803,0
0.97458332,0
0.99375402,0
1.0129789,0
1.0323183,0
1.0504995,0
1.0696202,0
