CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\TDCA_std.raw
Data points: 4653
Time(min),Relative Abundance
0.0037484,0
0.008360818,0
0.011677467,0
0.014000367,0
0.016323268,0
0.018648234,0
0.02097115,0
0.023294051,0
0.025619049,0
0.027941933,0
0.030266932,0
0.032589816,0
0.034912701,0
0.037237699,0
0.039560599,0
0.0418835,0
0.044208482,0
0.046531382,0
0.048856385,0
0.051179265,0
0.053502165,0
0.055827168,0
0.058150068,0
0.060472968,0
0.062797951,0
0.065120851,0
0.067445834,0
0.069768734,0
0.072091598,0
0.074416617,0
0.076739501,0
0.079062417,0
0.0813874,0
0.0837103,0
0.0860332,0
0.088358167,0
0.092866483,0
0.095189384,0
0.097514366,0
0.099837251,0
0.10216017,0
0.10448513,0
0.10680805,0
0.10913095,0
0.11145593,0
0.11377883,0
0.11610382,0
0.11842672,0
0.12074962,0
0.1230746,0
0.12539748,0
0.1277204,0
0.13004539,0
0.1323683,0
0.13469327,0
0.13701617,0
0.13933907,0
0.14166404,0
0.14398695,0
0.14630985,0
0.14863483,0
0.15095773,0
0.15328063,0
0.15560562,0
0.15792852,0
0.1602535,0
0.1625764,0
0.1648993,0
0.16722428,0
0.16954718,0
0.17187008,0
0.1763888,0
0.1787117,0
0.18103668,0
0.1833596,0
0.18568248,0
0.18800747,0
0.19033039,0
0.19265329,0
0.19497825,0
0.19730117,0
0.19962613,0
0.20194905,0
0.20427195,0
0.20659693,0
0.20891983,0
0.21124272,0
0.21356772,0
0.2158906,0
0.2182156,0
0.2205385,0
0.22286137,0
0.22518637,0
0.2275093,0
0.22983217,0
0.23215715,0
0.23448005,0
0.23680503,0
0.23912797,0
0.24145085,0
0.24377585,0
0.24609873,0
0.24842162,0
0.25074662,0
0.25306952,0
0.2553945,0
0.2598903,0
0.26221322,0
0.26453608,0
0.26686108,0
0.26918398,0
0.27150688,0
0.27383187,0
0.27615478,0
0.27847977,0
0.28080265,0
0.28312555,0
0.28545052,0
0.28777343,0
0.29010467,0
0.29242967,0
0.29475257,0
0.29707545,0
0.29940043,0
0.30172332,0
0.30404623,0
0.30637124,0
0.3086941,0
0.31101912,0
0.31334202,0
0.3156649,0
0.3179899,0
0.32031279,0
0.32263567,0
0.32496068,0
0.32728358,0
0.32960857,0
0.33193147,0
0.33425435,0
0.33657935,0
0.33890223,0
0.3434065,0
0.34572928,0
0.34805427,0
0.35037715,0
0.35270007,0
0.35502503,0
0.35734795,0
0.35967293,0
0.36199584,0
0.36431874,0
0.36664372,0
0.36896662,0
0.3712895,0
0.3736145,0
0.3759374,0
0.37826238,0
0.38058528,0
0.38290818,0
0.38523317,0
0.38755607,0
