CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\UDCA_aminoacids.raw
Data points: 3353
Time(min),Relative Abundance
0.003749266,6839.015625
0.008367983,8893.2529296875
0.011519999,7926.0380859375
0.0138429,7702.9677734375
0.016167882,5850.6865234375
0.018490783,5607.826171875
0.020813683,6492.18212890625
0.023138634,6207.06689453125
0.02546155,6623.529296875
0.027786532,6139.96826171875
0.030109448,6129.9599609375
0.032432369,4441.55859375
0.034757315,6674.73486328125
0.037080235,5722.42626953125
0.0425781,7172.10302734375
0.046811417,6280.607421875
0.049134317,7481.98193359375
0.0514593,6260.8125
0.0537822,7600.9931640625
0.056107167,3087.56469726563
0.058430067,6793.873046875
0.060752967,7456.4462890625
0.063077966,7369.43701171875
0.065400866,6776.97607421875
0.06772375,9258.685546875
0.070048733,7068.4912109375
0.072371649,6004.62060546875
0.074694533,3998.73388671875
0.077019516,4418.4931640625
0.079342452,6122.3642578125
0.081667399,6169.66650390625
0.083990335,5285.80078125
0.086313199,6487.06298828125
0.088638182,5366.5869140625
0.093144416,5266.41162109375
0.095469398,7056.701171875
0.097792319,3922.0244140625
0.1001173,4052.220703125
0.10244018,8643.2421875
0.10476308,7493.58154296875
0.10708807,5590.62353515625
0.10941095,5332.21484375
0.11173386,7438.4091796875
0.11405884,3941.01513671875
0.11638177,5641.5224609375
0.11870675,4921.97705078125
0.12102967,5471.708984375
0.12335253,7075.6181640625
0.12567752,4987.28857421875
0.12800042,4855.80517578125
0.13032332,6234.77734375
0.13264832,6115.4619140625
0.13497118,5279.90283203125
0.1372962,6717.67236328125
0.13961908,5815.037109375
0.141942,6370.37109375
0.14426698,5008.37060546875
0.14658987,0
0.14891278,4763.8095703125
0.15123775,5829.64111328125
0.15356067,3944.04614257813
0.15588565,3520.06860351563
0.15820855,4106.31396484375
0.16053145,6005.74658203125
0.16285642,7707.6396484375
0.16517932,5629.9013671875
0.16750222,5479.24365234375
0.1698272,4960.923828125
0.1721501,5724.76806640625
0.17666885,4457.49365234375
0.17899172,5933.9228515625
0.18131462,4868.78564453125
0.1836396,4502.484375
0.18596252,4492.93212890625
0.18828748,5764.69921875
0.19061038,4679.044921875
0.19293538,0
0.19525828,4600.19384765625
0.19758117,4742.26806640625
