CHROMATOGRAM
E:\Ipsita\BSH_Zarrinpar\RT_match\Raw_data\UDCA_std.raw
Data points: 4630
Time(min),Relative Abundance
0.003723414,0
0.008356666,0
0.01150248,0
0.013825364,0
0.016150362,0
0.018473247,0
0.020796147,0
0.023121114,0
0.025444046,0
0.02776693,0
0.030091913,0
0.032414813,0
0.034739815,0
0.037062696,0
0.03938558,0
0.041710583,0
0.044033479,0
0.046356399,0
0.048681382,0
0.051004266,0
0.053329264,0
0.055652149,0
0.057975065,0
0.060300047,0
0.062622948,0
0.064945832,0
0.06727083,0
0.069593731,0
0.071918713,0
0.074241614,0
0.076564482,0
0.078889512,0
0.081212397,0
0.083535281,0
0.085860299,0
0.088183164,0
0.092685214,0
0.095008146,0
0.09733103,0
0.099656033,0
0.10197891,0
0.10430181,0
0.1066268,0
0.10894968,0
0.1112747,0
0.11359758,0
0.1159205,0
0.11824547,0
0.12056837,0
0.12289126,0
0.12521625,0
0.12753915,0
0.12986412,0
0.13218703,0
0.13450995,0
0.13683491,0
0.13915781,0
0.1414807,0
0.1438057,0
0.14612858,0
0.14845358,0
0.15077648,0
0.1530994,0
0.15542438,0
0.15774726,0
0.16007018,0
0.16239515,0
0.16471806,0
0.16704305,0
0.16936595,0
0.17168885,0
0.1761909,0
0.17851378,0
0.18083878,0
0.18316165,0
0.18548667,0
0.18780957,0
0.19013246,0
0.19245743,0
0.19478035,0
0.19710325,0
0.19942822,0
0.20175115,0
0.20407611,0
0.20639901,0
0.20872193,0
0.2110469,0
0.2133698,0
0.21569268,0
0.21801768,0
0.22034058,0
0.22266558,0
0.22498846,0
0.22731136,0
0.22963633,0
0.23195925,0
0.23428216,0
0.23660711,0
0.23893005,0
0.24125501,0
0.24357791,0
0.24590083,0
0.24822578,0
0.2505487,0
0.2528716,0
0.25519656,0
0.25969873,0
0.26202153,0
0.26434443,0
0.26666942,0
0.26899232,0
0.27131731,0
0.2736402,0
0.27596311,0
0.27828808,0
0.28061098,0
0.2829339,0
0.28525886,0
0.28758176,0
0.28990673,0
0.29222965,0
0.29455256,0
0.29687755,0
0.29920045,0
0.30152335,0
0.30384833,0
0.30617121,0
0.30849413,0
0.3108191,0
0.31314201,0
0.31546702,0
0.31778988,0
0.3201128,0
0.32243776,0
0.32476068,0
0.32708358,0
0.32940857,0
0.33173147,0
0.33405643,0
0.33637936,0
0.33870225,0
0.34320645,0
0.3455293,0
0.34785428,0
0.35017716,0
0.35250006,0
0.35482505,0
0.35714795,0
0.35947083,0
0.36179585,0
0.36411873,0
0.36644373,0
0.36876661,0
0.37108951,0
0.3734145,0
0.3757374,0
0.37806028,0
0.3803853,0
0.3827082,0
0.38503318,0
0.38735608,0
0.38967898,0
0.39200396,0
0.39432685,0
0.39664975,0
0.39897475,0
0.40129763,0
0.4068205,0
0.41066213,0
0.41926208,0
0.42822661,0
0.43305586,0
0.43537865,0
0.43770156,0
0.44002655,0
0.44234943,0
0.44467231,0
0.44699732,0
0.44932021,0
0.4516452,0
0.4539681,0
0.456291,0
0.45861598,0
0.46093888,0
0.46326178,0
0.46881173,0
0.47304933,0
0.47537213,0
0.47769708,0
0.48002001,0
0.48234288,0
0.49125325,0
0.49549075,0
0.49781363,0
0.50013862,0
0.50246153,0
0.5047844,0
0.50928855,0
0.51161145,0
0.51393642,0
0.51625933,0
0.51858223,0
0.52090721,0
0.52323011,0
0.52555302,0
0.527878,0
0.53020088,0
0.53252588,0
0.5348488,0
0.53717168,0
0.53949668,0
0.54181956,0
0.54414246,0
0.54646745,0
0.54879035,0
0.55111533,0
0.55343823,0
0.55576113,0
0.55808611,0
0.56040901,0
0.56273193,0
0.5650569,0
0.5673798,0
0.56970272,0
0.57202768,0
0.5743506,0
0.57667557,0
0.57899847,0
0.58132138,0
0.58364635,0
0.58596926,0
0.58829423,0
0.59279838,0
0.59512126,0
0.59744418,0
0.59976915,0
0.60209206,0
0.60441705,0
0.60673995,0
0.60906285,0
0.61138783,0
0.61371073,0
0.61603363,0
0.61835862,0
0.6206815,0
0.6230065,0
0.6253294,0
0.62765228,0
0.6299773,0
0.63230017,0
0.63462308,0
0.63694805,0
0.63927096,0
0.64159595,0
0.64391885,0
0.64624175,0
0.64856673,0
0.65088963,0
0.65321253,0
0.65553751,0
0.6578604,0
0.6601854,0
0.6625083,0
0.6648312,0
0.6671562,0
0.66947908,0
0.67180198,0
0.67629988,0
0.67862278,0
0.68094568,0
0.68327066,0
0.68559353,0
0.68791646,0
0.69024142,0
0.69256433,0
0.69488931,0
0.69721221,0
0.69953513,0
0.7018601,0
0.70418298,0
0.7065059,0
0.7088309,0
