rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
GCA	Dny-BSH1	5.2416364347915e-10	GDCA
Ile/Leu-UDCA	AZ-52	1.76843319390391e-08	GUDCA
GCA	Dny-BSH1	7.25521443051361e-08	GLCA
GCA	Dny-BSH1	8.68222718842735e-08	TUDCA
GCA	Dny-BSH1	1.05112204911127e-07	TLCA
GCA	Dny-BSH1	6.09907369937067e-07	TCDCA
Ile/Leu-UDCA	Dny-BSH1	1.44434431936687e-06	TUDCA
TUDCA	Lgasseri-BSH	3.15998880653853e-06	TUDCA
Lys-CDCA	AZ-52	4.92036892351121e-06	GCDCA
GUDCA	EcAZ-1-cat	5.34101519537287e-06	TCDCA
Trp-UDCA	EcAZ-1-cat	5.46899376890922e-06	TDCA
TCAA	Lgasseri-BSH	7.54127624345066e-06	TCA
TCAA	Dny-BSH1	1.16179448145641e-05	TDCA
GCA	Dny-BSH1	1.6154684191841e-05	GCA
Trp-UDCA	EcAZ-1-cat	3.00638363339813e-05	GCDCA
TDCA	Dny-BSH1	3.16782642069672e-05	TDCA
TLCA	Dny-BSH1	4.46116821822799e-05	TLCA
Lys-UDCA	AZ-52	5.75381827505796e-05	GUDCA
GDCA	LCAG-95-BSH1208	8.02365983968461e-05	GDCA
TDCA	LCAG-95-BSH1208	0.000101402407126389	TCA
Trp-UDCA	ctrl	0.000102932869020966	TCA
TDCA	AZ-52	0.000122335337217627	TDCA
GCDCA	Dny-BSH1	0.00012375207228117	GCDCA
GDCA	Dny-BSH1	0.000240985096270051	GDCA
Tyr-UDCA	Dny-BSH1	0.000245728917321572	GLCA
Tyr-UDCA	EcAZ-1-cat	0.000288971019650296	TCA
GCA	Dny-BSH1	0.000309111156445871	GUDCA
GUDCA	Ep-BSH101	0.000400152083413316	TCDCA
GCA	Dny-BSH1	0.000582119793253259	GCDCA
GCDCA	LCAG-95-BSH1208	0.000804188074026664	GCDCA
TUDCA	AZ-52	0.000899246204785812	TUDCA
GLCA	Dny-BSH1	0.00125495769782071	GLCA
