Molecule	AZ52	DnyBSH1	DnyBSH2	LgasseriBSH	LCAG95BSH1208	EpBSH101	ctrl
GCA	0.807041302556643	0.00491240892901897	0.0648880080434506	0.625664830734371	0.0157103967335172	0.156324535099402	0.131702923352972
GCDCA	0.102353330611584	0.00161358666572253	0.173699868283871	0.173562677499181	0.00161654950885323	0.964984613347955	0.362839941870514
GDCA	0.117043162424811	7.20541912438228e-06	0.00158654493927782	0.00321756780358702	7.90819921061811e-06	0.00991027985022819	0.0170142962570282
GLCA	0.253191549142071	0.0205927420138855	0.987535036416286	0.295408075706384	0.0181968934523945	0.439733509160045	0.485359604571927
GUDCA	0.487928325791581	0.01345124293257	0.135454736370831	0.435791440774443	0.00532394556916727	0.823628740922108	0.241952370308795
TCA	4.55069305203649e-05	4.41851284632175e-05	0.0326710130467024	4.40909440579698e-05	0.000237739557883986	0.270129901899282	0.174642245063827
TCDCA	0.00147683604695269	0.00119006034052314	0.088770852885785	0.0012574598498835	0.00120535887837142	0.42305514962688	0.0414665094456095
TDCA	0.039212459617539	0.039113328966612	0.41977862492746	0.343279598689688	0.0543264623633405	0.680729610658164	0.818643681032935
TLCA	1.11489932223128e-06	1.35818740153845e-06	0.107313688763918	1.89963988671309e-05	1.79152470858601e-06	0.0120082215291365	0.00819883332673129
TUDCA	0.0131424588781353	0.648029922739014	0.527847886662142	0.0130237037422066	0.0223526142803761	0.376176935754529	0.346289330867939
