Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	1.6154684191841e-05
GCA	Dny-BSH2	0.108347373784496
GCA	Lgasseri-BSH	0.196968796287266
GCA	LCAG-95-BSH1208	0.0438777477287172
GCA	Ep-BSH101	0.0673503139041661
GCA	AZ-52	0.0511404857611712
GCA	EcAZ-1-cat	0.159899835589778
GCA	ctrl	0.263502574534538
GCDCA	Dny-BSH1	0.0933077055695347
GCDCA	Dny-BSH2	0.13603605206497
GCDCA	Lgasseri-BSH	0.227396106747251
GCDCA	LCAG-95-BSH1208	0.0902271907617281
GCDCA	Ep-BSH101	0.370326519700724
GCDCA	AZ-52	0.142273504874393
GCDCA	EcAZ-1-cat	0.141415620510575
GCDCA	ctrl	0.079268004980651
GDCA	Dny-BSH1	0.128120722248001
GDCA	Dny-BSH2	0.957537305070921
GDCA	Lgasseri-BSH	0.319171286363413
GDCA	LCAG-95-BSH1208	0.207706591075393
GDCA	Ep-BSH101	0.492197791128761
GDCA	AZ-52	0.769141528373454
GDCA	EcAZ-1-cat	0.0556351623650397
GDCA	ctrl	0.0288610241012108
GLCA	Dny-BSH1	0.340751658161989
GLCA	Dny-BSH2	0.352736908553876
GLCA	Lgasseri-BSH	0.986688249722244
GLCA	LCAG-95-BSH1208	0.697420852387177
GLCA	Ep-BSH101	0.486559831706975
GLCA	AZ-52	0.627630196502275
GLCA	EcAZ-1-cat	0.884543451186673
GLCA	ctrl	0.879723337518394
GUDCA	Dny-BSH1	0.408981831912012
GUDCA	Dny-BSH2	0.577968152949729
GUDCA	Lgasseri-BSH	0.612740671085207
GUDCA	LCAG-95-BSH1208	0.534203922350156
GUDCA	Ep-BSH101	0.782062953033621
GUDCA	AZ-52	0.340421161466934
GUDCA	EcAZ-1-cat	0.458406699466611
GUDCA	ctrl	0.470038991038071
TCAA	Dny-BSH1	0.411749079690916
TCAA	Dny-BSH2	NA
TCAA	Lgasseri-BSH	NA
TCAA	LCAG-95-BSH1208	NA
TCAA	Ep-BSH101	0.373900966300059
TCAA	AZ-52	0.373900966300059
TCAA	EcAZ-1-cat	0.719304726428681
TCAA	ctrl	0.373900966300059
TCDCA	Dny-BSH1	0.373900966300059
TCDCA	Dny-BSH2	0.869319674558095
TCDCA	Lgasseri-BSH	0.373900966300059
TCDCA	LCAG-95-BSH1208	0.11818360799792
TCDCA	Ep-BSH101	0.373900966300059
TCDCA	AZ-52	0.373900966300059
TCDCA	EcAZ-1-cat	0.373900966300059
TCDCA	ctrl	NA
TDCA	Dny-BSH1	0.981858635508763
TDCA	Dny-BSH2	0.810763705782757
TDCA	Lgasseri-BSH	0.373900966300059
TDCA	LCAG-95-BSH1208	0.882589980657265
TDCA	Ep-BSH101	0.341088252041192
TDCA	AZ-52	0.705121924665251
TDCA	EcAZ-1-cat	0.434729807513681
TDCA	ctrl	0.624760636010034
TLCA	Dny-BSH1	NA
TLCA	Dny-BSH2	NA
TLCA	Lgasseri-BSH	NA
TLCA	LCAG-95-BSH1208	NA
TLCA	Ep-BSH101	NA
TLCA	AZ-52	NA
TLCA	EcAZ-1-cat	NA
TLCA	ctrl	0.373900966300059
TUDCA	Dny-BSH1	0.842070866311749
TUDCA	Dny-BSH2	0.393467671197841
TUDCA	Lgasseri-BSH	0.542267328293757
TUDCA	LCAG-95-BSH1208	0.976230629763567
TUDCA	Ep-BSH101	0.900629691381926
TUDCA	AZ-52	0.850189935064638
TUDCA	EcAZ-1-cat	0.920290918069234
TUDCA	ctrl	0.451447653060333
Ala-UDCA	Dny-BSH1	NA
Ala-UDCA	Dny-BSH2	NA
Ala-UDCA	Lgasseri-BSH	NA
Ala-UDCA	LCAG-95-BSH1208	NA
Ala-UDCA	Ep-BSH101	NA
Ala-UDCA	AZ-52	NA
Ala-UDCA	EcAZ-1-cat	NA
Ala-UDCA	ctrl	NA
Ile/Leu-UDCA	Dny-BSH1	NA
Ile/Leu-UDCA	Dny-BSH2	NA
Ile/Leu-UDCA	Lgasseri-BSH	NA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA
Ile/Leu-UDCA	Ep-BSH101	NA
Ile/Leu-UDCA	AZ-52	NA
Ile/Leu-UDCA	EcAZ-1-cat	NA
Ile/Leu-UDCA	ctrl	NA
Trp-UDCA	Dny-BSH1	0.0489154120629622
Trp-UDCA	Dny-BSH2	0.192864258554957
Trp-UDCA	Lgasseri-BSH	0.284396975315587
Trp-UDCA	LCAG-95-BSH1208	0.215769611294253
Trp-UDCA	Ep-BSH101	0.116478263753071
Trp-UDCA	AZ-52	0.323052792599132
Trp-UDCA	EcAZ-1-cat	0.166951785311187
Trp-UDCA	ctrl	0.374621011549618
Tyr-UDCA	Dny-BSH1	0.665680573210251
Tyr-UDCA	Dny-BSH2	0.824056141458587
Tyr-UDCA	Lgasseri-BSH	0.90822230725092
Tyr-UDCA	LCAG-95-BSH1208	0.12055661540146
Tyr-UDCA	Ep-BSH101	0.737452491891471
Tyr-UDCA	AZ-52	0.117265847959111
Tyr-UDCA	EcAZ-1-cat	0.390876954426672
Tyr-UDCA	ctrl	0.492937407836134
Lys-UDCA	Dny-BSH1	NA
Lys-UDCA	Dny-BSH2	NA
Lys-UDCA	Lgasseri-BSH	NA
Lys-UDCA	LCAG-95-BSH1208	NA
Lys-UDCA	Ep-BSH101	NA
Lys-UDCA	AZ-52	NA
Lys-UDCA	EcAZ-1-cat	NA
Lys-UDCA	ctrl	NA
Phe-UDCA	Dny-BSH1	0.117097840972889
Phe-UDCA	Dny-BSH2	0.241748213061309
Phe-UDCA	Lgasseri-BSH	0.206700857976092
Phe-UDCA	LCAG-95-BSH1208	0.042434589215956
Phe-UDCA	Ep-BSH101	0.177017883998318
Phe-UDCA	AZ-52	0.108826940336485
Phe-UDCA	EcAZ-1-cat	0.0815164740115595
Phe-UDCA	ctrl	0.501862231102418
Lys-CA	Dny-BSH1	0.143815011028781
Lys-CA	Dny-BSH2	NA
Lys-CA	Lgasseri-BSH	NA
Lys-CA	LCAG-95-BSH1208	NA
Lys-CA	Ep-BSH101	NA
Lys-CA	AZ-52	0.373900966300059
Lys-CA	EcAZ-1-cat	NA
Lys-CA	ctrl	NA
Lys-CDCA	Dny-BSH1	NA
Lys-CDCA	Dny-BSH2	NA
Lys-CDCA	Lgasseri-BSH	NA
Lys-CDCA	LCAG-95-BSH1208	NA
Lys-CDCA	Ep-BSH101	NA
Lys-CDCA	AZ-52	NA
Lys-CDCA	EcAZ-1-cat	NA
Lys-CDCA	ctrl	NA
