Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	0.000582119793253259
GCA	Dny-BSH2	0.0423211044364709
GCA	Lgasseri-BSH	0.283098383624177
GCA	LCAG-95-BSH1208	0.0149661870305802
GCA	Ep-BSH101	0.131000433973527
GCA	AZ-52	0.553739623193365
GCA	EcAZ-1-cat	0.920334652688337
GCA	ctrl	0.553712123911815
GCDCA	Dny-BSH1	0.00012375207228117
GCDCA	Dny-BSH2	0.0802791478377713
GCDCA	Lgasseri-BSH	0.0745455760845811
GCDCA	LCAG-95-BSH1208	0.000804188074026664
GCDCA	Ep-BSH101	0.242076492075541
GCDCA	AZ-52	0.0361182110407983
GCDCA	EcAZ-1-cat	0.360801333142307
GCDCA	ctrl	0.0335659475713136
GDCA	Dny-BSH1	0.01931108170614
GDCA	Dny-BSH2	0.120308291948427
GDCA	Lgasseri-BSH	0.261500091321208
GDCA	LCAG-95-BSH1208	0.0917000234870517
GDCA	Ep-BSH101	0.0951301715264836
GDCA	AZ-52	0.052959378781685
GDCA	EcAZ-1-cat	0.139964655066608
GDCA	ctrl	0.0844516969944568
GLCA	Dny-BSH1	0.231831632944175
GLCA	Dny-BSH2	0.984580369114096
GLCA	Lgasseri-BSH	0.231720412978783
GLCA	LCAG-95-BSH1208	0.558622211695198
GLCA	Ep-BSH101	0.9703167194699
GLCA	AZ-52	0.427885031635237
GLCA	EcAZ-1-cat	0.750386212367533
GLCA	ctrl	0.997727956846536
GUDCA	Dny-BSH1	0.0278336430392057
GUDCA	Dny-BSH2	0.204120167460307
GUDCA	Lgasseri-BSH	0.499021755270366
GUDCA	LCAG-95-BSH1208	0.0448636740457128
GUDCA	Ep-BSH101	0.217803868718176
GUDCA	AZ-52	0.580083831112172
GUDCA	EcAZ-1-cat	0.451988806963355
GUDCA	ctrl	0.518281640728975
TCAA	Dny-BSH1	NA
TCAA	Dny-BSH2	NA
TCAA	Lgasseri-BSH	NA
TCAA	LCAG-95-BSH1208	0.373900966300059
TCAA	Ep-BSH101	NA
TCAA	AZ-52	0.373900966300059
TCAA	EcAZ-1-cat	NA
TCAA	ctrl	0.373900966300059
TCDCA	Dny-BSH1	0.373900966300059
TCDCA	Dny-BSH2	0.373900966300059
TCDCA	Lgasseri-BSH	0.373900966300059
TCDCA	LCAG-95-BSH1208	NA
TCDCA	Ep-BSH101	0.373900966300059
TCDCA	AZ-52	0.373900966300059
TCDCA	EcAZ-1-cat	NA
TCDCA	ctrl	0.116339580988913
TDCA	Dny-BSH1	0.975142421024308
TDCA	Dny-BSH2	0.881363180145831
TDCA	Lgasseri-BSH	0.373900966300059
TDCA	LCAG-95-BSH1208	0.596703116446703
TDCA	Ep-BSH101	0.76105188921464
TDCA	AZ-52	0.775899690880496
TDCA	EcAZ-1-cat	0.733777083358289
TDCA	ctrl	0.622043067117093
TLCA	Dny-BSH1	0.373900966300059
TLCA	Dny-BSH2	0.548965452006372
TLCA	Lgasseri-BSH	0.373900966300059
TLCA	LCAG-95-BSH1208	NA
TLCA	Ep-BSH101	0.373900966300059
TLCA	AZ-52	NA
TLCA	EcAZ-1-cat	NA
TLCA	ctrl	0.373900966300059
TUDCA	Dny-BSH1	0.2365664556701
TUDCA	Dny-BSH2	0.550898358116815
TUDCA	Lgasseri-BSH	0.240952141205348
TUDCA	LCAG-95-BSH1208	0.933319926020781
TUDCA	Ep-BSH101	0.373900966300059
TUDCA	AZ-52	0.816095580840617
TUDCA	EcAZ-1-cat	0.116768970264063
TUDCA	ctrl	0.997512844836765
Ala-UDCA	Dny-BSH1	NA
Ala-UDCA	Dny-BSH2	NA
Ala-UDCA	Lgasseri-BSH	NA
Ala-UDCA	LCAG-95-BSH1208	NA
Ala-UDCA	Ep-BSH101	NA
Ala-UDCA	AZ-52	NA
Ala-UDCA	EcAZ-1-cat	NA
Ala-UDCA	ctrl	NA
Ile/Leu-UDCA	Dny-BSH1	NA
Ile/Leu-UDCA	Dny-BSH2	NA
Ile/Leu-UDCA	Lgasseri-BSH	NA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA
Ile/Leu-UDCA	Ep-BSH101	NA
Ile/Leu-UDCA	AZ-52	NA
Ile/Leu-UDCA	EcAZ-1-cat	NA
Ile/Leu-UDCA	ctrl	NA
Trp-UDCA	Dny-BSH1	0.0391332601344938
Trp-UDCA	Dny-BSH2	0.0521277763555799
Trp-UDCA	Lgasseri-BSH	0.101655858364381
Trp-UDCA	LCAG-95-BSH1208	0.941238251574573
Trp-UDCA	Ep-BSH101	0.089569711970644
Trp-UDCA	AZ-52	0.0642113848357516
Trp-UDCA	EcAZ-1-cat	3.00638363339813e-05
Trp-UDCA	ctrl	0.035649521210878
Tyr-UDCA	Dny-BSH1	0.739609103144174
Tyr-UDCA	Dny-BSH2	0.440856202429987
Tyr-UDCA	Lgasseri-BSH	0.393952056486938
Tyr-UDCA	LCAG-95-BSH1208	0.46516316114745
Tyr-UDCA	Ep-BSH101	0.866601955650506
Tyr-UDCA	AZ-52	0.839237884114667
Tyr-UDCA	EcAZ-1-cat	0.373900966300059
Tyr-UDCA	ctrl	0.116828019985949
Lys-UDCA	Dny-BSH1	NA
Lys-UDCA	Dny-BSH2	NA
Lys-UDCA	Lgasseri-BSH	NA
Lys-UDCA	LCAG-95-BSH1208	NA
Lys-UDCA	Ep-BSH101	NA
Lys-UDCA	AZ-52	NA
Lys-UDCA	EcAZ-1-cat	NA
Lys-UDCA	ctrl	NA
Phe-UDCA	Dny-BSH1	0.17491117636289
Phe-UDCA	Dny-BSH2	0.0342658686153478
Phe-UDCA	Lgasseri-BSH	0.126334067842266
Phe-UDCA	LCAG-95-BSH1208	0.320604293275776
Phe-UDCA	Ep-BSH101	0.0983760039709496
Phe-UDCA	AZ-52	0.46469251939154
Phe-UDCA	EcAZ-1-cat	0.12533968108448
Phe-UDCA	ctrl	0.0114034223900493
Lys-CA	Dny-BSH1	NA
Lys-CA	Dny-BSH2	NA
Lys-CA	Lgasseri-BSH	NA
Lys-CA	LCAG-95-BSH1208	NA
Lys-CA	Ep-BSH101	NA
Lys-CA	AZ-52	NA
Lys-CA	EcAZ-1-cat	NA
Lys-CA	ctrl	NA
Lys-CDCA	Dny-BSH1	0.256204542493328
Lys-CDCA	Dny-BSH2	NA
Lys-CDCA	Lgasseri-BSH	NA
Lys-CDCA	LCAG-95-BSH1208	NA
Lys-CDCA	Ep-BSH101	0.373900966300059
Lys-CDCA	AZ-52	4.92036892351121e-06
Lys-CDCA	EcAZ-1-cat	NA
Lys-CDCA	ctrl	NA
