Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	5.2416364347915e-10
GCA	Dny-BSH2	0.144522651000777
GCA	Lgasseri-BSH	0.891282887904771
GCA	LCAG-95-BSH1208	0.0130350410284502
GCA	Ep-BSH101	0.501174296373821
GCA	AZ-52	0.979812230555845
GCA	EcAZ-1-cat	0.336751684814288
GCA	ctrl	0.954511176873541
GCDCA	Dny-BSH1	0.220542476918061
GCDCA	Dny-BSH2	0.281742230359189
GCDCA	Lgasseri-BSH	0.638900020889362
GCDCA	LCAG-95-BSH1208	0.386833512077529
GCDCA	Ep-BSH101	0.35696361353659
GCDCA	AZ-52	0.551184737999225
GCDCA	EcAZ-1-cat	0.49000860221723
GCDCA	ctrl	0.576718831584196
GDCA	Dny-BSH1	0.000240985096270051
GDCA	Dny-BSH2	0.240367951761712
GDCA	Lgasseri-BSH	0.245867412975106
GDCA	LCAG-95-BSH1208	8.02365983968461e-05
GDCA	Ep-BSH101	0.474383143712713
GDCA	AZ-52	0.502380204344364
GDCA	EcAZ-1-cat	0.0397690321400192
GDCA	ctrl	0.686166604698975
GLCA	Dny-BSH1	0.583016692048517
GLCA	Dny-BSH2	0.871015551741639
GLCA	Lgasseri-BSH	0.815315521606184
GLCA	LCAG-95-BSH1208	0.245155488697943
GLCA	Ep-BSH101	0.9784589597505
GLCA	AZ-52	0.244415290516736
GLCA	EcAZ-1-cat	0.349842735734063
GLCA	ctrl	0.257856470110575
GUDCA	Dny-BSH1	0.110061085106364
GUDCA	Dny-BSH2	0.254673622444698
GUDCA	Lgasseri-BSH	0.69795493634955
GUDCA	LCAG-95-BSH1208	0.0535095889651748
GUDCA	Ep-BSH101	0.63067714609645
GUDCA	AZ-52	0.890111844015259
GUDCA	EcAZ-1-cat	0.0569344807197738
GUDCA	ctrl	0.585493365388208
TCAA	Dny-BSH1	NA
TCAA	Dny-BSH2	0.373900966300059
TCAA	Lgasseri-BSH	0.373900966300059
TCAA	LCAG-95-BSH1208	0.373900966300059
TCAA	Ep-BSH101	NA
TCAA	AZ-52	NA
TCAA	EcAZ-1-cat	0.373900966300059
TCAA	ctrl	0.116975632014415
TCDCA	Dny-BSH1	0.373900966300059
TCDCA	Dny-BSH2	NA
TCDCA	Lgasseri-BSH	0.373900966300059
TCDCA	LCAG-95-BSH1208	NA
TCDCA	Ep-BSH101	0.373900966300059
TCDCA	AZ-52	NA
TCDCA	EcAZ-1-cat	0.373900966300059
TCDCA	ctrl	NA
TDCA	Dny-BSH1	0.21054106018351
TDCA	Dny-BSH2	0.894168670025846
TDCA	Lgasseri-BSH	0.373900966300059
TDCA	LCAG-95-BSH1208	0.393535291314191
TDCA	Ep-BSH101	0.38001459642856
TDCA	AZ-52	0.886192769960735
TDCA	EcAZ-1-cat	0.894907637817295
TDCA	ctrl	0.473723727736171
TLCA	Dny-BSH1	0.373900966300059
TLCA	Dny-BSH2	0.884878612942353
TLCA	Lgasseri-BSH	NA
TLCA	LCAG-95-BSH1208	0.373900966300059
TLCA	Ep-BSH101	0.87603071925047
TLCA	AZ-52	NA
TLCA	EcAZ-1-cat	0.373900966300059
TLCA	ctrl	0.902541582919612
TUDCA	Dny-BSH1	0.924784508129234
TUDCA	Dny-BSH2	0.647527777268288
TUDCA	Lgasseri-BSH	0.116137870621751
TUDCA	LCAG-95-BSH1208	0.983387827601862
TUDCA	Ep-BSH101	0.891669241753199
TUDCA	AZ-52	0.918349904795607
TUDCA	EcAZ-1-cat	0.949843833686354
TUDCA	ctrl	0.98029255747849
Ala-UDCA	Dny-BSH1	NA
Ala-UDCA	Dny-BSH2	NA
Ala-UDCA	Lgasseri-BSH	NA
Ala-UDCA	LCAG-95-BSH1208	NA
Ala-UDCA	Ep-BSH101	NA
Ala-UDCA	AZ-52	NA
Ala-UDCA	EcAZ-1-cat	NA
Ala-UDCA	ctrl	NA
Ile/Leu-UDCA	Dny-BSH1	NA
Ile/Leu-UDCA	Dny-BSH2	NA
Ile/Leu-UDCA	Lgasseri-BSH	NA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA
Ile/Leu-UDCA	Ep-BSH101	NA
Ile/Leu-UDCA	AZ-52	NA
Ile/Leu-UDCA	EcAZ-1-cat	NA
Ile/Leu-UDCA	ctrl	NA
Trp-UDCA	Dny-BSH1	0.0446428472444634
Trp-UDCA	Dny-BSH2	0.7169975901676
Trp-UDCA	Lgasseri-BSH	0.812129050812582
Trp-UDCA	LCAG-95-BSH1208	0.544152975249266
Trp-UDCA	Ep-BSH101	0.249701356952709
Trp-UDCA	AZ-52	0.26648644265827
Trp-UDCA	EcAZ-1-cat	0.118757822958703
Trp-UDCA	ctrl	0.991607421706074
Tyr-UDCA	Dny-BSH1	0.60434510152633
Tyr-UDCA	Dny-BSH2	0.861746164542114
Tyr-UDCA	Lgasseri-BSH	0.926300137972089
Tyr-UDCA	LCAG-95-BSH1208	0.893775507363603
Tyr-UDCA	Ep-BSH101	0.84242978763874
Tyr-UDCA	AZ-52	0.84354402079108
Tyr-UDCA	EcAZ-1-cat	0.471462723066699
Tyr-UDCA	ctrl	0.373900966300059
Lys-UDCA	Dny-BSH1	NA
Lys-UDCA	Dny-BSH2	NA
Lys-UDCA	Lgasseri-BSH	NA
Lys-UDCA	LCAG-95-BSH1208	NA
Lys-UDCA	Ep-BSH101	NA
Lys-UDCA	AZ-52	NA
Lys-UDCA	EcAZ-1-cat	NA
Lys-UDCA	ctrl	NA
Phe-UDCA	Dny-BSH1	0.0100715348054706
Phe-UDCA	Dny-BSH2	0.228129824439179
Phe-UDCA	Lgasseri-BSH	0.284822093712267
Phe-UDCA	LCAG-95-BSH1208	0.49979485027248
Phe-UDCA	Ep-BSH101	0.511891258794065
Phe-UDCA	AZ-52	0.0604578830214161
Phe-UDCA	EcAZ-1-cat	0.0266942220530634
Phe-UDCA	ctrl	0.529959045735128
Lys-CA	Dny-BSH1	NA
Lys-CA	Dny-BSH2	NA
Lys-CA	Lgasseri-BSH	NA
Lys-CA	LCAG-95-BSH1208	NA
Lys-CA	Ep-BSH101	NA
Lys-CA	AZ-52	NA
Lys-CA	EcAZ-1-cat	NA
Lys-CA	ctrl	NA
Lys-CDCA	Dny-BSH1	0.678986129999993
Lys-CDCA	Dny-BSH2	NA
Lys-CDCA	Lgasseri-BSH	NA
Lys-CDCA	LCAG-95-BSH1208	NA
Lys-CDCA	Ep-BSH101	NA
Lys-CDCA	AZ-52	NA
Lys-CDCA	EcAZ-1-cat	NA
Lys-CDCA	ctrl	NA
