Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	7.25521443051361e-08
GCA	Dny-BSH2	0.222891311703162
GCA	Lgasseri-BSH	0.328952357378913
GCA	LCAG-95-BSH1208	0.337481865447806
GCA	Ep-BSH101	0.353709957952054
GCA	AZ-52	0.143450552692302
GCA	EcAZ-1-cat	0.353304403158169
GCA	ctrl	0.232648676395276
GCDCA	Dny-BSH1	0.0248335931009449
GCDCA	Dny-BSH2	0.209973731492242
GCDCA	Lgasseri-BSH	0.351357835750242
GCDCA	LCAG-95-BSH1208	0.275066846120773
GCDCA	Ep-BSH101	0.416854554992197
GCDCA	AZ-52	0.203483583671321
GCDCA	EcAZ-1-cat	0.263903781305586
GCDCA	ctrl	0.302951294691691
GDCA	Dny-BSH1	0.373130760205878
GDCA	Dny-BSH2	0.307472637078754
GDCA	Lgasseri-BSH	0.674752728264839
GDCA	LCAG-95-BSH1208	0.371621017591691
GDCA	Ep-BSH101	0.232340322423467
GDCA	AZ-52	0.184623328573686
GDCA	EcAZ-1-cat	0.431099569957771
GDCA	ctrl	0.815958495931178
GLCA	Dny-BSH1	0.00125495769782071
GLCA	Dny-BSH2	0.418639046258579
GLCA	Lgasseri-BSH	0.15941177735111
GLCA	LCAG-95-BSH1208	0.0142860052384012
GLCA	Ep-BSH101	0.838347275848265
GLCA	AZ-52	0.090992576132624
GLCA	EcAZ-1-cat	0.439653822567665
GLCA	ctrl	0.675525044670702
GUDCA	Dny-BSH1	0.096316652607987
GUDCA	Dny-BSH2	0.230123519503975
GUDCA	Lgasseri-BSH	0.229941794223399
GUDCA	LCAG-95-BSH1208	0.211912802093059
GUDCA	Ep-BSH101	0.858992840286569
GUDCA	AZ-52	0.167881774570539
GUDCA	EcAZ-1-cat	0.232949196332147
GUDCA	ctrl	0.188094875696156
TCAA	Dny-BSH1	NA
TCAA	Dny-BSH2	0.955946593746609
TCAA	Lgasseri-BSH	0.373900966300059
TCAA	LCAG-95-BSH1208	0.648711825821556
TCAA	Ep-BSH101	0.829354084073843
TCAA	AZ-52	0.373900966300059
TCAA	EcAZ-1-cat	0.373900966300059
TCAA	ctrl	0.373900966300059
TCDCA	Dny-BSH1	0.368859290619712
TCDCA	Dny-BSH2	0.977339675345594
TCDCA	Lgasseri-BSH	0.892115521497028
TCDCA	LCAG-95-BSH1208	0.616296131816012
TCDCA	Ep-BSH101	0.647592020151367
TCDCA	AZ-52	0.427289404982405
TCDCA	EcAZ-1-cat	0.487943301856007
TCDCA	ctrl	0.00160570863778612
TDCA	Dny-BSH1	0.0715286597200972
TDCA	Dny-BSH2	0.55892861658143
TDCA	Lgasseri-BSH	0.155200840393496
TDCA	LCAG-95-BSH1208	0.335814578566773
TDCA	Ep-BSH101	0.570230298897181
TDCA	AZ-52	0.0921850416409415
TDCA	EcAZ-1-cat	0.756343334967678
TDCA	ctrl	0.177268020593618
TLCA	Dny-BSH1	0.373900966300059
TLCA	Dny-BSH2	0.817028538796491
TLCA	Lgasseri-BSH	0.373900966300059
TLCA	LCAG-95-BSH1208	0.373900966300059
TLCA	Ep-BSH101	0.928974841658832
TLCA	AZ-52	NA
TLCA	EcAZ-1-cat	0.373900966300059
TLCA	ctrl	0.964322543241401
TUDCA	Dny-BSH1	0.352210696905642
TUDCA	Dny-BSH2	0.471594037039281
TUDCA	Lgasseri-BSH	0.0422170047326126
TUDCA	LCAG-95-BSH1208	0.0814129060469975
TUDCA	Ep-BSH101	0.912808341752308
TUDCA	AZ-52	0.117746839996884
TUDCA	EcAZ-1-cat	0.437594429900272
TUDCA	ctrl	0.477116801627792
Ala-UDCA	Dny-BSH1	NA
Ala-UDCA	Dny-BSH2	NA
Ala-UDCA	Lgasseri-BSH	NA
Ala-UDCA	LCAG-95-BSH1208	NA
Ala-UDCA	Ep-BSH101	NA
Ala-UDCA	AZ-52	NA
Ala-UDCA	EcAZ-1-cat	NA
Ala-UDCA	ctrl	NA
Ile/Leu-UDCA	Dny-BSH1	NA
Ile/Leu-UDCA	Dny-BSH2	NA
Ile/Leu-UDCA	Lgasseri-BSH	NA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA
Ile/Leu-UDCA	Ep-BSH101	NA
Ile/Leu-UDCA	AZ-52	NA
Ile/Leu-UDCA	EcAZ-1-cat	NA
Ile/Leu-UDCA	ctrl	NA
Trp-UDCA	Dny-BSH1	0.0586864692873694
Trp-UDCA	Dny-BSH2	0.169763901137323
Trp-UDCA	Lgasseri-BSH	0.0280411384516307
Trp-UDCA	LCAG-95-BSH1208	0.549749432988065
Trp-UDCA	Ep-BSH101	0.727581411081046
Trp-UDCA	AZ-52	0.025530655409044
Trp-UDCA	EcAZ-1-cat	0.175926679547245
Trp-UDCA	ctrl	0.088339968249052
Tyr-UDCA	Dny-BSH1	0.000245728917321572
Tyr-UDCA	Dny-BSH2	0.044950280538054
Tyr-UDCA	Lgasseri-BSH	0.853455754475725
Tyr-UDCA	LCAG-95-BSH1208	0.438521171922052
Tyr-UDCA	Ep-BSH101	0.340808178594896
Tyr-UDCA	AZ-52	0.478877561347592
Tyr-UDCA	EcAZ-1-cat	0.864731286590776
Tyr-UDCA	ctrl	NA
Lys-UDCA	Dny-BSH1	NA
Lys-UDCA	Dny-BSH2	NA
Lys-UDCA	Lgasseri-BSH	NA
Lys-UDCA	LCAG-95-BSH1208	NA
Lys-UDCA	Ep-BSH101	NA
Lys-UDCA	AZ-52	NA
Lys-UDCA	EcAZ-1-cat	NA
Lys-UDCA	ctrl	NA
Phe-UDCA	Dny-BSH1	0.0215388830159799
Phe-UDCA	Dny-BSH2	0.220500604942593
Phe-UDCA	Lgasseri-BSH	0.222867867909269
Phe-UDCA	LCAG-95-BSH1208	0.704581953552766
Phe-UDCA	Ep-BSH101	0.608417248145699
Phe-UDCA	AZ-52	0.118468773729017
Phe-UDCA	EcAZ-1-cat	0.171618223919156
Phe-UDCA	ctrl	0.899190541758817
Lys-CA	Dny-BSH1	NA
Lys-CA	Dny-BSH2	NA
Lys-CA	Lgasseri-BSH	NA
Lys-CA	LCAG-95-BSH1208	NA
Lys-CA	Ep-BSH101	NA
Lys-CA	AZ-52	NA
Lys-CA	EcAZ-1-cat	NA
Lys-CA	ctrl	NA
Lys-CDCA	Dny-BSH1	NA
Lys-CDCA	Dny-BSH2	NA
Lys-CDCA	Lgasseri-BSH	NA
Lys-CDCA	LCAG-95-BSH1208	NA
Lys-CDCA	Ep-BSH101	NA
Lys-CDCA	AZ-52	NA
Lys-CDCA	EcAZ-1-cat	NA
Lys-CDCA	ctrl	NA
