Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	0.0800779384838504
GCA	Dny-BSH2	0.262388187795168
GCA	Lgasseri-BSH	0.107379378806812
GCA	LCAG-95-BSH1208	0.00248369923524574
GCA	Ep-BSH101	0.368807719321461
GCA	AZ-52	0.189060685255181
GCA	EcAZ-1-cat	0.284758370479406
GCA	ctrl	0.77257194806072
GCDCA	Dny-BSH1	0.752607916711567
GCDCA	Dny-BSH2	0.404461440842971
GCDCA	Lgasseri-BSH	0.407734386187608
GCDCA	LCAG-95-BSH1208	0.697854154629567
GCDCA	Ep-BSH101	0.660115333708369
GCDCA	AZ-52	0.273450949110791
GCDCA	EcAZ-1-cat	0.142132134600583
GCDCA	ctrl	0.226821597999411
GDCA	Dny-BSH1	0.108262586703026
GDCA	Dny-BSH2	0.48089727332735
GDCA	Lgasseri-BSH	0.271150378899011
GDCA	LCAG-95-BSH1208	0.444140597495006
GDCA	Ep-BSH101	0.462486482531955
GDCA	AZ-52	0.0868777122146273
GDCA	EcAZ-1-cat	0.954392790925739
GDCA	ctrl	0.264557069580456
GLCA	Dny-BSH1	0.4046436744327
GLCA	Dny-BSH2	0.265137985297334
GLCA	Lgasseri-BSH	0.568113982087143
GLCA	LCAG-95-BSH1208	0.347554769287434
GLCA	Ep-BSH101	0.903199442557566
GLCA	AZ-52	0.444262941049597
GLCA	EcAZ-1-cat	0.897805528259645
GLCA	ctrl	0.870031093327174
GUDCA	Dny-BSH1	0.924433604001664
GUDCA	Dny-BSH2	0.874775195270479
GUDCA	Lgasseri-BSH	0.582255331942756
GUDCA	LCAG-95-BSH1208	0.125338253869735
GUDCA	Ep-BSH101	0.587833097636091
GUDCA	AZ-52	0.915697445927109
GUDCA	EcAZ-1-cat	0.373900966300059
GUDCA	ctrl	0.939452628385034
TCAA	Dny-BSH1	1.16179448145641e-05
TCAA	Dny-BSH2	0.263462968045718
TCAA	Lgasseri-BSH	NA
TCAA	LCAG-95-BSH1208	0.0601122036436076
TCAA	Ep-BSH101	0.553098698051131
TCAA	AZ-52	0.11614614557919
TCAA	EcAZ-1-cat	0.301683722154961
TCAA	ctrl	0.375711769799921
TCDCA	Dny-BSH1	0.322313566134525
TCDCA	Dny-BSH2	0.804466743534523
TCDCA	Lgasseri-BSH	0.351334987704752
TCDCA	LCAG-95-BSH1208	0.424397038826092
TCDCA	Ep-BSH101	0.93196147384459
TCDCA	AZ-52	0.11654698646588
TCDCA	EcAZ-1-cat	0.376622143095411
TCDCA	ctrl	0.423411625014963
TDCA	Dny-BSH1	3.16782642069672e-05
TDCA	Dny-BSH2	0.563306464293747
TDCA	Lgasseri-BSH	0.230339027316862
TDCA	LCAG-95-BSH1208	0.00271215750893204
TDCA	Ep-BSH101	0.41360870014961
TDCA	AZ-52	0.000122335337217627
TDCA	EcAZ-1-cat	0.27364077212403
TDCA	ctrl	0.238676762924442
TLCA	Dny-BSH1	0.373900966300059
TLCA	Dny-BSH2	0.434619722111649
TLCA	Lgasseri-BSH	0.373900966300059
TLCA	LCAG-95-BSH1208	0.373900966300059
TLCA	Ep-BSH101	0.993269460355351
TLCA	AZ-52	0.373900966300059
TLCA	EcAZ-1-cat	0.979165963343832
TLCA	ctrl	0.958733563041541
TUDCA	Dny-BSH1	0.856343463585217
TUDCA	Dny-BSH2	0.976256708457074
TUDCA	Lgasseri-BSH	0.967063297194764
TUDCA	LCAG-95-BSH1208	0.955066536926518
TUDCA	Ep-BSH101	0.773094163975272
TUDCA	AZ-52	0.968243271621262
TUDCA	EcAZ-1-cat	0.517646495927885
TUDCA	ctrl	0.160880255424751
Ala-UDCA	Dny-BSH1	NA
Ala-UDCA	Dny-BSH2	NA
Ala-UDCA	Lgasseri-BSH	NA
Ala-UDCA	LCAG-95-BSH1208	NA
Ala-UDCA	Ep-BSH101	NA
Ala-UDCA	AZ-52	NA
Ala-UDCA	EcAZ-1-cat	NA
Ala-UDCA	ctrl	NA
Ile/Leu-UDCA	Dny-BSH1	NA
Ile/Leu-UDCA	Dny-BSH2	NA
Ile/Leu-UDCA	Lgasseri-BSH	NA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA
Ile/Leu-UDCA	Ep-BSH101	NA
Ile/Leu-UDCA	AZ-52	NA
Ile/Leu-UDCA	EcAZ-1-cat	NA
Ile/Leu-UDCA	ctrl	NA
Trp-UDCA	Dny-BSH1	0.106217456706516
Trp-UDCA	Dny-BSH2	0.452952596139112
Trp-UDCA	Lgasseri-BSH	0.229448165274398
Trp-UDCA	LCAG-95-BSH1208	0.0970593157573925
Trp-UDCA	Ep-BSH101	0.159438859961711
Trp-UDCA	AZ-52	0.734095140679438
Trp-UDCA	EcAZ-1-cat	5.46899376890922e-06
Trp-UDCA	ctrl	0.116188633552984
