Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	1.05112204911127e-07
GCA	Dny-BSH2	0.300169071132841
GCA	Lgasseri-BSH	0.36717393579402
GCA	LCAG-95-BSH1208	0.997204458424743
GCA	Ep-BSH101	0.401638640873107
GCA	AZ-52	0.394524621994106
GCA	EcAZ-1-cat	0.414602192067678
GCA	ctrl	0.795012809859247
GCDCA	Dny-BSH1	0.248860083076072
GCDCA	Dny-BSH2	0.586901476350071
GCDCA	Lgasseri-BSH	0.689085821297519
GCDCA	LCAG-95-BSH1208	0.769459049945216
GCDCA	Ep-BSH101	0.186809308062301
GCDCA	AZ-52	0.15647470441191
GCDCA	EcAZ-1-cat	0.0994008901450146
GCDCA	ctrl	0.318166404768487
GDCA	Dny-BSH1	0.352100252058222
GDCA	Dny-BSH2	0.627021903993369
GDCA	Lgasseri-BSH	0.332688629066935
GDCA	LCAG-95-BSH1208	0.323177976723165
GDCA	Ep-BSH101	0.990055367335117
GDCA	AZ-52	0.413022535395554
GDCA	EcAZ-1-cat	0.210454242499953
GDCA	ctrl	0.936759725773088
GLCA	Dny-BSH1	0.939393177560116
GLCA	Dny-BSH2	0.219697373938159
GLCA	Lgasseri-BSH	0.645288407135209
GLCA	LCAG-95-BSH1208	0.817730881628536
GLCA	Ep-BSH101	0.548504725758675
GLCA	AZ-52	0.710428423489433
GLCA	EcAZ-1-cat	0.424847186059404
GLCA	ctrl	0.939809774178219
GUDCA	Dny-BSH1	0.120806878893891
GUDCA	Dny-BSH2	0.853112197988222
GUDCA	Lgasseri-BSH	0.544622867134603
GUDCA	LCAG-95-BSH1208	0.635404270225529
GUDCA	Ep-BSH101	0.995968412223327
GUDCA	AZ-52	0.999667153366711
GUDCA	EcAZ-1-cat	NA
GUDCA	ctrl	0.628267753943633
TCAA	Dny-BSH1	NA
TCAA	Dny-BSH2	NA
TCAA	Lgasseri-BSH	0.373900966300059
TCAA	LCAG-95-BSH1208	0.373900966300059
TCAA	Ep-BSH101	0.373900966300059
TCAA	AZ-52	0.970116606879479
TCAA	EcAZ-1-cat	NA
TCAA	ctrl	NA
TCDCA	Dny-BSH1	0.145063610603388
TCDCA	Dny-BSH2	0.906583014868994
TCDCA	Lgasseri-BSH	0.978376819743879
TCDCA	LCAG-95-BSH1208	0.116117065836126
TCDCA	Ep-BSH101	0.218521067331188
TCDCA	AZ-52	0.344488243164633
TCDCA	EcAZ-1-cat	0.119259983891169
TCDCA	ctrl	0.0826429645457019
TDCA	Dny-BSH1	0.0130556421121876
TDCA	Dny-BSH2	0.045540657392926
TDCA	Lgasseri-BSH	0.210312027650084
TDCA	LCAG-95-BSH1208	0.748015258442393
TDCA	Ep-BSH101	0.890457226660931
TDCA	AZ-52	0.0475567432268397
TDCA	EcAZ-1-cat	0.875574805063069
TDCA	ctrl	0.160264564540656
TLCA	Dny-BSH1	4.46116821822799e-05
TLCA	Dny-BSH2	0.032992720024541
TLCA	Lgasseri-BSH	0.0619112172647466
TLCA	LCAG-95-BSH1208	0.00270269300446327
TLCA	Ep-BSH101	0.690326209991104
TLCA	AZ-52	0.00205872504081364
TLCA	EcAZ-1-cat	0.284975371011419
TLCA	ctrl	0.486139460660914
TUDCA	Dny-BSH1	0.253359095155258
TUDCA	Dny-BSH2	0.116125882516664
TUDCA	Lgasseri-BSH	0.4925678184596
TUDCA	LCAG-95-BSH1208	0.5141531170894
TUDCA	Ep-BSH101	0.478760700265622
TUDCA	AZ-52	0.353545641933308
TUDCA	EcAZ-1-cat	0.461478822857664
TUDCA	ctrl	0.468458934226998
Ala-UDCA	Dny-BSH1	NA
Ala-UDCA	Dny-BSH2	NA
Ala-UDCA	Lgasseri-BSH	NA
Ala-UDCA	LCAG-95-BSH1208	NA
Ala-UDCA	Ep-BSH101	NA
Ala-UDCA	AZ-52	NA
Ala-UDCA	EcAZ-1-cat	NA
Ala-UDCA	ctrl	NA
Ile/Leu-UDCA	Dny-BSH1	NA
Ile/Leu-UDCA	Dny-BSH2	NA
Ile/Leu-UDCA	Lgasseri-BSH	NA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA
Ile/Leu-UDCA	Ep-BSH101	NA
Ile/Leu-UDCA	AZ-52	NA
Ile/Leu-UDCA	EcAZ-1-cat	NA
Ile/Leu-UDCA	ctrl	NA
Trp-UDCA	Dny-BSH1	0.348594495911763
Trp-UDCA	Dny-BSH2	0.0348541723202735
Trp-UDCA	Lgasseri-BSH	0.271131497697999
Trp-UDCA	LCAG-95-BSH1208	0.0763273961294508
Trp-UDCA	Ep-BSH101	0.0539149917064404
Trp-UDCA	AZ-52	0.122455643078874
Trp-UDCA	EcAZ-1-cat	0.373900966300059
Trp-UDCA	ctrl	0.516124972652344
Tyr-UDCA	Dny-BSH1	0.117856897358748
Tyr-UDCA	Dny-BSH2	0.373900966300059
Tyr-UDCA	Lgasseri-BSH	0.121066009505862
Tyr-UDCA	LCAG-95-BSH1208	0.373900966300059
Tyr-UDCA	Ep-BSH101	0.373900966300059
Tyr-UDCA	AZ-52	0.373900966300059
Tyr-UDCA	EcAZ-1-cat	0.122782732872995
Tyr-UDCA	ctrl	0.516163105528433
Lys-UDCA	Dny-BSH1	NA
Lys-UDCA	Dny-BSH2	0.373900966300059
Lys-UDCA	Lgasseri-BSH	NA
Lys-UDCA	LCAG-95-BSH1208	NA
Lys-UDCA	Ep-BSH101	NA
Lys-UDCA	AZ-52	NA
Lys-UDCA	EcAZ-1-cat	NA
Lys-UDCA	ctrl	NA
Phe-UDCA	Dny-BSH1	0.0126459986951399
Phe-UDCA	Dny-BSH2	0.158125501039798
Phe-UDCA	Lgasseri-BSH	0.0925057965404894
Phe-UDCA	LCAG-95-BSH1208	0.0335243818238241
Phe-UDCA	Ep-BSH101	0.0769646358900748
Phe-UDCA	AZ-52	0.0735073817977312
Phe-UDCA	EcAZ-1-cat	0.22428189938333
Phe-UDCA	ctrl	0.962013166684751
Lys-CA	Dny-BSH1	NA
Lys-CA	Dny-BSH2	NA
Lys-CA	Lgasseri-BSH	NA
Lys-CA	LCAG-95-BSH1208	NA
Lys-CA	Ep-BSH101	NA
Lys-CA	AZ-52	NA
Lys-CA	EcAZ-1-cat	NA
Lys-CA	ctrl	NA
Lys-CDCA	Dny-BSH1	NA
Lys-CDCA	Dny-BSH2	NA
Lys-CDCA	Lgasseri-BSH	NA
Lys-CDCA	LCAG-95-BSH1208	NA
Lys-CDCA	Ep-BSH101	NA
Lys-CDCA	AZ-52	NA
Lys-CDCA	EcAZ-1-cat	NA
Lys-CDCA	ctrl	NA
