Molecule	BSH_strain	t0hvt48h
GCA	Dny-BSH1	8.68222718842735e-08
GCA	Dny-BSH2	0.352622115053507
GCA	Lgasseri-BSH	0.182110060930466
GCA	LCAG-95-BSH1208	0.00663117516793073
GCA	Ep-BSH101	0.36943753620035
GCA	AZ-52	0.412314189575529
GCA	EcAZ-1-cat	0.408701620555416
GCA	ctrl	0.817688954494724
GCDCA	Dny-BSH1	0.237754988727014
GCDCA	Dny-BSH2	0.16525126046809
GCDCA	Lgasseri-BSH	0.514292107372935
GCDCA	LCAG-95-BSH1208	0.61411951623786
GCDCA	Ep-BSH101	0.423260924207455
GCDCA	AZ-52	0.796537678290658
GCDCA	EcAZ-1-cat	0.441092980799684
GCDCA	ctrl	0.13458028064979
GDCA	Dny-BSH1	0.364119148561645
GDCA	Dny-BSH2	0.36194538015662
GDCA	Lgasseri-BSH	0.511449526679305
GDCA	LCAG-95-BSH1208	0.23710777958349
GDCA	Ep-BSH101	0.626712865204112
GDCA	AZ-52	0.974310666295177
GDCA	EcAZ-1-cat	0.953251707883998
GDCA	ctrl	0.981711758255192
GLCA	Dny-BSH1	0.273140605894774
GLCA	Dny-BSH2	0.422851097169243
GLCA	Lgasseri-BSH	0.375384329518903
GLCA	LCAG-95-BSH1208	0.561934648743535
GLCA	Ep-BSH101	0.496277072324657
GLCA	AZ-52	0.577257527983311
GLCA	EcAZ-1-cat	0.971744912360285
GLCA	ctrl	0.997329453500319
GUDCA	Dny-BSH1	0.043212567546016
GUDCA	Dny-BSH2	0.430426490067023
GUDCA	Lgasseri-BSH	0.0333683621033867
GUDCA	LCAG-95-BSH1208	0.0321474864315628
GUDCA	Ep-BSH101	0.369768708654683
GUDCA	AZ-52	0.0157598073003896
GUDCA	EcAZ-1-cat	0.505319959632066
GUDCA	ctrl	0.399173707088019
TCAA	Dny-BSH1	NA
TCAA	Dny-BSH2	NA
TCAA	Lgasseri-BSH	NA
TCAA	LCAG-95-BSH1208	NA
TCAA	Ep-BSH101	NA
TCAA	AZ-52	NA
