sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P2_E12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_E12_BHI_50DMSO_25MeOH_48h.mzML	P2	E12	BHI-50DMSO	25MeOH	48h
P1_B12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_B12_BHI_50DMSO_25MeOH_0h.mzML	P1	B12	BHI-50DMSO	25MeOH	0h
P1_D12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_D12_BHI_50DMSO_25MeOH_0h.mzML	P1	D12	BHI-50DMSO	25MeOH	0h
P1_F12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_F12_BHI_50DMSO_25MeOH_0h.mzML	P1	F12	BHI-50DMSO	25MeOH	0h
P1_H12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_H12_BHI_50DMSO_25MeOH_0h.mzML	P1	H12	BHI-50DMSO	25MeOH	0h
P2_D12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_D12_BHI_50DMSO_25MeOH_48h.mzML	P2	D12	BHI-50DMSO	25MeOH	48h
P2_G12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_G12_BHI_50DMSO_25MeOH_48h.mzML	P2	G12	BHI-50DMSO	25MeOH	48h
P2_F12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_F12_BHI_50DMSO_25MeOH_48h.mzML	P2	F12	BHI-50DMSO	25MeOH	48h
P2_H12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_H12_BHI_50DMSO_25MeOH_48h.mzML	P2	H12	BHI-50DMSO	25MeOH	48h
P2_A12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_A12_BHI_50DMSO_25MeOH_48h.mzML	P2	A12	BHI-50DMSO	25MeOH	48h
P2_B12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_B12_BHI_50DMSO_25MeOH_48h.mzML	P2	B12	BHI-50DMSO	25MeOH	48h
P1_E12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_E12_BHI_50DMSO_25MeOH_0h.mzML	P1	E12	BHI-50DMSO	25MeOH	0h
P1_G12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_G12_BHI_50DMSO_25MeOH_0h.mzML	P1	G12	BHI-50DMSO	25MeOH	0h
P1_A12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_A12_BHI_50DMSO_25MeOH_0h.mzML	P1	A12	BHI-50DMSO	25MeOH	0h
P1_C12_BHI_50DMSO_25MeOH_0h.mzML Peak area	P1_C12_BHI_50DMSO_25MeOH_0h.mzML	P1	C12	BHI-50DMSO	25MeOH	0h
P2_C12_BHI_50DMSO_25MeOH_48h.mzML Peak area	P2_C12_BHI_50DMSO_25MeOH_48h.mzML	P2	C12	BHI-50DMSO	25MeOH	48h
P8_A12_BHI_50DMSO_25MeOH.mzML Peak area	P8_A12_BHI_50DMSO_25MeOH.mzML	P8	A12	BHI-50DMSO	25MeOH	
P9_A12_BHI_50DMSO_25MeOH.mzML Peak area	P9_A12_BHI_50DMSO_25MeOH.mzML	P9	A12	BHI-50DMSO	25MeOH	
P8_G12_BHI_50DMSO_25MeOH.mzML Peak area	P8_G12_BHI_50DMSO_25MeOH.mzML	P8	G12	BHI-50DMSO	25MeOH	
P3_A12_BHI_50DMSO_25MeOH.mzML Peak area	P3_A12_BHI_50DMSO_25MeOH.mzML	P3	A12	BHI-50DMSO	25MeOH	
P3_G12_BHI_50DMSO_25MeOH.mzML Peak area	P3_G12_BHI_50DMSO_25MeOH.mzML	P3	G12	BHI-50DMSO	25MeOH	
P6_G12_BHI_50DMSO_25MeOH.mzML Peak area	P6_G12_BHI_50DMSO_25MeOH.mzML	P6	G12	BHI-50DMSO	25MeOH	
P7_A12_BHI_50DMSO_25MeOH.mzML Peak area	P7_A12_BHI_50DMSO_25MeOH.mzML	P7	A12	BHI-50DMSO	25MeOH	
P6_A12_BHI_50DMSO_25MeOH.mzML Peak area	P6_A12_BHI_50DMSO_25MeOH.mzML	P6	A12	BHI-50DMSO	25MeOH	
P7_G12_BHI_50DMSO_25MeOH.mzML Peak area	P7_G12_BHI_50DMSO_25MeOH.mzML	P7	G12	BHI-50DMSO	25MeOH	
P4_A12_BHI_50DMSO_25MeOH.mzML Peak area	P4_A12_BHI_50DMSO_25MeOH.mzML	P4	A12	BHI-50DMSO	25MeOH	
P5_G12_BHI_50DMSO_25MeOH.mzML Peak area	P5_G12_BHI_50DMSO_25MeOH.mzML	P5	G12	BHI-50DMSO	25MeOH	
P4_G12_BHI_50DMSO_25MeOH.mzML Peak area	P4_G12_BHI_50DMSO_25MeOH.mzML	P4	G12	BHI-50DMSO	25MeOH	
P5_A12_BHI_50DMSO_25MeOH.mzML Peak area	P5_A12_BHI_50DMSO_25MeOH.mzML	P5	A12	BHI-50DMSO	25MeOH	
