sample_name	filename	name	plate	plate_location	BA_suppl	BSH_strain	timepoint
P1_A12_BHI_50DMSO_25MeOH.mzML Peak area	P1_A12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	A12	BHI	50DMSO-25MeOH	
P1_B12_BHI_50DMSO_25MeOH.mzML Peak area	P1_B12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	B12	BHI	50DMSO-25MeOH	
P1_C12_BHI_50DMSO_25MeOH.mzML Peak area	P1_C12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	C12	BHI	50DMSO-25MeOH	
P1_D12_BHI_50DMSO_25MeOH.mzML Peak area	P1_D12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	D12	BHI	50DMSO-25MeOH	
P1_E12_BHI_50DMSO_25MeOH.mzML Peak area	P1_E12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	E12	BHI	50DMSO-25MeOH	
P1_F12_BHI_50DMSO_25MeOH.mzML Peak area	P1_F12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	F12	BHI	50DMSO-25MeOH	
P1_G12_BHI_50DMSO_25MeOH.mzML Peak area	P1_G12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	G12	BHI	50DMSO-25MeOH	
P1_H12_BHI_50DMSO_25MeOH.mzML Peak area	P1_H12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P1	H12	BHI	50DMSO-25MeOH	
P2_A12_BHI_50DMSO_25MeOH.mzML Peak area	P2_A12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P2	A12	BHI	50DMSO-25MeOH	
P2_B12_BHI_50DMSO_25MeOH.mzML Peak area	P2_B12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P2	B12	BHI	50DMSO-25MeOH	
P2_C12_BHI_50DMSO_25MeOH.mzML Peak area	P2_C12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P2	C12	BHI	50DMSO-25MeOH	
P2_D12_BHI_50DMSO_25MeOH.mzML Peak area	P2_D12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P2	D12	BHI	50DMSO-25MeOH	
P2_E12_BHI_50DMSO_25MeOH.mzML Peak area	P2_E12_BHI_50DMSO_25MeOH.mzML	BHI_50DMSO_25MeOH	P2	E12	BHI	50DMSO-25MeOH	
