FeatureID	BSH_strain	t0hvt24h	t0hvt48h	t24hvt48h
5464	AZ-52	NA	NA	NA
33999	AZ-52	NA	NA	NA
33793	AZ-52	NA	NA	NA
34879	AZ-52	0.760410439203492	0.760410439203492	0.760410439203492
35194	AZ-52	NA	NA	NA
34801	AZ-52	NA	NA	NA
36411	AZ-52	0.621281000025752	0.490585410966466	0.490585410966466
36098	AZ-52	0.632472382764291	1	0.632472382764291
37356	AZ-52	0.784664675492053	0.796560054028183	0.784664675492053
38983	AZ-52	NA	NA	NA
39149	AZ-52	0.0806810993727243	0.204979856782667	0.204979856782667
39443	AZ-52	0.632472382764291	1	0.632472382764291
40087	AZ-52	0.386118549608137	0.888762796681784	0.386118549608137
39742	AZ-52	0.226248065088335	1	0.226248065088335
42314	AZ-52	NA	NA	NA
43005	AZ-52	NA	NA	NA
43731	AZ-52	NA	NA	NA
43985	AZ-52	NA	NA	NA
44290	AZ-52	NA	NA	NA
43992	AZ-52	0.0094717690378247	0.0134288948011935	0.317827528915172
44778	AZ-52	NA	NA	NA
44876	AZ-52	NA	NA	NA
44874	AZ-52	NA	NA	NA
44873	AZ-52	NA	NA	NA
44871	AZ-52	NA	NA	NA
44922	AZ-52	NA	NA	NA
44812	AZ-52	NA	NA	NA
45876	AZ-52	NA	NA	NA
45912	AZ-52	NA	NA	NA
45939	AZ-52	NA	NA	NA
45966	AZ-52	NA	NA	NA
46576	AZ-52	NA	NA	NA
46560	AZ-52	NA	NA	NA
46679	AZ-52	NA	NA	NA
46989	AZ-52	NA	NA	NA
47201	AZ-52	NA	NA	NA
48395	AZ-52	NA	NA	NA
49085	AZ-52	NA	NA	NA
49865	AZ-52	NA	NA	NA
49584	AZ-52	0.21737765409469	0.124441724282808	0.21737765409469
49829	AZ-52	NA	NA	NA
50685	AZ-52	NA	NA	NA
51134	AZ-52	NA	NA	NA
50529	AZ-52	NA	NA	NA
53441	AZ-52	0.527830774892534	0.527830774892534	0.971851349753327
53468	AZ-52	NA	NA	NA
51760	AZ-52	NA	NA	NA
54171	AZ-52	NA	NA	NA
54438	AZ-52	NA	NA	NA
54422	AZ-52	NA	NA	NA
54673	AZ-52	NA	NA	NA
55673	AZ-52	0.753399200951965	0.17299831705943	0.17299831705943
55757	AZ-52	NA	NA	NA
56239	AZ-52	NA	NA	NA
107_i	AZ-52	NA	NA	NA
11_i	AZ-52	0.716462137548282	0.221893852248913	0.221893852248913
110_i	AZ-52	NA	NA	NA
119_i	AZ-52	NA	NA	NA
127_i	AZ-52	0.664276735881094	0.763036627328559	0.664276735881094
129_i	AZ-52	3.03376535666746e-05	3.03376535666746e-05	0.0387110712996069
138_i	AZ-52	NA	NA	NA
144_i	AZ-52	NA	NA	NA
147_i	AZ-52	0.781814592082753	0.781814592082753	0.809829317025058
148_i	AZ-52	NA	NA	NA
157_i	AZ-52	2.10057768971166e-07	2.10057768971166e-07	0.068110528399433
158_i	AZ-52	1	0.345299461620748	0.345299461620748
171_i	AZ-52	0.59662628685148	0.59662628685148	0.785008418674585
175_i	AZ-52	NA	NA	NA
178_i	AZ-52	NA	NA	NA
184_i	AZ-52	NA	NA	NA
185_i	AZ-52	0.0429677514071723	0.00929499193737231	0.00287888559802128
190_i	AZ-52	NA	NA	NA
201_i	AZ-52	NA	NA	NA
205_i	AZ-52	0.990907927527849	0.967781468127562	0.967781468127562
210_i	AZ-52	NA	NA	NA
214_i	AZ-52	NA	NA	NA
216_i	AZ-52	0.632472382764291	1	0.632472382764291
217_i	AZ-52	0.944499605212402	0.944499605212402	0.944499605212402
218_i	AZ-52	NA	NA	NA
219_i	AZ-52	0.449826579161689	0.538503280726965	0.379256013738807
220_i	AZ-52	0.784555453994276	0.505168938188759	0.505168938188759
223_i	AZ-52	4.47697268697635e-05	4.47697268697635e-05	0.0173133048968491
224_i	AZ-52	NA	NA	NA
228_i	AZ-52	NA	NA	NA
229_i	AZ-52	NA	NA	NA
23_i	AZ-52	0.632472382764292	1	0.632472382764292
232_i	AZ-52	NA	NA	NA
234_i	AZ-52	NA	NA	NA
236_i	AZ-52	NA	NA	NA
238_i	AZ-52	0.000378776326004822	0.000378776326004822	0.578793038813532
239_i	AZ-52	0.955304153978628	0.955304153978628	0.955304153978628
240_i	AZ-52	NA	NA	NA
41_i	AZ-52	NA	NA	NA
59_i	AZ-52	NA	NA	NA
62_i	AZ-52	0.0168075618010455	0.0168075618010455	0.794371562086054
68_i	AZ-52	0.901306165727612	0.602817152153382	0.602817152153382
7_i	AZ-52	NA	NA	NA
70_i	AZ-52	NA	NA	NA
85_i	AZ-52	NA	NA	NA
88_i	AZ-52	NA	NA	NA
89_i	AZ-52	NA	NA	NA
99_i	AZ-52	0.828113129154017	0.167354899668507	0.167354899668507
5464	ctrl	NA	NA	NA
33999	ctrl	NA	NA	NA
33793	ctrl	NA	NA	NA
34879	ctrl	NA	NA	NA
35194	ctrl	NA	NA	NA
34801	ctrl	NA	NA	NA
36411	ctrl	0.643448864754729	0.643448864754729	0.643448864754729
36098	ctrl	0.462102013875536	1	0.462102013875536
37356	ctrl	0.942362404275142	0.942362404275142	0.942362404275142
38983	ctrl	NA	NA	NA
39149	ctrl	0.769843658208535	0.828028654280861	0.769843658208535
39443	ctrl	NA	NA	NA
40087	ctrl	0.989101484838843	0.989101484838843	0.989101484838843
39742	ctrl	0.791696000188622	0.791696000188622	0.794615326624249
42314	ctrl	NA	NA	NA
43005	ctrl	NA	NA	NA
43731	ctrl	NA	NA	NA
43985	ctrl	NA	NA	NA
44290	ctrl	NA	NA	NA
43992	ctrl	0.044915900386424	0.8505606473992	0.044915900386424
44778	ctrl	NA	NA	NA
44876	ctrl	NA	NA	NA
44874	ctrl	NA	NA	NA
44873	ctrl	NA	NA	NA
44871	ctrl	NA	NA	NA
44922	ctrl	NA	NA	NA
44812	ctrl	NA	NA	NA
45876	ctrl	NA	NA	NA
45912	ctrl	NA	NA	NA
45939	ctrl	NA	NA	NA
45966	ctrl	NA	NA	NA
46576	ctrl	NA	NA	NA
46560	ctrl	NA	NA	NA
46679	ctrl	NA	NA	NA
46989	ctrl	NA	NA	NA
47201	ctrl	NA	NA	NA
48395	ctrl	NA	NA	NA
49085	ctrl	NA	NA	NA
49865	ctrl	NA	NA	NA
49584	ctrl	NA	NA	NA
49829	ctrl	NA	NA	NA
50685	ctrl	NA	NA	NA
51134	ctrl	NA	NA	NA
50529	ctrl	NA	NA	NA
53441	ctrl	0.462102013875536	1	0.462102013875536
53468	ctrl	NA	NA	NA
51760	ctrl	NA	NA	NA
54171	ctrl	NA	NA	NA
54438	ctrl	NA	NA	NA
54422	ctrl	NA	NA	NA
54673	ctrl	NA	NA	NA
55673	ctrl	0.243945294336337	0.323044308545022	0.323044308545022
55757	ctrl	NA	NA	NA
56239	ctrl	NA	NA	NA
107_i	ctrl	0.462102013875536	1	0.462102013875536
11_i	ctrl	0.00887730907773634	0.05081520410875	0.0155071135610333
110_i	ctrl	NA	NA	NA
119_i	ctrl	NA	NA	NA
127_i	ctrl	0.253918776339881	0.515293967207686	0.253918776339881
129_i	ctrl	0.0913109423462437	0.0217654888193357	0.0143815736370493
138_i	ctrl	1	0.00121468656486138	0.00121468656486138
144_i	ctrl	NA	NA	NA
147_i	ctrl	0.685552860504103	0.685552860504103	0.978913312605914
148_i	ctrl	NA	NA	NA
157_i	ctrl	NA	NA	NA
158_i	ctrl	NA	NA	NA
171_i	ctrl	0.462102013875536	0.462102013875536	1
175_i	ctrl	NA	NA	NA
178_i	ctrl	0.0366800649212993	0.0366800649212993	1
184_i	ctrl	NA	NA	NA
185_i	ctrl	0.18475490431059	0.18475490431059	0.110546351767813
190_i	ctrl	NA	NA	NA
201_i	ctrl	NA	NA	NA
205_i	ctrl	1	0.462102013875536	0.462102013875536
210_i	ctrl	NA	NA	NA
214_i	ctrl	NA	NA	NA
216_i	ctrl	0.764758950121189	0.764758950121189	0.836112342668722
217_i	ctrl	0.641472488332482	0.641472488332482	0.641472488332482
218_i	ctrl	NA	NA	NA
219_i	ctrl	0.929840831645174	0.442353902935032	0.442353902935032
220_i	ctrl	0.0444607204821066	0.0444607204821066	0.348713910903652
223_i	ctrl	0.0251732560921486	0.0695004846591013	0.0616215471510442
224_i	ctrl	NA	NA	NA
228_i	ctrl	0.642557775401956	0.642557775401956	0.642557775401956
229_i	ctrl	NA	NA	NA
23_i	ctrl	0.462102013875536	1	0.462102013875536
232_i	ctrl	NA	NA	NA
234_i	ctrl	NA	NA	NA
236_i	ctrl	NA	NA	NA
238_i	ctrl	0.458803292107821	0.458803292107821	0.458803292107821
239_i	ctrl	0.329114137315836	0.346086186449971	0.346086186449971
240_i	ctrl	NA	NA	NA
41_i	ctrl	NA	NA	NA
59_i	ctrl	NA	NA	NA
62_i	ctrl	0.239009767101946	0.950242659329486	0.239009767101946
68_i	ctrl	0.780388101555736	0.780388101555736	0.961077727697348
7_i	ctrl	NA	NA	NA
70_i	ctrl	NA	NA	NA
85_i	ctrl	NA	NA	NA
88_i	ctrl	NA	NA	NA
89_i	ctrl	NA	NA	NA
99_i	ctrl	0.515168443300262	0.515168443300262	0.888513351165687
5464	Dny-BSH1	NA	NA	NA
33999	Dny-BSH1	NA	NA	NA
33793	Dny-BSH1	0.0857086011480976	0.230969795782789	0.218370754601875
34879	Dny-BSH1	NA	NA	NA
35194	Dny-BSH1	1	0.345299461620748	0.345299461620748
34801	Dny-BSH1	NA	NA	NA
36411	Dny-BSH1	0.61093994694067	0.61093994694067	0.61093994694067
36098	Dny-BSH1	0.538076582113038	0.920896866716562	0.538076582113038
37356	Dny-BSH1	0.984640299660692	0.984640299660692	0.984640299660692
38983	Dny-BSH1	1	0.345299461620748	0.345299461620748
39149	Dny-BSH1	0.229468746836083	1	0.229468746836083
39443	Dny-BSH1	NA	NA	NA
40087	Dny-BSH1	0.629411102855639	0.629411102855639	0.629411102855639
39742	Dny-BSH1	0.932016359957634	0.932016359957634	0.932016359957634
42314	Dny-BSH1	NA	NA	NA
43005	Dny-BSH1	NA	NA	NA
43731	Dny-BSH1	NA	NA	NA
43985	Dny-BSH1	NA	NA	NA
44290	Dny-BSH1	NA	NA	NA
43992	Dny-BSH1	0.0554460162997027	0.00290034964790892	0.00358647325863045
44778	Dny-BSH1	NA	NA	NA
44876	Dny-BSH1	NA	NA	NA
44874	Dny-BSH1	NA	NA	NA
44873	Dny-BSH1	NA	NA	NA
44871	Dny-BSH1	NA	NA	NA
44922	Dny-BSH1	NA	NA	NA
44812	Dny-BSH1	NA	NA	NA
45876	Dny-BSH1	NA	NA	NA
45912	Dny-BSH1	NA	NA	NA
45939	Dny-BSH1	NA	NA	NA
45966	Dny-BSH1	NA	NA	NA
46576	Dny-BSH1	1	0.345299461620748	0.345299461620748
46560	Dny-BSH1	1	0.345299461620748	0.345299461620748
46679	Dny-BSH1	NA	NA	NA
46989	Dny-BSH1	NA	NA	NA
47201	Dny-BSH1	NA	NA	NA
48395	Dny-BSH1	NA	NA	NA
49085	Dny-BSH1	NA	NA	NA
49865	Dny-BSH1	NA	NA	NA
49584	Dny-BSH1	0.00184589009740741	0.00184589009740741	0.948777336365331
49829	Dny-BSH1	NA	NA	NA
50685	Dny-BSH1	NA	NA	NA
51134	Dny-BSH1	NA	NA	NA
