FeatureID	BSH_strain	t0hvt24h	t0hvt48h	t24hvt48h
5464	AZ-52	0.632472382764292	1	0.632472382764292
33999	AZ-52	NA	NA	NA
33793	AZ-52	NA	NA	NA
34879	AZ-52	1	0.345299461620748	0.345299461620748
35194	AZ-52	NA	NA	NA
34801	AZ-52	NA	NA	NA
36411	AZ-52	0.599659585427997	0.599659585427997	0.599659585427997
36098	AZ-52	0.632472382764291	1	0.632472382764291
37356	AZ-52	0.232546997115002	0.153439507738541	0.273805356627806
38983	AZ-52	0.632472382764291	1	0.632472382764291
39149	AZ-52	0.541455931621798	0.913908411039075	0.541455931621798
39443	AZ-52	0.345299461620748	0.345299461620748	1
40087	AZ-52	0.292131610318446	0.945338191374368	0.292131610318446
39742	AZ-52	0.431143189706342	0.402727881497989	0.431143189706342
42314	AZ-52	NA	NA	NA
43005	AZ-52	NA	NA	NA
43731	AZ-52	NA	NA	NA
43985	AZ-52	NA	NA	NA
44290	AZ-52	NA	NA	NA
43992	AZ-52	NA	NA	NA
44778	AZ-52	NA	NA	NA
44876	AZ-52	NA	NA	NA
44874	AZ-52	NA	NA	NA
44873	AZ-52	NA	NA	NA
44871	AZ-52	NA	NA	NA
44922	AZ-52	NA	NA	NA
44812	AZ-52	NA	NA	NA
45876	AZ-52	NA	NA	NA
45912	AZ-52	NA	NA	NA
45939	AZ-52	NA	NA	NA
45966	AZ-52	NA	NA	NA
46576	AZ-52	NA	NA	NA
46560	AZ-52	NA	NA	NA
46679	AZ-52	NA	NA	NA
46989	AZ-52	NA	NA	NA
47201	AZ-52	NA	NA	NA
48395	AZ-52	NA	NA	NA
49085	AZ-52	NA	NA	NA
49865	AZ-52	NA	NA	NA
49584	AZ-52	0.664205547816443	0.664205547816443	0.664205547816443
49829	AZ-52	NA	NA	NA
50685	AZ-52	NA	NA	NA
51134	AZ-52	NA	NA	NA
50529	AZ-52	NA	NA	NA
53441	AZ-52	1	9.38505681362556e-08	9.38505681362556e-08
53468	AZ-52	0.632472382764292	1	0.632472382764292
51760	AZ-52	NA	NA	NA
54171	AZ-52	NA	NA	NA
54438	AZ-52	0.0348059108234697	0.011108578559768	0.036936886885095
54422	AZ-52	NA	NA	NA
54673	AZ-52	NA	NA	NA
55673	AZ-52	0.678024627053207	0.411533350835913	0.411533350835913
55757	AZ-52	NA	NA	NA
56239	AZ-52	NA	NA	NA
107_i	AZ-52	0.632472382764292	1	0.632472382764292
11_i	AZ-52	0.519711078657224	0.400905682415226	0.400905682415226
110_i	AZ-52	NA	NA	NA
119_i	AZ-52	0.0273261657516341	0.00914762241592127	0.0273261657516341
127_i	AZ-52	0.721837613213943	0.721837613213943	0.721837613213943
129_i	AZ-52	0.00564778482491033	0.00564778482491033	0.213061139623009
138_i	AZ-52	0.0756117767452488	0.0756117767452488	0.742937738159764
144_i	AZ-52	NA	NA	NA
147_i	AZ-52	0.262508238540311	0.165430542559874	0.262508238540311
148_i	AZ-52	NA	NA	NA
157_i	AZ-52	NA	NA	NA
158_i	AZ-52	0.0049754337701337	0.00196741323260794	0.0130190234470677
171_i	AZ-52	NA	NA	NA
175_i	AZ-52	0.718556605721865	0.718556605721865	0.718556605721865
178_i	AZ-52	NA	NA	NA
184_i	AZ-52	3.19190541621997e-05	3.19190541621997e-05	1
185_i	AZ-52	NA	NA	NA
190_i	AZ-52	NA	NA	NA
201_i	AZ-52	NA	NA	NA
205_i	AZ-52	0.880423160271066	0.616259959727423	0.616259959727423
210_i	AZ-52	NA	NA	NA
214_i	AZ-52	NA	NA	NA
216_i	AZ-52	NA	NA	NA
217_i	AZ-52	0.694652843397878	0.694652843397878	0.694652843397878
218_i	AZ-52	NA	NA	NA
219_i	AZ-52	0.617685300083867	0.238558715299487	0.238558715299487
