FeatureID	BSH_strain	t0hvt24h	t0hvt48h	t24hvt48h
5464	AZ-52	NA	NA	NA
33999	AZ-52	0.0240629055144948	0.0240629055144948	0.605882762423392
33793	AZ-52	NA	NA	NA
34879	AZ-52	0.632472382764291	1	0.632472382764291
35194	AZ-52	NA	NA	NA
34801	AZ-52	NA	NA	NA
36411	AZ-52	0.880398469527072	0.410455532003327	0.410455532003327
36098	AZ-52	0.632472382764291	1	0.632472382764291
37356	AZ-52	0.656120483985668	0.656120483985668	0.656120483985668
38983	AZ-52	NA	NA	NA
39149	AZ-52	0.110129083496867	0.248427247246278	0.248427247246278
39443	AZ-52	0.345299461620748	0.345299461620748	1
40087	AZ-52	0.87893497387103	0.944521029674331	0.87893497387103
39742	AZ-52	0.857637190621979	0.579193150017059	0.579193150017059
42314	AZ-52	NA	NA	NA
43005	AZ-52	NA	NA	NA
43731	AZ-52	NA	NA	NA
43985	AZ-52	NA	NA	NA
44290	AZ-52	NA	NA	NA
43992	AZ-52	NA	NA	NA
44778	AZ-52	NA	NA	NA
44876	AZ-52	NA	NA	NA
44874	AZ-52	NA	NA	NA
44873	AZ-52	NA	NA	NA
44871	AZ-52	NA	NA	NA
44922	AZ-52	NA	NA	NA
44812	AZ-52	NA	NA	NA
45876	AZ-52	NA	NA	NA
45912	AZ-52	NA	NA	NA
45939	AZ-52	NA	NA	NA
45966	AZ-52	NA	NA	NA
46576	AZ-52	NA	NA	NA
46560	AZ-52	NA	NA	NA
46679	AZ-52	NA	NA	NA
46989	AZ-52	NA	NA	NA
47201	AZ-52	NA	NA	NA
48395	AZ-52	0.632472382764292	1	0.632472382764292
49085	AZ-52	NA	NA	NA
49865	AZ-52	0.345299461620748	0.345299461620748	1
49584	AZ-52	0.222408479119509	1	0.222408479119509
49829	AZ-52	NA	NA	NA
50685	AZ-52	5.32803899003577e-06	5.32803899003577e-06	0.0950720282739039
51134	AZ-52	NA	NA	NA
50529	AZ-52	NA	NA	NA
53441	AZ-52	8.60659642679331e-05	1	8.60659642679331e-05
53468	AZ-52	NA	NA	NA
51760	AZ-52	NA	NA	NA
54171	AZ-52	NA	NA	NA
54438	AZ-52	NA	NA	NA
54422	AZ-52	NA	NA	NA
54673	AZ-52	NA	NA	NA
55673	AZ-52	0.471792314924499	0.351595822245382	0.356046817529825
55757	AZ-52	NA	NA	NA
56239	AZ-52	NA	NA	NA
107_i	AZ-52	NA	NA	NA
11_i	AZ-52	0.506966250881922	0.337697725038923	0.337697725038923
110_i	AZ-52	0.345299461620748	0.345299461620748	1
119_i	AZ-52	NA	NA	NA
127_i	AZ-52	0.802824526903287	0.802824526903287	0.802824526903287
129_i	AZ-52	0.000310931785686761	0.000310931785686761	0.333269410060024
138_i	AZ-52	0.639036509722018	0.639036509722018	0.639036509722018
144_i	AZ-52	NA	NA	NA
147_i	AZ-52	0.904349394072963	0.506716626961287	0.506716626961287
148_i	AZ-52	NA	NA	NA
157_i	AZ-52	NA	NA	NA
158_i	AZ-52	0.172759937259483	0.068620213544449	0.127194538544696
171_i	AZ-52	1	0.345299461620748	0.345299461620748
175_i	AZ-52	NA	NA	NA
178_i	AZ-52	0.734398257008614	0.734398257008614	0.734398257008614
184_i	AZ-52	NA	NA	NA
185_i	AZ-52	NA	NA	NA
190_i	AZ-52	0.632472382764291	1	0.632472382764291
201_i	AZ-52	NA	NA	NA
205_i	AZ-52	0.654554647609266	0.654554647609266	0.764591981010983
210_i	AZ-52	NA	NA	NA
214_i	AZ-52	0.000183669976814033	0.000183669976814033	0.0920901811934941
216_i	AZ-52	NA	NA	NA
217_i	AZ-52	0.915981981799906	0.915981981799906	0.915981981799906
218_i	AZ-52	NA	NA	NA
219_i	AZ-52	0.882303494855547	0.462297337500632	0.462297337500632
220_i	AZ-52	0.585470027131257	0.585470027131257	0.585470027131257
223_i	AZ-52	0.731569900517214	0.731569900517214	0.77188367577005
224_i	AZ-52	0.345299461620748	0.345299461620748	1
228_i	AZ-52	NA	NA	NA
229_i	AZ-52	NA	NA	NA
23_i	AZ-52	0.632472382764291	1	0.632472382764291
232_i	AZ-52	NA	NA	NA
234_i	AZ-52	0.345299461620748	0.345299461620748	1
236_i	AZ-52	NA	NA	NA
238_i	AZ-52	0.735854518207965	0.735854518207965	0.735854518207965
239_i	AZ-52	0.398861986000269	0.398861986000269	0.836768598659029
240_i	AZ-52	NA	NA	NA
41_i	AZ-52	NA	NA	NA
59_i	AZ-52	NA	NA	NA
62_i	AZ-52	NA	NA	NA
68_i	AZ-52	0.915635509893611	0.622175316413565	0.622175316413565
7_i	AZ-52	NA	NA	NA
70_i	AZ-52	0.761513564834696	0.761513564834696	0.868407901527799
85_i	AZ-52	NA	NA	NA
88_i	AZ-52	NA	NA	NA
89_i	AZ-52	NA	NA	NA
99_i	AZ-52	0.584392359631776	0.584392359631776	0.584392359631776
5464	ctrl	NA	NA	NA
33999	ctrl	NA	NA	NA
33793	ctrl	NA	NA	NA
34879	ctrl	NA	NA	NA
35194	ctrl	NA	NA	NA
34801	ctrl	NA	NA	NA
36411	ctrl	1	0.462102013875536	0.462102013875536
36098	ctrl	0.462102013875536	1	0.462102013875536
37356	ctrl	0.907452439418861	0.907452439418861	0.907452439418861
38983	ctrl	NA	NA	NA
39149	ctrl	NA	NA	NA
39443	ctrl	0.462102013875536	0.462102013875536	1
40087	ctrl	0.827736035430456	0.916758711118974	0.827736035430456
39742	ctrl	0.744307492722285	0.744307492722285	0.869865675753735
42314	ctrl	NA	NA	NA
43005	ctrl	NA	NA	NA
43731	ctrl	NA	NA	NA
43985	ctrl	NA	NA	NA
44290	ctrl	NA	NA	NA
43992	ctrl	NA	NA	NA
44778	ctrl	NA	NA	NA
44876	ctrl	NA	NA	NA
44874	ctrl	NA	NA	NA
44873	ctrl	NA	NA	NA
44871	ctrl	NA	NA	NA
44922	ctrl	NA	NA	NA
44812	ctrl	NA	NA	NA
45876	ctrl	NA	NA	NA
45912	ctrl	NA	NA	NA
45939	ctrl	NA	NA	NA
45966	ctrl	NA	NA	NA
46576	ctrl	NA	NA	NA
46560	ctrl	NA	NA	NA
46679	ctrl	NA	NA	NA
46989	ctrl	NA	NA	NA
47201	ctrl	NA	NA	NA
48395	ctrl	NA	NA	NA
49085	ctrl	NA	NA	NA
49865	ctrl	0.681768854629506	0.681768854629506	0.986604377698587
49584	ctrl	NA	NA	NA
49829	ctrl	NA	NA	NA
50685	ctrl	NA	NA	NA
51134	ctrl	NA	NA	NA
50529	ctrl	NA	NA	NA
53441	ctrl	0.462102013875536	1	0.462102013875536
53468	ctrl	0.462102013875536	1	0.462102013875536
51760	ctrl	NA	NA	NA
54171	ctrl	NA	NA	NA
54438	ctrl	NA	NA	NA
54422	ctrl	NA	NA	NA
54673	ctrl	NA	NA	NA
55673	ctrl	0.539184504712476	0.886080616128189	0.539184504712476
55757	ctrl	NA	NA	NA
56239	ctrl	NA	NA	NA
107_i	ctrl	0.462102013875536	1	0.462102013875536
11_i	ctrl	0.272363007321726	0.974412352916675	0.272363007321726
110_i	ctrl	0.54441260832955	0.956512483216647	0.54441260832955
119_i	ctrl	NA	NA	NA
127_i	ctrl	0.738555883484904	0.738555883484904	0.738555883484904
129_i	ctrl	NA	NA	NA
138_i	ctrl	0.630156183750568	0.743904424934665	0.630156183750568
144_i	ctrl	NA	NA	NA
147_i	ctrl	0.898527805368019	0.893135208009247	0.893135208009247
148_i	ctrl	NA	NA	NA
157_i	ctrl	NA	NA	NA
158_i	ctrl	0.77721271317101	0.871506965045322	0.77721271317101
171_i	ctrl	0.462102013875536	0.462102013875536	1
175_i	ctrl	NA	NA	NA
178_i	ctrl	0.733610126365649	0.733610126365649	0.808951273439906
184_i	ctrl	NA	NA	NA
185_i	ctrl	NA	NA	NA
190_i	ctrl	NA	NA	NA
201_i	ctrl	NA	NA	NA
205_i	ctrl	0.726223663661575	0.726223663661575	0.782742095206614
210_i	ctrl	NA	NA	NA
214_i	ctrl	0.90099800881443	0.90099800881443	0.90099800881443
216_i	ctrl	NA	NA	NA
217_i	ctrl	0.559092499429488	0.559092499429488	0.811452181005618
218_i	ctrl	NA	NA	NA
219_i	ctrl	0.683048732751419	0.683048732751419	0.683048732751419
220_i	ctrl	0.410286398706057	0.352527066634814	0.410286398706057
223_i	ctrl	0.811168731852496	0.903589687816042	0.811168731852496
224_i	ctrl	0.0735728184455196	0.0938781411372346	0.281894021603477
228_i	ctrl	1	0.462102013875536	0.462102013875536
229_i	ctrl	NA	NA	NA
23_i	ctrl	0.721153823053132	0.721153823053132	0.721153823053132
232_i	ctrl	NA	NA	NA
234_i	ctrl	1	0.462102013875536	0.462102013875536
236_i	ctrl	NA	NA	NA
238_i	ctrl	0.709284984059321	0.709284984059321	0.77562139712512
239_i	ctrl	0.0644867963798439	0.125956182097613	0.158133343327323
240_i	ctrl	NA	NA	NA
41_i	ctrl	NA	NA	NA
59_i	ctrl	NA	NA	NA
62_i	ctrl	NA	NA	NA
68_i	ctrl	0.863240655452973	0.863240655452973	0.919036987880735
7_i	ctrl	NA	NA	NA
70_i	ctrl	NA	NA	NA
85_i	ctrl	NA	NA	NA
88_i	ctrl	NA	NA	NA
89_i	ctrl	1	0.462102013875536	0.462102013875536
99_i	ctrl	0.3187928185278	0.3187928185278	0.669373840975537
5464	Dny-BSH1	NA	NA	NA
33999	Dny-BSH1	1.91764734051314e-05	1.91764734051314e-05	0.920344278650853
33793	Dny-BSH1	NA	NA	NA
34879	Dny-BSH1	0.786194817054722	0.603571668067194	0.603571668067194
35194	Dny-BSH1	NA	NA	NA
34801	Dny-BSH1	0.632472382764291	1	0.632472382764291
36411	Dny-BSH1	0.961556894470173	0.961556894470173	0.961556894470173
36098	Dny-BSH1	0.54899064867621	0.898607685465312	0.54899064867621
37356	Dny-BSH1	0.82674263929534	0.82674263929534	0.82674263929534
38983	Dny-BSH1	0.345299461620748	0.345299461620748	1
39149	Dny-BSH1	0.632472382764291	1	0.632472382764291
39443	Dny-BSH1	NA	NA	NA
40087	Dny-BSH1	0.978585022471547	0.978585022471547	0.978585022471547
39742	Dny-BSH1	0.803628454411862	0.803628454411862	0.803628454411862
42314	Dny-BSH1	NA	NA	NA
43005	Dny-BSH1	NA	NA	NA
43731	Dny-BSH1	NA	NA	NA
43985	Dny-BSH1	NA	NA	NA
44290	Dny-BSH1	NA	NA	NA
43992	Dny-BSH1	NA	NA	NA
44778	Dny-BSH1	NA	NA	NA
44876	Dny-BSH1	NA	NA	NA
44874	Dny-BSH1	NA	NA	NA
44873	Dny-BSH1	NA	NA	NA
44871	Dny-BSH1	NA	NA	NA
44922	Dny-BSH1	NA	NA	NA
44812	Dny-BSH1	NA	NA	NA
45876	Dny-BSH1	0.875256826461344	0.875256826461344	0.875256826461344
45912	Dny-BSH1	NA	NA	NA
45939	Dny-BSH1	NA	NA	NA
45966	Dny-BSH1	NA	NA	NA
46576	Dny-BSH1	NA	NA	NA
46560	Dny-BSH1	NA	NA	NA
46679	Dny-BSH1	NA	NA	NA
46989	Dny-BSH1	NA	NA	NA
47201	Dny-BSH1	NA	NA	NA
48395	Dny-BSH1	0.297480835692198	0.355368230739086	0.570748867512887
49085	Dny-BSH1	NA	NA	NA
49865	Dny-BSH1	0.345299461620748	0.345299461620748	1
49584	Dny-BSH1	0.745507006586897	0.745507006586897	0.91928538689542
49829	Dny-BSH1	NA	NA	NA
50685	Dny-BSH1	6.74103999941531e-05	6.74103999941531e-05	0.966519676791034
51134	Dny-BSH1	NA	NA	NA
50529	Dny-BSH1	NA	NA	NA
53441	Dny-BSH1	0.525182311430513	0.525182311430513	0.525182311430513
53468	Dny-BSH1	NA	NA	NA
51760	Dny-BSH1	NA	NA	NA
54171	Dny-BSH1	NA	NA	NA
54438	Dny-BSH1	NA	NA	NA
54422	Dny-BSH1	NA	NA	NA
54673	Dny-BSH1	NA	NA	NA
55673	Dny-BSH1	0.138692298720925	0.138692298720925	0.961098935013116
55757	Dny-BSH1	NA	NA	NA
56239	Dny-BSH1	NA	NA	NA
107_i	Dny-BSH1	0.819832771983787	0.778191552633599	0.778191552633599
11_i	Dny-BSH1	0.0964349678092771	0.0964349678092771	0.97580244590127
110_i	Dny-BSH1	0.945364980710647	0.945364980710647	0.945364980710647
119_i	Dny-BSH1	NA	NA	NA
127_i	Dny-BSH1	0.661057820748203	0.661057820748203	0.88922341692306
129_i	Dny-BSH1	0.0293776425190555	0.0293776425190555	0.591861072519633
138_i	Dny-BSH1	0.0518639434559982	0.0518639434559982	0.438649917584799
144_i	Dny-BSH1	NA	NA	NA
147_i	Dny-BSH1	0.639001605765782	0.827913236475043	0.639001605765782
148_i	Dny-BSH1	NA	NA	NA
157_i	Dny-BSH1	NA	NA	NA
158_i	Dny-BSH1	0.00120670167222772	0.00120670167222772	1
171_i	Dny-BSH1	0.632472382764291	1	0.632472382764291
175_i	Dny-BSH1	NA	NA	NA
178_i	Dny-BSH1	0.35415580597143	0.975358221912336	0.35415580597143
184_i	Dny-BSH1	NA	NA	NA
185_i	Dny-BSH1	NA	NA	NA
190_i	Dny-BSH1	0.235661248094553	0.180648163397126	0.330489906835929
201_i	Dny-BSH1	NA	NA	NA
205_i	Dny-BSH1	0.64757293939011	0.404905526175701	0.404905526175701
210_i	Dny-BSH1	NA	NA	NA
214_i	Dny-BSH1	0.00321674000936204	0.00321674000936204	0.628962104884841
216_i	Dny-BSH1	NA	NA	NA
217_i	Dny-BSH1	0.929889429080117	0.929889429080117	0.929889429080117
218_i	Dny-BSH1	NA	NA	NA
219_i	Dny-BSH1	0.973034318126944	0.973034318126944	0.973034318126944
220_i	Dny-BSH1	0.567356520093624	0.567356520093624	0.567356520093624
223_i	Dny-BSH1	0.567542471836906	0.567542471836906	0.899898464175798
224_i	Dny-BSH1	0.345299461620748	0.345299461620748	1
228_i	Dny-BSH1	NA	NA	NA
229_i	Dny-BSH1	1	0.345299461620748	0.345299461620748
23_i	Dny-BSH1	0.89660544551843	0.89660544551843	0.89660544551843
232_i	Dny-BSH1	NA	NA	NA
234_i	Dny-BSH1	NA	NA	NA
236_i	Dny-BSH1	NA	NA	NA
238_i	Dny-BSH1	0.710489918501489	0.691854313791412	0.691854313791412
239_i	Dny-BSH1	0.995174605786767	0.995174605786767	0.995174605786767
240_i	Dny-BSH1	NA	NA	NA
41_i	Dny-BSH1	NA	NA	NA
59_i	Dny-BSH1	NA	NA	NA
62_i	Dny-BSH1	NA	NA	NA
68_i	Dny-BSH1	0.128283694323888	0.154054084698144	0.567728153488978
7_i	Dny-BSH1	NA	NA	NA
70_i	Dny-BSH1	0.000426608847550134	0.000462773096836984	0.224747207433521
85_i	Dny-BSH1	NA	NA	NA
88_i	Dny-BSH1	0.632472382764292	1	0.632472382764292
89_i	Dny-BSH1	NA	NA	NA
99_i	Dny-BSH1	0.3975474030151	0.3975474030151	0.750626038347303
5464	Dny-BSH2	NA	NA	NA
33999	Dny-BSH2	NA	NA	NA
33793	Dny-BSH2	NA	NA	NA
34879	Dny-BSH2	NA	NA	NA
35194	Dny-BSH2	NA	NA	NA
34801	Dny-BSH2	NA	NA	NA
36411	Dny-BSH2	0.998411181628339	0.998411181628339	0.998411181628339
36098	Dny-BSH2	0.955461012963963	0.955461012963963	0.955461012963963
37356	Dny-BSH2	0.899907622469919	0.899907622469919	0.899907622469919
38983	Dny-BSH2	NA	NA	NA
39149	Dny-BSH2	0.632472382764291	1	0.632472382764291
39443	Dny-BSH2	NA	NA	NA
40087	Dny-BSH2	0.478770471362181	0.15027787558854	0.15027787558854
39742	Dny-BSH2	0.751192071703289	0.736474158921959	0.736474158921959
42314	Dny-BSH2	NA	NA	NA
43005	Dny-BSH2	NA	NA	NA
43731	Dny-BSH2	NA	NA	NA
43985	Dny-BSH2	NA	NA	NA
44290	Dny-BSH2	NA	NA	NA
43992	Dny-BSH2	NA	NA	NA
44778	Dny-BSH2	NA	NA	NA
44876	Dny-BSH2	NA	NA	NA
44874	Dny-BSH2	NA	NA	NA
44873	Dny-BSH2	NA	NA	NA
44871	Dny-BSH2	NA	NA	NA
44922	Dny-BSH2	NA	NA	NA
44812	Dny-BSH2	NA	NA	NA
45876	Dny-BSH2	NA	NA	NA
45912	Dny-BSH2	NA	NA	NA
45939	Dny-BSH2	0.345299461620748	0.345299461620748	1
45966	Dny-BSH2	0.345299461620748	0.345299461620748	1
46576	Dny-BSH2	NA	NA	NA
46560	Dny-BSH2	NA	NA	NA
46679	Dny-BSH2	NA	NA	NA
46989	Dny-BSH2	NA	NA	NA
47201	Dny-BSH2	NA	NA	NA
48395	Dny-BSH2	NA	NA	NA
49085	Dny-BSH2	NA	NA	NA
49865	Dny-BSH2	0.61891173215801	0.61891173215801	0.61891173215801
49584	Dny-BSH2	0.914261119447881	0.914261119447881	0.914261119447881
49829	Dny-BSH2	NA	NA	NA
50685	Dny-BSH2	NA	NA	NA
51134	Dny-BSH2	NA	NA	NA
50529	Dny-BSH2	NA	NA	NA
53441	Dny-BSH2	0.537608060411686	0.921872010367615	0.537608060411686
53468	Dny-BSH2	NA	NA	NA
51760	Dny-BSH2	NA	NA	NA
54171	Dny-BSH2	NA	NA	NA
54438	Dny-BSH2	NA	NA	NA
54422	Dny-BSH2	NA	NA	NA
54673	Dny-BSH2	NA	NA	NA
55673	Dny-BSH2	0.941205780775162	0.467909305828773	0.467909305828773
55757	Dny-BSH2	NA	NA	NA
56239	Dny-BSH2	NA	NA	NA
107_i	Dny-BSH2	NA	NA	NA
11_i	Dny-BSH2	0.956992248995638	0.371881380370684	0.371881380370684
