BSH_enb	cageID	mouseID	wk0	wk6
EcAZ-2	Cage1	1N	4.76	5.62
EcAZ-2	Cage1	1R	6.32	5.73
EcAZ-2	Cage1	1B	11.57	13.11
EcAZ-2	Cage2	2L	7.15	7.06
EcAZ-2	Cage2	2R	10.37	11.57
EcAZ-2	Cage2	2B	7.21	8.01
EcAZ-2	Cage3	3N	7.00	5.61
EcAZ-2	Cage3	3B	5.21	6.38
EcAZ-2	Cage4	4N	6.72	6.88
EcAZ-2	Cage4	4B	9.13	4.74
EcAZ-2BSH+	Cage5	5N	5.91	3.87
EcAZ-2BSH+	Cage5	5L	5.19	3.87
EcAZ-2BSH+	Cage5	5R	8.45	7.28
EcAZ-2BSH+	Cage6	6L	7.47	5.36
EcAZ-2BSH+	Cage6	6R	7.08	3.06
EcAZ-2BSH+	Cage6	6B	5.87	4.67
EcAZ-2BSH+	Cage7	7L	10.67	10.01
EcAZ-2BSH+	Cage7	7R	8.07	8.81
EcAZ-2BSH+	Cage8	8L	6.37	7.43
EcAZ-2BSH+	Cage8	8B	11.61	4.89
EcAZ_DneBSH1	Cage9	9N	4.82	3.93
EcAZ_DneBSH1	Cage9	9L	7.89	3.68
EcAZ_DneBSH1	Cage9	9R	8.69	6.12
EcAZ_DneBSH1	Cage10	10N	7.60	5.28
EcAZ_DneBSH1	Cage10	10L	7.47	4.78
EcAZ_DneBSH1	Cage10	10R	8.60	3.80
EcAZ_DneBSH1	Cage11	11L	6.95	5.17
EcAZ_DneBSH1	Cage11	11B	4.44	4.76
EcAZ_DneBSH1	Cage12	12N	5.51	3.71
EcAZ_DneBSH1	Cage12	12B	9.66	5.73
EcAZ_LgaBSH	Cage13	13N	8.71	5.85
EcAZ_LgaBSH	Cage13	13L	7.68	5.42
EcAZ_LgaBSH	Cage13	13R	5.81	3.53
EcAZ_LgaBSH	Cage14	14L	8.38	3.53
EcAZ_LgaBSH	Cage14	14R	9.93	10.24
EcAZ_LgaBSH	Cage14	14B	6.73	3.98
EcAZ_LgaBSH	Cage15	15N	5.78	4.39
EcAZ_LgaBSH	Cage15	15B	7.15	5.79
EcAZ_LgaBSH	Cage16	16L	5.75	7.89
EcAZ_LgaBSH	Cage16	16R	8.64	7.31
