BSH_enb	cageID	mouseID	wk1	wk2	wk3	wk4	wk5	wk6
EcAZ-2	Cage1	"1N, 1R, 1B"	23.53	46.83	71.69	97.27	122.97	147.52
EcAZ-2	Cage2	"2L, 2R, 2B"	23.65	46.74	70.25	93.65	116.99	140.14
EcAZ-2	Cage3	"3N, 3B"	25.92	52.04	79.36	106.98	132.74	158.24
EcAZ-2	Cage4	"4N, 4B"	29.87	60.33	94.31	128.08	161.06	193.10
EcAZ-2BSH+	Cage5	"5N, 5L, 5R"	25.51	51.63	78.90	107.70	136.00	165.20
EcAZ-2BSH+	Cage6	"6L, 6R, 6B"	28.26	57.13	86.73	117.88	148.93	179.41
EcAZ-2BSH+	Cage7	"7L, 7R"	24.81	48.77	74.11	98.65	124.36	148.61
EcAZ-2BSH+	Cage8	"8L, 8B"	27.57	54.52	82.50	112.45	142.54	174.16
EcAZ_DneBSH1	Cage9	"9N, 9L, 9R"	26.52	55.21	85.69	116.91	146.55	177.81
EcAZ_DneBSH1	Cage10	"10N, 10L, 10R"	24.67	50.63	78.41	107.03	134.56	163.68
EcAZ_DneBSH1	Cage11	"11L, 11B"	27.48	53.90	80.93	108.05	134.01	160.85
EcAZ_DneBSH1	Cage12	"12N, 12B"	27.17	54.69	83.04	112.43	142.47	173.01
EcAZ_LgaBSH	Cage13	"13N, 13L, 13R"	25.26	52.06	79.86	108.86	136.57	164.55
EcAZ_LgaBSH	Cage14	"14L, 14R, 14B"	27.35	53.20	81.85	111.56	140.68	169.44
EcAZ_LgaBSH	Cage15	"15N, 15B"	28.28	56.84	84.83	113.79	141.97	169.90
EcAZ_LgaBSH	Cage16	"16L, 16R"	28.88	56.75	85.31	114.90	144.64	172.36
