BSH_enb	cageID	mouseID	wk0	wk6
EcAZ-2	Cage1	1N	91.08	91.80
EcAZ-2	Cage1	1R	90.77	90.82
EcAZ-2	Cage1	1B	83.48	84.44
EcAZ-2	Cage2	2L	88.35	89.97
EcAZ-2	Cage2	2R	85.10	85.58
EcAZ-2	Cage2	2B	89.08	88.56
EcAZ-2	Cage3	3N	90.92	91.71
EcAZ-2	Cage3	3B	88.73	89.80
EcAZ-2	Cage4	4N	88.88	90.70
EcAZ-2	Cage4	4B	86.82	92.82
EcAZ-2BSH+	Cage5	5N	89.61	93.39
EcAZ-2BSH+	Cage5	5L	90.92	94.20
EcAZ-2BSH+	Cage5	5R	88.57	89.69
EcAZ-2BSH+	Cage6	6L	88.27	91.72
EcAZ-2BSH+	Cage6	6R	89.52	94.28
EcAZ-2BSH+	Cage6	6B	90.28	92.49
EcAZ-2BSH+	Cage7	7L	84.50	86.48
EcAZ-2BSH+	Cage7	7R	88.27	87.36
EcAZ-2BSH+	Cage8	8L	90.23	90.12
EcAZ-2BSH+	Cage8	8B	82.40	92.01
EcAZ_DneBSH1	Cage9	9N	91.62	93.19
EcAZ_DneBSH1	Cage9	9L	88.03	93.60
EcAZ_DneBSH1	Cage9	9R	87.71	90.41
EcAZ_DneBSH1	Cage10	10N	88.30	91.45
EcAZ_DneBSH1	Cage10	10L	87.91	92.55
EcAZ_DneBSH1	Cage10	10R	87.56	92.93
EcAZ_DneBSH1	Cage11	11L	89.47	91.76
EcAZ_DneBSH1	Cage11	11B	90.73	91.85
EcAZ_DneBSH1	Cage12	12N	90.03	93.85
EcAZ_DneBSH1	Cage12	12B	86.77	91.20
EcAZ_LgaBSH	Cage13	13N	88.35	91.51
EcAZ_LgaBSH	Cage13	13L	87.73	91.39
EcAZ_LgaBSH	Cage13	13R	88.89	93.76
EcAZ_LgaBSH	Cage14	14L	86.63	93.15
EcAZ_LgaBSH	Cage14	14R	86.56	86.20
EcAZ_LgaBSH	Cage14	14B	90.85	92.46
EcAZ_LgaBSH	Cage15	15N	87.92	91.42
EcAZ_LgaBSH	Cage15	15B	88.29	92.14
EcAZ_LgaBSH	Cage16	16L	89.94	89.38
EcAZ_LgaBSH	Cage16	16R	85.37	89.50
