row.ID,Blank_4.mzML Peak area,Blank_8.mzML Peak area,Blank_13.mzML Peak area,Blank_24.mzML Peak area,Blank_1.mzML Peak area,DCA_aminoacids.mzML Peak area,Blank_2.mzML Peak area,TDCA_std.mzML Peak area,P1_C5_Lut.11L.mzML Peak area,Blank_14.mzML Peak area,P1_G12_Plate_blank7.mzML Peak area,CA_aminoacids.mzML Peak area,P1_A5_Lut.2R.mzML Peak area,P1_G8_Dut.14L.mzML Peak area,Blank_10.mzML Peak area,Blank_pre.mzML Peak area,P1_A8_Lut.3B.mzML Peak area,P1_G10_Dut.14B.mzML Peak area,P1_G6_Dut.13L.mzML Peak area,P1_E4_Dut.3B.mzML Peak area,P1_F4_Dut.8L.mzML Peak area,Blank_32.mzML Peak area,P1_F2_Dut.7L.mzML Peak area,P1_A7_Lut.3N.mzML Peak area,TLCA_std.mzML Peak area,Blank_31.mzML Peak area,Blank_15.mzML Peak area,P1_B6_Lut.7L.mzML Peak area,Blank_18.mzML Peak area,CDCA_std.mzML Peak area,GDCA_std.mzML Peak area,P1_C4_Lut.10R.mzML Peak area,P1_H12_Plate_blank8.mzML Peak area,P1_D3_Lut.14B.mzML Peak area,P1_F9_Dut.10N.mzML Peak area,P1_B8_Lut.8L.mzML Peak area,GCDCA_std.mzML Peak area,P1_F5_Dut.8B.mzML Peak area,TCA_std.mzML Peak area,P1_F7_Dut.9L.mzML Peak area,Blank_17.mzML Peak area,Testmix_2.mzML Peak area,Blank_30.mzML Peak area,P1_A3_Lut.1B.mzML Peak area,GLCA_std.mzML Peak area,GCA_std.mzML Peak area,P1_D10_Dut.1B.mzML Peak area,Testmix_3.mzML Peak area,Blank_19.mzML Peak area,P1_D4_Lut.15N.mzML Peak area,Blank_21.mzML Peak area,Blank_6.mzML Peak area,P1_F11_Dut.10R.mzML Peak area,Blank_11.mzML Peak area,Blank_22.mzML Peak area,P1_G2_Dut.11B.mzML Peak area,P1_D1_Lut.14L.mzML Peak area,P1_A12_Plate_blank1.mzML Peak area,Blank_23.mzML Peak area,P1_E3_Dut.3N.mzML Peak area,Blank_5.mzML Peak area,P1_B12_Plate_blank2.mzML Peak area,P1_H3_Dut.16R.mzML Peak area,P1_E8_Dut.5L.mzML Peak area,P1_F12_Plate_blank6.mzML Peak area,Blank_7.mzML Peak area,P1_E6_Dut.4B.mzML Peak area,P1_B10_Lut.9N.mzML Peak area,P1_C2_Lut.10N.mzML Peak area,P1_D8_Dut.1N.mzML Peak area,P1_E2_Dut.2B.mzML Peak area,P1_C12_Plate_blank3.mzML Peak area,Testmix_4.mzML Peak area,GUDCA_std.mzML Peak area,Blank_16.mzML Peak area,P1_B5_Lut.6B.mzML Peak area,Testmix_1.mzML Peak area,P1_E7_Dut.5N.mzML Peak area,P1_B3_Lut.6L.mzML Peak area,P1_A1_Lut.1N.mzML Peak area,column_wash.mzML Peak area,DCA_std.mzML Peak area,Blank_20.mzML Peak area,Blank_25.mzML Peak area,TUDCA_std.mzML Peak area,P1_G7_Dut.13R.mzML Peak area,P1_A6_Lut.2B.mzML Peak area,P1_A10_Lut.4B.mzML Peak area,Blank_27.mzML Peak area,TCDCA_std.mzML Peak area,P1_C11_Lut.13R.mzML Peak area,P1_C9_Lut.13N.mzML Peak area,P1_C6_Lut.11B.mzML Peak area,P1_A2_Lut.1R.mzML Peak area,P1_D11_Dut.2L.mzML Peak area,P1_C10_Lut.13L.mzML Peak area,CDCA_aminoacids.mzML Peak area,Blank_12.mzML Peak area,P1_B11_Lut.9L.mzML Peak area,UDCA_std.mzML Peak area,Blank_9.mzML Peak area,P1_B1_Lut.5L.mzML Peak area,P1_D9_Dut.1R.mzML Peak area,P1_F10_Dut.10L.mzML Peak area,LCA_std.mzML Peak area,P1_C7_Lut.12N.mzML Peak area,P1_D5_Lut.15B.mzML Peak area,Blank_3.mzML Peak area,Blank_26.mzML Peak area,P1_B7_Lut.7R.mzML Peak area,DCA_aminoacids_2.mzML Peak area,P1_C8_Lut.12B.mzML Peak area,P1_F6_Dut.9N.mzML Peak area,P1_E10_Dut.6L.mzML Peak area,CA_CDCA_polyamines.mzML Peak area,P1_G3_Dut.12N.mzML Peak area,P1_C1_Lut.9R.mzML Peak area,P1_A11_Lut.5N.mzML Peak area,P1_E12_Plate_blank5.mzML Peak area,UDCA_aminoacids.mzML Peak area,P1_G4_Dut.12B.mzML Peak area,P1_D7_Lut.16R.mzML Peak area,P1_A4_Lut.2L.mzML Peak area,P1_H1_Dut.15B.mzML Peak area,CA_CDCA_aminovalerate.mzML Peak area,CA_DCA_LCA_aminoacids.mzML Peak area,P1_B9_Lut.8B.mzML Peak area,P1_G11_Dut.15N.mzML Peak area,Blank_28.mzML Peak area,P1_G1_Dut.11L.mzML Peak area,P1_D12_Plate_blank4.mzML Peak area,P1_D2_Lut.14R.mzML Peak area,P1_B2_Lut.5R.mzML Peak area,P1_A9_Lut.4N.mzML Peak area,CA_std.mzML Peak area,P1_F1_Dut.6B.mzML Peak area,Blank_29.mzML Peak area,P1_E5_Dut.4N.mzML Peak area,P1_F3_Dut.7R.mzML Peak area,P1_B4_Lut.6R.mzML Peak area,P1_E9_Dut.5R.mzML Peak area,P1_E11_Dut.6R.mzML Peak area,P1_H2_Dut.16L.mzML Peak area,P1_G5_Dut.13N.mzML Peak area,P1_C3_Lut.10L.mzML Peak area,P1_D6_Lut.16L.mzML Peak area,P1_G9_Dut.14R.mzML Peak area,P1_E1_Dut.2R.mzML Peak area,P1_F8_Dut.9R.mzML Peak area
32391,0,0,0,0,0,0,0,0,-0.6223239832437439,0,0,0,0.9004483219901154,0.372445173653178,0,0,0.31367841388712847,-0.03206898638365452,-0.3551117869057947,-0.5487498347947675,-0.6069729432597484,0,-0.3730771350286446,1.3518179646857007,0,0,0,-0.32832527058882377,0,0,0,0.8519415979813534,0,-0.8466075029787881,0.9023206950578739,-0.4045036209855688,0,-0.0956318915520491,0,0.15333903726261155,0,0,0,-0.1431003254386436,0,0,-0.787471266976798,0,0,1.36539332314495,0,0,0.005608917913509259,0,0,-1.587197357832686,-0.9822356574187037,0,0,-0.45206492345605476,0,0,-0.5653563069309833,0.10966327221445304,0,0,-0.02096456949238501,-1.7071235246693988,1.5798948538285646,0.48498940595209383,-0.4216265291978516,0,0,0,0,-0.9539893018849384,0,-0.9403289541151718,0.07171274621051893,0.3692887622747225,0,0,0,0,0,-1.5655734847677216,0.7393012350051418,0.6030223875001877,0,0,0.052547892915189465,-0.8216391140767119,0.25739583398020116,0.8291070812741701,-0.7523586394963715,1.5662704258404325,0,0,-0.14364209500449654,0,0,0.2347660741330806,-0.15975050706767924,0.5930594655260553,0,0.5894619482861145,0.5932741028182171,0,0,0.7347381705942055,0,0.09363603880307281,-0.04230566764096366,0.198049233363097,0,0.09445727512308721,-0.938621524026571,-0.17286685658498868,0,0,-1.3662131509222792,-0.3305996816472341,0.22958297315149778,-0.679491725887786,0,0,1.8353490121871854,0.03167510165985732,0,0.2653617908346977,0,-0.30504770202577447,1.1802520560788157,-0.08619197391876376,0,-0.691450459717915,0,0.22391642107428034,-0.530079208922615,0.9403544162222559,-0.9576276834082851,0.42419398807418496,0.6539403949775657,0.38169681731002214,0.42916930431280065,-0.06277741095110301,-0.525926686474703,0.3683465389792282,-0.06847322040431791
42930,0,0,0,0,0,7.274835564878383,0,0,-1.3293585482303785,0,0,2.713041504833834,-0.41796557700222436,-0.5896447301440082,0,0,0.40877156733364917,0,0,0.26875951682776744,-1.1575410305527276,0,-0.4195091277594756,-0.9873594955864928,0,0,0,-0.7877250841205283,0,-1.7302923619614012,0,2.634761955180095,0,-0.9717996280273749,0.4988827823527693,-1.2959682074521726,0,0,0,-1.4331945703111986,0,0,0,-0.6055785174102617,-1.901533758005606,0,0,0,0,1.736497396836917,-1.9681554468498423,0,-0.5933411016304238,0,0,-0.10120954164601415,0.2101117370932446,0,-1.475118024908583,-0.024802969443336487,0,0,0,-0.49092697924246664,0,0,-0.7945324252909938,-1.211880555043269,2.11043917118353,0,0.23492560932250584,0,0,0,0,-0.36410957691331003,0,-0.1756296443937515,-1.2049507322910546,0,0,-0.6122512345384146,0,0,0,0,0.3059563449620395,-1.6822197532590075,0,0,0.47690249548950536,-1.0371863218740516,-0.6049914145832522,-0.8844157035107245,-0.5691355454390008,-0.7865756865202425,5.779215139682562,0,-1.310169531481424,0,0,-1.163322313443007,-1.3219469331869598,1.154420329072659,0,0,1.245925821896642,0,0,-0.7550971417038106,6.040360866996015,-0.45424089377761145,0.5032617481546247,-0.5305030130386692,0,0,-0.022590386373555482,-0.014426300648787915,0,0,-0.6960709310168132,-0.23562211410957445,-1.0048763926785855,-1.0406007458149125,7.566839730979223,1.7558612335342678,0.38429526224366484,-0.9189880976377314,0,0.4451134068754161,0,0.07556936749849807,0.36494285083241973,0,0,-1.131867668808697,0,-1.450074061748888,0.611871748400965,-0.4154986838961632,0.3107467067112042,-0.8496182366060814,-0.8771402124356547,-0.9262496065755816,-1.0545465632787092,-0.4722607472359073,0,-0.25769598973370567,0
36372,0,0,0,0,0,0,0,0,0,0,0,0,-0.9762767987718224,0,0,0,-0.44450607828250277,0,0,0.18452190405965974,-0.7912452383171171,0,-1.0402732168786457,0,0,0,0,0,0,0,0,-0.3544298959202177,0,0,-0.8577670528638288,0,0,-0.4238138580275401,0,0,0,0,0,0,0,0,0.05499825627024979,0,0,-0.18700523743769182,0,0,-1.145326306894877,0,0,0,0,0,0,-0.09627773048173172,0,0,0,-0.21642976662464353,0,0,-0.8851261847284695,-0.37099050133301104,-0.5718088572147777,0,0.9680410218995221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6980428903563896,0,0,0,0,-1.0424331041786865,0,0,-0.7579818941003773,-0.6918798332980272,0,0,0,9.855821218088451,0,0,-0.7915582392544023,0,0,0,-0.9196973727924362,0,0,-1.3191396840267746,0,0,0,0,0,0,0,0,0,0,-1.0986751837694633,0,0,0,0,8.229192243237678,0,0,0,0,0,-0.9523164113053557,-0.4021440081107799,0,0,-0.8091576225193795,0,0,-0.0633531246960759,0,-0.34208231682746426,0,-0.41999447554057134,0,-0.9852855875429465,-0.07804033009809208,-0.22603048910586798,-0.0012753244464032143,0.6677899721908007
45141,-1.5997013616096654,-1.8749870573650518,0,0,0,0,0,0,-0.460401807139148,0,-1.6310134759594939,0,-0.20216082929422452,0.3985144305312591,0,0,0.6042349545847872,-0.37725545468109223,0,0.5062699758191087,-0.14289853560014532,0,0.6862641777955654,0.45627818667149533,0,0,0,0.7211911967456057,0,0,0,0,0,-1.4807523474736453,1.0457461648711686,-0.08859268511567198,0,0,0,-0.6461837696843049,0,0,0,0.3605969345677771,0,0,0,0,0,-0.7557490200114851,0,0,0,0,0,0,0.41791226487083843,0,0,0,0,0,0,-0.4129425211738229,0,0,0,-0.6647955082965029,-0.6581800700912996,-1.3302992742694113,-0.17901286892908752,-1.4415361930952528,0,0,0,0.9491584754976508,0,-0.37054870116217353,-0.18300693045539562,0,0,0,0,0,0,-0.7607192821369746,-0.3301948274313484,0.2461610435138617,0,0,-0.004388905537311416,-0.010097863244738825,0.3317857738686252,0,0,-0.5380869649224547,0,0,0.007666439539571357,0,-1.5613358779373612,-0.3098987471467898,-0.8948635103717377,0.7359076123941826,5.298264706501363,0.7506904288896532,0.2500289084894822,0,0,-0.5227242247266277,0,-0.5935232507309816,-0.3154282168746372,0,0,0.7854453655071261,0.6185242641653872,-0.08942654496690938,0,0,0,-0.5056457117569693,0.3924340776807016,0.06605979307565946,0,5.326114475521368,0,-0.9731408084636781,0,0,0,-0.9771378032756406,0.5495896717949211,0.45305808139730175,0,1.8338800438523517,0,-0.8650398407742985,-0.7635580291400856,-0.2595611875743846,0,-0.26621702611604015,-0.4968662060240723,0,0.9714106447944122,0.1794960409379307,0.9844440889785142,0,-0.38925498229776245
36401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.328371926878237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.328371926878237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36373,0,0,0,0,0,0,0,0,0,0,0,0,-0.14388068320179892,-0.4284166153757196,0,0,0.014478445569376941,0,0,-0.43487148088423,0.032543194256343,0,0,-0.5825876148742375,0,0,0,0,0,0,0,2.104750107191656,0,-1.100508233007658,-0.9090083881427575,-1.2055656738622957,0,-0.27030437924454365,0,0,0,0,0,-1.250481020001132,0,0,0.5279547167468204,0,0,0.20278352305667902,-1.0256376102921605,0,0,0,-0.7251518233896932,-1.0161727770251696,0,0,0,1.296152472466082,0,0,0,0,0,0,0,-1.0060860756446828,1.0230668890288164,-1.2865022606105794,2.8385121529879975,0,0,0,0,0.24476020879059002,0,0,0,-1.0512898535985644,1.9070044504479706,0,0,0,0,0,-0.4550040707649865,0,0,0,-0.2252521007958337,-0.9801065695010012,-0.458597756134437,-0.9063568171552561,1.2358146163720956,-0.6361233765532042,0,0,0,8.65051886714188,0,0,-0.8968039814941067,0,0,0.05502712823494127,-0.10457878594922398,-1.2648377365603287,0,-1.250692260366168,0,0,0.7288382859131555,0,0,0,-1.0125626320371484,0,0,0,0,-0.026015805347179732,-0.8583919618054088,-0.3847195149464375,0,6.800374878184083,-0.959666634249297,-0.49049653094458767,0,0.020697129585783625,0,-1.1524158304702055,-0.8748811622751771,0,0,-1.0527759088626656,0,-0.4083399777682075,-0.813159255607621,0,-0.2792232449271883,0,1.9234790522266239,-0.5998787547165918,0,-0.210551312945642,-1.1843853928373265,0.9124994215825661,-0.59697367561302
32146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.457574832779633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.793285359139819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3357105263601845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1579223215468204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15792232154681862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.41374720018589173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41374720018588995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41595,0,0,0,0,0,0,0,0,-0.5812112262771851,0,0,0,0.4170269615273554,-1.1282265090529346,0,0,-0.20373850889138545,-0.37939058144874593,-0.17783725022919583,0.09904894310907508,0.5939332047898507,0,-0.12017910022506051,0.055412846070382216,0,0,0,-0.6821320437307321,0,0,0,0.17058397713173612,0,-0.44497413459952284,0.3207712484494287,-0.31637707824179984,0,1.1635519013309352,0,-0.653706356307282,0,0,0,-0.12093623876384996,0,0,0.9502821526589287,0,0,-0.4921266442984322,0,0,-0.1675442107052021,0,0,-0.09315859005380922,-1.0796156584616092,0,0,1.231939727148994,0,0,0.39930637929390755,-0.15407570074956034,0,0,0.21489996621673768,-0.16393727637888844,0.22861725062220195,0.9083468409642261,1.195182510707328,0,0,0,0,-0.171452775569378,0,-0.9743948323882368,0.08349759321589545,0.8024475826370079,0,0,0,0,0,-0.31597860486401785,0.18649785848971945,-1.423260925506538,0,0,0.25880497677001024,-0.11347102390274166,-0.6069799448638129,0.4941476527988815,0.7102232018241992,0.16348647998474952,0,0,-0.6211114555418753,0,0,-2.071837866166863,0.9978887705120201,0.9784404826545039,0,0.14487501288489923,-0.24168980949017715,0,0,-0.6608108729088205,0,-0.4341565546476147,0.23420554744136624,1.0544512867544071,0,-0.7323474673368988,-0.5934259066682976,-0.938075511470549,0,0,0.13423797798968629,0.36474367435633503,0.39730810891179935,0.01914142883261505,0,0,0.6477784169260907,-1.0612912913526387,0,1.0512180562875315,0,0.19364651554079693,-0.9061615974492163,0.15141968823516372,0,0.18831196581977494,0,0.6271549027597025,-0.20276472754872188,-1.708482331809381,0.029926853664324682,-0.5188976654683088,0.8948677760266328,-0.054662720543758425,-0.05558826817076046,0.9903854622770254,0.6419445454041739,0.8507016633242337,0.12535186973922485
