SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00012473734	2776	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999978	11800000.0	0	1.67604	7	0.000305176	182.081	1	temp/spectra_filtered.mgf2776	1	Tyrosine	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Kyle Vittali	[M+H]+	182.081	181.074	1	N/A	N/A	N[C@@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	182.081	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012473734
CCMSLIB00012471689	8945	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999938	32646000.0	0	0.447486	8	0.000183105	409.187	1	temp/spectra_filtered.mgf8945	1	Tryptophan	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Kyle Vittali	[2M+H]+	409.187	204.09	1	N/A	N/A	N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	409.187	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012471689
CCMSLIB00012473839	8973	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999906	151620000.0	0	1.93435	8	0.000396729	205.097	1	temp/spectra_filtered.mgf8973	1	Tryptophan	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Kyle Vittali	[M+H]+	205.097	204.09	1	N/A	N/A	N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	205.097	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C11H12N2O2	QIVBCDIJIAJPQS-VIFPVBQESA-N	QIVBCDIJIAJPQS	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012473839
CCMSLIB00012473845	1797	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999853	9230000.0	0	3.96575	7	0.000595093	150.059	1	temp/spectra_filtered.mgf1797	1	Methionine	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Kyle Vittali	[M+H]+	150.058	149.051	1	N/A	N/A	CSCC[C@H](N)C(O)=O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	150.058	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H11NO2S	FFEARJCKVFRZRR-BYPYZUCNSA-N	FFEARJCKVFRZRR	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012473845
CCMSLIB00012472263	928	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999836	67400000.0	0	0.0	8	0.0	175.119	1	temp/spectra_filtered.mgf928	1	L-arginine	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Victoria Deleray	[M+H]+	175.119	174.112	1	N/A	N/A	N[C@@H](CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	175.119	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H14N4O2	ODKSFYDXXFIFQN-BYPYZUCNSA-N	ODKSFYDXXFIFQN	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012472263
CCMSLIB00012471692	4700	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999543	37705000.0	0	3.0318	6	0.00050354	166.087	1	temp/spectra_filtered.mgf4700	1	Phenylalanine	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Kyle Vittali	[M+H]+	166.086	165.079	0	N/A	N/A	N[C@@H](CC1=CC=CC=C1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	166.086	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO2	COLNVLDHVKWLRT-QMMMGPOBSA-N	COLNVLDHVKWLRT	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012471692
CCMSLIB00012473894	1347	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.999317	9480000.0	0	126.599	7	0.0189972	150.077	1	temp/spectra_filtered.mgf1347	1	Methionine	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Kyle Vittali	[M+H]+	150.058	149.051	0	N/A	N/A	CSCC[C@H](N)C(O)=O	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	150.058	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C5H11NO2S	FFEARJCKVFRZRR-BYPYZUCNSA-N	FFEARJCKVFRZRR	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012473894
CCMSLIB00012268115	38616	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.998116	1027000.0	0	0.734988	7	0.000305176	415.212	1	temp/spectra_filtered.mgf38616	1	Eplerenone	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	[M+H]+	415.212	414.204	1	N/A	N/A	COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13	"""InChI=1S/C24H30O6/c1-21-7-4-14(25)10-13(21)11-15(20(27)28-3)19-16-5-8-23(9-6-18(26)30-23)22(16,2)12-17-24(19,21)29-17/h10,15-17,19H,4-9,11-12H2,1-3H3/t15-,16+,17-,19+,21+,22+,23-,24-/m1/s1"""	JUKPWJGBANNWMW-VWBFHTRKSA-N	1	Positive	PRIVATE-LIB	415.212	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C24H30O6	JUKPWJGBANNWMW-UHFFFAOYSA-N	JUKPWJGBANNWMW	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	Steroids	Pregnane steroids	Terpenoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012268115
CCMSLIB00012473809	5564	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.99768	695300.0	0	1.10494	9	0.000305176	276.192	1	temp/spectra_filtered.mgf5564	1	Asparagine_C8:0	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Kyle Vittali	[M+NH4]+	276.192	258.158	1	N/A	N/A	CCCCCCCC(=O)N[C@@H](CC(N)=O)C(=O)O	InChI=1S/C12H22N2O4/c1-2-3-4-5-6-7-11(16)14-9(12(17)18)8-10(13)15/h9H,2-8H2,1H3,(H2,13,15)(H,14,16)(H,17,18)/t9-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	276.192	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C12H22N2O4	HXVLHYNZFCBJGK-VIFPVBQESA-N	HXVLHYNZFCBJGK	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Dipeptides	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012473809
CCMSLIB00012472269	1639	spectra_filtered.mgf	CMMC-LIBRARY.mgf	0.997595	2212900.0	0	1.17323	7	0.000213623	182.081	1	temp/spectra_filtered.mgf1639	1	L-tyrosine	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Victoria Deleray	[M+H]+	182.081	181.074	1	N/A	N/A	N[C@@H](Cc1ccc(O)cc1)C(O)=O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	N/A	1	Positive	CMMC-LIBRARY	182.081	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C9H11NO3	OUYCCCASQSFEME-QMMMGPOBSA-N	OUYCCCASQSFEME	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides|Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012472269
