#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
2776	spectra_filtered.mgf	*..*		:41	1580	-1	0	182.081	1	0.999978	0	0	259.198	11800000.0	Tyrosine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf2776	-1	CMMC-LIBRARY.mgf	1.67604				7	0	0.000305176	182.081	0	CCMSLIB00012473734
8945	spectra_filtered.mgf	*..*		:87	675	-1	0	409.187	1	0.999938	0	0	193.83	32646000.0	Tryptophan [2M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf8945	-1	CMMC-LIBRARY.mgf	0.447486				8	0	0.000183105	409.187	0	CCMSLIB00012471689
8973	spectra_filtered.mgf	*..*		:146	1685	-1	0	205.097	1	0.999906	0	0	245.588	151620000.0	Tryptophan [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf8973	-1	CMMC-LIBRARY.mgf	1.93435				8	0	0.000396729	205.097	0	CCMSLIB00012473839
1797	spectra_filtered.mgf	*..*		:152	1691	-1	0	150.058	1	0.999853	0	0	293.546	9230000.0	Methionine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf1797	-1	CMMC-LIBRARY.mgf	3.96575				7	0	0.000595093	150.059	0	CCMSLIB00012473845
928	spectra_filtered.mgf	*..*		:3	1249	-1	0	175.119	1	0.999836	0	0	185.485	67400000.0	L-arginine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf928	-1	CMMC-LIBRARY.mgf	0.0				8	0	0.0	175.119	0	CCMSLIB00012472263
4700	spectra_filtered.mgf	*..*		:90	678	-1	0	166.086	1	0.999543	0	0	113.098	37705000.0	Phenylalanine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf4700	-1	CMMC-LIBRARY.mgf	3.0318				6	0	0.00050354	166.087	0	CCMSLIB00012471692
1347	spectra_filtered.mgf	*..*		:201	1740	-1	0	150.058	1	0.999317	0	0	295.179	9480000.0	Methionine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf1347	-1	CMMC-LIBRARY.mgf	126.599				7	0	0.0189972	150.077	0	CCMSLIB00012473894
38616	spectra_filtered.mgf	*..*		:15857	13802	-1	0	415.212	1	0.998116	0	0	120.557	1027000.0	Eplerenone [M+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf38616	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.734988				7	0	0.000305176	415.212	0	CCMSLIB00012268115
5564	spectra_filtered.mgf	*..*		:116	1655	-1	0	276.192	1	0.99768	0	0	192.101	695300.0	Asparagine_C8:0 [M+NH4]+	CMMC-LIBRARY	temp/spectra_filtered.mgf5564	-1	CMMC-LIBRARY.mgf	1.10494				9	0	0.000305176	276.192	0	CCMSLIB00012473809
1639	spectra_filtered.mgf	*..*		:9	1255	-1	0	182.081	1	0.997595	0	0	251.999	2212900.0	L-tyrosine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf1639	-1	CMMC-LIBRARY.mgf	1.17323				7	0	0.000213623	182.081	0	CCMSLIB00012472269
