CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
33325	36543	-0.000	0.000	0.8292	0.4232	1
33333	33871	-2.016	0.000	0.8486	0.4236	1
33333	37396	-0.032	0.000	0.7529	0.6092	1
33345	33784	-0.000	0.000	0.9662	0.9272	1
33345	37636	0.002	0.000	0.9612	0.8961	1
33374	35952	-0.001	0.000	0.8087	0.7430	1
33403	36311	-3.994	0.000	0.7004	0.5812	1
33403	36918	-3.994	0.000	0.7107	0.5392	1
33403	37397	0.001	0.000	0.9273	0.8099	1
33403	37984	0.000	0.000	0.8884	0.7592	1
33403	42247	-2.014	0.000	0.8170	0.6760	1
33403	46391	4.955	0.000	0.7050	0.6754	1
33405	37399	0.001	0.000	0.8170	0.4523	1
33405	37985	0.001	0.000	0.8049	0.4752	1
33405	42632	-2.012	0.000	0.8392	0.6443	1
33409	37400	0.984	0.000	0.8305	0.6793	1
33409	37989	0.001	0.000	0.8750	0.5693	1
33409	42855	-1.019	0.000	0.7133	0.5424	1
33412	37263	-1.003	0.000	0.7325	0.3873	1
33412	37993	0.001	0.000	0.8701	0.6099	1
33417	37259	0.001	0.000	0.8812	0.7346	1
33419	37410	0.001	0.000	0.8662	0.5349	1
33452	40427	0.000	0.000	0.8469	0.7255	1
33527	34500	-0.985	0.000	0.7714	0.6013	1
33533	38054	3.049	0.000	0.8420	0.7050	1
33565	34161	-0.002	0.000	0.9191	0.7750	1
33565	34458	-7.040	0.000	0.7626	0.5586	1
33565	35613	5.956	0.000	0.7910	0.4169	1
33565	35796	-8.025	0.000	0.7333	0.6456	1
33565	36514	5.956	0.000	0.7977	0.4799	1
33565	36687	7.934	0.000	0.7911	0.4465	1
33565	38287	7.935	0.000	0.7407	0.6270	1
33565	38363	-6.082	0.000	0.7861	0.4504	1
33565	39426	9.950	0.000	0.7938	0.4803	1
33565	40073	7.934	0.000	0.7864	0.4264	1
33565	41342	-6.081	0.000	0.7754	0.3870	1
33565	42229	-4.065	0.000	0.7218	0.5622	1
33576	34184	2.016	0.000	0.8182	0.6624	1
33576	34815	2.016	0.000	0.7379	0.5511	1
33576	35253	0.000	0.000	0.7681	0.2814	1
33640	34988	2.016	0.000	0.8250	0.8263	1
33640	35604	0.985	0.000	0.8778	0.5111	1
33640	35848	-0.000	0.000	0.8371	0.8525	1
33640	36342	0.001	0.000	0.8446	0.8377	1
33640	36410	8.027	0.000	0.8120	0.6856	1
33645	35909	0.000	0.000	0.8367	0.7145	1
33646	35781	-0.001	0.000	0.9538	0.7543	1
33648	35910	0.001	0.000	0.9856	0.9388	1
33657	38514	-0.035	0.000	0.7850	0.5197	1
33668	34946	2.016	0.000	0.7081	0.5839	1
33668	38796	-2.015	0.000	0.7580	0.2934	1
33672	34948	2.015	0.000	0.8315	0.8119	1
33672	35562	3.994	0.000	0.7642	0.3350	1
33672	35844	-0.001	0.000	0.8527	0.8475	1
33672	36247	2.015	0.000	0.7457	0.6985	1
33672	36392	8.026	0.000	0.8366	0.7658	1
33672	36628	0.046	0.000	0.8024	0.7683	1
33674	35038	2.016	0.000	0.7463	0.5395	1
33674	35564	3.995	0.000	0.8448	0.5174	1
33674	35644	-0.000	0.000	0.7628	0.5825	1
33677	33714	0.088	0.000	0.9584	0.8285	1
33677	34908	2.015	0.000	0.8209	0.7702	1
33677	35924	-0.000	0.000	0.8591	0.8615	1
33677	36396	8.026	0.000	0.7281	0.5064	1
33677	39603	3.047	0.000	0.7794	0.7743	1
33699	36325	3.010	0.000	0.7658	0.7217	1
33699	36392	-8.005	0.000	0.8138	0.6679	1
33699	41348	-3.002	0.000	0.7233	0.5265	1
33714	34975	2.016	0.000	0.8134	0.6546	1
33714	35924	-0.088	0.000	0.8571	0.7672	1
33714	39603	2.959	0.000	0.7611	0.6582	1
33758	35646	0.000	0.000	0.9249	0.7309	1
33767	34271	0.001	0.000	0.7864	0.4617	1
33767	37863	-3.044	0.000	0.7426	0.5220	1
33772	34259	0.000	0.000	0.8922	0.7310	1
33772	37075	-0.035	0.000	0.7164	0.4914	1
33772	37722	-0.035	0.000	0.9040	0.7229	1
33772	38529	0.001	0.000	0.8451	0.6829	1
33784	37636	0.002	0.000	0.9694	0.9030	1
33790	36651	0.000	0.000	0.7640	0.6967	1
33821	34414	3.048	0.000	0.7690	0.2916	1
33821	37763	3.050	0.000	0.9008	0.7809	1
33846	35702	-4.923	0.000	0.7600	0.7034	1
33846	35998	-4.924	0.000	0.8509	0.8292	1
33895	34453	0.000	0.000	0.7055	0.3656	1
33895	39296	-2.015	0.000	0.7153	0.2858	1
33896	34160	7.038	0.000	0.7229	0.4053	1
33896	34469	0.000	0.000	0.9441	0.8746	1
33896	34660	9.985	0.000	0.7662	0.7742	1
33896	35349	9.985	0.000	0.7306	0.6941	1
33896	35451	3.012	0.000	0.7734	0.7443	1
33896	35613	-4.030	0.000	0.7286	0.7204	1
33896	35777	-0.985	0.000	0.7662	0.4373	1
33896	36514	-4.030	0.000	0.7340	0.8214	1
