CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
16734	18686	0.000	0.000	0.9179	0.7377	1
16734	24553	1.080	0.000	0.7408	0.3660	1
16861	19077	0.000	0.000	0.7399	0.5702	1
16899	17315	-0.096	0.000	0.8300	0.5415	1
16899	20088	-0.096	0.000	0.7221	0.6225	1
17031	19392	2.016	0.000	0.7571	0.6432	1
17031	20920	2.016	0.000	0.7346	0.5641	1
17031	23084	0.000	0.000	0.8113	0.6105	1
17064	20913	9.948	0.000	0.7350	0.4858	1
17216	20802	-1.032	0.000	0.7179	0.6464	1
17216	20843	0.982	0.000	0.7112	0.6244	1
17270	23176	-1.032	0.000	0.9006	0.6410	1
17270	25350	1.943	0.000	0.7840	0.4323	1
17276	17332	1.003	0.000	0.8736	0.6730	1
17315	20088	0.000	0.000	0.8065	0.6837	1
17348	21984	-0.036	0.000	0.7389	0.3873	1
17348	38225	3.960	0.000	0.7294	0.4412	1
17415	19274	-0.948	0.000	0.7157	0.5440	1
17438	17886	-0.050	0.000	0.8129	0.6497	1
17509	21075	-2.015	0.000	0.7299	0.4086	1
17601	27131	-4.980	0.000	0.7393	0.4409	1
17734	20895	-2.016	0.000	0.8009	0.6707	1
17901	18248	0.014	0.000	0.8500	0.7111	1
17901	21398	1.979	0.000	0.7625	0.6247	1
17914	18116	-0.106	0.000	0.7199	0.5075	1
17917	20361	0.000	0.000	0.9773	0.8043	1
17917	21210	-0.025	0.000	0.7030	0.5205	1
17923	20299	1.980	0.000	0.9021	0.6749	1
17991	17996	-1.004	0.000	0.8931	0.6544	1
18054	29712	-1.979	0.000	0.7370	0.6105	1
18135	23064	7.969	0.000	0.7560	0.6733	1
18172	21479	0.000	0.000	0.9345	0.7548	1
18248	21398	1.966	0.000	0.7613	0.6224	1
18338	19401	4.031	0.000	0.8410	0.7938	1
18338	19533	-9.984	0.000	0.9497	0.8811	1
18397	20892	-2.016	0.000	0.7843	0.5325	1
18466	22291	4.990	0.000	0.7219	0.7603	1
18521	24543	7.043	0.000	0.7361	0.2823	1
18624	18654	1.004	0.000	0.9173	0.7981	1
18626	18627	-1.005	0.000	0.7713	0.5513	1
18686	24553	1.080	0.000	0.7420	0.4542	1
18754	19408	-2.016	0.000	0.7112	0.7195	1
18792	18801	1.002	0.000	0.9423	0.8829	1
18924	21439	0.000	0.000	0.9272	0.8467	1
19206	23064	2.982	0.000	0.7610	0.6774	1
19386	19922	0.049	0.000	0.7012	0.7808	1
19392	20192	0.038	0.000	0.8976	0.7802	1
19392	20920	0.000	0.000	0.9821	0.9214	1
19515	21096	3.994	0.000	0.8197	0.8145	1
19515	27976	3.994	0.000	0.7514	0.6316	1
19542	22734	0.000	0.000	0.9689	0.8612	1
19599	21679	0.000	0.000	0.8911	0.7373	1
19667	49743	0.094	0.000	0.8446	0.6698	1
19672	21096	-8.005	0.000	0.7535	0.6321	1
19794	20699	2.016	0.000	0.7751	0.4531	1
20014	20021	-0.001	0.000	0.8115	0.4458	1
20043	24543	0.000	0.000	0.9394	0.6023	1
20088	22786	-2.016	0.000	0.7784	0.6675	1
20088	24902	0.000	0.000	0.7004	0.7528	1
20102	21217	-0.023	0.000	0.9261	0.8430	1
20192	20920	-0.038	0.000	0.8969	0.8237	1
20248	20253	-1.002	0.000	0.8643	0.6909	1
20361	21210	-0.025	0.000	0.7040	0.4909	1
20520	20895	3.995	0.000	0.7226	0.7134	1
20520	21164	-2.016	0.000	0.7364	0.6742	1
20612	20622	1.002	0.000	0.9486	0.8846	1
20734	20742	1.003	0.000	0.8979	0.6680	1
20802	20843	2.014	0.000	0.9631	0.7302	1
20803	27741	0.000	0.000	0.8619	0.3395	1
20874	21192	-0.060	0.000	0.7325	0.7528	1
20913	24382	-2.016	0.000	0.8181	0.5796	1
20935	21905	0.000	0.000	0.9602	0.8005	1
20993	22764	0.001	0.000	0.8409	0.7618	1
21041	28727	0.000	0.000	0.9193	0.6822	1
21041	31185	1.979	0.000	0.8088	0.5500	1
21041	38761	-7.057	0.000	0.7451	0.4654	1
21075	22456	0.000	0.000	0.9411	0.8497	1
21090	22945	2.016	0.000	0.7295	0.8072	1
21090	24719	-5.989	0.000	0.7182	0.4610	1
21090	27088	3.995	0.000	0.8113	0.5400	1
21090	27993	0.984	0.000	0.9638	0.9059	1
21090	28126	3.995	0.000	0.9165	0.5844	1
21090	34050	3.995	0.000	0.9315	0.6618	1
21092	26882	2.016	0.000	0.7140	0.4776	1
21092	27984	0.000	0.000	0.9863	0.9246	1
21092	34064	0.000	0.000	0.8588	0.4812	1
21096	27976	0.000	0.000	0.8462	0.7054	1
21098	27981	0.000	0.000	0.9644	0.9199	1
21115	22935	2.016	0.000	0.7713	0.6870	1
21115	27094	3.011	0.000	0.7909	0.8543	1
21115	28129	3.011	0.000	0.9601	0.9262	1
21115	34062	3.995	0.000	0.9576	0.8425	1
21164	24719	5.027	0.000	0.7202	0.5643	1
21190	22945	8.004	0.000	0.7311	0.7178	1
21252	21300	-0.999	0.000	0.8310	0.7128	1
21279	28169	0.000	0.000	0.8595	0.4564	1
21291	22247	-0.983	0.000	0.7061	0.4439	1
21306	21308	1.002	0.000	0.9234	0.7830	1
21312	22802	0.000	0.000	0.8011	0.7062	1
21328	24543	9.996	0.000	0.8387	0.3493	1
21328	31185	-4.020	0.000	0.8279	0.3958	1
21374	22411	-0.000	0.000	0.9467	0.8832	1
21374	24568	-0.000	0.000	0.8318	0.6220	1
21374	29990	-2.016	0.000	0.7345	0.5370	1
21442	30506	2.016	0.000	0.8646	0.5786	1
21464	21661	-0.047	0.000	0.9330	0.8942	1
21687	28445	-0.000	0.000	0.9106	0.7122	1
22014	31774	1.980	0.000	0.9026	0.7083	1
22036	28812	-0.000	0.000	0.7518	0.4046	1
22036	28913	-0.037	0.000	0.7546	0.6868	1
22044	28338	-0.960	0.000	0.7150	0.5977	1
22044	30842	2.974	0.000	0.7284	0.3351	1
22044	31143	-5.990	0.000	0.7301	0.3218	1
22411	24568	0.000	0.000	0.8911	0.7060	1
22411	25248	-2.016	0.000	0.7083	0.5232	1
22411	29990	-2.015	0.000	0.7603	0.5721	1
22616	28532	-8.964	0.000	0.7074	0.2459	1
22616	28913	-0.000	0.000	0.7764	0.7211	1
22616	32962	-0.948	0.000	0.7495	0.7392	1
22623	22804	0.959	0.000	0.8514	0.7704	1
22634	30924	0.000	0.000	0.9412	0.7865	1
22665	23795	0.000	0.000	0.9519	0.8625	1
22689	26160	-2.016	0.000	0.8400	0.6922	1
22802	32995	-4.995	0.000	0.7027	0.6576	1
22804	23605	0.000	0.000	0.7276	0.6063	1
22804	29125	-0.001	0.000	0.7684	0.3687	1
22808	26145	0.000	0.000	0.7338	0.6118	1
22813	24780	0.000	0.000	0.9708	0.8829	1
22865	22875	-1.002	0.000	0.8618	0.7414	1
22929	22936	9.984	0.000	0.7384	0.6566	1
22935	23009	0.057	0.000	0.9694	0.8629	1
22935	29503	3.011	0.000	0.9336	0.6543	1
22945	29510	3.995	0.000	0.9242	0.7231	1
22977	25439	0.000	0.000	0.8066	0.6289	1
23009	29503	2.954	0.000	0.9027	0.5648	1
23027	24330	0.000	0.000	0.8986	0.8320	1
23032	29102	-0.001	0.000	0.7782	0.4581	1
23134	29234	0.000	0.000	0.9244	0.6466	1
23366	24159	0.000	0.000	0.9262	0.8202	1
23455	23990	2.014	0.000	0.9630	0.9171	1
23455	25279	2.016	0.000	0.9321	0.7637	1
23538	26083	-0.000	0.000	0.9180	0.8492	1
23559	28338	0.002	0.000	0.8470	0.3470	1
23595	27931	0.036	0.000	0.7748	0.7488	1
23802	28312	0.000	0.000	0.7660	0.6411	1
23802	30195	0.000	0.000	0.7899	0.7587	1
23802	33057	-2.016	0.000	0.7860	0.7322	1
23869	28084	-2.974	0.000	0.7522	0.4773	1
23869	31577	-4.981	0.000	0.7769	0.4696	1
23869	31585	-2.975	0.000	0.7469	0.4351	1
23869	32247	-2.976	0.000	0.7473	0.4355	1
23869	34706	3.087	0.000	0.7459	0.3407	1
23869	37721	2.066	0.000	0.8014	0.3481	1
23869	37862	-0.995	0.000	0.7327	0.3791	1
23888	31575	1.032	0.000	0.7036	0.4207	1
23905	24609	2.016	0.000	0.9408	0.7865	1
23905	25920	2.016	0.000	0.9650	0.8460	1
23990	25279	0.002	0.000	0.9665	0.8262	1
23990	30612	-3.945	0.000	0.8438	0.6386	1
24123	25827	0.000	0.000	0.7887	0.6812	1
24123	26697	0.000	0.000	0.7523	0.6305	1
24123	29993	2.016	0.000	0.7253	0.5749	1
24123	40517	3.995	0.000	0.7719	0.6973	1
24278	26582	-2.015	0.000	0.7707	0.5193	1
24411	30727	-0.001	0.000	0.8653	0.5976	1
24458	24473	-1.995	0.000	0.9432	0.7305	1
24488	24495	1.002	0.000	0.8584	0.8326	1
24512	25208	0.000	0.000	0.8762	0.6733	1
24512	26622	2.016	0.000	0.8628	0.6345	1
24568	29990	-2.015	0.000	0.7375	0.6696	1
24609	25920	0.001	0.000	0.9785	0.7923	1
24615	25947	0.000	0.000	0.9864	0.8766	1
24691	25460	2.016	0.000	0.9467	0.8869	1
24691	25529	-1.003	0.000	0.7186	0.5827	1
24691	25639	-2.015	0.000	0.7388	0.4919	1
24691	25901	0.001	0.000	0.9301	0.6042	1
24694	26498	0.000	0.000	0.9537	0.7709	1
24719	28126	9.984	0.000	0.7411	0.7422	1
24719	28129	-8.027	0.000	0.7095	0.5377	1
24719	34050	9.984	0.000	0.7518	0.6595	1
24761	30446	-0.001	0.000	0.7132	0.2482	1
24860	30556	0.001	0.000	0.9094	0.4671	1
