Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_A8RCC5_A8RCC5_9FIRM	-8.63659074499999	0.5438677763325013	2.438697162999996	0.6485645356269459	0.8365628919087585	0.7090585246027089	(-9.88932, -7.47545)	(-1.03332, 2.09277)	(1.16522, 3.81209)
tr_A0A136Q5V1_A0A136Q5V1_9FIRM	-8.186647445	0.7977006673685004	0.46504121933499976	0.47733989543062744	0.5842498796465558	0.5357985905075467	(-9.12554, -7.34653)	(-0.194344, 1.95091)	(-0.49118, 1.46858)
tr_R6SY59_R6SY59_9CLOT	-12.63555257499999	-2.655769642810002	2.190301301483498	2.1588320517496076	3.764504106683807	2.240450532551615	(-16.9004, -9.09868)	(-10.0891, 4.06091)	(-1.56912, 6.6388)
tr_C7CXJ5_C7CXJ5_ENTFL	-9.271489030000001	-4.391727563730008	0.7827584332755001	0.84539248364145	3.104835396920899	0.9188534311393268	(-11.0389, -7.92437)	(-10.3571, 0.628584)	(-0.766004, 2.55995)
tr_R5M9U6_R5M9U6_9CLOT	-9.077691080000013	0.6890668508375003	2.0806557062999977	0.7292755187500357	0.9110920850270191	0.7627693446340614	(-10.4307, -7.82223)	(-0.986192, 2.45883)	(0.797432, 3.57133)
tr_R6G3A9_R6G3A9_9CLOT	-9.794888884999995	-0.38073317610099944	2.6424924924999984	0.9697136690006523	1.4985080657487264	1.0051363830630138	(-11.633, -8.04868)	(-3.21529, 2.34252)	(1.01976, 4.65918)
tr_A0A0R1LEE3_A0A0R1LEE3_9LACO	-10.900157681000008	2.3180430466025013	0.19693384398000022	2.638960574580546	2.569242932060629	2.737678877716335	(-15.6308, -5.22159)	(-2.50015, 7.5892)	(-5.00739, 5.07316)
tr_R0B824_R0B824_9FIRM	-9.871649674999988	1.1425654197449997	2.025336454849999	0.9419473864901073	1.122055817845648	0.9639919091466105	(-11.7787, -8.31605)	(-0.935333, 3.14509)	(0.303109, 3.83227)
tr_A0A2U1CCX5_A0A2U1CCX5_9FIRM	-11.460336065000009	1.184937265299502	4.246833119999987	1.6783677963738657	2.0143902475437736	1.6803956616711617	(-14.7525, -8.66271)	(-2.39466, 5.63711)	(1.61897, 7.70915)
tr_C0EDC4_C0EDC4_9FIRM	-8.409419654999981	0.2630860917429999	1.5600463173999983	0.536363263160082	0.7255227356682021	0.5647448376440963	(-9.41909, -7.48248)	(-1.02063, 1.62561)	(0.565919, 2.63939)
tr_A0A838ZNL6_A0A838ZNL6_ENTHR	-12.36483325499999	-2.88468460923	3.7928196047499987	2.0092887430168793	3.7075981689568214	2.0364945285089684	(-15.9681, -8.91422)	(-10.4085, 3.34383)	(0.373681, 7.61062)
tr_B9V0U3_B9V0U3_LACPN	-11.879956387099975	-2.361921242789999	2.5122277735199994	2.834438288021819	3.827153394019456	2.612608238124398	(-16.8974, -6.19162)	(-9.63078, 4.60706)	(-2.47432, 7.50509)
tr_A0A414D7P3_A0A414D7P3_9FIRM	-9.709873820000025	1.5530595493649992	1.5695865555850024	0.8863178403192096	0.9938897287438735	0.9358280043826769	(-11.3728, -8.15821)	(-0.244449, 3.50727)	(0.0154787, 3.43189)
