#FeatureID	cFA01a_S39	cFA01b_S45	cFA05a_S40	cFA05b_S46	cFA09a_S41	cFA09b_S47	cFA13a_S36	cFA13b_S42	cFA17a_S37	cFA17b_S43	cFA21a_S38	cFA21b_S44	cFT01a_S51	cFT01b_S57	cFT05a_S52	cFT05b_S58	cFT09a_S53	cFT09b_S59	cFT13a_S48	cFT13b_S54	cFT17a_S49	cFT17b_S55	cFT21a_S50	cFT21b_S56	cNA01a_S4	cNA01b_S10	cNA01c_S16	cNA05a_S5	cNA05b_S11	cNA05c_S17	cNA09a_S6	cNA09b_S12	cNA09c_S18	cNA13a_S1	cNA13b_S7	cNA13c_S13	cNA17a_S2	cNA17b_S8	cNA17c_S14	cNA21a_S3	cNA21b_S9	cNA21c_S15	cNT01a_S21	cNT01b_S27	cNT01c_S33	cNT05a_S22	cNT05b_S28	cNT05c_S34	cNT09a_S23	cNT09b_S29	cNT09c_S35	cNT13a_S19	cNT13b_S24	cNT13c_S30	cNT17a_S20	cNT17b_S25	cNT17c_S31	cNT21b_S26	cNT21c_S32
sp|P12256|PAC_LYSSH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.022	149.018	121.021	125.017	158.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.991	166.01	0.0	102.007	0.0	256.022	144.987	123.985	197.028	172.056	95.009	214.988	161.973	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.02
sp|P54965|CBH_CLOPE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466.048	0.0	0.0	0.0	0.0	0.0	744.924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|Q06115|CBH_LACPL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.018	0.0	125.017	158.969	0.0	155.006	158.001	0.0	0.0	0.0	640.051	277.972	166.01	0.0	0.0	0.0	256.022	144.987	123.985	0.0	0.0	95.009	214.988	0.0	0.0	0.0	0.0	143.008	0.0	0.0	0.0	125.0	111.01
tr|A0A011VLV5|A0A011VLV5_9HYPH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A015TQQ9|A0A015TQQ9_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.021	125.017	158.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.988	161.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A015TQY4|A0A015TQY4_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.021	125.017	158.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.056	95.009	214.988	322.946	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A015TX15|A0A015TX15_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.018	243.043	125.017	158.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.056	95.009	214.988	322.946	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A015W7J5|A0A015W7J5_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.021	125.017	158.969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.056	95.009	214.988	322.946	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A015X5Y2|A0A015X5Y2_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.021	125.017	158.969	0.0	155.006	158.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.056	95.009	214.988	322.946	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A015XJI6|A0A015XJI6_BACFG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.01
