FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
sp_P12256_PAC_LYSSH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	121.021	125.017	158.969	0	0	0	0	0	0	0	92.991	166.01	0	102.007	0
sp_P54965_CBH_CLOPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466.048	0	0	0	0	0	744.924	0	0
sp_Q06115_CBH_LACPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	0	125.017	158.969	0	155.006	158.001	0	0	0	640.051	277.972	166.01	0	0	0
tr_A0A015TQQ9_A0A015TQQ9_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A015TQY4_A0A015TQY4_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A015TX15_A0A015TX15_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	243.043	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A015W7J5_A0A015W7J5_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A015X5Y2_A0A015X5Y2_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	125.017	158.969	0	155.006	158.001	0	0	0	0	0	0	0	0	0
tr_A0A015Y9D3_A0A015Y9D3_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	0	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A022NDM8_A0A022NDM8_ENTMU	0	0	0	0	0	0	0	0	0	0	329.024	0	0	0	0	0	0	0	0	0	0	0	0	0	783.045	152.022	0	121.021	0	158.969	0	0	0	0	129.016	0	640.051	92.991	166.01	0	205.015	0
tr_A0A062X2Y1_A0A062X2Y1_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.017	158.969	0	0	0	466.048	0	0	0	0	166.01	0	205.015	0
tr_A0A069SEW1_A0A069SEW1_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	298.037	121.021	250.034	158.969	0	310.011	316.002	0	0	0	0	0	0	0	307.022	0
tr_A0A073J516_A0A073J516_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.01	744.924	0	0
tr_A0A074M346_A0A074M346_9SPHN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	0	0	125.017	0	0	0	158.001	0	0	0	0	0	0	0	0	0
tr_A0A077UST9_A0A077UST9_9STAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640.051	0	0	0	102.007	0
tr_A0A078MD23_A0A078MD23_9BACL	0	0	278.046	0	338.016	0	392.991	0	352.983	0	0	0	0	0	0	338.974	0	0	0	0	0	432.966	0	0	0	152.022	149.018	485.086	501.068	475.907	345.95	465.017	632.004	466.048	388.049	545.039	320.026	1574.839	1663.096	372.962	614.045	1006.925
tr_A0A078S4I9_A0A078S4I9_BACUN	0	0	278.046	0	0	0	0	352.025	352.983	341.019	0	914.037	0	0	0	0	331.031	0	0	0	0	0	0	0	0	152.022	149.018	364.064	250.034	158.969	0	310.011	158.001	0	0	0	0	0	0	0	205.015	0
tr_A0A081BZU9_A0A081BZU9_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	298.037	243.043	375.051	475.907	0	310.011	474.003	0	129.016	0	0	277.972	166.01	0	102.007	0
tr_A0A081U6U3_A0A081U6U3_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.006	158.001	0	0	0	0	0	0	0	0	0
tr_A0A084A9C1_A0A084A9C1_LACLC	0	0	835.137	0	338.016	0	0	0	0	0	0	0	0	0	0	0	663.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A086Y5K4_A0A086Y5K4_9RHOB	0	0	278.046	1079.065	0	409.009	0	0	0	0	0	0	0	0	0	0	0	0	354.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A087QBK2_A0A087QBK2_LACGS	0	0	0	0	0	0	0	352.025	0	0	0	457.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607.107	0	0	345.95	0	0	0	0	0	0	0	0	0	0	0
