FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
sp_P12256_PAC_LYSSH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
sp_P54965_CBH_CLOPE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
sp_Q06115_CBH_LACPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0
tr_A0A022NDM8_A0A022NDM8_ENTMU	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	1	0	2	0
tr_A0A062X2Y1_A0A062X2Y1_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0
tr_A0A073J516_A0A073J516_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
tr_A0A077UST9_A0A077UST9_9STAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
tr_A0A078MD23_A0A078MD23_9BACL	1	0	1	0	0	0	0	0	0	1	0	0	1	3	2	1	17	10	1	6	4
tr_A0A078S4I9_A0A078S4I9_BACUN	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
tr_A0A081BZU9_A0A081BZU9_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	0
tr_A0A087QBK2_A0A087QBK2_LACGS	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A090RUG7_A0A090RUG7_9VIBR	2	2	2	2	1	1	3	0	2	0	1	4	0	0	0	0	0	0	0	0	0
tr_A0A090SRK5_A0A090SRK5_9VIBR	2	2	2	2	1	1	3	0	2	0	1	4	0	0	0	0	0	0	0	0	0
tr_A0A096B1U0_A0A096B1U0_FLAPL	1	0	1	1	0	0	1	1	0	1	1	0	1	4	2	1	18	8	2	9	4
tr_A0A096DGB7_A0A096DGB7_FLAPL	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	3	1	2	2
tr_A0A098CP10_A0A098CP10_9LACT	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0
tr_A0A098LJX5_A0A098LJX5_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0
tr_A0A099YB76_A0A099YB76_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	2	0	2	0
tr_A0A0B3VRN3_A0A0B3VRN3_9FIRM	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	3	0	0
tr_A0A0B8QRG3_A0A0B8QRG3_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1
tr_A0A0B8QW26_A0A0B8QW26_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1
tr_A0A0C1M7G7_A0A0C1M7G7_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	2	1
tr_A0A0D4CMX6_A0A0D4CMX6_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	2	0
tr_A0A0E0UXH6_A0A0E0UXH6_LISMM	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	2	1	1	3	0
tr_A0A0F4LRZ6_A0A0F4LRZ6_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0
tr_A0A0F7Q0L6_A0A0F7Q0L6_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
tr_A0A0G8G768_A0A0G8G768_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0
tr_A0A0H1RKD7_A0A0H1RKD7_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
tr_A0A0H2YTH6_A0A0H2YTH6_CLOP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
tr_A0A0H3GEE9_A0A0H3GEE9_LISM4	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0
tr_A0A0J6GF61_A0A0J6GF61_PSEDM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
