"Feature ID"	Log_Ratio_Classification
tr_A0A5T2R3J1_A0A5T2R3J1_SALER	Denominator
tr_A0A5U6BUS2_A0A5U6BUS2_SALER	Denominator
tr_A0A637E709_A0A637E709_SALET	Denominator
tr_A0A5U1RDD5_A0A5U1RDD5_SALER	Denominator
tr_A0A5Y3Y6E1_A0A5Y3Y6E1_SALER	Denominator
tr_A0A1I0L736_A0A1I0L736_9ACTN	Denominator
tr_A0A506UJ79_A0A506UJ79_9HYPH	Denominator
tr_A0A2X3IHM8_A0A2X3IHM8_CLOPF	Denominator
tr_H5T170_H5T170_LACLL	Denominator
tr_A0A0V8BFT8_A0A0V8BFT8_LACLL	Denominator
tr_A0A6I4XD09_A0A6I4XD09_ENTGA	Denominator
tr_A0A6N7IZJ4_A0A6N7IZJ4_9FIRM	Denominator
tr_A0A1W7LX87_A0A1W7LX87_CLOBE	Denominator
tr_B6FXH3_B6FXH3_PEPHT	Denominator
tr_B1HQM9_B1HQM9_LYSSC	Denominator
tr_W7RZL3_W7RZL3_LYSSH	Denominator
sp_P12256_PAC_LYSSH	Denominator
tr_Q5DWB7_Q5DWB7_CLOPF	Denominator
tr_R5BV01_R5BV01_9FIRM	Denominator
tr_C8ZY42_C8ZY42_ENTGE	Denominator
tr_A0A365K8K5_A0A365K8K5_9BACL	Denominator
tr_A0A366U9N1_A0A366U9N1_ENTGA	Denominator
tr_A0A248TG32_A0A248TG32_9BACI	Denominator
tr_R6BF36_R6BF36_9CLOT	Denominator
tr_A0A8J3ZI13_A0A8J3ZI13_9ACTN	Denominator
tr_A0A6A8NF43_A0A6A8NF43_ENTFC	Denominator
tr_D5ERX0_D5ERX0_PRER2	Denominator
tr_A0A2S0K147_A0A2S0K147_LYSSH	Denominator
tr_A0A2S5D0U8_A0A2S5D0U8_LYSSH	Denominator
tr_A0A4V5TPP4_A0A4V5TPP4_9BACI	Denominator
tr_A0A806LHU2_A0A806LHU2_9BACI	Denominator
tr_A0A927U9H8_A0A927U9H8_9FIRM	Denominator
tr_Q9CEK2_Q9CEK2_LACLA	Denominator
tr_A0A3E3E3J4_A0A3E3E3J4_9FIRM	Denominator
tr_A0A5N0YTI1_A0A5N0YTI1_9ENTE	Denominator
tr_R2PCI7_R2PCI7_9ENTE	Denominator
tr_A0A5F0V9B1_A0A5F0V9B1_ENTGA	Denominator
tr_A0A7X2NRG6_A0A7X2NRG6_9FIRM	Denominator
tr_A0A376H0L7_A0A376H0L7_ENTGA	Denominator
tr_A0A1V8ZND8_A0A1V8ZND8_ENTCA	Denominator
tr_A0A7X0C4J2_A0A7X0C4J2_9ACTN	Denominator
tr_A0A2S7MA35_A0A2S7MA35_ENTFC	Denominator
tr_A0A4U4F1S6_A0A4U4F1S6_ENTFC	Denominator
tr_A0A0H1RKD7_A0A0H1RKD7_LACLL	Denominator
tr_A0A2N8PS02_A0A2N8PS02_ENTAV	Denominator
tr_A0A1Y4LFC9_A0A1Y4LFC9_9CLOT	Denominator
tr_A0A3N0HX27_A0A3N0HX27_9FIRM	Denominator
tr_A0A0G8G768_A0A0G8G768_9LACO	Denominator
tr_A0A1L3KBE2_A0A1L3KBE2_9LACO	Denominator
tr_A0A841BJN2_A0A841BJN2_9ACTN	Denominator
tr_A0A4Y3JTA7_A0A4Y3JTA7_9LACO	Denominator
tr_F5VG40_F5VG40_9LACO	Denominator
tr_A0A0R2I0I1_A0A0R2I0I1_9LACO	Denominator
tr_A0A4V0GNZ7_A0A4V0GNZ7_ENTCA	Denominator
tr_A0A4R1R7L9_A0A4R1R7L9_9FIRM	Denominator
tr_A0A377KXR4_A0A377KXR4_ENTCA	Denominator
tr_A0A4P8KDP6_A0A4P8KDP6_ENTAV	Denominator
tr_A0A1N6DZY8_A0A1N6DZY8_9MICO	Denominator
tr_A0A1H4EA38_A0A1H4EA38_ALKAM	Denominator
tr_A0A7W0HUJ4_A0A7W0HUJ4_9ACTN	Denominator
tr_S4B775_S4B775_ENTCA	Denominator
tr_H7G1D2_H7G1D2_9LACO	Denominator
tr_A0A2U1TD49_A0A2U1TD49_9MICO	Denominator
tr_A0A837DWL8_A0A837DWL8_9LACO	Denominator
tr_A0A829ABY7_A0A829ABY7_ENTFC	Denominator
tr_R8W4N1_R8W4N1_9CLOT	Denominator
tr_A0A380KNN4_A0A380KNN4_9STRE	Denominator
tr_A0A132P9C9_A0A132P9C9_ENTFC	Denominator
tr_A0A1V0P467_A0A1V0P467_LACLL	Denominator
tr_A0A0V8CBE0_A0A0V8CBE0_LACLL	Denominator
tr_A0A0V8E794_A0A0V8E794_LACLL	Denominator
tr_G6FB77_G6FB77_LACLL	Denominator
tr_A0A415EY36_A0A415EY36_ENTCA	Denominator
tr_A0A1U7LEI1_A0A1U7LEI1_9BACT	Denominator
tr_A0A3E4NB65_A0A3E4NB65_9BACE	Denominator
tr_A0A412WUG3_A0A412WUG3_9BACT	Denominator
tr_A0A413III2_A0A413III2_9BACT	Denominator
tr_A0A415QCS3_A0A415QCS3_9BACT	Denominator
tr_A0A7X6BK23_A0A7X6BK23_9BACT	Denominator
tr_R5PLH9_R5PLH9_9BACT	Denominator
tr_A0A7X9NIY8_A0A7X9NIY8_9FIRM	Denominator
tr_A0A7X3D632_A0A7X3D632_ENTGA	Denominator
tr_A0A0B8QRG3_A0A0B8QRG3_LACLL	Denominator
tr_A0A0B8QW26_A0A0B8QW26_LACLL	Denominator
tr_A0A1V0NI01_A0A1V0NI01_LACLL	Denominator
tr_A0A2N5WBJ7_A0A2N5WBJ7_LACLL	Denominator
tr_A0A5C5BN99_A0A5C5BN99_LACLL	Denominator
tr_A0A5D4GF29_A0A5D4GF29_LACLL	Denominator
tr_A0A8B3F4H8_A0A8B3F4H8_LACLL	Denominator
tr_A0A173U973_A0A173U973_9FIRM	Denominator
tr_A0A2B4DD98_A0A2B4DD98_BACCE	Denominator
tr_A0A329FB11_A0A329FB11_BACCE	Denominator
tr_A0A5Q2NBM6_A0A5Q2NBM6_9BACI	Denominator
tr_F0SF25_F0SF25_PSESL	Denominator
tr_A0A8B2Z4H6_A0A8B2Z4H6_9LACO	Denominator
tr_A0A941GQQ8_A0A941GQQ8_ENTCA	Denominator
tr_A0A8B2RPQ9_A0A8B2RPQ9_ENTFC	Denominator
tr_A0A829ETJ4_A0A829ETJ4_ENTFC	Denominator
tr_F7R122_F7R122_9LACO	Denominator
tr_D2BLF2_D2BLF2_LACLK	Denominator
tr_A0A3R5WRX9_A0A3R5WRX9_9FIRM	Denominator
tr_F7QWZ2_F7QWZ2_9LACO	Denominator
tr_A0A1I2RXD4_A0A1I2RXD4_9LACO	Denominator
tr_A0A837IVR1_A0A837IVR1_9LACO	Denominator
tr_G2SQF3_G2SQF3_LIGR2	Denominator
tr_A0A261EQB5_A0A261EQB5_9BIFI	Denominator
tr_L1Q414_L1Q414_ANAHA	Denominator
tr_A0A125W9K2_A0A125W9K2_ENTFL	Denominator
tr_A0A828QT36_A0A828QT36_ENTFL	Denominator
tr_C7CXJ5_C7CXJ5_ENTFL	Denominator
tr_A0A1X2EIY6_A0A1X2EIY6_9MYCO	Denominator
tr_A0A1H4A676_A0A1H4A676_PRERU	Denominator
tr_A0A0R0DAH0_A0A0R0DAH0_9GAMM	Denominator
tr_A0A1F2PZT1_A0A1F2PZT1_RHOER	Denominator
tr_A0A1X0EAP7_A0A1X0EAP7_9MYCO	Denominator
tr_A0A401N1Q9_A0A401N1Q9_RHOER	Denominator
tr_A0A6G9CNS6_A0A6G9CNS6_RHOER	Denominator
tr_A0A8I0ZXJ1_A0A8I0ZXJ1_RHOER	Denominator
tr_T5I2X8_T5I2X8_RHOER	Denominator
tr_A0A3Q8CH52_A0A3Q8CH52_9LACO	Denominator
tr_A0A3E4QZA8_A0A3E4QZA8_9ACTN	Denominator
tr_G1WLB3_G1WLB3_9ACTN	Denominator
tr_A0A0P0ER20_A0A0P0ER20_BACT4	Denominator
tr_Q8KUA7_Q8KUA7_ENTFL	Denominator
tr_A3ZTE6_A3ZTE6_9BACT	Denominator
tr_C2EIL7_C2EIL7_9LACO	Denominator
tr_A0A0V8EBT6_A0A0V8EBT6_LACLL	Denominator
tr_A0A7X9RL84_A0A7X9RL84_9ENTE	Denominator
tr_A0A4Q9FCU2_A0A4Q9FCU2_9FLAO	Denominator
tr_A0A5F0V2F2_A0A5F0V2F2_ENTGA	Denominator
tr_A0A377L5M0_A0A377L5M0_9ENTE	Denominator
tr_A0A3R6D207_A0A3R6D207_9FIRM	Denominator
tr_A0A174BY25_A0A174BY25_9FIRM	Denominator
tr_A0A0V8D013_A0A0V8D013_LACLL	Denominator
tr_A0A0V8EV60_A0A0V8EV60_LACLL	Denominator
tr_A0A5P3IFE5_A0A5P3IFE5_LACLL	Denominator
tr_A0A4B9HRG2_A0A4B9HRG2_LISMN	Denominator
tr_A0A1D9G6X6_A0A1D9G6X6_9CYAN	Denominator
tr_A0A8G2F4A4_A0A8G2F4A4_9BACT	Denominator
tr_Q6E7I9_Q6E7I9_9CYAN	Denominator
tr_A0A2S7RS71_A0A2S7RS71_ENTMU	Denominator
tr_A0A7X2N2S2_A0A7X2N2S2_9FIRM	Denominator
tr_A0A2J0U9X2_A0A2J0U9X2_STEMA	Denominator
tr_A0A098CP10_A0A098CP10_9LACT	Denominator
tr_A0A377KM70_A0A377KM70_9ENTE	Denominator
tr_A0A0M2AE59_A0A0M2AE59_ENTFL	Denominator
tr_A0A8S6XIB5_A0A8S6XIB5_ENTFL	Denominator
tr_E2YTX6_E2YTX6_ENTFL	Denominator
tr_H7C725_H7C725_ENTFA	Denominator
tr_S6FTM1_S6FTM1_LACLL	Denominator
tr_A0A2X2YEH4_A0A2X2YEH4_CLOPF	Denominator
tr_B1R9T6_B1R9T6_CLOPF	Denominator
tr_A0A0X8PQC8_A0A0X8PQC8_ENTGA	Denominator
tr_A0A4V6L5N8_A0A4V6L5N8_ENTCA	Denominator
tr_F0EMQ9_F0EMQ9_ENTCA	Denominator
tr_A0A3D8TVM5_A0A3D8TVM5_9LIST	Denominator
tr_A0A1C4FUA1_A0A1C4FUA1_9NOCA	Denominator
tr_A0A1X0M2N7_A0A1X0M2N7_9NOCA	Denominator
tr_A0A2A5J1N2_A0A2A5J1N2_9NOCA	Denominator
tr_A0A367CF70_A0A367CF70_9ENTE	Denominator
tr_A0A7V7YET2_A0A7V7YET2_9GAMM	Denominator
tr_R7ZTT8_R7ZTT8_9BACT	Denominator
tr_A0A497YPB1_A0A497YPB1_9BACL	Denominator
tr_A0A379M0X4_A0A379M0X4_9NOCA	Denominator
tr_A0A562QZL6_A0A562QZL6_9BACT	Denominator
tr_A0A4R2GC04_A0A4R2GC04_9BACT	Denominator
tr_R5YDB2_R5YDB2_9FIRM	Numerator
tr_A0A1M6KU38_A0A1M6KU38_9BACE	Numerator
tr_A0A1Q6GT50_A0A1Q6GT50_9BACE	Numerator
tr_A0A3E4LQA4_A0A3E4LQA4_9FIRM	Numerator
tr_A0A943MCL3_A0A943MCL3_9FIRM	Numerator
tr_A0A6S6MII0_A0A6S6MII0_9BACT	Numerator
tr_G5H9U7_G5H9U7_9BACT	Numerator
tr_K5ZML2_K5ZML2_9BACT	Numerator
tr_R5B6T8_R5B6T8_9BACE	Numerator
tr_R5ELQ7_R5ELQ7_9CLOT	Numerator
tr_R7R1N8_R7R1N8_9FIRM	Numerator
tr_A0A7W7ANC1_A0A7W7ANC1_9BACT	Numerator
tr_R5PDJ6_R5PDJ6_9CLOT	Numerator
tr_A0A943XZG6_A0A943XZG6_9BACT	Numerator
tr_A0A4R3MJ10_A0A4R3MJ10_9FIRM	Numerator
tr_A0A2N0UWT2_A0A2N0UWT2_9FIRM	Numerator
tr_A0A926DVY3_A0A926DVY3_9FIRM	Numerator
tr_R6DY54_R6DY54_9FIRM	Numerator
tr_A0A6G1ZF03_A0A6G1ZF03_9BACT	Numerator
tr_A0A810PXY7_A0A810PXY7_9FIRM	Numerator
tr_A0A3R6CSJ4_A0A3R6CSJ4_9FIRM	Numerator
tr_A0A7X2TD73_A0A7X2TD73_9CLOT	Numerator
tr_R5ILU6_R5ILU6_9CLOT	Numerator
tr_A0A4Z0V542_A0A4Z0V542_9BACT	Numerator
tr_V8C360_V8C360_9FIRM	Numerator
tr_C0FNH6_C0FNH6_9FIRM	Numerator
tr_A0A414FWD7_A0A414FWD7_9ACTN	Numerator
tr_C4FAG1_C4FAG1_9ACTN	Numerator
tr_B5CMZ6_B5CMZ6_9FIRM	Numerator
tr_A0A840CXX1_A0A840CXX1_9BACT	Numerator
tr_R6UAF5_R6UAF5_9CLOT	Numerator
tr_A0A0F5JID4_A0A0F5JID4_9BACT	Numerator
tr_A0A285PUL7_A0A285PUL7_9FIRM	Numerator
tr_A0A7G9FZ05_A0A7G9FZ05_9FIRM	Numerator
tr_A0A6L5YJV9_A0A6L5YJV9_9FIRM	Numerator
tr_A0A2T3FKY8_A0A2T3FKY8_9CLOT	Numerator
tr_C6LHK8_C6LHK8_9FIRM	Numerator
tr_A0A174DL00_A0A174DL00_9FIRM	Numerator
tr_R7KX66_R7KX66_9FIRM	Numerator
tr_R7QYW0_R7QYW0_9FIRM	Numerator
tr_R6RWB1_R6RWB1_9CLOT	Numerator
tr_A0A374N6H6_A0A374N6H6_9FIRM	Numerator
tr_S0GND7_S0GND7_9BACT	Numerator
tr_A0A1Y3U8T8_A0A1Y3U8T8_9ACTN	Numerator
tr_C0ERS1_C0ERS1_9FIRM	Numerator
tr_A0A7G9FKY2_A0A7G9FKY2_9FIRM	Numerator
tr_A0A173S778_A0A173S778_9FIRM	Numerator
tr_A0A2K4ZM83_A0A2K4ZM83_9FIRM	Numerator
tr_B7AVX6_B7AVX6_9FIRM	Numerator
tr_R6G3A9_R6G3A9_9CLOT	Numerator
tr_A0A374NGP6_A0A374NGP6_9FIRM	Numerator
tr_A0A415G6B1_A0A415G6B1_9FIRM	Numerator
tr_A0A174H2D6_A0A174H2D6_9FIRM	Numerator
tr_A0A2N0UPL9_A0A2N0UPL9_9FIRM	Numerator
tr_A0A4P7VQQ5_A0A4P7VQQ5_9BACT	Numerator
tr_R6KW59_R6KW59_9CLOT	Numerator
tr_A0A6N7Y5N2_A0A6N7Y5N2_9FIRM	Numerator
tr_A0A413KA69_A0A413KA69_9FIRM	Numerator
tr_R7IMT7_R7IMT7_9FIRM	Numerator
tr_A0A415TWG6_A0A415TWG6_9FIRM	Numerator
tr_A0A412UR07_A0A412UR07_9FIRM	Numerator
tr_R6VWD6_R6VWD6_9FIRM	Numerator
tr_R6P9K0_R6P9K0_9CLOT	Numerator
tr_R7B0W4_R7B0W4_9BACE	Numerator
tr_A0A6I3PNS6_A0A6I3PNS6_9FIRM	Numerator
tr_A0A412LA28_A0A412LA28_9FIRM	Numerator
tr_R7LRG3_R7LRG3_9CLOT	Numerator
tr_A0A1E3ALT3_A0A1E3ALT3_9FIRM	Numerator
tr_A0A413QBW3_A0A413QBW3_9FIRM	Numerator
tr_A0A414E3A9_A0A414E3A9_9FIRM	Numerator
tr_A0A8B3A5C6_A0A8B3A5C6_9FIRM	Numerator
tr_A0A1E3ADP5_A0A1E3ADP5_9FIRM	Numerator
tr_A0A845QFI0_A0A845QFI0_9FIRM	Numerator
tr_A0A7K0G5W2_A0A7K0G5W2_9ACTN	Numerator
tr_A0A173RY76_A0A173RY76_9FIRM	Numerator
tr_A0A2N0UVB8_A0A2N0UVB8_9FIRM	Numerator
tr_A0A233W8A3_A0A233W8A3_FINMA	Numerator
tr_A0A2I1L7D6_A0A2I1L7D6_9LACT	Numerator
tr_R6YVJ4_R6YVJ4_9ACTN	Numerator
tr_R7B0G8_R7B0G8_9CLOT	Numerator
tr_R6BF43_R6BF43_9CLOT	Numerator
tr_R5DTJ4_R5DTJ4_9FIRM	Numerator
tr_A0A943A9P0_A0A943A9P0_9FIRM	Numerator
tr_A0A414ARR2_A0A414ARR2_9FIRM	Numerator
tr_A0A174YG41_A0A174YG41_9FIRM	Numerator
tr_R7IT85_R7IT85_9CLOT	Numerator
tr_C2CHS4_C2CHS4_9FIRM	Numerator
tr_A0A0M6WH75_A0A0M6WH75_9FIRM	Numerator
tr_A0A412DXH9_A0A412DXH9_9FIRM	Numerator
tr_A0A433NP38_A0A433NP38_CHLFR	Numerator
tr_A0A412ZDA9_A0A412ZDA9_9FIRM	Numerator
tr_A0A430A8D7_A0A430A8D7_9ENTE	Numerator
tr_R6X4D0_R6X4D0_9CLOT	Numerator
tr_A0A0F5JLM1_A0A0F5JLM1_9BACT	Numerator
tr_A0A8I0Q0T5_A0A8I0Q0T5_MORMO	Numerator
tr_A0A921J6A0_A0A921J6A0_9ACTN	Numerator
tr_R6Z6D0_R6Z6D0_9CLOT	Numerator
tr_A0A1H9GIX4_A0A1H9GIX4_9SPIR	Numerator
tr_A0A921IVE9_A0A921IVE9_9ACTN	Numerator
tr_A0A315XUC1_A0A315XUC1_RUMFL	Numerator
tr_A0A1E3UP10_A0A1E3UP10_9FIRM	Numerator
tr_A0A4R2LR43_A0A4R2LR43_FLAPL	Numerator
tr_B1C4T2_B1C4T2_9FIRM	Numerator
tr_A0A096B1U0_A0A096B1U0_FLAPL	Numerator
tr_A8RJ50_A8RJ50_ENTBW	Numerator
tr_R0ADB8_R0ADB8_9FIRM	Numerator
tr_A0A850HF69_A0A850HF69_9FIRM	Numerator
tr_G9YR35_G9YR35_FLAPL	Numerator
tr_A7VXC0_A7VXC0_9FIRM	Numerator
tr_A0A3E2WA33_A0A3E2WA33_9FIRM	Numerator
tr_A0A161VYJ1_A0A161VYJ1_LACLC	Numerator
tr_A0A855A885_A0A855A885_9FIRM	Numerator
tr_A0A413VM04_A0A413VM04_9FIRM	Numerator
tr_A0A1Y3XV55_A0A1Y3XV55_9ACTN	Numerator
tr_A0A4R2T9G9_A0A4R2T9G9_9CLOT	Numerator
tr_A0A413WHK1_A0A413WHK1_9FIRM	Numerator
tr_A0A412Z9I5_A0A412Z9I5_9FIRM	Numerator
tr_A0A414AWQ7_A0A414AWQ7_9FIRM	Numerator
tr_A8RLG2_A8RLG2_ENTBW	Numerator
tr_A0A1I6JWA8_A0A1I6JWA8_9FIRM	Numerator
tr_A0A3E4F7X5_A0A3E4F7X5_9FIRM	Numerator
tr_A0A3E2VTU2_A0A3E2VTU2_CLOIN	Numerator
tr_R5EWY1_R5EWY1_9CLOT	Numerator
tr_A0A3E2V3F1_A0A3E2V3F1_9FIRM	Numerator
tr_G5HTY0_G5HTY0_9FIRM	Numerator
tr_A0A6N2XTU3_A0A6N2XTU3_9FIRM	Numerator
tr_A0A174MBD8_A0A174MBD8_CLOSY	Numerator
tr_R0A5H6_R0A5H6_9FIRM	Numerator
tr_A0A414AWR8_A0A414AWR8_9FIRM	Numerator
tr_A0A4R3Z8B6_A0A4R3Z8B6_9FIRM	Numerator
tr_A0A426DFX4_A0A426DFX4_9FIRM	Numerator
tr_A0A8B2XLX2_A0A8B2XLX2_9FIRM	Numerator
tr_E7GDJ9_E7GDJ9_9FIRM	Numerator
tr_A0A0J9C348_A0A0J9C348_9FIRM	Numerator
tr_A0A3E2VNX1_A0A3E2VNX1_9FIRM	Numerator
tr_A0A412Z9M0_A0A412Z9M0_9FIRM	Numerator
tr_R2QCK8_R2QCK8_9ENTE	Numerator
tr_V2XPW3_V2XPW3_9FIRM	Numerator
tr_A8RCC5_A8RCC5_9FIRM	Numerator
tr_N9XMW9_N9XMW9_9FIRM	Numerator
tr_A0A810QG66_A0A810QG66_9FIRM	Numerator
tr_A8RLF4_A8RLF4_ENTBW	Numerator
tr_A0A413JGL6_A0A413JGL6_CLOSY	Numerator
tr_A0A6N2ZHG9_A0A6N2ZHG9_CLOSY	Numerator
tr_A0A5M8C2R6_A0A5M8C2R6_CLOSY	Numerator
tr_A0A415P4A1_A0A415P4A1_9FIRM	Numerator
tr_R6QY42_R6QY42_9FIRM	Numerator
tr_U2D1P9_U2D1P9_CLOSY	Numerator
tr_E7GNR6_E7GNR6_CLOSY	Numerator
tr_A0A2V2F486_A0A2V2F486_9FIRM	Numerator
tr_A0A4P6M3P6_A0A4P6M3P6_9FIRM	Numerator
tr_A0A2V2F3I9_A0A2V2F3I9_9FIRM	Numerator
tr_R5M9U6_R5M9U6_9CLOT	Numerator
tr_W7UXF9_W7UXF9_RUMFL	Numerator
tr_A0A415TH29_A0A415TH29_9FIRM	Numerator
tr_C0EDC4_C0EDC4_9FIRM	Numerator
tr_A0A386YRU3_A0A386YRU3_CLONO	Numerator
tr_A0A4P8ICW8_A0A4P8ICW8_9FIRM	Numerator
tr_A0A4U8Q543_A0A4U8Q543_9FIRM	Numerator
tr_A0A921IL61_A0A921IL61_9FIRM	Numerator
tr_C6PU30_C6PU30_9CLOT	Numerator
tr_A0A1V4SJB4_A0A1V4SJB4_RUMHU	Numerator
tr_A0A6P1TS46_A0A6P1TS46_9FIRM	Numerator
tr_S0FQ07_S0FQ07_RUMCE	Numerator
tr_A0A426DFQ3_A0A426DFQ3_9FIRM	Numerator
tr_A0A7X3MIN2_A0A7X3MIN2_9FIRM	Numerator
