FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
tr_A0A096B1U0_A0A096B1U0_FLAPL	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A096DGB7_A0A096DGB7_FLAPL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
tr_A0A0J9C348_A0A0J9C348_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A174TVW7_A0A174TVW7_9CLOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
tr_A0A179CKJ1_A0A179CKJ1_9LACO	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr_A0A1D9MHY5_A0A1D9MHY5_9ACTO	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1E3ADP5_A0A1E3ADP5_9FIRM	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1E3ALT3_A0A1E3ALT3_9FIRM	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1E3UP10_A0A1E3UP10_9FIRM	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1H9GIX4_A0A1H9GIX4_9SPIR	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1I0V685_A0A1I0V685_9CLOT	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
tr_A0A1U7NKD7_A0A1U7NKD7_9FIRM	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
tr_A0A1V4SJB4_A0A1V4SJB4_RUMHU	1	1	1	0	1	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0
tr_A0A1Y3U8T8_A0A1Y3U8T8_9ACTN	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A1Y3XV55_A0A1Y3XV55_9ACTN	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A2U2B742_A0A2U2B742_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
tr_A0A2V2F3I9_A0A2V2F3I9_9FIRM	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A2V2F486_A0A2V2F486_9FIRM	0	1	4	0	2	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0
tr_A0A315XUC1_A0A315XUC1_RUMFL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A386YRU3_A0A386YRU3_CLONO	0	0	4	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0
