"Sample ID"	Current_Natural_Log_Ratio	condition	condition
FA1b	-3.8066624897703196	FA	FA
FA1c	-2.547038430895007	FA	FA
FA2b	-2.602689685444384	FA	FA
FA2c	-2.367123614131617	FA	FA
FA3b	-2.6508917872622617	FA	FA
FA3c	-3.3557350075853978	FA	FA
FA4b	null	FA	FA
FA4c	null	FA	FA
FA5b	-2.7932080094425165	FA	FA
FA5c	-2.7545702167371036	FA	FA
FA6b	-2.9109910450989003	FA	FA
FA6c	-2.6079667425452273	FA	FA
FT1b	null	FT	FT
FT1c	null	FT	FT
FT2b	-2.5345782595852384	FT	FT
FT2c	-3.970291913552122	FT	FT
FT3b	null	FT	FT
FT3c	-4.2626798770413155	FT	FT
FT4b	null	FT	FT
FT4c	-3.884994333040227	FT	FT
FT5b	-2.9444389791664403	FT	FT
FT5c	null	FT	FT
FT6b	null	FT	FT
FT6c	-2.845521191730813	FT	FT
NA1a	-2.4383866341531073	NA	NA
NA1b	-2.9618307218783095	NA	NA
NA1c	-3.0204248861443626	NA	NA
NA2a	-2.079441541679836	NA	NA
NA2b	null	NA	NA
NA2c	null	NA	NA
NA3a	null	NA	NA
NA3b	null	NA	NA
NA3c	null	NA	NA
NA4a	null	NA	NA
NA4b	null	NA	NA
NA4c	null	NA	NA
NA5a	-3.9702919135521215	NA	NA
NA5b	-3.417726683613366	NA	NA
NA5c	null	NA	NA
NA6a	null	NA	NA
NA6b	null	NA	NA
NA6c	null	NA	NA
