Feature	Intercept_mean	C(condition, Treatment('NA'))[T.FA]_mean	C(condition, Treatment('NA'))[T.FT]_mean	Intercept_std	C(condition, Treatment('NA'))[T.FA]_std	C(condition, Treatment('NA'))[T.FT]_std	Intercept_hdi	C(condition, Treatment('NA'))[T.FA]_hdi	C(condition, Treatment('NA'))[T.FT]_hdi
Vibrio_mediterranei	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Enterococcus_B_faecium	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
UBA7477_sp001940995	-4.727316109084995	-1.4331563486999988	-1.5507120941230017	3.1720811574496532	4.697441911346148	4.731819203246012	(-9.75311, 1.60385)	(-10.0976, 7.80122)	(-10.8524, 7.05914)
QWKK01_sp009911695	-7.4546730924950015	-1.8532068103835049	3.2733701130049937	4.157102334939701	4.496781444453976	3.562578385788176	(-13.888, 1.84134)	(-10.8108, 5.86837)	(-4.02891, 9.84777)
COE1_sp000403215	-2.8865050549999984	-6.295990121149971	-5.956441625000005	0.45427691787223473	2.7127445493209743	2.747791746205317	(-3.70064, -2.01127)	(-11.3108, -1.72529)	(-11.1657, -1.31383)
CAG-485_sp002362485	-3.845875554999996	1.1106233251919975	0.7164275557349996	0.4764126773702522	0.7232029143817061	0.7689686985303735	(-4.7251, -2.93166)	(-0.231764, 2.59612)	(-0.714035, 2.13566)
UBA7805_sp002168195	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Paraferrimonas_sedimenticola	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Muribaculum_gordoncarteri	-3.1770889722999986	-4.730014677469991	-4.293242696095	1.0647079713812155	3.4935883596037205	3.7310076739103657	(-5.18399, -1.22349)	(-11.6803, 1.98371)	(-11.4956, 2.83477)
Acetatifactor_sp011959105	-1.9389957139999996	-2.067427132350002	-0.7971199728065005	0.3725538903451996	0.6954080050118494	0.633807815129799	(-2.61169, -1.23377)	(-3.45834, -0.815708)	(-1.97588, 0.33189)
Lactobacillus_gasseri	-9.73124417299999	5.388642088250004	-1.9863041711644938	1.9334604589567734	1.9312633548465288	3.947893461152796	(-13.5916, -6.46576)	(1.67423, 9.04394)	(-10.058, 4.54616)
Alginatibacterium_sediminis	-6.782121317719987	-2.1884239911799996	-2.025096503570002	2.5406410305092417	4.191007573930057	4.260228302361032	(-10.9735, -1.89666)	(-10.811, 5.04033)	(-10.2685, 6.31975)
Adlercreutzia_mucosicola	-6.546208199099985	1.6550092832791514	-2.3389768367950055	2.3186191789454433	2.5067093418505997	4.075042640983172	(-10.4911, -2.17906)	(-2.99573, 6.91805)	(-10.6607, 4.94385)
14-2_sp000403845	-2.625108047000002	-0.07440002726170018	0.5746121681312009	0.429453578420265	0.7018096523325151	0.7323759549329539	(-3.43361, -1.83456)	(-1.36737, 1.16189)	(-0.727761, 2.00177)
14-2_sp000403315	-1.6350837661500013	-7.184401564999993	-2.2586815097249984	0.41047567735955776	2.438741879665578	0.8883839966268409	(-2.39198, -0.848063)	(-12.1579, -3.38983)	(-4.06148, -0.675963)
Microbacterium_sp001427525	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
UBA8158_sp003449595	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Choladousia_sp003612585	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
UBA3282_sp003611805	-2.176345105414993	-6.448897957199998	-1.8399615288649969	0.6535870730928349	2.7353173311125922	1.4488550771852504	(-3.3401, -0.911092)	(-11.6234, -1.46187)	(-4.52303, 0.905658)
14-2_sp000403255	-6.354085852499998	1.6678393502644964	1.9499862889074997	0.8311359637400779	1.1781635630818663	1.234722058981269	(-7.78689, -4.80783)	(-0.697497, 3.91021)	(-0.362522, 4.30135)
Clostridium_Q_sp009911305	-6.082469066999994	2.366942566849992	1.057752918599998	0.864597248146353	1.2776745005077714	1.473091436673098	(-7.70595, -4.5601)	(-0.24959, 4.60859)	(-1.63034, 3.95972)
Enterousia_sp902776515	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Acetatifactor_muris	-5.171463868899997	-3.818257529462503	1.3940612568229978	1.297082275866599	3.59031559314212	1.974763831588611	(-7.32994, -2.68184)	(-11.0751, 2.71779)	(-2.19568, 5.51542)
CAG-95_sp009917455	-4.022088282000007	-5.379479682800003	-0.7075203150050012	0.5553514833080972	2.765673975708178	1.1706979216902582	(-4.99388, -3.04342)	(-10.6027, -0.785072)	(-2.86118, 1.51734)
Acutalibacter_sp009936055	-4.780825515534998	-0.9702439003435	2.8839343129500055	4.103611368732376	4.862173671992918	3.9538287783250246	(-11.8982, 2.9374)	(-9.50474, 8.55645)	(-4.70401, 10.0021)
CAG-603_sp900066105	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Adlercreutzia_caecimuris	-7.4546730924950015	-1.8532068103835049	3.2733701130049937	4.157102334939701	4.496781444453976	3.562578385788176	(-13.888, 1.84134)	(-10.8108, 5.86837)	(-4.02891, 9.84777)
Anaerotruncus_sp000403395	-6.256115012700005	1.3854381241885012	-3.0779753216999968	1.4907772817834368	2.055945668167453	3.5480008279054656	(-8.57353, -3.35275)	(-2.43528, 5.66913)	(-10.2402, 2.77406)
UMGS872_sp900546275	-7.256754624550005	-2.2123572527299995	-2.0266888863899992	2.7665926534513914	4.073450549812817	4.275074646084544	(-11.4561, -1.10303)	(-10.0955, 5.66575)	(-10.4235, 5.35377)
Vagococcus_D_fessus	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Lacrimispora_algidixylanolytica	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Pradoshia_sp001183965	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Dubosiella_newyorkensis	-1.793715837169998	1.4016482300750024	-2.1936264411154984	0.8008742421129914	1.3051404122361785	1.6341104062427603	(-3.27831, -0.364041)	(-0.944803, 4.03385)	(-5.05391, 0.737387)
Lactiplantibacillus_plantarum_A	-8.014329569880012	-0.5463153906700003	-0.8479166706750005	5.1303834981533685	4.611821181170743	4.520722527500921	(-15.9453, 3.43179)	(-8.88136, 8.78256)	(-8.92884, 8.05849)
Ventrimonas_sp003611875	-3.5832433500000023	-6.0353858818450075	-5.420342839449997	0.37261111868297414	2.8607126750497884	2.700248570764204	(-4.30231, -2.90348)	(-11.3039, -1.27524)	(-10.4197, -0.911134)
1XD8-76_sp003611955	-6.039741953964996	-1.882094151639997	-1.8630306188800045	2.749150094672664	4.466690561760727	4.295708775877459	(-10.312, -0.565409)	(-9.7006, 7.13098)	(-9.613, 6.55706)
