Feature	Intercept_mean	C(condition, Treatment('NA'))[T.FA]_mean	C(condition, Treatment('NA'))[T.FT]_mean	Intercept_std	C(condition, Treatment('NA'))[T.FA]_std	C(condition, Treatment('NA'))[T.FT]_std	Intercept_hdi	C(condition, Treatment('NA'))[T.FA]_hdi	C(condition, Treatment('NA'))[T.FT]_hdi
Microbacterium_sp001427525	-6.462936612610007	-1.8688369275550025	-1.7177500535799968	2.8225284674765954	4.331149905990812	4.412851372796185	(-10.8246, -0.681942)	(-9.6783, 7.00854)	(-10.37, 6.45176)
Acinetobacter_tandoii	-9.37761239869999	3.781688023064997	-1.5018308358050025	3.166967877105917	2.8202128557623443	4.119473550911703	(-15.2394, -2.84914)	(-2.43111, 8.78058)	(-9.31363, 5.9448)
UBA8158_sp003449595	-6.793530169514998	-2.052250593594999	-2.1837120724350028	2.7400665220447578	4.1384741597827555	4.191512966685871	(-10.7132, -0.871744)	(-10.642, 5.1419)	(-9.84547, 6.11037)
Anaerotruncus_sp000403395	-5.940813302000004	1.265969132395501	-3.6264137583350036	0.9218990846448746	1.7039678295036158	3.257982197513132	(-7.42537, -4.12888)	(-2.03491, 4.50763)	(-9.71629, 1.9656)
Enterococcus_B_faecium	-9.961909917000002	-2.182616284119999	5.569224371550002	2.188829993315396	3.8045068070931656	2.13526914590513	(-14.6584, -6.28927)	(-9.41668, 4.78636)	(2.01963, 10.0464)
Adlercreutzia_mucosicola	-6.702495045399983	-2.20128110264	-2.0350699826149983	2.8461273304013006	4.29913739801002	4.399107168117279	(-10.7924, -1.2943)	(-11.3258, 5.03014)	(-9.91013, 6.30277)
Lactiplantibacillus_plantarum_A	-6.651564512049997	-1.9712799735750037	-1.766393947707501	2.836889084860268	4.124205968519319	4.3221081922566675	(-10.8237, -0.796256)	(-10.1564, 5.3314)	(-10.7044, 5.64617)
Dubosiella_newyorkensis	-2.2891633563049996	0.5495804204214995	1.2453722024149998	0.6386837404821025	1.0267966121955747	0.9734359719401547	(-3.41766, -1.12962)	(-1.32092, 2.51647)	(-0.425385, 3.20456)
Acetatifactor_muris	-5.296460034500005	1.8495866676580002	-3.8350773569459915	0.987128688513953	1.6738457386847698	3.4365424109087765	(-6.88069, -3.36608)	(-0.986815, 5.31576)	(-10.668, 2.23968)
Ventrimonas_sp003611875	-3.96598723	-1.4981269921400011	-2.1693605808199963	0.3498993661533656	0.8509871724992073	1.2493248359387235	(-4.61671, -3.30226)	(-3.13565, 0.0625579)	(-4.75552, -0.102224)
Lactobacillus_hominis	-4.5869408060999985	0.4387263536050009	-2.9432660459350024	1.887844007085666	2.6483451597993484	3.855771392974735	(-7.29657, -0.683203)	(-4.0326, 6.3031)	(-10.3207, 4.60737)
Lacrimispora_algidixylanolytica	-7.022483159000006	-3.1713778807149993	-2.7929361736200056	1.134912963998818	3.649652983161088	3.5413091167622577	(-8.96635, -4.85207)	(-9.61739, 3.84182)	(-9.94415, 3.51615)
Chryseobacterium_sp000333355	-7.384032701500001	-2.491267428620003	-2.2592250455449983	2.426208080176828	4.147684620321841	4.1217258818891676	(-11.3062, -2.722)	(-10.1886, 5.43224)	(-9.92546, 5.78791)
CAG-95_sp009917455	-2.953096264999995	-6.472831460499998	-5.931744126999998	0.33164263065595107	2.8196880567284923	2.682241128768722	(-3.57763, -2.31371)	(-11.7015, -2.00438)	(-11.1984, -1.77764)
UBA3282_sp003611805	-3.0226344285000004	-5.878103724249996	-1.3126184836495	0.5778380722935589	2.808715736655473	1.145813022462322	(-4.03267, -1.93652)	(-11.0905, -1.04215)	(-3.38929, 0.970324)
Pradoshia_sp001183965	-7.384032701500001	-2.491267428620003	-2.2592250455449983	2.426208080176828	4.147684620321841	4.1217258818891676	(-11.3062, -2.722)	(-10.1886, 5.43224)	(-9.92546, 5.78791)
Coprobacter_fastidiosus	-6.702495045399983	-2.20128110264	-2.0350699826149983	2.8461273304013006	4.29913739801002	4.399107168117279	(-10.7924, -1.2943)	(-11.3258, 5.03014)	(-9.91013, 6.30277)
Paramuribaculum_intestinale	-5.887448736870008	5.224655358344996	-1.7754215348299993	3.8373528050923484	3.725938166939421	4.444972343638602	(-12.3995, 1.55206)	(-2.04205, 12.0537)	(-9.99662, 6.77372)
QWKK01_sp009911695	-6.238943533699996	-2.711437914149994	-2.512813135745004	1.7900572437862348	4.037022142623832	3.944237209304356	(-9.19231, -2.92479)	(-10.7779, 4.6594)	(-10.8138, 4.13609)
Eubacterium_J_plexicaudatum	-2.2506085075000013	-6.8149572544999835	-6.571163431499991	0.3234884441240089	2.5161864238404754	2.572046199103741	(-2.83114, -1.62015)	(-11.5216, -2.60234)	(-11.4064, -2.33859)
Lawsonibacter_sp000492175	-4.184630795	0.42772038407000024	0.0976196971689999	0.2795722484445085	0.5376161127700603	0.6108044532316669	(-4.67353, -3.65158)	(-0.655255, 1.31999)	(-1.18991, 1.13769)
UBA7477_sp001940995	-4.6916850660500025	-4.321818981500006	-0.25927349849350045	1.0235981855107017	3.21484041611046	1.884653809079991	(-6.36365, -2.7849)	(-10.5798, 1.17057)	(-3.58029, 3.34045)
Limosilactobacillus_reuteri	-5.256074556499996	-3.5567197351700055	0.5659378761449989	1.2172778477911805	3.5202043692127765	2.0287678959493376	(-7.32428, -3.06028)	(-10.3076, 2.6047)	(-3.39164, 4.22209)
Vibrio_mediterranei	-6.462936612610007	-1.8688369275550025	-1.7177500535799968	2.8225284674765954	4.331149905990812	4.412851372796185	(-10.8246, -0.681942)	(-9.6783, 7.00854)	(-10.37, 6.45176)
Bacteroides_thetaiotaomicron	-6.462936612610007	-1.8688369275550025	-1.7177500535799968	2.8225284674765954	4.331149905990812	4.412851372796185	(-10.8246, -0.681942)	(-9.6783, 7.00854)	(-10.37, 6.45176)
Enterousia_sp902776515	-7.268997328885003	2.899047119044996	-1.1005639210419997	4.066858979760129	3.504655810805007	4.528495491476404	(-13.8598, 0.921617)	(-3.83645, 9.63652)	(-10.0857, 6.76696)
CAG-485_sp002362485	-3.050215010000001	-1.468467878458	-0.7151460480199991	0.3200319688948278	0.7169740326713661	0.6372962551948007	(-3.69075, -2.48138)	(-2.85125, -0.126367)	(-1.88818, 0.539257)
UBA7805_sp002168195	-7.384032701500001	-2.491267428620003	-2.2592250455449983	2.426208080176828	4.147684620321841	4.1217258818891676	(-11.3062, -2.722)	(-10.1886, 5.43224)	(-9.92546, 5.78791)
Anaerotruncus_sp003612625	-6.313642623499988	-2.7600337632200063	-2.5561089950584996	1.5825946446879737	3.8473652484206218	3.96416435849311	(-8.77697, -3.17325)	(-10.3835, 4.09639)	(-10.1165, 4.92869)
Acutalibacter_muris	-4.455957240000001	-5.2528763008999935	-0.7712435265249995	0.43415946871360833	2.9562255946065754	1.0784477631681824	(-5.20735, -3.67901)	(-11.0457, -0.515692)	(-2.87878, 1.19104)
Methanomethylophilus_alvus	-6.705347028949979	-2.3404166826350044	-1.7488017068649988	2.8705645749797144	4.203226624730048	4.454422974722569	(-10.5777, -0.33904)	(-10.7254, 5.35268)	(-10.8038, 6.29193)
Alginatibacterium_sediminis	-7.851358583550004	-0.9405183360349987	-0.8910489835099995	5.174227123576536	4.731952721886769	4.866301140178902	(-16.8188, 2.12082)	(-10.4115, 7.01146)	(-10.5501, 7.91928)
CAG-317_sp011960265	-8.045985441499994	6.01108813	4.533426645300013	2.2202523626854647	2.2399294438535047	2.4028987186222572	(-12.1395, -3.82497)	(1.80756, 10.388)	(-0.348682, 8.99478)
COE1_sp000403215	-3.5052467442000035	-0.6978693922849994	1.6284143962999962	0.8533620610646702	1.5600577076587674	1.3324342559269833	(-4.88243, -1.78461)	(-3.60977, 2.17883)	(-0.716886, 4.38689)
Enterousia_intestinigallinarum	-7.934109889750004	-1.6497045810100013	3.399560418422496	3.9391995844404963	4.338370210991421	3.3924698824000163	(-14.4136, 0.330713)	(-10.0708, 5.99211)	(-3.70727, 9.54064)
Muribaculum_gordoncarteri	-7.934109889750004	-1.6497045810100013	3.399560418422496	3.9391995844404963	4.338370210991421	3.3924698824000163	(-14.4136, 0.330713)	(-10.0708, 5.99211)	(-3.70727, 9.54064)
1XD42-69_sp003612565	-2.712285014999996	-6.635885605000006	-6.170003849999993	0.21394582848001453	2.6489304258048425	2.5489530819878365	(-3.10037, -2.27128)	(-11.7541, -2.36436)	(-11.2147, -2.32272)
NBD-18_sp003507735	-6.793530169514998	-2.052250593594999	-2.1837120724350028	2.7400665220447578	4.1384741597827555	4.191512966685871	(-10.7132, -0.871744)	(-10.642, 5.1419)	(-9.84547, 6.11037)
Acetatifactor_sp011959105	-3.9274404473500053	0.40023629172900066	-0.1953544009849999	0.9764433916499262	1.6140432226678723	1.833933248387571	(-5.68253, -2.12053)	(-2.67666, 3.40218)	(-3.26275, 3.51805)
Enterococcus_A_avium	-9.161618767449989	-2.4149790338849972	5.239665655550009	2.9471580864984035	4.208806757049878	2.851534079829271	(-14.2522, -2.87242)	(-10.755, 4.50917)	(-0.867082, 10.2153)
14-2_sp000403845	-2.280830614999998	-1.4274875447549988	-0.03616620847899998	0.35550397031674474	0.672308051440075	0.6558252957994576	(-2.97723, -1.65426)	(-2.69722, -0.218106)	(-1.20218, 1.24312)
Adlercreutzia_caecimuris	-5.805826951215003	0.9071819582650007	2.2417082448600025	1.9288619012091588	2.3141758470386122	2.2870937605629744	(-8.91703, -2.20474)	(-3.78844, 5.0934)	(-2.01315, 6.85443)
Staphylococcus_xylosus	-8.435647103000006	-2.0723586341700035	-1.9555016008579973	2.4625308192590656	3.764686286350115	4.158292432694013	(-12.2563, -4.5816)	(-10.0056, 3.98407)	(-10.711, 4.81755)
Evtepia_gabavorous	-8.519576558799992	3.629418396724993	-1.5306938028349983	3.5949055196724276	3.351681390965519	4.267579390763117	(-15.1423, -1.32152)	(-3.56345, 9.3452)	(-9.62177, 6.01267)
CAG-56_sp004793585	-4.747851259950001	-1.5089692161949988	-1.296365542348498	3.050769072060362	4.711810296282774	4.64209923993725	(-9.84443, 1.2939)	(-10.4266, 7.11003)	(-9.87555, 7.27536)
Kineothrix_sp000403275	-6.495101377915022	5.268203870685003	-1.6143331627859998	3.636610513236348	3.4040728805705025	4.469106644427128	(-12.5001, 0.903552)	(-1.14366, 11.7065)	(-9.96644, 6.92336)
Clostridium_N_fimetarium	-8.435647103000006	-2.0723586341700035	-1.9555016008579973	2.4625308192590656	3.764686286350115	4.158292432694013	(-12.2563, -4.5816)	(-10.0056, 3.98407)	(-10.711, 4.81755)
14-2_sp000403315	-1.8247631969189986	-6.898959458499998	-3.3423237014750025	0.43686722717064774	2.589771081557231	1.1111877128257857	(-2.72169, -1.07025)	(-12.0709, -2.71154)	(-5.52263, -1.33512)
1XD42-69_sp009911505	-1.6876342819999994	0.1710922038580004	0.3002594258320002	0.31717148094645625	0.5343041759201712	0.5474636515425944	(-2.21449, -1.05367)	(-0.794373, 1.20339)	(-0.679843, 1.3907)
Choladousia_sp003612585	-5.642973721854998	-1.0497573086005005	3.098799519644998	4.2374592671879086	4.686501638451605	3.851819330165081	(-13.3955, 2.28667)	(-9.47017, 8.09114)	(-4.67858, 9.83839)
Vagococcus_D_fessus	-6.651564512049997	-1.9712799735750037	-1.766393947707501	2.836889084860268	4.124205968519319	4.3221081922566675	(-10.8237, -0.796256)	(-10.1564, 5.3314)	(-10.7044, 5.64617)
Listeria_aquatica	-6.702495045399983	-2.20128110264	-2.0350699826149983	2.8461273304013006	4.29913739801002	4.399107168117279	(-10.7924, -1.2943)	(-11.3258, 5.03014)	(-9.91013, 6.30277)
Bifidobacterium_globosum	-4.606650780295	-1.275013856535	-1.389593119600001	2.834922544991839	4.79670489989161	4.727533318370248	(-9.0711, 1.24474)	(-9.71495, 8.44545)	(-10.216, 7.56669)
CAG-603_sp900066105	-7.384032701500001	-2.491267428620003	-2.2592250455449983	2.426208080176828	4.147684620321841	4.1217258818891676	(-11.3062, -2.722)	(-10.1886, 5.43224)	(-9.92546, 5.78791)
UMGS872_sp900546275	-7.851358583550004	-0.9405183360349987	-0.8910489835099995	5.174227123576536	4.731952721886769	4.866301140178902	(-16.8188, 2.12082)	(-10.4115, 7.01146)	(-10.5501, 7.91928)
CAG-273_sp003507395	-8.435647103000006	-2.0723586341700035	-1.9555016008579973	2.4625308192590656	3.764686286350115	4.158292432694013	(-12.2563, -4.5816)	(-10.0056, 3.98407)	(-10.711, 4.81755)
Clostridium_Q_sp009911305	-4.0691118235	1.2969268721999978	-0.3859692561585007	0.6003327629023155	0.9410322347804465	1.2564458210632998	(-5.18007, -2.99103)	(-0.411321, 3.10153)	(-2.76633, 1.97596)
Traorella_massiliensis	-7.384032701500001	-2.491267428620003	-2.2592250455449983	2.426208080176828	4.147684620321841	4.1217258818891676	(-11.3062, -2.722)	(-10.1886, 5.43224)	(-9.92546, 5.78791)
Butyribacter_sp003612285	-5.015089707999999	0.6902702294819982	-3.4818435837999946	1.334585855055344	2.2263077132295335	3.69358695080217	(-7.13961, -2.41742)	(-3.44448, 5.15582)	(-10.6649, 3.148)
Acidithiobacillus_ferrooxidans	-7.934109889750004	-1.6497045810100013	3.399560418422496	3.9391995844404963	4.338370210991421	3.3924698824000163	(-14.4136, 0.330713)	(-10.0708, 5.99211)	(-3.70727, 9.54064)
CAG-194_sp000432915	-4.415486874804998	-1.4204458359300007	-1.1437815325600003	2.8956949760553403	4.8564793381278015	4.651160646727201	(-8.93229, 1.43797)	(-10.4848, 7.62866)	(-9.76758, 7.32642)
Acutalibacter_sp009936055	-3.1726299308149946	-2.495964240625898	1.9157501188950015	2.2126002365273316	4.484884582032665	3.070596698313309	(-6.55696, 0.901193)	(-10.2144, 6.98346)	(-3.70486, 7.90407)
