"Sample ID"	Current_Natural_Log_Ratio	condition	condition
cFA01a	-4.699934762432514	FA	FA
cFA01b	-5.386404553535407	FA	FA
cFA05a	-2.8516789581773425	FA	FA
cFA05b	-4.996890471669625	FA	FA
cFA09a	-4.502212280032449	FA	FA
cFA09b	-5.514771929711449	FA	FA
cFA13a	-4.527416523118026	FA	FA
cFA13b	-4.505576874052423	FA	FA
cFA17a	-4.046346163731402	FA	FA
cFA17b	-4.521532789862583	FA	FA
cFA21a	-4.685177928015371	FA	FA
cFA21b	-4.274418927059151	FA	FA
cFT01a	-6.461468176353717	FT	FT
cFT01b	-5.211669559822365	FT	FT
cFT05a	-3.7853604571406425	FT	FT
cFT05b	-4.474750829070199	FT	FT
cFT09a	-4.315446815818772	FT	FT
cFT09b	-4.328537949722896	FT	FT
cFT13a	-4.647905841248817	FT	FT
cFT13b	-4.478350910498589	FT	FT
cFT17a	-5.168817246282274	FT	FT
cFT17b	-4.596659496320183	FT	FT
cFT21a	-5.0536474809857985	FT	FT
cFT21b	-5.577463107977531	FT	FT
cNA01a	-3.2370431288236494	NA	NA
cNA01b	-2.3134816842182584	NA	NA
cNA01c	-2.2635673190780707	NA	NA
cNA05a	-2.113483849214713	NA	NA
cNA05b	-1.076476433035884	NA	NA
cNA05c	-1.4202226647116794	NA	NA
cNA09a	-2.660127585032379	NA	NA
cNA09b	-1.747912687685992	NA	NA
cNA09c	-1.652054214588519	NA	NA
cNA13a	-3.0133094441412123	NA	NA
cNA13b	-3.184837698485942	NA	NA
cNA13c	-3.7878290895914484	NA	NA
cNA17a	-2.0220157124084235	NA	NA
cNA17b	-1.3953880885340801	NA	NA
cNA17c	-1.9739620562996638	NA	NA
cNA21a	-3.434538472415314	NA	NA
cNA21b	-2.196569483961989	NA	NA
cNA21c	-3.0107138271696074	NA	NA
