FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
1-14-0-10-42-12 sp002787695|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-55-24 sp002772745|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF02275.21	0	0	3	1	4	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	1	1	3	0	0	0	2	1	0	0	0	1	0	0	3	0
14-2 sp000403255|PF04563.18	19	7	6	16	4	19	25	0	15	22	16	7	15	7	18	14	8	15	200	209	264	294	22	6	183	71	50	7	11	7	26	7	7	53	407	27	30	112	39	84	5	99
14-2 sp000403315|PF02275.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	4	71	79	0	260	45	20	199	241	26	50	16	6	415	100	46	25	42
14-2 sp000403315|PF04563.18	18	2	14	97	12	272	38	18	28	23	12	17	78	71	118	245	146	780	68	72	252	55	231	173	224	348	79	6	9	12	7	84	14	18	112	71	30	29	12	34	2	21
14-2 sp000403845|PF02275.21	2	0	8	0	4	0	12	2	0	0	10	0	2	1	4	4	8	4	4	5	4	8	3	4	2	135	140	8	123	65	4	14	3	3	69	6	7	5	43	0	73	24
14-2 sp000403845|PF04563.18	22	30	42	19	30	54	75	25	52	66	38	47	38	24	25	37	14	38	127	139	243	188	43	30	107	45	38	3	6	12	39	21	35	44	332	34	29	99	20	80	5	56
14-2 sp001940225|PF04563.18	18	0	0	8	32	2	11	45	19	7	35	24	2	2	7	12	4	2	2	20	2	2	2	2	17	9	2	2	0	6	16	0	0	6	11	8	3	5	0	0	0	2
1XD42-69 sp003612565|PF02275.21	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	9	17	66	90	32	18	71	53	0	0	25	0	75	20	1	4	0
1XD42-69 sp003612565|PF04563.18	5	0	6	4	8	4	3	0	5	13	11	4	3	11	1	7	6	2	15	2	9	4	1	6	4	4	229	2	27	2	0	2	0	5	2	191	5	5	2	1	2	4
1XD42-69 sp009911505|PF02275.21	14	12	2	8	0	4	16	18	18	22	0	0	0	2	17	6	22	42	34	31	24	16	12	0	8	26	41	277	107	201	70	100	45	22	29	14	12	77	39	20	29	9
1XD42-69 sp009911505|PF04563.18	391	231	15	225	17	299	515	588	289	329	33	10	52	132	884	879	1110	502	597	485	952	361	165	107	2	38	39	2	21	3	91	92	118	68	104	357	50	15	57	88	52	115
1XD8-76 sp003611955|PF02275.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
1XD8-76 sp003611955|PF04563.18	38	34	23	23	18	40	32	7	64	44	67	17	0	4	27	41	30	31	53	58	66	52	6	13	0	5	4	4	3	2	2	12	6	11	40	1	11	22	6	103	5	73
2-01-FULL-43-38 sp000997105|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2-01-FULL-50-11 sp001777585|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-01-FULL-50-28 sp001816585|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2-02-FULL-38-15 sp001777055|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-42-16 sp001818695|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-66-22 sp001771285|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2-12-FULL-49-11 sp001794905|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21-14-0-10-42-9 sp002773845|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40CM-2-53-6 sp005882905|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
43-108 sp001915545|PF04563.18	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF33-28 sp003477885|PF04563.18	41	9	0	23	1	15	22	25	29	17	0	0	0	13	11	15	10	8	19	11	16	17	6	10	1	2	3	4	3	7	6	0	1	0	3	0	0	0	2	1	2	3
AG-339-G14 sp902525735|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM51-8 sp003478275|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Absicoccus porci|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetanaerobacterium elongatum|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetatifactor intestinalis|PF04563.18	13	4	4	1	4	0	6	10	10	16	2	2	2	3	7	17	11	11	18	7	22	4	1	5	8	11	5	2	5	5	11	4	2	23	22	28	3	3	1	3	1	7
Acetatifactor muris|PF02275.21	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	2	6	0	5	0	0	0	0	2	2	0	0	0	0	0	4
Acetatifactor muris|PF04563.18	608	435	206	346	315	432	495	223	620	486	654	349	86	76	405	525	320	387	356	529	654	527	153	109	31	32	9	27	19	16	40	12	8	17	42	24	46	21	32	50	29	75
Acetatifactor sp011959105|PF02275.21	2	0	10	0	2	0	2	0	2	0	4	0	0	0	2	0	2	0	2	2	10	2	2	0	8	0	28	0	0	0	0	2	0	12	87	36	20	0	35	16	133	49
Acetatifactor sp011959105|PF04563.18	142	23	117	21	132	61	128	104	124	205	113	17	40	96	84	44	137	54	193	109	537	202	94	74	281	11	207	4	2	2	7	7	7	321	1227	936	294	9	329	296	685	686
Acetatifactor sp900066565|PF04563.18	23	17	3	11	2	6	6	22	20	18	2	1	13	15	6	16	39	12	27	20	28	17	33	24	5	8	4	2	3	2	2	3	1	2	14	13	3	5	1	7	1	5
Acetitomaculum ruminis|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium sticklandii|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium sp003260995|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Acetomicrobium flavidum|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acholeplasma granularum|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
