FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
14-2_sp000403255	2	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	1	0	0	3	0
14-2_sp000403315	0	0	0	0	0	0	0	0	0	0	4	0	26	50	16	6	415	100	46	25	42
14-2_sp000403845	12	2	0	0	10	0	4	5	4	8	3	4	3	69	6	7	5	43	0	73	24
1XD42-69_sp003612565	0	0	0	2	0	0	2	0	0	2	2	0	0	0	25	0	75	20	1	4	0
1XD42-69_sp009911505	16	18	18	22	0	0	34	31	24	16	12	0	22	29	14	12	77	39	20	29	9
1XD8-76_sp003611955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acetatifactor_muris	0	0	0	0	0	0	0	0	0	4	0	0	0	2	2	0	0	0	0	0	4
Acetatifactor_sp011959105	2	0	2	0	4	0	2	2	10	2	2	0	12	87	36	20	0	35	16	133	49
Acidithiobacillus_ferrooxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_tandoii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_muris	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_sp009936055	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Adlercreutzia_caecimuris	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_mucosicola	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Alginatibacterium_sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Anaerotruncus_sp000403395	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
Anaerotruncus_sp003612625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_glycinifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_globosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyribacter_sp003612285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CAG-194_sp000432915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG-273_sp003507395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG-317_sp011960265	8	0	4	2	0	0	6	16	2	17	0	0	0	0	0	0	0	0	0	0	0
CAG-485_sp002362485	0	6	0	4	16	4	8	2	4	0	0	0	0	4	5	0	23	7	4	4	12
CAG-56_sp004793585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	3	0
CAG-603_sp900066105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG-95_sp009917455	0	0	0	0	0	0	0	0	0	0	2	0	10	8	6	0	2	4	0	5	6
COE1_sp000403215	0	0	0	0	0	0	0	0	0	0	0	0	44	15	9	2	1	12	2	58	2
Choladousia_sp003612585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium_sp000333355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_N_fimetarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_Q_sp009911305	2	4	1	2	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	1
Coprobacter_fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dubosiella_newyorkensis	8	33	69	51	28	50	4	0	0	0	0	0	2	0	0	440	42	142	0	0	0
Enterococcus_A_avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_B_faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterousia_intestinigallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterousia_sp902776515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium_J_plexicaudatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	37	2	13	2
Evtepia_gabavorous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kineothrix_sp000403275	0	0	0	0	2	0	5	0	6	8	2	4	0	0	2	0	0	2	0	11	0
Lacrimispora_algidixylanolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactiplantibacillus_plantarum_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_gasseri	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_hominis	0	6	0	0	0	4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
Lawsonibacter_sp000492175	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	12	4	2	11	10
Limosilactobacillus_reuteri	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Listeria_aquatica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanomethylophilus_alvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium_sp001427525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
