Sample ID	Current_Natural_Log_Ratio	condition	condition
FA1b	-1.3350010667323398	FA	FA
FA1c	-2.0557250150625204	FA	FA
FA2b	-2.1972245773362196	FA	FA
FA2c	-2.0476928433652555	FA	FA
FA3b	-2.5147596129376817	FA	FA
FA3c	-1.2286654169163076	FA	FA
FA4b	-2.0149030205422647	FA	FA
FA4c	-0.8472978603872034	FA	FA
FA5b	-1.9895852125579752	FA	FA
FA5c	-1.5404450409471493	FA	FA
FA6b	-1.3993664426872439	FA	FA
FA6c	-1.7749523509116738	FA	FA
FT1b	-1.2237754316221157	FT	FT
FT1c	-2.9444389791664403	FT	FT
FT2b	-1.7600107709134751	FT	FT
FT2c	-1.4663370687934272	FT	FT
FT3b	0.4054651081081644	FT	FT
FT3c	-2.2735975561207935	FT	FT
FT4b	-2.662587827025453	FT	FT
FT4c	-2.3150076129926034	FT	FT
FT5b	-1.7047480922384255	FT	FT
FT5c	-1.3862943611198904	FT	FT
FT6b	null	FT	FT
FT6c	-2.1716477355465695	FT	FT
NA1a	-0.9718605830289659	NA	NA
NA1b	-2.9177707320842785	NA	NA
NA1c	-2.302585092994046	NA	NA
NA2a	-0.5978370007556202	NA	NA
NA2b	-1.7346010553881066	NA	NA
NA2c	-1.8458266904983307	NA	NA
NA3a	null	NA	NA
NA3b	null	NA	NA
NA3c	-1.6094379124341003	NA	NA
NA4a	-1.3217558399823195	NA	NA
NA4b	-1.6422277352570913	NA	NA
NA4c	null	NA	NA
NA5a	-2.602689685444384	NA	NA
NA5b	-1.4880770554298333	NA	NA
NA5c	null	NA	NA
NA6a	-4.574710978503383	NA	NA
NA6b	-3.1780538303479453	NA	NA
NA6c	-3.3758795736778655	NA	NA
