"Feature ID"	Log_Ratio_Classification
"14-2 sp000403255|PF02275.21"	Numerator
"14-2 sp000403255|PF04563.18"	Denominator
"14-2 sp000403315|PF02275.21"	Numerator
"14-2 sp000403315|PF04563.18"	Denominator
"14-2 sp000403845|PF02275.21"	Numerator
"14-2 sp000403845|PF04563.18"	Denominator
"Acetatifactor intestinalis|PF04563.18"	Denominator
"Acutalibacter ornithocaccae|PF04563.18"	Denominator
"Adlercreutzia caecimuris|PF04563.18"	Denominator
"Adlercreutzia equolifaciens|PF04563.18"	Denominator
"Adlercreutzia mucosicola|PF02275.21"	Numerator
"Adlercreutzia mucosicola|PF04563.18"	Denominator
"Akkermansia muciniphila|PF04563.18"	Denominator
"Akkermansia muciniphila_B|PF04563.18"	Denominator
"Alistipes communis|PF04563.18"	Denominator
"Alistipes finegoldii|PF04563.18"	Denominator
"Alistipes putredinis|PF04563.18"	Denominator
"Alistipes senegalensis|PF04563.18"	Denominator
"Alistipes shahii|PF04563.18"	Denominator
"Alistipes sp001941065|PF04563.18"	Denominator
"Alistipes timonensis|PF04563.18"	Denominator
"Alistipes_A indistinctus|PF04563.18"	Denominator
"Anaerotignum lactatifermentans|PF04563.18"	Denominator
"Anaerotruncus sp000403395|PF02275.21"	Numerator
"Anaerotruncus sp000403395|PF04563.18"	Denominator
"Angelakisella massiliensis|PF04563.18"	Denominator
"Bacteroides_F pectinophilus|PF04563.18"	Denominator
"Bariatricus massiliensis|PF04563.18"	Denominator
"Bifidobacterium globosum|PF04563.18"	Denominator
"Bilifractor cellulosolvens|PF04563.18"	Denominator
"Bittarella massiliensis|PF04563.18"	Denominator
"Blautia stercoris|PF04563.18"	Denominator
"CAG-245 sp000435175|PF04563.18"	Denominator
"CAG-317 sp000433215|PF04563.18"	Denominator
"CAG-41 sp001941225|PF04563.18"	Denominator
"CAG-41 sp900066215|PF04563.18"	Denominator
"CAG-793 sp000433915|PF04563.18"	Denominator
"CAG-83 sp000431575|PF04563.18"	Denominator
"CAG-873 sp002633115|PF04563.18"	Denominator
"CAG-95 sp000403495|PF02275.21"	Numerator
"CAG-95 sp000403495|PF04563.18"	Denominator
"CCUG-7971 spG000499525|PF04563.18"	Denominator
"COE1 sp000403215|PF02275.21"	Numerator
"COE1 sp000403215|PF04563.18"	Denominator
"COE1 sp000403335|PF04563.18"	Denominator
"Clostridium celatum|PF04563.18"	Denominator
"Clostridium_A leptum|PF04563.18"	Denominator
"Clostridium_AP scindens|PF04563.18"	Denominator
