FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
14-2_sp000403255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2_sp000403315	0	0	2	0	0	0	2	0	0	0	0	0	6	0	0	7	0	2	0	0	0
14-2_sp000403845	0	2	0	0	0	0	2	0	5	0	0	0	0	2	2	0	0	0	0	0	0
Adlercreutzia_mucosicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus_sp000403395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG-95_sp000403495	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
COE1_sp000403215	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Dubosiella_newyorkensis	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	4
Eubacterium_J_plexicaudatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1
Kineothrix_sp000403275	8	14	6	4	11	12	9	2	11	0	2	7	0	2	0	0	0	0	0	0	0
Lawsonibacter_sp000492175	0	0	0	0	0	0	0	0	0	0	4	0	6	0	3	0	2	0	0	0	0
MD308_sp000403475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
UBA7477_sp001940995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
