FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
14-2_sp000403255	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2_sp000403315	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
14-2_sp000403845	2	0	2	4	6	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1
Adlercreutzia_mucosicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
Anaerotruncus_sp000403395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CAG-95_sp000403495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COE1_sp000403215	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Dubosiella_newyorkensis	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	15	0	0	0	1
Eubacterium_J_plexicaudatum	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	0
Kineothrix_sp000403275	4	4	14	25	12	8	3	8	2	2	0	18	0	0	0	0	0	0	0	0	0
Lawsonibacter_sp000492175	0	0	0	2	1	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0
MD308_sp000403475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
UBA7477_sp001940995	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
