Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
CAG-485_sp002362485	-2.756231529000001	-0.3395807582945004	-1.09953213488	0.5289235203624556	0.7989815402658123	0.7023100537572617	(-3.72741, -1.73675)	(-1.83626, 1.11699)	(-2.454, 0.1706)
Anaerotruncus_sp000403395	-5.235430281550005	-3.6635595805700016	-0.9443196768499994	1.4921317636383984	3.525472356924132	1.834538503784654	(-7.88461, -2.17555)	(-10.8281, 2.52504)	(-4.54755, 2.4477)
Microbacterium_sp001427525	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
UBA7805_sp002168195	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Acidithiobacillus_ferrooxidans	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Lactiplantibacillus_plantarum_A	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Enterousia_sp902776515	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
14-2_sp000403255	-4.631804340000001	0.30485042816600005	-1.786363310394999	0.8766402582572645	1.33105902857347	1.1193849367008006	(-6.12357, -2.73703)	(-2.27268, 2.63169)	(-3.8372, 0.437814)
Acinetobacter_tandoii	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Vibrio_mediterranei	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Listeria_aquatica	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Adlercreutzia_caecimuris	-7.297105160099997	3.0831605072914954	-2.541649928460004	3.7501151688854057	3.191771791799658	4.248704499993543	(-13.5579, 0.451188)	(-3.32033, 8.7399)	(-10.5674, 5.53845)
14-2_sp000403315	-7.436411025000009	3.4382221810799978	5.832455210000007	1.5618173142230176	1.708167804216579	1.6048509549517547	(-10.369, -4.54901)	(0.572338, 7.02172)	(3.06165, 9.00512)
NBD-18_sp003507735	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
UBA7477_sp001940995	-5.637449473310006	-1.3163148931964965	1.662485974500002	4.003371347779426	5.003283124675572	3.9449735540443216	(-12.6879, 2.33161)	(-10.3645, 7.9717)	(-5.55813, 9.64049)
Lactobacillus_hominis	-3.7681350059999925	-4.077930416335003	-1.5018968414749987	1.3690460761887178	3.7054917818514883	2.3631409589739136	(-6.1593, -0.969207)	(-11.4008, 2.71828)	(-5.88799, 2.8901)
Lacrimispora_algidixylanolytica	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Choladousia_sp003612585	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Enterococcus_A_avium	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
CAG-56_sp004793585	-8.648248892499996	-2.329186224964999	3.0479108506295027	2.370076064321193	3.786732345009281	2.438338716090264	(-13.4406, -4.58313)	(-9.56595, 4.19146)	(-1.43452, 7.86661)
Evtepia_gabavorous	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Paraferrimonas_sedimenticola	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
1XD42-69_sp003612565	-5.011583807000004	1.4237923233657999	1.8189068224200027	1.2528302770583222	1.5813709981470223	1.4412471284713229	(-7.32865, -2.62526)	(-1.61584, 4.31747)	(-0.714386, 4.76572)
Enterousia_intestinigallinarum	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
14-2_sp000403845	-2.7086335765000027	0.6616386484899983	0.07664308039200009	0.5547218638114362	0.7992327024297129	0.6842397646691286	(-3.69602, -1.61608)	(-0.817138, 2.13027)	(-1.1383, 1.38539)
UBA3282_sp003611805	-7.204605133000001	2.9381921527000023	5.167891643500001	1.8949931641950992	2.1768422966154612	1.9339420633907423	(-11.0821, -3.92922)	(-1.2033, 7.05118)	(1.5024, 8.87182)
Clostridium_N_fimetarium	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Bifidobacterium_globosum	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
1XD42-69_sp009911505	-1.7762337845	0.8407474409659998	-0.6877665754409987	0.36947973972801973	0.5321744980296185	0.46474913611837754	(-2.38259, -1.05976)	(-0.0475925, 1.88648)	(-1.58874, 0.169027)
Acetatifactor_muris	-6.724999894800002	2.87276423995	1.7182737294150023	2.4775992788735945	2.648500699113951	2.5792004620164146	(-11.3786, -1.74745)	(-2.68264, 7.65904)	(-3.2209, 6.72886)
Pradoshia_sp001183965	-7.7785495413000065	-0.8918338357760012	-1.3300341325509994	5.167973495105819	4.685561274816391	5.008037994008388	(-17.2073, 2.53478)	(-10.8055, 6.85415)	(-10.8263, 8.21181)
Lawsonibacter_sp000492175	-8.706630414999989	-2.6436233461799974	4.5342802148	2.023651476309787	3.577484251850085	2.0414888118261487	(-12.4096, -5.15112)	(-9.43665, 3.70773)	(1.02086, 8.34382)
