FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c
14-2_sp000403255	0	0	3	1	4	0	0	0	0	0	0	2	0	0	1	1	3	0	0	0	2
14-2_sp000403315	0	0	0	0	0	0	0	0	2	0	0	0	4	71	79	0	260	45	20	199	241
14-2_sp000403845	2	0	8	0	4	0	2	1	4	4	8	4	2	135	140	8	123	65	4	14	3
1XD42-69_sp003612565	0	0	0	0	0	0	0	0	0	0	0	0	2	9	17	66	90	32	18	71	53
1XD42-69_sp009911505	14	12	2	8	0	4	0	2	17	6	22	42	8	26	41	277	107	201	70	100	45
1XD8-76_sp003611955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Acetatifactor_muris	0	0	0	2	0	2	0	0	0	0	0	0	2	0	2	6	0	5	0	0	0
Acetatifactor_sp011959105	2	0	10	0	2	0	0	0	2	0	2	0	8	0	28	0	0	0	0	2	0
Acidithiobacillus_ferrooxidans	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Acinetobacter_tandoii	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_muris	0	0	0	0	0	0	0	0	0	2	0	0	2	2	5	20	5	7	6	0	1
Acutalibacter_sp009936055	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	2	0
Adlercreutzia_caecimuris	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0
Adlercreutzia_mucosicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Alginatibacterium_sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotruncus_sp000403395	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	2	4	0	0	0	0
Anaerotruncus_sp003612625	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0
Bacillus_glycinifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Bifidobacterium_globosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Butyribacter_sp003612285	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	9
CAG-194_sp000432915	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
CAG-273_sp003507395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CAG-317_sp011960265	12	0	0	2	0	6	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0
CAG-485_sp002362485	2	0	4	0	0	0	0	0	0	2	6	0	0	19	29	15	43	76	2	34	33
CAG-56_sp004793585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
CAG-603_sp900066105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
CAG-95_sp009917455	0	0	0	0	0	0	0	0	0	0	0	0	8	15	4	9	6	20	38	78	40
COE1_sp000403215	0	0	0	2	0	0	2	0	0	14	0	6	0	29	44	0	17	17	0	2	1
Choladousia_sp003612585	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium_sp000333355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Clostridium_N_fimetarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Clostridium_Q_sp009911305	2	2	0	4	0	2	0	2	0	0	0	0	6	11	2	9	6	16	0	8	0
Coprobacter_fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dubosiella_newyorkensis	14	2	8	2	26	2	0	0	68	26	32	10	72	5	17	0	67	0	14	0	2
Enterococcus_A_avium	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0
Enterococcus_B_faecium	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
