FeatureID	Name	GO_Term	condition	datatype	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF07751.14	Abi-like protein	NA	NA	metaT	3.12721242343091e-06	0.0304590490042171	24	7	0.0893015316525205	0.0209942815808828	1	20.9336609336609	5.54499449377718	0.269772869522653	1.15148981782998e-06	0.011215510825664	22.4668304668305	6.25196615969321	0.123951503786273	0.161938982890198	0.161938982890198
PF16193.8	AAA C-terminal domain	NA	FT	metaT	1.7636684303351e-05	0.0572604350382128	20	7	0.0545463779298731	0.0472405218762261	1	20	5.49014830844304	0.195671361260535	1.24958534971631e-05	0.0608548065311842	20	6.24507415422152	0.147238472840383	0.0596945447274055	0.0596945447274055
PF12002.11	MgsA AAA+ ATPase C terminal	NA	FT	metaT	1.7636684303351e-05	0.0572604350382128	20	7	0.0545463779298731	0.0472022615525736	1	20	5.53722484855997	0.196181487397625	1.24864075577991e-05	0.0608548065311842	20	6.26861242427998	0.147500814554841	0.0597675553296122	0.0597675553296122
PF01252.21	Signal peptidase (SPase) II	proteolysis	FT	metaT	1.7636684303351e-05	0.0572604350382128	24	3	0.0861464700043052	0.0971820244306946	1	24	1.00007368029384	0.392983587406835	2.44698150229095e-05	0.0794453327743794	24	2.00003684014692	0.219357007551568	0.0949642616227977	0.0949642616227977
PF09529.13	Integral membrane protein (intg_mem_TP0381)	NA	NA	metaT	3.9129113183735e-05	0.147962704512895	20	9	0.0111399355405304	0.0507195264246939	1	20	8.78858436579516	0.0448263476834444	2.80427153999119e-05	0.0910453493317139	20	8.89429218289758	0.0128722430301361	0.0182841856772873	0.0182841856772873
PF01637.21	ATPase domain predominantly from Archaea	NA	NA	metaT	6.79667700413499e-05	0.147962704512895	20	7	0.0966267912932733	0.141076245127845	1	21.5696202531646	5.27552399274905	0.30374165866317	0.000120383062619189	0.133035097959998	20.7848101265823	6.17912886020763	0.157829285279582	0.127604314503516	0.127604314503516
PF17871.4	AAA lid domain	NA	FT	metaT	7.64256319811875e-05	0.0827095172774185	20	9	0.181332011554087	0.178667241460789	1	20	8.99647510069064	1.33489345884096	0.000166607458883083	0.189804500808882	20	8.99823755034532	0.715352373316164	0.381059661327911	0.381059661327911
PF01596.20	O-methyltransferase	NA	FT	metaT	7.64256319811875e-05	0.0827095172774185	24	7	0.0594696923009979	0.0631532609877791	1	22.1176470588235	6.2921906181875	0.220144676092415	6.39099052858194e-05	0.15562061937097	23.0588235294118	6.64271680326461	0.145596361079468	0.0780043465935379	0.0780043465935379
PF13516.9	Leucine Rich repeat	NA	FT	metaT	7.64256319811875e-05	0.0827095172774185	24	9	0.025682267788258	0.385076589300887	1	20	8.66322071811813	0.13683887224237	0.000336484883494914	0.25210482809542	22	8.88977139496497	0.0414709176667753	0.0597095648919228	0.0597095648919228
PF13542.9	Helix-turn-helix domain of transposase family ISL3	NA	FT	metaT	7.64256319811875e-05	0.0827095172774185	20	9	0.0281152342435962	0.0989296886231034	1	20	8.55669317340234	0.0849858082441509	9.67213628602082e-05	0.188413214851685	20	8.77834658670117	0.0296398899013246	0.036125474723248	0.036125474723248
PF07488.15	Glycosyl hydrolase family 67 middle domain	xylan catabolic process	FT	metaT	7.64256319811875e-05	0.0827095172774185	20	7	0.0125550988308952	0.192064424654148	1	20	5.573678841481	0.0340892476555456	0.000178039000672592	0.189804500808882	20	6.2868394207405	0.016098998585695	0.0178545074025152	0.0178545074025152
PF07477.15	Glycosyl hydrolase family 67 C-terminus	xylan catabolic process	FT	metaT	7.64256319811875e-05	0.0827095172774185	20	7	0.0125550988308952	0.192064424654148	1	20	5.573678841481	0.0340892476555456	0.000178039000672592	0.189804500808882	20	6.2868394207405	0.016098998585695	0.0178545074025152	0.0178545074025152
PF03946.17	Ribosomal protein L11, N-terminal domain	NA	NA	metaG	9.14908431321247e-05	0.189386045283498	20	11	0.621707945877379	0.0494866500837642	1	21.4609571788413	9.11647772382929	1.58181599517298	6.02408568632917e-05	0.124698573707014	20.7304785894206	10.1039691512406	0.979021904984714	0.719823510053372	0.719823510053372
PF00298.22	Ribosomal protein L11, RNA binding domain	translation	NA	metaG	9.14908431321247e-05	0.189386045283498	20	11	0.621707945877379	0.0494866500837642	1	21.4609571788413	9.11647772382929	1.58181599517298	6.02408568632917e-05	0.124698573707014	20.7304785894206	10.1039691512406	0.979021904984714	0.719823510053372	0.719823510053372
PF13274.9	Protein of unknown function (DUF4065)	NA	NA	metaT	0.000115014916222899	0.147962704512895	20	7	0.127896920416506	0.015228840752545	1	20	6.22860152526785	0.246382807328331	2.49682801913842e-05	0.0910453493317139	20	6.61430076263392	0.117859034845135	0.12855637449502	0.12855637449502
PF07081.14	Protein of unknown function (DUF1349)	NA	NA	metaT	0.000115014916222899	0.147962704512895	24	5	0.192016245917014	0.116624558745893	1	22.9032258064516	4.82606706184336	0.676044561509311	0.000163903611449689	0.133035097959998	23.4516129032258	4.91368673419878	0.300813825952308	0.374179561735331	0.374179561735331
PF13103.9	TonB C terminal	NA	NA	metaT	0.000152516775941146	0.147962704512895	24	5	0.012622686455808	0.258127442235443	1	23.0894308943089	4.95548836329207	0.128417424348275	0.000438667955795724	0.164563584201917	23.5447154471545	4.97917563491671	0.0442665771730418	0.0791969329947422	0.0791969329947422
PF01361.24	Tautomerase enzyme	cellular aromatic compound metabolic process	NA	metaT	0.000190018635659392	0.147962704512895	24	5	0.244288604613199	0.0944892241388658	1	21.9023136246787	5.03108962647576	0.843734465918979	0.000214157679598981	0.153108977427015	22.9511568123393	5.02675302388955	0.479215568601961	0.393121258173483	0.393121258173483
PF13515.9	Fusaric acid resistance protein-like	NA	NA	metaT	0.000190018635659392	0.147962704512895	24	5	0.017563911838802	0.0179759735827737	1	23.0894308943089	5.59471489951039	0.0344636417997898	4.64104342597915e-05	0.113009407422592	23.5447154471545	5.30509113648154	0.0175896532975027	0.0177424389075949	0.0177424389075949
PF06013.15	Proteins of 100 residues with WXG	NA	NA	metaT	0.000190018635659392	0.147962704512895	20	7	0.103039792539666	0.650554360012816	1	20.4807692307692	5.25837933369761	0.485447232166851	0.0012359666966989	0.209182347214117	20.2403846153846	6.14039794089265	0.16876048499262	0.279224442872986	0.279224442872986
PF18435.4	Esterase Ig-like N-terminal domain	NA	NA	metaT	0.000190018635659392	0.147962704512895	24	7	0.00415394827794161	0.278182532080143	1	21.734693877551	5.27858537698397	0.0148800046434392	0.0005734167450826	0.175431886822478	22.8673469387755	6.11165472195666	0.00500948502896739	0.0089957705675346	0.0089957705675346
PF04028.16	Domain of unknown function (DUF374)	NA	NA	metaT	0.000248540121176676	0.147962704512895	24	9	0.00373973532696042	0.145701356653237	1	20	8.93311108819219	0.02908738311637	0.00040652672899899	0.164563584201917	22	9.03821109850571	0.00714730652456859	0.0115271292444701	0.0115271292444701
PF10043.12	Predicted periplasmic lipoprotein (DUF2279)	NA	NA	metaT	0.000248540121176676	0.147962704512895	24	7	0.044228279464366	0.481182189497916	1	20	8.38005149803321	0.21085697625585	0.00119968788285452	0.209182347214117	22	7.8173616572516	0.0651035953463785	0.10427464754691	0.10427464754691
PF20310.1	Transposon related HTH domain protein	NA	FA	metaT	0.000249853027630805	1	24	19	0.0347937366848661	0.119229129846508	1	24	18.1055784407931	0.0731301620834619	0.000340239142028187	1	24	18.5527892203965	0.0310874385845012	0.0393012744266307	0.0393012744266307
PF01641.21	SelR domain	NA	FT	metaT	0.000249853027630805	0.152098030570253	20	9	0.0173409215162898	0.473316717577524	1	20	8.80430891492622	0.0804719158907006	0.0011876373464853	0.365174712180045	20	8.90215445746311	0.0272620251042214	0.0346925458474297	0.0346925458474297
PF05066.16	HB1, ASXL, restriction endonuclease HTH domain	regulation of transcription, DNA-templated	FT	metaT	0.000249853027630805	0.152098030570253	24	9	0.0170128471063336	0.280189709135763	1	20	8.92424184738996	0.0870420583998703	0.000739750838305575	0.349248724190982	22	9.03333301606448	0.0265971836937671	0.0355174519771975	0.0355174519771975
PF06838.14	Methionine gamma-lyase	NA	FT	metaT	0.000249853027630805	0.152098030570253	24	5	0.0275731390535575	0.100977715784014	1	23.7974683544304	4.31007295127527	0.0916791808238373	0.000292347677627647	0.237288865007773	23.8987341772152	4.65365832041232	0.0649717120731167	0.0308855535670187	0.0308855535670187
PF15609.9	Phosphoribosyl transferase	NA	FT	metaT	0.000249853027630805	0.152098030570253	24	11	0.00620864900787181	0.0648297947068961	1	24	9.01366180381487	0.0248867402687728	0.000194871150727804	0.189804500808882	24	10.0068309019074	0.0172672585764649	0.00698468674041504	0.00698468674041504
PF12500.11	TRSP domain C terminus to PRTase_2	NA	FT	metaT	0.000249853027630805	0.152098030570253	24	11	0.00620864900787181	0.0648297947068961	1	24	9.01366180381487	0.0248867402687728	0.000194871150727804	0.189804500808882	24	10.0068309019074	0.0172672585764649	0.00698468674041504	0.00698468674041504
PF01813.20	ATP synthase subunit D	NA	FT	metaT	0.000249853027630805	0.152098030570253	24	3	1.06025863411748	0.0965480720364541	1	24	1.00007368029384	3.62871717755736	0.000280605226397834	0.237288865007773	24	2.00003684014692	1.79161517945189	1.24623472007116	0.695592856303227
PF12892.10	Spy0128-like isopeptide containing domain	NA	FT	metaT	0.000249853027630805	0.152098030570253	24	9	0.0842884149376129	0.746427306691345	1	20	8.93089731537293	1.23572684219648	0.00178796558348349	0.366221786300128	22	9.03699352345511	0.290281335469288	0.478803242139652	0.478803242139652
PF03235.17	Protein of unknown function DUF262	NA	NA	metaT	0.00030706160669396	0.147962704512895	24	5	0.298150546741701	0.0744745974148919	1	24	4.42979487895273	0.942473837655161	0.000267233328158034	0.153108977427015	24	4.71489743947637	0.567690869049391	0.334048583273184	0.334048583273184
PF13425.9	O-antigen ligase like membrane protein	NA	NA	metaT	0.00030706160669396	0.147962704512895	24	7	0.010132645375131	0.186151209109977	1	20.5797101449275	8.08705776484176	0.0362432528195902	0.000615592467731352	0.177320305592129	22.2898550724638	7.63014430217325	0.0118411619938752	0.0178529546715749	0.0178529546715749
PF03611.17	PTS system sugar-specific permease component	phosphoenolpyruvate-dependent sugar phosphotransferase system	NA	metaT	0.00030706160669396	0.147962704512895	24	7	0.0320436384616477	0.0417541363217743	1	21.4070351758794	5.31474833703416	0.13349316544188	0.000157243245521799	0.133035097959998	22.7035175879397	6.12924337907693	0.0778670023988988	0.06151612021433	0.06151612021433
PF09913.12	Predicted membrane protein (DUF2142)	NA	NA	metaT	0.00030706160669396	0.147962704512895	24	5	0.0196923517862358	0.0388452407116316	1	24	3.05357600474597	0.0469644893523145	0.000147149889548559	0.133035097959998	24	4.02678800237299	0.0280584383144482	0.0163275757645811	0.0163275757645811
PF20091.2	Alpha/beta hydrolase domain	NA	NA	metaT	0.00030706160669396	0.147962704512895	20	7	0.00677742136911213	0.0243521630558325	1	20.2375296912114	6.26129623271138	0.0136995546178009	9.574035839921e-05	0.133035097959998	20.1187648456057	6.63305961623601	0.00586187159443729	0.00715494307820204	0.00715494307820204
PF02293.18	AmiS/UreI family transporter	NA	NA	metaT	0.00030706160669396	0.147962704512895	24	19	0.285554402387709	0.114804513191115	1	24	20.9999263197062	0.819703939488441	0.000396690940800193	0.164563584201917	24	19.9999631598531	0.283553228531582	0.211487112116468	0.211487112116468
PF17210.6	SdrD B-like domain	NA	NA	metaG	0.00030706160669396	0.25691774834934	24	5	0.0250149923181622	0.0901466361360623	1	24	2.41889526895035	0.0568085569830992	0.000318182067615802	0.25932543587653	24	3.70944763447518	0.0257408118105051	0.0266307019822517	0.0266307019822517
PF01344.28	Kelch motif	NA	NA	metaT	0.000396590687557074	0.147962704512895	20	9	0.0051019028304223	0.406694243841576	1	20	8.92523864532745	0.0551142668181851	0.00156973376716252	0.209182347214117	20	8.96261932266373	0.0147296620835848	0.0219530158213406	0.0219530158213406
PF09374.13	Predicted Peptidoglycan domain	NA	NA	metaT	0.000396590687557074	0.147962704512895	24	7	0.0445651609562622	0.0771603851535984	1	22.1298701298701	5.29530979125755	0.118601655527064	0.000348683354878032	0.164563584201917	23.064935064935	6.12316400133396	0.0431796612544821	0.0702033031467357	0.0702033031467357
PF05838.15	Glycosyl hydrolase 108	NA	NA	metaT	0.000396590687557074	0.147962704512895	24	5	0.0126428551551785	0.194101385453123	1	22.6595744680851	5.01360393545577	0.0988725822201802	0.000806120510529307	0.177320305592129	23.3297872340425	5.01113298487345	0.0329384024888363	0.0627543900278844	0.0627543900278844
PF00728.25	Glycosyl hydrolase family 20, catalytic domain	carbohydrate metabolic process	NA	metaG	0.000396590687557074	0.25691774834934	20	11	0.515698169765191	0.16936071169907	1	20	9.11241330827114	4.34221255209551	0.000712528458075345	0.268169801493812	20	10.0562066541356	1.17691734625067	1.69303401120407	1.43853263493617
PF02965.20	Vitamin B12 dependent methionine synthase, activation domain	methionine biosynthetic process	NA	metaG	0.000396590687557074	0.25691774834934	20	9	0.0948875215192716	0.130813164069078	1	20	8.98601704404971	0.564201845120032	0.000563750947557673	0.25932543587653	20	8.99300852202486	0.152834638682742	0.237947523688986	0.237947523688986
PF18202.4	T-Q ester bond containing domain	NA	FT	metaT	0.000476190476190476	0.195503485344755	24	7	0.0110513047454702	0.206120176766176	1	21.203007518797	5.31842624912613	0.0526359701541362	0.00100400043915272	0.349248724190982	22.6015037593985	6.13066066435787	0.0174461833185522	0.0340946705623795	0.0340946705623795
