CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF00308.21	1	0.13380658436214	24	2	41.9084511539737
PF08299.14	1	0.13380658436214	24	2	41.9084511539737
PF01527.23	1	0.898239271017049	20	14	63.5597072405156
PF01025.22	1	0.898239271017049	20	12	37.4017060840812
PF00012.23	1	1	20	0	107.567911981222
PF06100.14	1	1	20	16	44.0216397695497
PF08220.15	1	1	20	6	57.225444694646
PF00455.25	1	1	20	8	155.654708635814
PF00294.27	1	0.898239271017049	24	22	312.811312074867
PF00359.25	1	1	20	16	69.6592103350304
PF02302.20	1	1	24	18	114.928363243288
PF02378.21	1	0.00173133450911229	24	4	309.131528385572
PF13396.9	1	1	20	0	69.6818377520283
PF13091.9	1	1	20	0	231.177248400443
PF10298.12	1	0.0832745443856555	20	4	66.5882455843372
PF14527.9	1	0.0498794826572604	20	4	74.0065028257653
PF02650.17	1	0.0498794826572604	20	4	74.0065028257653
PF01226.20	1	1	20	8	22.3664945957117
PF04167.16	1	0.259810405643739	20	8	119.785302946564
PF03462.21	1	1	24	12	58.1832208297633
PF00472.23	1	1	20	12	45.9647692042503
PF00268.24	1	1	20	14	58.8659324269989
PF08343.13	1	1	20	16	8.50720168445535
PF00317.24	1	1	24	10	13.7009009922705
PF02867.18	1	1	24	10	13.7009009922705
PF07972.14	1	1	0	0	0
PF02518.29	1	0.647739564961787	24	22	494.687307924031
PF00204.28	1	1	20	16	44.6948054252393
PF01751.25	1	1	24	18	148.050659087629
PF00986.24	1	1	20	16	44.6948054252393
PF00929.27	1	0.455602586713698	24	0	89.317132405407
PF00521.23	1	1	20	0	43.9777991491161
PF03989.16	1	0.207574955908289	20	4	98.2164248000299
PF01544.21	1	0.13380658436214	24	12	34.9112760007422
PF13231.9	1	0.898239271017049	20	6	124.158051281421
PF00535.29	1	0.0156143445032334	24	0	721.789499944496
PF00072.27	1	0.0832745443856555	24	22	979.010905309601
PF00486.31	1	0.0498794826572604	20	16	999.479878857999
PF13522.9	1	0.647739564961787	24	0	53.2018303329994
PF01380.25	1	1	20	2	212.448111087155
PF06114.16	1	1	24	18	102.594122882356
PF01381.25	1	1	24	12	516.055014191317
PF10543.12	1	1	20	8	38.0175960904947
PF10552.12	1	1	20	14	26.0851691579717
PF07193.14	1	1	0	0	0
PF06563.14	1	1	0	0	0
PF00004.32	1	0.312045855379189	24	6	121.94321606605
PF16193.8	1	0.898239271017049	20	4	60.0871058381081
PF12002.11	1	0.898239271017049	20	4	60.0871058381081
PF00692.22	1	1	24	6	77.540268964745
PF07097.14	1	1	0	0	0
PF06605.14	1	0.898239271017049	24	22	35.2517479158835
PF18013.4	1	1	20	10	11.2352196462731
PF01551.25	1	1	20	4	165.423388817906
PF10651.12	1	1	24	10	22.0002132830571
PF00005.30	1	1	24	6	565.483192409819
PF12848.10	1	1	20	6	55.4293934704323
PF04688.16	1	1	0	0	0
PF06971.16	1	1	20	6	63.4055579622165
PF02629.22	1	1	20	6	71.9339728501075
PF00156.30	1	0.312045855379189	20	4	399.274207958015
PF01979.23	1	0.207574955908289	24	0	288.086616363898
PF00730.28	1	0.898239271017049	24	20	60.7189057470982
PF10576.12	1	1	20	6	16.6721636868164
PF01784.21	1	0.647739564961787	24	4	59.4570736960708
PF01521.23	1	1	20	2	82.4005674252308
PF08282.15	1	0.898239271017049	20	6	184.574668879562
PF01966.25	1	0.0285920047031158	24	0	551.823303610857
PF00829.24	1	1	20	6	34.5068109219035
PF06325.16	1	1	20	8	93.6676068766572
PF04327.15	1	1	24	10	37.1033070224205
PF01016.22	1	0.647739564961787	24	12	79.8003590141125
PF01566.21	1	1	20	10	29.6553512961826
PF02562.19	1	1	20	8	33.8986990900831
PF02130.20	1	1	20	6	37.4695883350752
PF20260.1	1	0.312045855379189	20	8	61.6095067380027
PF04452.17	1	0.312045855379189	20	8	61.6095067380027
PF02091.18	1	1	20	16	20.339926560831
PF02092.20	1	0.772989417989418	24	2	7.90262538654086
PF05979.15	1	1	0	0	0
PF00654.23	1	1	20	16	28.6519667736789
PF01522.24	1	1	20	0	117.717722718374
PF17767.4	1	1	24	0	50.8641353143966
PF04095.19	1	1	24	0	49.8683521897907
PF17956.4	1	1	24	0	50.8641353143966
PF00583.28	1	1	24	12	364.184387495023
PF02540.20	1	0.898239271017049	24	8	83.1013102453867
PF02687.24	1	1	20	18	601.008237096631
PF12704.10	1	1	24	18	186.230536184406
PF07685.17	1	1	24	12	39.1837919493666
PF08245.15	1	0.0832745443856555	20	8	149.666221305945
PF08353.13	1	1	24	10	23.2751268095364
PF03306.16	1	1	20	6	38.3216520064049
PF00009.30	1	0.898239271017049	24	10	180.998829887102
PF03144.28	1	1	24	10	125.376926595491
PF14492.9	1	1	24	6	69.2243396646006
PF00679.27	1	1	24	6	94.65861703049
PF06421.15	1	0.0832745443856555	24	10	56.8581027218197
PF13328.9	1	1	24	6	26.3061400270925
PF04607.20	1	0.207574955908289	24	0	233.923297585181
PF02824.24	1	1	20	6	29.1278496374175
PF19296.2	1	1	24	6	28.0823922614331
PF13291.9	1	0.455602586713698	20	18	91.544165212754
PF13460.9	1	1	20	4	44.1383123884455
PF13520.9	1	1	20	10	101.39840531537
PF02424.18	1	1	20	8	63.8736626513621
PF04203.16	1	0.0285920047031158	24	22	213.128347810656
PF00580.24	1	1	20	12	84.6859365420257
PF13361.9	1	0.647739564961787	24	16	90.7743027047372
PF03352.16	1	1	20	10	71.9551860535431
PF00890.27	1	0.0156143445032334	20	10	37.6293944676233
PF00056.26	1	1	20	2	45.8983011668188
PF02866.21	1	0.207574955908289	20	10	37.5579766827235
PF02580.19	1	0.898239271017049	20	18	99.8385277560722
PF13580.9	1	0.551671075837743	24	22	18.0998122780321
PF00367.23	1	0.00804820693709583	24	4	161.361944243466
PF01418.20	1	1	20	8	124.981830681503
PF13238.9	1	1	20	16	24.2721473710094
PF06736.14	1	1	0	0	0
PF01183.23	1	1	20	0	84.7722035693304
PF01643.20	1	1	20	0	51.8620397593461
PF00478.28	1	1	20	8	41.1019958700305
PF00860.23	1	0.647739564961787	20	10	69.8656855151368
PF13419.9	1	1	20	10	273.301720676069
PF00588.22	1	1	24	0	124.549788438198
PF00186.22	1	1	24	0	59.8085057663206
PF06689.16	1	1	20	6	105.102937742006
PF07724.17	1	1	24	6	132.437918135725
PF10431.12	1	1	24	6	86.3663758075155
PF01926.26	1	0.898239271017049	20	6	210.257494279039
PF02152.21	1	1	0	0	0
PF01288.23	1	1	0	0	0
PF01227.25	1	1	0	0	0
PF01712.22	1	1	24	6	37.226343602347
PF03447.19	1	1	20	14	44.6325800284949
PF00742.22	1	1	20	14	44.6325800284949
PF01565.26	1	1	24	4	24.6688342752551
PF02873.19	1	1	24	4	25.30346261137
PF08402.13	1	0.647739564961787	20	0	74.0687282225097
PF00528.25	1	1	20	4	265.95417411276
PF13416.9	1	0.647739564961787	20	4	64.8996745908638
PF01553.24	1	1	24	0	158.93603765391
PF00122.23	1	1	24	6	69.7171930910876
PF01594.19	1	0.898239271017049	20	4	83.652146427931
PF13424.9	1	1	24	6	8.325828795081
PF02525.20	1	1	20	6	30.642472362719
PF02776.21	1	0.312045855379189	24	0	121.74699393427
PF00205.25	1	1	24	0	27.4689771287538
PF02775.24	1	1	24	22	85.4588042538626
PF07517.17	1	1	20	2	63.350403633284
PF01043.23	1	1	20	2	63.350403633284
PF07516.16	1	1	20	2	63.350403633284
PF02810.18	1	1	20	6	236.972695579048
PF13276.9	1	0.455602586713698	20	12	192.702861329302
PF00665.29	1	0.647739564961787	20	14	569.00034153944
PF13333.9	1	0.647739564961787	20	12	76.7741187673295
PF00793.23	1	0.898239271017049	24	20	67.4024790428735
PF11797.11	1	0.13380658436214	20	8	20.4870047713178
PF00381.22	1	0.312045855379189	24	2	237.586817818508
PF00872.21	1	1	20	16	645.939216186787
PF08206.14	1	1	20	4	31.8459681042986
PF17876.4	1	1	20	4	31.8459681042985
PF00773.22	1	1	20	4	31.8459681042985
PF00575.26	1	1	20	0	499.875703930988
PF00155.24	1	1	24	6	172.232827120732
PF13393.9	1	0.0832745443856555	20	10	103.957424756484
PF01634.21	1	1	20	4	68.2131769675039
PF00815.23	1	1	24	0	21.0183955173795
PF00475.21	1	0.772989417989418	20	6	69.9116474559139
PF01636.26	1	1	24	18	28.4796094957647
PF00117.31	1	0.0156143445032334	24	4	125.378340809054
PF05524.16	1	1	24	10	23.0591056878839
PF00391.26	1	1	20	0	56.6265252509812
PF02896.21	1	1	24	6	39.4254456918372
PF00977.24	1	1	24	10	36.7112163122526
PF02811.22	1	1	20	6	198.915501508806
PF17773.4	1	1	0	0	0
PF00581.23	1	1	20	4	96.1764217363071
PF12368.11	1	1	0	0	0
PF00180.23	1	1	24	18	107.785170539742
PF01195.22	1	0.551671075837743	20	8	124.432408712522
PF00920.24	1	0.898239271017049	24	4	84.3965530918251
PF07991.15	1	0.13380658436214	24	4	85.6278027745662
PF01450.22	1	0.13380658436214	24	4	85.6278027745662
PF00291.28	1	0.13380658436214	24	8	179.789323737882
PF00585.21	1	1	0	0	0
PF01131.23	1	1	24	18	117.896443957319
PF01396.22	1	0.898239271017049	20	8	171.257019762695
PF02575.19	1	1	24	6	81.5916372675533
PF01134.25	1	1	24	0	55.9558344690257
PF13495.9	1	0.647739564961787	24	6	259.336715301025
PF00589.25	1	0.13380658436214	20	12	741.872393190365
PF05222.18	1	1	0	0	0
PF01262.24	1	1	0	0	0
PF03780.16	1	1	20	4	52.782692788451
PF01325.22	1	1	20	0	89.2679884841145
PF02742.18	1	1	20	6	76.2968216900285
PF00690.29	1	0.647739564961787	24	6	43.9880521974433
PF00702.29	1	1	20	10	162.394850474084
PF03062.22	1	0.647739564961787	20	6	181.9986788757
PF00501.31	1	1	24	6	62.4453069533652
PF13193.9	1	1	20	6	58.3907566700416
PF07690.19	1	0.0156143445032334	24	4	283.079416469621
PF08543.15	1	1	24	18	75.0279185711892
PF16320.8	1	1	20	8	68.4938983596349
PF00542.22	1	1	20	8	68.4938983596349
PF00466.23	1	0.455602586713698	20	0	103.580536842111
PF00717.26	1	1	24	10	59.6486996337724
PF00764.22	1	1	20	6	49.8001163854062
PF00664.26	1	0.455602586713698	24	2	110.454321862026
PF01479.28	1	1	20	10	176.136763659663
PF00849.25	1	1	24	6	128.51948590778
PF00571.31	1	1	24	18	241.352691758413
PF00206.23	1	1	20	12	52.384591670643
PF14698.9	1	0.898239271017049	24	18	24.7731325254801
PF01177.25	1	1	24	10	48.365573503074
PF14691.9	1	0.312045855379189	24	14	50.9428009438036
PF07992.17	1	1	24	10	99.710187875287
PF00310.24	1	0.455602586713698	20	12	13.2278465556568
PF04898.17	1	1	24	10	8.6990043988522
PF01645.20	1	0.455602586713698	24	4	64.3799511066916
PF01493.22	1	0.0156143445032334	20	6	101.939342002977
PF00132.27	1	0.898239271017049	0	0	0
PF01063.22	1	1	24	12	32.624492670385
PF00282.22	1	1	20	6	27.1387582619397
