CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF00308.21	5.65470297957134	298.862432084429	72	0.25124825295755	20	0.9999999998414	18	15	0.45	1
PF08299.14	5.65114893770218	301.788788357291	72	0.313467985269982	20	0.999999997191224	18	15	0.45	1
PF01527.23	20.9999239465589	3126.30014931477	72	1.17588015952019	20	0.996051453536168	18	15	0.45	1
PF01025.22	8.85227913553765	224.074248072938	72	2.18448428547506	20	0.83317429375915	18	15	0.45	1
PF00012.23	12.9104633264483	761.979619712066	1	1.59992351701079	24	0.966056076725972	18	15	0.45	1
PF06100.14	20.9999263197062	317.926289012343	1	1.79335564472763	24	0.934783280442616	18	15	0.45	1
PF08220.15	2.36798822412406	1109.23089731872	72	0.746174868419218	20	0.999935047600139	18	15	0.45	1
PF00455.25	7.70098219672151	626.162398554132	72	0.289036102247807	20	0.999999999010329	18	15	0.45	1
PF00294.27	3.48864765473871	1942.12171154239	1	2.942795833122	24	0.556198902540099	18	15	0.45	1
PF00359.25	16.5624689595102	333.98005032605	72	1.78823923326139	20	0.935777804402585	18	15	0.45	1
PF02302.20	14.0673910600487	170.711489777404	72	1.81563009349207	20	0.930346743412382	18	15	0.45	1
PF02378.21	20.9999263197062	615.731969635632	72	0.758363785380235	20	0.999923549682165	18	15	0.45	1
PF13396.9	9.74200953422623	344.634751262965	4	3.3777819727256	23.7988826815642	0.405944548960658	18	15	0.45	1
PF13091.9	9.02096494426634	693.04769189813	72	1.20160795778098	20	0.995324188093619	18	15	0.45	1
PF10298.12	12.9201032258614	173.165043566199	1	1.46599903860269	24	0.980493068931472	18	15	0.45	1
PF14527.9	12.7617086920715	196.031067978628	1	2.49762936858564	24	0.724161930283	18	15	0.45	1
PF02650.17	12.7617086920715	196.031067978628	1	2.49762936858564	24	0.724161930283	18	15	0.45	1
PF01226.20	13.6494317674249	105.216792185907	1	0.477215264110352	24	0.999999512445452	18	15	0.45	1
PF04167.16	5.34306243138879	105.760057286708	58	4.45975318166908	20.6796116504854	0.160114092481362	18	15	0.45	1
PF03462.21	5.70020561628802	789.690624043836	64	3.63550930855192	20.3827751196172	0.33026058261805	18	15	0.45	1
PF00472.23	7.32867905754066	890.465789926364	72	3.24278802431045	20	0.449852760090365	18	15	0.45	1
PF00268.24	1.00007368029384	128.837293561866	2	1.38936079102866	23.9325842696629	0.986430494238893	18	15	0.45	1
PF08343.13	5.26633529867223	27.2366215161225	72	1.48567151192822	20	0.978710498943513	18	15	0.45	1
PF00317.24	5.20089421660116	123.251516936247	72	1.42644670843414	20	0.983751035520419	18	15	0.45	1
PF02867.18	8.68512312652017	548.362006148081	72	4.46437927742079	20	0.15943349243174	18	15	0.45	1
PF07972.14	5.18668391625335	35.7103632006893	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF02518.29	13.9327217348144	11797.4614997799	72	2.9992194282043	20	0.535433908331362	18	15	0.45	1
PF00204.28	8.319112249853	871.458050933556	72	4.94901253079737	20	0.101236142438263	18	15	0.45	1
PF01751.25	16.5345133348567	2140.33274878226	32	1.01727283549564	22.0725388601036	0.998807109770385	18	15	0.45	1
PF00986.24	8.52576350853547	826.6568820545	72	5.22619333325955	20	0.0776463143744837	18	15	0.45	1
