FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF00308.21	261.021	143.926	96.762	293.938	538.662	169.468	152.877	394.744	183.586	204.109	0	262.609
PF08299.14	261.021	143.926	96.762	293.938	538.662	169.468	152.877	394.744	183.586	204.109	0	262.609
PF01527.23	977.051	1337.747	570.228	3553.556	230.489	1222.892	1461.451	754.816	2083.476	2176.623	3838.657	1113.065
PF01025.22	604.961	429.893	95.714	0	107.146	152.288	154.587	130.142	443.475	292.195	0	138.417
PF00012.23	792.225	726.954	985.23	667.56	2036.214	1340.41	845.901	1306.852	1005.016	783.529	915.151	1001.181
PF06100.14	90.664	31.608	0	0	76.365	21.555	38.902	0	0	93.241	153.984	26.651
PF08220.15	1251.008	1043.453	521.061	1420.003	1127.452	592.728	1331.134	414.906	946.149	1228.933	2406.716	478.14
PF00455.25	676.203	784.902	521.061	797.033	484.576	423.628	818.522	414.906	497.431	942.168	702.637	339.723
PF00294.27	2209.07	1826.916	1896.808	2164.447	1487.512	1630.77	1323.62	1710.676	1307.783	1426.368	885.886	1858.145
PF00359.25	568.279	380.315	511.634	729.847	152.438	229.452	171.619	278.622	278.677	240.466	142.223	209.235
PF02302.20	1296.812	392.584	511.634	1122.965	152.438	371.233	321.3	737.68	708.832	240.466	142.223	209.235
PF02378.21	2223.774	2149.828	2479.671	2465.784	1618.916	2092.272	2054.164	3092.391	1642.408	634.095	559.046	2302.32
PF13396.9	318.227	644.777	432.81	523.29	477.613	552.548	432.754	532.364	453.806	649.558	0	645.765
PF13091.9	636.454	1302.451	865.62	1046.581	1086.924	1111.506	913.357	1105.808	1044.656	1613.725	0	1300.926
PF10298.12	250.131	285.128	135.977	424.511	155.589	236.744	368.856	139.711	277.016	260.992	0	402.02
PF14527.9	250.131	285.128	135.977	424.511	155.589	260.125	406.739	139.711	277.016	260.992	0	402.02
PF02650.17	250.131	285.128	135.977	424.511	155.589	260.125	406.739	139.711	277.016	260.992	0	402.02
PF01226.20	366.114	33.634	0	0	0	33.076	61.79	53.543	29.178	111.558	0	93.919
PF04167.16	394.501	234.349	274.508	838.425	307.294	252.723	217.292	0	151.692	0	0	148.855
PF03462.21	867.241	470.528	795.634	377.221	712.426	504.105	478.409	747.205	274.253	434.358	770.603	407.44
PF00472.23	867.241	470.528	795.634	377.221	712.426	504.105	478.409	622.537	257.635	434.358	770.603	407.44
PF00268.24	0	28.841	0	0	0	0	0	0	0	0	0	0
PF08343.13	184.826	13.275	0	0	0	0	16.411	0	11.268	0	0	0
PF00317.24	184.826	13.275	0	0	0	2.944	81.102	0	11.268	0	0	0
PF02867.18	184.826	13.275	0	0	0	2.944	142.029	0	11.268	0	0	0
PF07972.14	0	0	0	0	0	0	0	0	0	0	0	0
