CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF00308.21	1	0.455602586713698	24	0	0.145289988600569
PF08299.14	1	0.455602586713698	24	0	0.145289988600569
PF01527.23	1	1	20	18	1.69035554282889
PF01025.22	1	1	24	12	0.172933482421495
PF00012.23	1	1	20	0	0.684814606589969
PF06100.14	1	1	20	18	0.114701760171918
PF08220.15	1	1	20	6	0.203846469224438
PF00455.25	1	0.647739564961787	20	6	0.506433116067051
PF00294.27	1	0.13380658436214	24	0	0.652434167305841
PF00359.25	1	1	20	18	0.177554259067044
PF02302.20	1	1	24	18	0.258049389979038
PF02378.21	1	0.898239271017049	24	2	0.59323807625861
PF13396.9	1	1	20	0	0.345472711369324
PF13091.9	1	1	20	0	0.692006598655222
PF10298.12	1	0.455602586713698	20	4	0.195022081739445
PF14527.9	1	0.455602586713698	20	4	0.219028021255468
PF02650.17	1	0.455602586713698	20	4	0.219028021255468
PF01226.20	1	1	20	8	0.0515093946514558
PF04167.16	1	0.259810405643739	20	8	0.345543971898916
PF03462.21	1	1	24	12	0.197720725629344
PF00472.23	1	1	20	12	0.23944212438555
PF00268.24	1	1	20	14	0.209072570339256
PF08343.13	1	1	20	16	0.0395648012222871
PF00317.24	1	1	24	10	0.0363668850984535
PF02867.18	1	1	24	10	0.0363668850984535
PF07972.14	1	1	0	0	0
PF02518.29	1	1	24	22	5.1686956604271
PF00204.28	1	1	24	22	0.213864930667205
PF01751.25	1	1	20	12	0.407813416881479
PF00986.24	1	1	24	22	0.214143069675172
PF00929.27	1	1	24	22	0.459995732962334
PF00521.23	1	1	24	22	0.284746956868059
PF03989.16	1	1	20	0	0.982078885823711
PF01544.21	1	0.13380658436214	24	12	0.11411187589928
PF13231.9	1	1	20	4	0.457165206499034
PF00535.29	1	0.312045855379189	24	0	2.67740722427705
PF00072.27	1	1	24	22	9.55961827462169
PF00486.31	1	1	20	18	4.59073670143189
PF13522.9	1	1	24	22	0.214609533626902
PF01380.25	1	0.898239271017049	24	0	0.49392942504517
PF06114.16	1	0.898239271017049	24	18	0.203050741856563
PF01381.25	1	1	20	18	3.28513652714337
PF10543.12	1	1	20	8	0.104300901197432
PF10552.12	1	1	20	14	0.0927136439690203
PF07193.14	1	1	0	0	0
PF06563.14	1	1	0	0	0
PF00004.32	1	1	24	6	0.503942466003144
PF16193.8	1	1	20	4	0.182397667960451
PF12002.11	1	1	20	4	0.182397667960451
PF00692.22	1	1	24	6	0.243543587833395
PF07097.14	1	1	0	0	0
PF06605.14	1	1	24	22	0.104368819298595
PF18013.4	1	1	20	10	0.0316715868830581
PF01551.25	1	1	20	4	0.61503597785326
PF10651.12	1	1	24	6	0.0154902717792777
PF00005.30	1	1	20	18	7.09520803944608
PF12848.10	1	1	20	4	0.1722486628619
PF04688.16	1	1	0	0	0
PF06971.16	1	0.898239271017049	20	4	0.157233647037403
PF02629.22	1	0.647739564961787	20	4	0.180456966600777
PF00156.30	1	1	20	4	1.07048162113629
PF01979.23	1	0.647739564961787	24	0	0.760306808834194
PF00730.28	1	0.13380658436214	24	22	0.341169703249939
PF10576.12	1	1	20	6	0.0592573135674046
PF01784.21	1	1	20	4	0.316760013905216
PF01521.23	1	1	20	2	0.237222920140003
PF08282.15	1	1	20	4	0.836841039977368
PF01966.25	1	0.647739564961787	24	0	1.51979010257489
PF00829.24	1	1	20	6	0.134636352808861
PF06325.16	1	1	20	6	0.221236716994241
PF04327.15	1	1	20	6	0.118387919619159
PF01016.22	1	1	24	12	0.258894608200861
PF01566.21	1	1	24	10	0.0516378217644604
PF02562.19	1	1	20	12	0.0999255342246953
PF02130.20	1	1	20	6	0.093600116549282
PF20260.1	1	1	20	6	0.185344094692091
PF04452.17	1	1	20	6	0.185344094692091
PF02091.18	1	1	20	16	0.0564913058785688
PF02092.20	1	0.383824221046443	24	2	0.0193449000949756
PF05979.15	1	1	0	0	0
PF00654.23	1	1	20	16	0.0743559494715428
PF01522.24	1	1	24	22	0.567262043025258
PF17767.4	1	1	20	0	0.145735616759693
PF04095.19	1	1	20	0	0.134968422467098
PF17956.4	1	1	20	0	0.145735616759693
PF00583.28	1	1	20	18	1.37256210377949
PF02540.20	1	1	20	4	0.577246678539597
PF02687.24	1	1	20	18	3.45230648680023
PF12704.10	1	1	24	22	0.549690634917743
PF07685.17	1	1	24	12	0.103449497869132
PF08245.15	1	1	20	6	0.434720738553112
PF08353.13	1	1	24	10	0.072174612951796
PF03306.16	1	1	20	6	0.109164811266978
PF00009.30	1	1	24	12	0.352838421927455
PF03144.28	1	1	20	18	0.123540580668981
PF14492.9	1	1	20	0	0.314237022022229
PF00679.27	1	1	24	6	0.37662559655678
PF06421.15	1	0.207574955908289	20	10	0.0892759158945138
PF13328.9	1	1	20	18	0.149828198810721
PF04607.20	1	0.455602586713698	24	2	0.756503738297793
PF02824.24	1	1	20	18	0.239607883597508
PF19296.2	1	1	20	4	0.138587238098309
PF13291.9	1	1	20	18	0.545128705938619
PF13460.9	1	1	20	4	0.125734416165624
PF13520.9	1	0.898239271017049	24	10	0.228061951574881
PF02424.18	1	1	20	16	0.181323139875372
PF04203.16	1	0.455602586713698	24	22	0.709734319465092
PF00580.24	1	0.898239271017049	24	18	0.160318984497967
PF13361.9	1	0.455602586713698	24	18	0.191361181296987
PF03352.16	1	1	20	12	0.253225268571998
PF00890.27	1	0.00388888888888889	24	10	0.0925827664474904
PF00056.26	1	0.898239271017049	20	0	0.122833696635118
PF02866.21	1	0.647739564961787	20	8	0.135595824065344
PF02580.19	1	0.898239271017049	20	18	0.324597913218431
PF13580.9	1	0.551671075837743	24	22	0.04375465297615
PF00367.23	1	0.898239271017049	24	2	0.370882575410255
PF01418.20	1	1	20	8	0.335843129278284
PF13238.9	1	1	24	18	0.0774513293834569
PF06736.14	1	1	0	0	0
PF01183.23	1	1	20	0	0.408471426988593
PF01643.20	1	1	20	0	0.18823961763541
PF00478.28	1	1	24	0	0.0976333994654571
PF00860.23	1	1	20	12	0.218526201204888
PF13419.9	1	1	20	18	0.955210742875308
PF00588.22	1	0.312045855379189	24	0	0.198706702831666
PF00186.22	1	1	20	4	0.191879497304134
PF06689.16	1	1	20	6	0.281011009779533
PF07724.17	1	0.455602586713698	24	2	0.174381054461516
PF10431.12	1	1	20	18	0.509739016011967
