CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF00308.21	1	0.898239271017049	24	10	0.17523677621237
PF08299.14	1	0.898239271017049	24	10	0.17523677621237
PF01527.23	1	1	24	18	2.06356828579818
PF01025.22	1	1	20	18	0.651490563849931
PF00012.23	1	0.13380658436214	20	10	0.825731566063177
PF06100.14	1	1	24	22	0.0675320344187658
PF08220.15	1	1	20	6	0.533696669762322
PF00455.25	1	1	20	6	0.269131043476663
PF00294.27	1	0.898239271017049	20	6	0.839145961445891
PF00359.25	1	0.455602586713698	24	6	0.416545633276869
PF02302.20	1	1	24	6	0.424140812501172
PF02378.21	1	0.207574955908289	24	8	2.45726010888692
PF13396.9	1	1	24	12	0.320393708542072
PF13091.9	1	1	24	12	0.944157347651266
PF10298.12	1	1	24	10	0.310376707004633
PF14527.9	1	1	24	10	0.327266138436404
PF02650.17	1	1	24	10	0.327266138436404
PF01226.20	1	0.259810405643739	20	16	0.160216119592865
PF04167.16	1	0.383824221046443	24	8	0.429711383935804
PF03462.21	1	0.898239271017049	20	8	0.338147209679089
PF00472.23	1	0.898239271017049	20	8	0.344109573645345
PF00268.24	1	1	0	0	0
PF08343.13	1	1	20	18	0.0313424437975226
PF00317.24	1	1	20	16	0.0313424437975226
PF02867.18	1	1	20	16	0.0313424437975226
PF07972.14	1	1	0	0	0
PF02518.29	1	1	20	8	3.52339377749204
PF00204.28	1	1	24	10	0.371523586838254
PF01751.25	1	1	20	12	0.589411953304605
PF00986.24	1	1	24	10	0.353380191000196
PF00929.27	1	0.647739564961787	20	8	0.946394598119343
PF00521.23	1	1	20	12	0.375089708475208
PF03989.16	1	1	24	6	0.674675053021021
PF01544.21	1	1	20	10	0.190545318307272
PF13231.9	1	0.455602586713698	24	10	0.800020749593291
PF00535.29	1	0.13380658436214	24	8	6.43489790004046
PF00072.27	1	1	20	8	11.0636322878995
PF00486.31	1	1	20	6	5.07673582879125
PF13522.9	1	1	20	6	0.348888882829659
PF01380.25	1	1	24	6	0.589803130855167
PF06114.16	1	1	24	20	0.214473725797941
PF01381.25	1	1	20	12	3.33730493342035
PF10543.12	1	1	20	14	0.119804567189159
PF10552.12	1	1	0	0	0
PF07193.14	1	1	0	0	0
PF06563.14	1	1	0	0	0
PF00004.32	1	1	20	6	0.808172708252882
PF16193.8	1	1	20	12	0.491859377599739
PF12002.11	1	1	20	12	0.491859377599739
PF00692.22	1	0.898239271017049	20	16	0.405888748922867
PF07097.14	1	1	0	0	0
PF06605.14	1	1	20	10	0.189267549545565
PF18013.4	1	0.772989417989418	20	16	0.0431203730883049
PF01551.25	1	1	20	12	0.707124326670328
PF10651.12	1	1	20	10	0.320605479908859
PF00005.30	1	1	20	6	12.3734754462965
PF12848.10	1	1	20	12	0.48517917021952
PF04688.16	1	1	0	0	0
PF06971.16	1	1	20	18	0.293102466671703
PF02629.22	1	1	20	18	0.29775096029046
PF00156.30	1	1	24	10	0.684515884712082
PF01979.23	1	1	24	6	0.239052067791534
PF00730.28	1	1	20	0	0.664068622847914
PF10576.12	1	1	0	0	0
PF01784.21	1	0.898239271017049	20	6	0.525818339728146
PF01521.23	1	1	20	0	0.151644909395858
PF08282.15	1	0.647739564961787	20	8	1.4757831798122
PF01966.25	1	1	20	8	1.48763992044559
PF00829.24	1	1	20	18	0.368823281361316
PF06325.16	1	0.647739564961787	24	10	0.265062909014634
PF04327.15	1	0.647739564961787	20	12	0.334856033230745
PF01016.22	1	1	20	4	0.576360980043391
PF01566.21	1	0.772989417989418	20	16	0.102367338450978
PF02562.19	1	0.898239271017049	20	14	0.273740758928451
PF02130.20	1	1	20	10	0.277918816304444
PF20260.1	1	1	20	10	0.496325735811817
PF04452.17	1	1	20	10	0.496325735811817
PF02091.18	1	1	0	0	0
PF02092.20	1	1	20	16	0.0286208609651977
PF05979.15	1	1	24	6	0.593937566513944
PF00654.23	1	1	20	16	0.0835448079474271
PF01522.24	1	1	24	12	0.847442291045026
PF17767.4	1	1	20	6	0.227067196970448
PF04095.19	1	1	24	6	0.176112180262888
PF17956.4	1	1	24	6	0.122369382800411
PF00583.28	1	1	24	12	1.36628604840008
PF02540.20	1	1	24	6	0.403180119329516
PF02687.24	1	1	20	8	3.76381604818901
PF12704.10	1	1	20	12	0.633323111189398
PF07685.17	1	0.383824221046443	24	22	0.189888720312291
PF08245.15	1	1	20	10	0.827381307639616
PF08353.13	1	1	20	16	0.0436400426293147
PF03306.16	1	1	0	0	0
PF00009.30	1	1	20	8	1.1154190686035
PF03144.28	1	1	20	10	0.861512792927808
PF14492.9	1	1	20	10	0.827966948396171
PF00679.27	1	1	20	12	0.872933991109197
PF06421.15	1	1	20	6	0.268804463577786
PF13328.9	1	0.455602586713698	24	10	0.492045948346616
PF04607.20	1	1	20	8	1.41467076341007
PF02824.24	1	0.455602586713698	20	8	0.363418098602685
PF19296.2	1	0.898239271017049	24	10	0.406986724181141
PF13291.9	1	0.647739564961787	24	10	0.787641764871518
PF13460.9	1	1	0	0	0
PF13520.9	1	1	24	0	0.174212656688541
PF02424.18	1	1	20	8	0.100955480639995
PF04203.16	1	1	20	6	1.16193686509403
PF00580.24	1	0.647739564961787	24	8	0.51549692341788
PF13361.9	1	0.647739564961787	24	6	0.463802356116008
PF03352.16	1	1	20	6	0.499095763397152
PF00890.27	1	1	20	4	0.15015261030085
PF00056.26	1	1	20	0	0.122195585766729
PF02866.21	1	1	20	16	0.148666913965284
PF02580.19	1	0.170690770135215	20	12	0.399032100932899
PF13580.9	1	1	24	0	0.0310387121848269
PF00367.23	1	0.312045855379189	24	8	1.78441382987609
PF01418.20	1	1	20	6	0.499779058779472
PF13238.9	1	0.383824221046443	20	18	0.123050902100624
PF06736.14	1	1	0	0	0
PF01183.23	1	0.898239271017049	24	10	0.709005786081166
PF01643.20	1	1	20	10	0.317040843463788
PF00478.28	1	1	20	6	0.179753462910293
PF00860.23	1	1	20	4	0.671179557797224
PF13419.9	1	1	20	6	1.34807416312568
PF00588.22	1	1	20	12	0.3664561974097
PF00186.22	1	0.170690770135215	20	18	0.400894111742266
PF06689.16	1	1	24	6	0.189382304221914
PF07724.17	1	1	24	12	0.390725415907696
PF10431.12	1	1	20	10	0.360777388955549
PF01926.26	1	1	20	8	1.64226037696774
PF02152.21	1	1	0	0	0
PF01288.23	1	1	0	0	0
PF01227.25	1	1	0	0	0
PF01712.22	1	1	0	0	0
PF03447.19	1	1	20	10	0.234830799937738
PF00742.22	1	1	20	10	0.234830799937738
PF01565.26	1	1	24	12	0.0579654274661373
PF02873.19	1	1	20	14	0.0552884121086121
PF08402.13	1	0.898239271017049	20	8	0.318193047117302
PF00528.25	1	1	20	12	3.57293660512495
PF13416.9	1	1	20	12	1.454822708527
PF01553.24	1	0.772989417989418	24	10	0.595461630973755
PF00122.23	1	1	20	8	0.45009975538056
PF01594.19	1	0.312045855379189	24	8	0.654359885121814
PF13424.9	1	1	24	12	0.302898975437569
PF02525.20	1	1	20	12	0.331978117424077
PF02776.21	1	1	24	6	0.437178273737383
PF00205.25	1	1	24	6	0.379062302670418
PF02775.24	1	1	20	6	0.515533260413583
PF07517.17	1	1	24	14	0.118162624225917
PF01043.23	1	1	24	14	0.118162624225917
PF07516.16	1	1	24	14	0.118162624225917
PF02810.18	1	1	20	12	0.77037076026127
PF13276.9	1	1	20	8	0.538279405547902
PF00665.29	1	1	20	12	3.69474764233304
PF13333.9	1	1	20	12	0.399657658683731
PF00793.23	1	1	20	2	0.243070574557542
PF11797.11	1	1	0	0	0
PF00381.22	1	0.772989417989418	24	8	2.15229642102952
PF00872.21	1	1	20	4	1.25749696022034
PF08206.14	1	0.13380658436214	24	8	0.282329855219534
PF17876.4	1	0.13380658436214	24	8	0.282329855219534
PF00773.22	1	0.13380658436214	24	8	0.282329855219534
PF00575.26	1	1	24	10	1.11166575579001
PF00155.24	1	1	20	8	1.44333136173162
PF13393.9	1	0.647739564961787	24	10	0.610132486237736
PF01634.21	1	0.066577013521458	20	18	0.286663993824315
PF00815.23	1	1	24	12	0.211663642279767
PF00475.21	1	1	20	10	0.131140601339578
PF01636.26	1	1	20	12	0.3180489772413
PF00117.31	1	1	20	12	0.517851879078941
PF05524.16	1	0.647739564961787	20	6	0.795924517728522
PF00391.26	1	1	20	4	0.821612931008655
PF02896.21	1	1	20	4	0.695974975707499
PF00977.24	1	1	24	10	0.4006013629479
PF02811.22	1	1	20	10	0.966695920979706
PF17773.4	1	1	0	0	0
PF00581.23	1	1	20	8	0.744624702150264
PF12368.11	1	1	0	0	0
PF00180.23	1	1	20	6	0.256223882725185
PF01195.22	1	1	20	14	0.148664801046513
PF00920.24	1	1	20	4	0.192125646506865
PF07991.15	1	1	20	6	0.33533779854286
PF01450.22	1	1	20	6	0.33533779854286
PF00291.28	1	1	20	10	0.373162649546487
PF00585.21	1	1	0	0	0
PF01131.23	1	1	20	12	0.553265331471407
PF01396.22	1	1	20	12	0.502234318590044
PF02575.19	1	1	20	2	0.284027940121731
PF01134.25	1	1	24	0	0.203694620973674
PF13495.9	1	1	20	6	0.679921446422039
PF00589.25	1	1	20	12	3.79189333108847
PF05222.18	1	1	0	0	0
PF01262.24	1	1	0	0	0
PF03780.16	1	1	20	6	0.466340710563251
PF01325.22	1	1	20	12	0.670696039395397
PF02742.18	1	1	20	6	0.344533881070165
PF00690.29	1	1	20	6	0.124033482547926
PF00702.29	1	1	20	8	0.164280827617178
PF03062.22	1	0.312045855379189	24	10	1.195813590057
PF00501.31	1	1	20	4	0.574888921773289
PF13193.9	1	1	20	16	0.314017116075213
PF07690.19	1	1	24	12	0.700959611230967
