CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF00308.21	12.9987399126126	0.776744552809516	53	0.376147590790092	20.9336609336609	0.999999972232147	18	15	0.45	1
PF08299.14	12.9982861360087	0.728488388402476	26	0.254094851972834	22.4210526315789	0.999999999816002	18	15	0.45	1
PF01527.23	17.6824613718377	6.9624246713078	72	0.594103369272811	20	0.999994134075978	18	15	0.45	1
PF01025.22	9.18710409514621	0.475945960528377	72	2.16641152070394	20	0.83886848551613	18	15	0.45	1
PF00012.23	13.1045459343384	2.24995055368427	1	0.932770004676389	24	0.99944681941971	18	15	0.45	1
PF06100.14	20.9999263197062	0.709845366319156	1	2.12654027731711	24	0.851133812903423	18	15	0.45	1
PF08220.15	18.1526765944692	3.07391270647186	72	0.846933904494514	20	0.999774757425398	18	15	0.45	1
PF00455.25	8.48667385529098	1.30122795304277	1	0.0203148287513136	24	1	18	15	0.45	1
PF00294.27	12.4953374870268	3.13701021763926	1	2.00087127945443	24	0.886863173541655	18	15	0.45	1
PF00359.25	16.4828032413292	0.849942607534643	72	1.5263829228674	20	0.974662664013614	18	15	0.45	1
PF02302.20	13.9012244154278	0.464488223548931	63	1.26329210945388	20.431654676259	0.993155921166749	18	15	0.45	1
PF02378.21	17.803450994816	1.29024612888862	72	0.222093313128354	20	0.999999999969238	18	15	0.45	1
PF13396.9	12.7274623619669	0.955019474751163	39	3.65833522210983	21.6793893129771	0.324093753668631	18	15	0.45	1
PF13091.9	10.3820312101606	1.49755703675713	1	1.3975914158658	24	0.985865951016554	18	15	0.45	1
PF10298.12	12.9400122778597	0.486252616095468	1	0.858943995408942	24	0.999742512686476	18	15	0.45	1
PF14527.9	12.8405479203847	0.582101178931389	1	1.38894636258708	24	0.986458476355007	18	15	0.45	1
PF02650.17	12.8405479203847	0.582101178931389	1	1.38894636258708	24	0.986458476355007	18	15	0.45	1
PF01226.20	13.4902051446792	0.304260599867539	1	0.222023110108469	24	0.999999999969368	18	15	0.45	1
PF04167.16	5.36908380551795	0.197446748071921	58	4.6454856182019	20.6796116504854	0.134778146281102	18	15	0.45	1
PF03462.21	6.06459159865982	1.55483331715582	32	2.02197825927535	22.0725388601036	0.881192604492161	18	15	0.45	1
PF00472.23	8.05885631835642	1.81780982198276	48	1.91895400376957	21.1940298507463	0.907516318929602	18	15	0.45	1
PF00268.24	1.00005828295621	0.200858435636441	72	1.25704705246261	20	0.993405082036346	18	15	0.45	1
PF08343.13	5.27530725809707	0.0518182539464849	72	1.55643793204775	20	0.971351832527604	18	15	0.45	1
PF00317.24	5.2254803865772	0.24552432831964	72	1.23288923665481	20	0.99430407809778	18	15	0.45	1
PF02867.18	8.76656047581703	1.16983259319598	72	4.44335096513065	20	0.16254852809602	18	15	0.45	1
PF07972.14	5.18668391625332	0.0779823142904016	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF02518.29	13.5865108482168	35.6163250711329	72	2.85715854720774	20	0.588194331999889	18	15	0.45	1
PF00204.28	8.97887689922981	1.83001209325961	72	3.554216705582	20	0.352937553068858	18	15	0.45	1
PF01751.25	15.3330753637431	6.05014791331382	70	3.11144670073149	20.0943396226415	0.495092679191093	18	15	0.45	1
PF00986.24	9.10380374730589	1.74546757952751	72	3.87728410186746	20	0.26938288851905	18	15	0.45	1
PF00929.27	12.2320062688122	1.05049731846175	72	0.431059970314583	20	0.999999853993834	18	15	0.45	1
PF00521.23	8.81631894997508	1.71391443131135	72	3.39397952013737	20	0.400866375117507	18	15	0.45	1
PF03989.16	5.78630282101143	5.81738596014771	72	1.35188065177639	20	0.988794205220933	18	15	0.45	1
PF01544.21	7.12541957649987	1.05558999127982	72	4.28911613369169	20	0.187126581509266	18	15	0.45	1
PF13231.9	9.72892878604047	0.165790687477682	1	0.28926948367208	24	0.999999998999942	18	15	0.45	1
PF00535.29	9.31388804373258	12.1646789096348	72	1.74017574861796	20	0.94467232520833	18	15	0.45	1
PF00072.27	13.8276148242274	56.0209723987462	72	2.90392835937359	20	0.570657331616544	18	15	0.45	1
PF00486.31	13.945937820133	31.9536235294118	72	2.72743024187151	20	0.637359299177691	18	15	0.45	1
PF13522.9	1.00007368029384	0.924591624574985	1	2.05377929693092	24	0.872390027890559	18	15	0.45	1
PF01380.25	5.20351515123026	2.19774351142605	72	0.681129512343076	20	0.999974572148661	18	15	0.45	1
PF06114.16	16.2404898775717	3.01617435588519	36	3.62417483059337	21.8461538461538	0.333355496157433	18	15	0.45	1
PF01381.25	13.81607241473	25.6761497980207	72	2.42381001778244	20	0.751255480653105	18	15	0.45	1
PF10543.12	14.7197126557219	0.398788987152786	1	0.813484933077823	24	0.999847174483526	18	15	0.45	1
PF10552.12	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF07193.14	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF06563.14	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF00004.32	11.1294776264773	4.13965396521392	1	0.954513820742834	24	0.999319019952527	18	15	0.45	1
PF16193.8	9.30918830156169	0.84514989680226	72	2.16343105114971	20	0.839799644554731	18	15	0.45	1
PF12002.11	9.30918830156169	0.84514989680226	72	2.16343105114971	20	0.839799644554731	18	15	0.45	1
PF00692.22	18.8269995740977	0.90420897612007	1	1.47012944903607	24	0.980127933737772	18	15	0.45	1
PF07097.14	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF06605.14	13.3488759907566	0.891080265125682	72	2.09367906716681	20	0.86092036729096	18	15	0.45	1
PF18013.4	13.4577634125181	0.0950958870048487	72	0.177347144205819	20	0.999999999998544	18	15	0.45	1
PF01551.25	13.1238330141284	3.62073090374462	72	1.67971431079937	20	0.954715864872517	18	15	0.45	1
PF10651.12	12.9999978770899	0.0629989466077717	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF00005.30	13.9799767231675	71.3504904801935	72	3.51652966371738	20	0.363827629661445	18	15	0.45	1
PF12848.10	11.4896596406731	1.98143652616497	1	0.973710128626234	24	0.999186767396058	18	15	0.45	1
PF04688.16	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF06971.16	1.00007368029384	0.657671906659847	1	0.647948185539833	24	0.999984997497269	18	15	0.45	1
PF02629.22	1.00007368029384	0.706233456351788	1	0.801602090188925	24	0.999867600262879	18	15	0.45	1
PF00156.30	12.5795729854956	2.86231982036524	1	0.687487989301066	24	0.999971979627117	18	15	0.45	1
PF01979.23	14.5154245397444	3.60227156038671	72	0.748648781378123	20	0.999932842538223	18	15	0.45	1
PF00730.28	9.09568236915126	1.41199027502483	1	0.924908377450793	24	0.999487813963807	18	15	0.45	1
PF10576.12	1.00007368029384	0.378683914586269	1	1.36922175487388	24	0.987741981690351	18	15	0.45	1
PF01784.21	9.28236799478456	0.595574364404641	72	4.17377590435517	20	0.207613603152661	18	15	0.45	1
PF01521.23	5.18668391625321	0.0574570817096768	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF08282.15	18.5165652552748	2.4548794160997	72	0.49481288259883	20	0.999999256589019	18	15	0.45	1
PF01966.25	12.8794585538858	4.6831745430787	72	0.210586898061898	20	0.999999999984949	18	15	0.45	1
PF00829.24	13.1439947558032	1.27913611920929	1	0.546595426927472	24	0.999997679887521	18	15	0.45	1
PF06325.16	9.64186896351928	0.649880442961284	72	2.21256386515046	20	0.82416882098143	18	15	0.45	1
PF04327.15	16.3550736614794	0.797387808960747	1	3.71258711173416	24	0.309789553856802	18	15	0.45	1
PF01016.22	15.573472512786	1.32381350590599	62	1.86466059782507	20.4807692307692	0.919971364528377	18	15	0.45	1
PF01566.21	17.6872208499669	0.0844495807980079	72	1.33744301430923	20	0.989617821288734	18	15	0.45	1
PF02562.19	16.2223016299332	0.751043366183251	72	2.37497466126305	20	0.768799744526259	18	15	0.45	1
PF02130.20	8.9810211524356	0.432995626240545	15	2.33747031950226	23.0894308943089	0.782025392983805	18	15	0.45	1
PF20260.1	13.0451249784276	0.391429441743151	1	0.217016013966366	24	0.999999999977443	18	15	0.45	1
PF04452.17	12.9735932231102	0.391413949277303	1	0.305703445129584	24	0.999999997962432	18	15	0.45	1
PF02091.18	12.6999939211744	0.0810166504446548	10	2.189306006618	23.4065934065934	0.831641426268317	18	15	0.45	1
PF02092.20	8.23474446111372	0.0720489775941399	72	5.09869476772941	20	0.0877592015044241	18	15	0.45	1
PF05979.15	16.8133160837464	0.185370810388887	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF00654.23	9.11517587556064	1.37979565300448	72	3.79490398793238	20	0.28903040948091	18	15	0.45	1
