CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF13561.9	1	1	20	6	8.46477527758416
PF08240.15	1	1	24	6	16.8160599167879
PF00107.29	1	1	24	6	17.4598806410582
PF12698.10	1	1	20	10	2.41052701706494
PF01264.24	1	1	24	22	0.499217387517703
PF03703.17	1	0.647739564961787	24	8	0.19869700551342
PF07905.14	1	0.207574955908289	20	8	1.16248354827068
PF17853.4	1	1	24	6	4.0001030611723
PF13556.9	1	1	24	6	2.16516096399321
PF13649.9	1	1	20	4	4.85711647997039
PF00092.31	1	1	24	22	1.31557216639757
PF00144.27	1	1	20	6	0.376180807591243
PF07732.18	1	0.772989417989418	20	10	0.0763675323681471
PF00394.25	1	1	20	14	0.0233345237791561
PF07731.17	1	1	20	8	0.117379725676967
PF00795.25	1	1	20	4	1.60866792719939
PF00672.28	1	1	24	12	37.7338694945436
PF01966.25	1	1	24	6	29.3322034971804
PF00587.28	1	1	24	22	11.5279618536843
PF04073.18	1	1	20	10	1.58816183054499
PF03129.23	1	1	24	22	10.8394166255039
PF01648.23	1	1	24	6	1.06012984169393
PF01134.25	1	1	24	22	2.83107877517564
PF03738.17	1	0.259810405643739	20	14	0.0834386001800126
PF00005.30	1	1	20	4	439.946990011865
PF12848.10	1	1	20	4	4.61175042689866
PF16326.8	1	1	24	22	0.984292639411674
PF01513.24	1	1	20	10	0.613061579288737
PF20143.2	1	1	24	6	0.81052114793508
PF12419.11	1	1	20	10	0.364159992311072
PF00176.26	1	0.455602586713698	24	10	2.04318504423853
PF00271.34	1	1	20	4	13.9257609486879
PF10646.12	1	1	20	10	2.38577827972341
PF00977.24	1	1	20	12	1.59169736445092
PF01205.22	1	1	20	4	1.85474108705231
PF09186.14	1	1	24	10	0.679529616720272
PF03806.16	1	1	20	0	0.0395979797464467
PF01471.21	1	1	20	18	1.43542676580869
PF07486.15	1	1	24	12	2.26238814640636
PF02463.22	1	1	24	22	2.70945640881155
PF13673.10	1	1	20	4	7.50805980263876
PF07670.17	1	1	20	4	4.55235345727899
PF00015.24	1	1	24	6	50.1823076006375
PF03807.20	1	1	24	6	1.3615341071747
PF14748.9	1	1	24	6	1.71155196386204
PF11023.11	1	1	0	0	0
PF08455.13	1	0.455602586713698	24	10	1.60619305346524
PF02746.19	1	1	20	0	0.453255446740577
PF13378.9	1	0.455602586713698	24	2	0.448305699272271
PF09339.13	1	1	24	12	0.916056835027172
PF01614.21	1	1	24	12	0.941159125759295
PF10750.12	1	1	0	0	0
PF01546.31	1	1	20	6	6.96217336756275
PF07687.17	1	1	20	4	8.99298404313051
PF04211.16	1	1	0	0	0
PF13190.9	1	1	24	10	0.161927452891719
PF01912.21	1	1	0	0	0
PF03833.16	1	1	0	0	0
PF10672.12	1	1	20	18	1.68008571209924
PF01368.23	1	1	24	22	7.88070507632407
PF02833.17	1	0.898239271017049	24	18	1.81478955391527
PF04851.18	1	1	20	6	10.867524120056
PF18195.4	1	1	0	0	0
PF00710.23	1	0.455602586713698	24	18	1.92297689143682
PF17763.4	1	0.455602586713698	24	18	1.92297689143682
PF01844.26	1	0.207574955908289	24	6	0.925779553268487
PF17957.4	1	1	20	6	0.00848528137423857
PF13750.9	1	0.170690770135215	20	4	0.00424264068711929
PF19077.3	1	1	0	0	0
PF05124.15	1	1	0	0	0
PF01987.20	1	0.0156143445032334	24	8	1.91891102744499
PF01751.25	1	1	20	4	8.95621449050882
PF01131.23	1	1	20	4	3.23642773749083
PF01396.22	1	1	24	10	2.77486378607131
PF02778.17	1	1	0	0	0
PF01974.20	1	1	0	0	0
PF04509.15	1	1	24	10	36.8750883087926
PF03358.18	1	1	20	10	2.25284220486034
PF00596.24	1	1	24	6	7.44265242537901
PF00004.32	1	1	20	12	28.4992317089426
PF16193.8	1	1	20	6	1.26077139085561
PF12002.11	1	1	20	6	1.26077139085561
PF00872.21	1	1	20	0	5.17602163828553
PF00266.22	1	1	24	22	15.4502831689261
PF13395.9	1	1	20	4	0.261629509039023
PF03990.17	1	1	20	8	0.206475180106472
PF07501.15	1	1	24	10	3.89191572365076
PF06737.17	1	1	24	18	0.0473761543394987
PF00501.31	1	1	24	4	5.32027142164758
PF13193.9	1	0.455602586713698	20	6	2.73721034997312
PF00550.28	1	1	20	4	34.8836988362759
PF00668.23	1	1	24	6	1.86676190233249
PF13434.9	1	1	0	0	0
PF01032.21	1	1	20	4	1.81726442764943
PF13276.9	1	0.898239271017049	20	4	8.71862661203013
PF00665.29	1	0.647739564961787	20	4	11.39431867204
PF13333.9	1	0.455602586713698	20	6	9.10824244846392
PF06808.15	1	1	24	10	6.38022448664622
PF00378.23	1	1	20	18	26.5094332266837
PF07690.19	1	0.207574955908289	20	4	15.1179429817684
PF01925.22	1	0.647739564961787	24	6	1.24008851750591
PF01557.21	1	1	20	8	0.0869741340859454
PF01566.21	1	0.0498794826572604	20	8	0.922774349448445
PF13091.9	1	1	20	4	4.28435998720929
