CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF13561.9	9.52552788538143	428.461287646756	72	0.694135950908728	20	0.999969026879296	18	15	0.45	1
PF08240.15	8.40676727023543	195.133360673198	72	0.318497578923118	20	0.999999996558956	18	15	0.45	1
PF00107.29	8.83703807287672	192.839969164018	72	0.190882803129286	20	0.999999999996022	18	15	0.45	1
PF12698.10	7.3792489457496	203.833522584924	72	3.53367100086872	20	0.358844963975106	18	15	0.45	1
PF01264.24	8.42627478722189	40.3666474044119	41	2.82771670595325	21.5696202531646	0.599298093746549	18	15	0.45	1
PF03703.17	9.0564994239568	31.7702325360112	72	0.798481015282047	20	0.999872562239708	18	15	0.45	1
PF07905.14	5.3139895771162	6.78808266473235	72	3.32016773448695	20	0.424343227386222	18	15	0.45	1
PF17853.4	9.04773317409202	268.249872575031	72	1.07770299345919	20	0.998052658868287	18	15	0.45	1
PF13556.9	9.13659696893644	226.691660135923	72	0.594071271851033	20	0.999994137555715	18	15	0.45	1
PF13649.9	9.47022371851687	227.852649733984	46	0.818267949054519	21.3	0.999838228385359	18	15	0.45	1
PF00092.31	5.05004909170377	82.7974516335165	22	3.05396601532527	22.6595744680851	0.515580868665183	18	15	0.45	1
PF00144.27	5.6164766729921	189.014060821958	61	2.82299536070644	20.5301204819277	0.601082594066216	18	15	0.45	1
PF07732.18	8.64522560918066	4.56704289590317	72	2.56684549447651	20	0.698285138967587	18	15	0.45	1
PF00394.25	8.80517817083028	3.60655169776703	72	2.43297397532094	20	0.747926796820279	18	15	0.45	1
PF07731.17	8.62020918881903	4.10223874562223	65	2.69880621342174	20.3341288782816	0.648254214773584	18	15	0.45	1
PF00795.25	5.47823283582284	167.467729508997	48	2.33267044596943	21.1940298507463	0.783700963036442	18	15	0.45	1
PF00672.28	6.27717047822966	1189.28624688521	39	2.47815874553532	21.6793893129771	0.731366236530803	18	15	0.45	1
PF01966.25	9.97936693392535	1024.09548233768	72	0.125105007367497	20	0.999999999999989	18	15	0.45	1
PF00587.28	7.83731369889212	513.619491466613	50	1.27474150478046	21.0891089108911	0.992680511011155	18	15	0.45	1
PF04073.18	8.39761864004614	129.201250183217	72	3.66550229040587	20	0.322175595234275	18	15	0.45	1
PF03129.23	6.16403674005755	414.940917219624	41	1.50103310158528	21.5696202531646	0.977240871878162	18	15	0.45	1
PF01648.23	11.6968307126244	51.2872801141031	72	0.833119678271835	20	0.999807563406863	18	15	0.45	1
PF01134.25	6.26022902190443	71.085814543976	72	3.05647055473057	20	0.51468025642931	18	15	0.45	1
PF03738.17	9.53978296745708	2.40943810882797	72	2.12811139374967	20	0.850658474296552	18	15	0.45	1
PF00005.30	9.584336672371	9814.34660984777	72	0.450078173743032	20	0.999999755537214	18	15	0.45	1
PF12848.10	5.91810664393354	249.306944247124	48	3.37193944617948	21.1940298507463	0.407786529988	18	15	0.45	1
PF16326.8	5.86182131881507	41.2492576008312	14	3.69645721875274	23.1521739130435	0.313990560283048	18	15	0.45	1
PF01513.24	8.71048278467664	55.9421849620128	72	2.2950996993586	20	0.796672119942013	18	15	0.45	1
PF20143.2	8.66833467946965	54.1554096972746	72	2.50860167673859	20	0.720086036956613	18	15	0.45	1
PF12419.11	5.06229988739634	7.31059824836991	34	1.24948477209286	21.9587628865979	0.993697431008591	18	15	0.45	1
PF00176.26	5.76065192568566	236.848520091938	46	3.4972542647351	21.3	0.369489201961104	18	15	0.45	1
PF00271.34	5.65531609269584	860.184110089359	56	3.48170632973121	20.780487804878	0.374100952409745	18	15	0.45	1
PF10646.12	10.7759371888528	55.2894445273722	1	0.547434983704038	24	0.999997639408658	18	15	0.45	1
PF00977.24	9.19338436701702	100.993746105338	72	0.760576799174963	20	0.999921285068847	18	15	0.45	1
PF01205.22	5.618427890924	41.7951019298754	70	2.05995858430478	20.0943396226415	0.870644233764141	18	15	0.45	1
PF09186.14	7.04380178072462	34.8766075675775	72	2.49824664409125	20	0.723932926981284	18	15	0.45	1
PF03806.16	10.6400528982173	9.44759509594477	72	1.4101528552623	20	0.984971565178197	18	15	0.45	1
PF01471.21	7.00123625700534	101.272644686913	62	3.18958084020168	20.4807692307692	0.467898822578744	18	15	0.45	1
PF07486.15	6.56499835734881	120.278026596742	58	1.76883931099207	20.6796116504854	0.939465367726835	18	15	0.45	1
PF02463.22	6.79704141907893	172.761023422025	42	3.05141807813546	21.5151515151515	0.51649779700385	18	15	0.45	1
PF13673.10	5.20398552769552	526.395550734651	39	3.32539756652647	21.6793893129771	0.422651770910253	18	15	0.45	1
