FeatureID	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF13561.9	537.017	173.745	278.544	145.512	205.867	484.837	699.785	314.773	262.767	551.011	272.32	265.361	414.922	132.252	135.521	370.527	334.822	163.592
PF08240.15	140.61	97.479	87.113	97.587	77.752	228.842	319.785	144.734	113.846	109.548	64.687	32.062	368.18	45.979	35.367	150.354	87.323	66.431
PF00107.29	139.101	91.465	75.39	82.6	52.435	149.828	321.913	145.664	110.175	110.336	65.49	32.701	366.421	42.418	33.875	146.476	82.716	63.58
PF12698.10	42.742	107.074	142.335	64.005	132.024	342.32	174.734	201.702	203.817	102.864	66.4	40.942	62.509	46.424	68.197	101.663	177.006	38.845
PF01264.24	23.022	24.669	33.983	12.3	17.712	64.993	49.318	36.323	34.523	28.58	18.7	20.563	20.009	9.014	12.669	17.852	27.933	15.129
PF03703.17	24.445	21.662	22.437	11.555	7.065	40.433	46.571	27.732	20.993	39.248	13.293	10.69	32.256	1.944	9.953	19.872	26.211	16.059
PF07905.14	1.599	1.835	2.996	5.902	12.333	7.654	5.207	2.563	2.327	0.787	1.623	0.296	3.558	5.069	0.634	4.482	4.748	1.635
PF17853.4	249.586	107.04	124.041	79.93	67.693	228.811	522.217	147.578	134.826	295.456	74.837	49.39	132.502	53.635	52.338	195.163	148.817	66.416
PF13556.9	238.504	85.254	115.474	64.787	58.522	182.112	490.163	91.56	97.561	286.091	64.966	47.891	126.64	45.258	46.286	222.435	117.094	63.939
PF13649.9	128.083	155.176	224.849	66.469	142.172	345.43	334.425	206.253	141.396	437.368	109.706	57.661	210.889	60.519	62.967	156.894	228.334	54.972
PF00092.31	68.949	73.547	48.054	45.339	35.885	197.208	74.078	62.86	38.282	37.913	40.134	34.027	12.013	6.417	10.382	27.348	76.349	19.477
PF00144.27	95.574	77.338	171.801	122.104	137.788	344.107	179.618	151.448	133.169	156.982	63.791	32.334	94.458	66.697	65.491	92.647	198.176	26.776
PF07732.18	0	1.226	3.266	0.183	2.977	2.048	0	7.27	6.32	0	0.062	0	0	0.146	0.295	0	1.829	0.3
PF00394.25	0	0.761	1.427	0.046	1.633	0.937	0	5.923	4.866	0	0.062	0	0	0.092	0.083	0	1.669	0.072
PF07731.17	0	1.135	2.913	0.237	2.618	2.048	0	6.899	5.296	0	0.062	0	0	0.092	0.203	0	1.265	0.24
PF00795.25	119.582	91.424	120.657	84.772	116.581	347.06	162.383	132.514	113.425	155.897	78.8	55.846	122.977	42.66	35.109	115.879	129.783	48.839
