CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF08455.13	1	0.551671075837743	24	8	0.0441702295033188
PF00176.26	1	0.455602586713698	24	8	0.0717915332105375
PF00271.34	1	1	20	8	0.124850649484522
PF01565.26	1	1	24	6	0.207656619078328
PF04030.17	1	1	0	0	0
PF08447.15	1	1	24	6	0.200568875654801
PF00015.24	1	1	24	12	1.5508419515208
PF08448.13	1	1	20	18	0.204979382862947
PF00512.28	1	1	24	6	1.17443865384403
PF02518.29	1	1	24	6	1.933981638732
PF01025.22	1	1	20	14	0.25990568909794
PF00012.23	1	0.898239271017049	24	14	0.196798241704509
PF06100.14	1	1	24	18	0.023811165035262
PF00359.25	1	1	20	14	0.0989633725188602
PF02302.20	1	0.13380658436214	24	20	1.9021290802712
PF02378.21	1	1	24	18	0.565138051524853
PF04167.16	1	0.108540564373898	20	4	0.106493991808465
PF00521.23	1	0.455602586713698	20	0	0.303828538084183
PF03989.16	1	0.13380658436214	24	0	1.09420933622235
PF01544.21	1	1	0	0	0
PF00471.23	1	1	20	6	0.290877864573058
PF00122.23	1	1	20	14	0.103106774810567
PF00702.29	1	1	20	0	0.234163273440037
PF10543.12	1	1	20	8	0.0227412739722944
PF10552.12	1	1	0	0	0
PF00692.22	1	0.170690770135215	24	0	0.119076814075823
PF06605.14	1	1	0	0	0
PF18013.4	1	0.383824221046443	24	18	0.050769142878478
PF01551.25	1	1	20	18	0.36326379266968
PF01521.23	1	1	0	0	0
PF08282.15	1	1	24	18	0.628456544358809
PF01219.22	1	0.259810405643739	24	16	0.114999199228124
PF00654.23	1	0.170690770135215	24	20	0.0503752507921796
PF17767.4	1	1	24	10	0.0814097505625875
PF04095.19	1	1	24	10	0.0814097505625875
PF17956.4	1	0.647739564961787	20	14	0.0815883598726715
PF00583.28	1	1	24	6	0.384192715162556
PF00005.30	1	1	20	2	7.63675185346219
PF02687.24	1	1	24	10	0.78283417051486
PF12704.10	1	1	24	10	0.118055745620703
PF08245.15	1	0.455602586713698	20	18	0.171296903076898
PF08353.13	1	0.383824221046443	20	14	0.0383999779638548
PF13328.9	1	1	20	8	0.117383231429149
PF04607.20	1	1	24	6	0.388655058053558
PF02824.24	1	1	24	0	0.081149085035828
PF19296.2	1	0.898239271017049	20	4	0.0223766876770271
PF13291.9	1	1	24	0	0.0962530135091203
PF13460.9	1	1	0	0	0
PF13520.9	1	1	20	2	0.112814759809817
PF00580.24	1	1	24	12	0.0442411778696126
PF13361.9	1	1	20	16	0.0895079298800332
PF00890.27	1	1	24	18	0.131730461295849
PF00056.26	1	0.647739564961787	24	20	0.565314829326321
PF02866.21	1	0.647739564961787	24	20	0.565314829326321
PF00478.28	1	0.647739564961787	24	16	0.370732738056625
PF00588.22	1	1	20	8	0.196619667804679
PF01288.23	1	1	0	0	0
PF01227.25	1	1	24	10	0.0154175707284241
PF00528.25	1	1	20	2	2.13297074042326
PF01594.19	1	1	24	18	0.0447192631852917
PF02776.21	1	1	20	14	0.0608290856690441
PF00205.25	1	1	20	14	0.116309240494203
PF02775.24	1	1	20	14	1.16397075506722
PF07517.17	1	1	20	0	0.130552219780588
PF01043.23	1	1	24	10	0.0727676062790275
PF07516.16	1	1	20	0	0.114977208191395
PF02810.18	1	1	24	10	0.212588684576946
PF00665.29	1	1	20	2	0.198685827856088
PF13333.9	1	1	20	6	0.0897087191546478
PF00872.21	1	1	20	14	0.248596761537495
PF05524.16	1	1	20	18	0.443646439057748
PF00391.26	1	0.455602586713698	20	18	1.275143109907
PF02896.21	1	0.455602586713698	20	18	1.42238695141867
PF00977.24	1	1	20	4	0.102530279546177
PF00180.23	1	0.898239271017049	20	16	0.180174165268272
PF00330.23	1	1	24	12	0.0466204780566693
PF01195.22	1	1	0	0	0
PF01751.25	1	1	20	14	0.164322721288639
PF01131.23	1	1	24	10	0.0447398846071579
PF01396.22	1	0.00281011169900059	20	14	0.110597734253392
PF13495.9	1	1	24	6	0.0517279475091418
PF00589.25	1	1	20	0	2.86052620197191
PF07690.19	1	1	20	0	0.200642163632576
PF00664.26	1	1	24	6	0.104003300722341
PF04079.19	1	1	20	2	0.157292087423341
PF12850.10	1	0.0392357436801881	24	14	0.0987562130782453
PF14691.9	1	1	24	10	0.140351491444653
PF07992.17	1	1	20	0	1.16203899403031
PF00310.24	1	1	20	8	0.022506686151279
PF04898.17	1	1	20	8	0.022506686151279
PF01645.20	1	0.772989417989418	24	6	0.119021447885843
PF01493.22	1	1	24	6	0.0222739094862405
PF00282.22	1	1	0	0	0
PF13508.10	1	1	20	8	0.111461799886933
