CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF08455.13	0.995356156885831	1	24	3	0.0142454657255533	0.927596869716501	1	20.9336609336609	8.66085764423176	0.157469968971378	0.996979470624276	1	22.4668304668305	6.05176389354635	0.0718160352842898	0.0439682782743562	0.0439682782743562
PF00176.26	0.995356156885831	1	24	5	0.874294732593519	0.83680213547924	1	23.027027027027	6.45438542561618	1.98597420673077	0.98519179943515	1	23.5135135135135	5.7446971648678	1.12375739655506	0.65384733400203	0.581840294005125
PF00271.34	0.397664466748238	1	20	7	2.33678820264947	0.298400571179078	1	20.5301204819277	6.05341672900103	6.17295111781003	0.371590003973414	1	20.2650602409638	6.53401668600076	3.60348785402043	2.16869617697192	0.601832520276791
PF01565.26	0.00533014872615713	0.482422149460877	20	19	0.13951746306485	0.297497078872628	1	20	17.6917697624743	0.462244951614915	0.0118083023947266	0.724836776048532	20	18.3458848812372	0.356548937688334	0.144262884500373	0.144262884500373
PF04030.17	1	1	0	NaN	0	0.934134011796201	1	20	8.09507597087955	0.0092387585284859	0.997781577820017	1	20	8.09507597087955	0.0029533709173525	0.00474223330433044	0.00474223330433044
PF08447.15	1	1	20	5	0.0938393004271257	0.999999543071446	1	24	9.14978457309257	0.704547493803433	0.999999999999896	1	22	6.94365126266743	0.579435316825533	0.000181969164429278	0.000181969164429278
PF00015.24	0.26241230001616	1	20	1	0.23040483600866	0.922835057662917	1	24	12.9033136169275	4.98627121924236	0.585585443085279	1	22	6.46401874109177	5.18645710163622	1.13745332865127	0.219312202214578
PF08448.13	0.995356156885831	1	20	3	0.0683964129225828	0.995922360704184	1	20	8.65679551105185	0.453497670282073	0.999962022514886	1	20	5.82839775552593	0.347799670297392	0.127812617226209	0.127812617226209
PF00512.28	0.132795407746432	1	24	5	7.19674366313372	0.309427168187116	1	21.1940298507463	5.55897294060761	19.7081659862665	0.172250507715666	1	22.5970149253732	5.3173363664916	12.2822509664939	7.31892049978924	0.59589406858363
PF02518.29	0.104105247708058	1	20	5	10.3115397484878	0.295588146362102	1	21.037037037037	5.52275197134024	27.1358644485752	0.137894915635352	1	20.5185185185185	5.25812871633109	17.3165251313314	8.33276236488152	0.481202914654325
PF01025.22	1	1	20	1	0.351072282052117	0.964777401509082	1	21.7902813299233	5.19512566075891	0.756320341881401	0.999372270194067	1	20.8951406649617	3.01323395373673	0.908541440373979	0.00431771650772932	0.00431771650772932
PF00012.23	0.0359403160302583	0.713764333823942	20	19	1.70155534249127	0.235526819661793	1	23.7988826815642	18.7104977314937	7.89848936900205	0.0488579787825743	1	21.8994413407821	19.0108204476057	4.35539744060277	2.68526722373766	0.616537815517021
PF06100.14	1	1	20	7	0.111454130433791	0.998566961502419	1	20.3827751196172	7.44745217519894	0.424466304899896	0.999998972709499	1	20.1913875598086	7.22225434636317	0.245981961432709	0.0931876519865384	0.0931876519865384
PF00359.25	0.104105247708058	1	20	7	0.0951002069603614	0.502950981287467	1	20	6.12983610972528	0.290384478086653	0.206801219728923	1	20	6.56491805486264	0.175169662024914	0.0893308908619086	0.0893308908619086
PF02302.20	1	1	20	19	0.403113674037848	0.999981752467076	1	20	1.00007368029384	1.30083881572582	0.999999999833513	1	20	3.68401469195849e-05	0.669537532525703	0.235879224100904	0.235879224100904
PF02378.21	1	1	20	19	0.282630065029879	0.999999589369195	1	20	8.99349664626951	3.43734707887554	0.999999999999916	1	20	3.9967483231347	1.76462462377105	0.290065523568806	0.164378032393614
PF04167.16	1	1	20	5	0.0662156712938656	0.999999998529948	1	20	9.87128888795477	0.229435825924912	1	1	20	7.43564444397739	0.136729809570834	0.0397729925585709	0.0397729925585709
PF00521.23	0.995356156885831	1	20	5	0.318911018266554	0.63998960252995	1	20.780487804878	5.96005353214715	1.19132717528411	0.924285775257073	1	20.390243902439	5.47284430991463	0.836419806783511	0.29079616059506	0.29079616059506
PF03989.16	0.397664466748238	1	24	7	1.09893253632711	0.46077243662087	1	21.5151515151515	6.01978547427985	4.72867356222248	0.494178502058953	1	22.7575757575758	6.50251657580903	3.46780815799593	1.06042530044416	0.30579122377317
PF01544.21	1	1	24	7	0.096722732986894	0.999999653908268	1	24	8.07783267222428	0.339862075976738	0.99999999999994	1	24	7.53891633611214	0.204279300706356	0.0247091820813093	0.0247091820813093
PF00471.23	0.210776801586019	1	20	19	0.796588006895807	0.586723591962955	1	20.8823529411765	16.8649835925709	3.83579375861741	0.382152673543443	1	20.4411764705882	17.9638993846821	1.80678993692785	1.3325578746482	0.737527837305755
PF00122.23	1	1	24	7	0.360837585517875	0.997655093617116	1	20	6.34579666859075	1.77435618045922	0.99999724855556	1	22	6.69852150105825	1.24458116013911	0.277278188710098	0.222788354500807
PF00702.29	0.585634848170037	1	20	5	0.43639054285037	0.986341481815521	1	20	5.48862385388403	1.98894221753303	0.894649171723091	1	20	5.24431192694201	1.4334130087857	0.385584522828585	0.268997504881882
PF10543.12	0.26241230001616	1	20	5	0.0404981470528772	0.762322178064553	1	20.6796116504854	5.07982680282411	0.172170545145949	0.521956326835083	1	20.3398058252427	5.04065346334701	0.0936179564911599	0.0747556041714037	0.0747556041714037
PF10552.12	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF00692.22	0.839458824074502	1	24	7	0.182293210777347	0.999614391559017	1	22.015503875969	6.28524763116242	0.77884505443827	0.986305605334991	1	23.0077519379845	6.63956035644141	0.532645366570386	0.152460208971204	0.152460208971204
PF06605.14	0.534948236746622	1	24	7	0.0369165674184016	0.999997533161142	1	23.9325842696629	12.9298752194367	0.182629784739548	0.869603159297052	1	23.9662921348314	9.96912742531045	0.104820365169206	0.0191588032746515	0.0191588032746515
PF18013.4	1	1	24	7	0.0199026302982789	0.999998087107726	1	24	8.50921905135754	0.127931343535758	0.99999999999817	1	24	7.75460952567877	0.0720597707312561	0.0155578867894081	0.0155578867894081
PF01551.25	0.26241230001616	1	24	5	1.26847614914467	0.381109985273126	1	22.8418230563003	5.26978417753719	3.19780005364216	0.33027680945705	1	23.4209115281501	5.14137045407461	1.96966529637622	1.11945420170044	0.568347426215005
PF01521.23	1	1	20	7	0.0179099313639231	0.999999999997624	1	20	8.61140843061087	0.0555845655421665	1	1	20	7.80570421530544	0.0332974813658496	0.0110300286097637	0.0110300286097637
PF08282.15	0.839458824074502	1	24	1	0.149113409223417	0.998063250565165	1	20	1.00005925351194	1.59134720434598	0.986076224305585	1	22	1.0083659227649	1.14166719428969	0.216529290924926	0.189660605129013
PF01219.22	1	1	20	1	0.0737352691718383	0.99858362238039	1	24	1.00007368029384	0.145435050865136	0.999998996463312	1	22	1.00836710346801	0.078998208910492	0.0321417125006694	0.0321417125006694
PF00654.23	0.0809096293966304	0.926767767424889	20	9	0.126626078400082	0.154127342767809	1	20.1418439716312	6.77328719595005	0.389252254183852	0.0671455292927261	1	20.0709219858156	7.89067624338222	0.221031328928351	0.149117964469685	0.149117964469685
PF17767.4	0.585634848170037	1	20	7	0.12634101790687	0.877700726468128	1	20	8.62815421729091	0.53730867462478	0.856091528833705	1	20	7.81407710864545	0.329807902917858	0.0884686214406834	0.0884686214406834
PF04095.19	0.397664466748238	1	20	7	0.129887784349808	0.848475660692607	1	20.431654676259	8.53751860045411	0.530282800869062	0.703989779791297	1	20.2158273381295	7.76143655658042	0.322034427467704	0.0957215139811894	0.0957215139811894
PF17956.4	1	1	20	5	0.128567921432239	0.972603045052325	1	20.6295399515739	8.63798043871865	0.454941435224247	0.999621228366748	1	20.314769975787	6.79243638082603	0.277653211194156	0.0752774470759159	0.0752774470759159
PF00583.28	0.0268890859228307	0.634421552905761	24	3	1.57420089636242	0.128012903907207	1	22.2454308093995	5.00625790346432	7.67282018739792	0.022964850880001	0.874406494541279	23.1227154046998	4.04701360910125	4.89532739814282	2.5563897367031	0.522210166713862
PF00005.30	1	1	24	7	5.34635839036304	0.999736085942424	1	20.6295399515739	7.64618189433113	55.2663536315381	0.999999965171621	1	22.314769975787	7.38963707323863	46.873077776069	3.14531688308545	0.0671028452219813
