CycID	BH.Q	ADJ.P	PER	LAG	AMP
PF13561.9	1	1	20	0	0.0823923400657854
PF08240.15	1	1	24	6	0.207010265002971
PF00107.29	1	1	24	6	0.207969422776606
PF12698.10	1	1	20	8	0.062479892830967
PF01264.24	1	1	24	10	0.004991023474828
PF03703.17	1	0.898239271017049	24	6	0.0304704902160923
PF07905.14	1	1	20	10	0.018484278636902
PF17853.4	1	1	24	6	0.15504819179573
PF13556.9	1	1	24	6	0.108622801800108
PF13649.9	1	1	20	0	0.0382692128659101
PF00092.31	1	0.455602586713698	20	4	0.0203895597394123
PF00144.27	1	1	20	0	0.0166228119581701
PF07732.18	1	1	20	8	0.0035450012098363
PF00394.25	1	1	20	8	0.000742664665154552
PF07731.17	1	1	20	8	0.0035450012098363
PF00795.25	1	1	24	0	0.0365834286459055
PF00672.28	1	1	24	6	0.9001181403617
PF01966.25	1	1	24	6	0.796911489443329
PF00587.28	1	1	24	8	0.0924797150360581
PF04073.18	1	1	20	14	0.0496085580366491
PF03129.23	1	1	20	8	0.0711906977541976
PF01648.23	1	1	20	0	0.0303934487172884
PF01134.25	1	0.898239271017049	24	20	0.0323897689229147
PF03738.17	1	0.170690770135215	20	14	0.00249083271223476
PF00005.30	1	0.647739564961787	24	6	6.04887222897718
PF12848.10	1	1	24	0	0.0673859215458426
PF16326.8	1	1	24	0	0.00686784407263729
PF01513.24	1	1	24	10	0.0159418037920815
PF20143.2	1	1	24	10	0.0211541474695363
PF12419.11	1	1	24	10	0.0103183121973997
PF00176.26	1	0.207574955908289	24	8	0.084291187658375
PF00271.34	1	0.0498794826572604	20	6	0.122493466087414
PF10646.12	1	1	20	16	0.0523724662520128
PF00977.24	1	1	24	10	0.0235860062883278
PF01205.22	1	0.207574955908289	20	6	0.0242132388218781
PF09186.14	1	1	24	6	0.0163262670253015
PF03806.16	1	1	20	0	0.00142592406408222
PF01471.21	1	1	20	18	0.041281898059726
PF07486.15	1	1	24	12	0.0506718808915229
PF02463.22	1	1	24	6	0.0409096958120247
PF13673.10	1	0.647739564961787	24	6	0.116917072005115
PF07670.17	1	1	20	2	0.0755214792456151
PF00015.24	1	1	24	6	1.49796521959263
PF03807.20	1	1	24	10	0.0350001867312953
PF14748.9	1	1	24	10	0.0240417219616676
PF11023.11	1	1	0	0	0
PF08455.13	1	0.207574955908289	24	10	0.0437232164083019
PF02746.19	1	1	20	0	0.0200632457308165
PF13378.9	1	1	20	0	0.0208292610624868
PF09339.13	1	1	20	14	0.0316542744505043
PF01614.21	1	1	20	14	0.0302381673761714
PF10750.12	1	1	0	0	0
PF01546.31	1	1	20	2	0.220154252532498
PF07687.17	1	1	20	2	0.170141989954422
PF04211.16	1	1	0	0	0
PF13190.9	1	1	24	10	0.00223065164720344
PF01912.21	1	1	0	0	0
PF03833.16	1	1	0	0	0
PF10672.12	1	1	20	18	0.0150870605004685
PF01368.23	1	1	20	0	0.0191855063144437
PF02833.17	1	0.898239271017049	24	18	0.0447902850694593
PF04851.18	1	1	24	10	0.224610670293344
PF18195.4	1	1	0	0	0
PF00710.23	1	1	24	22	0.0407225864600595
PF17763.4	1	1	24	22	0.0407225864600595
PF01844.26	1	0.000702527924750147	24	8	0.0156069742701157
PF17957.4	1	1	20	6	0.000216811550316972
PF13750.9	1	0.170690770135215	20	4	0.000116269382144829
PF19077.3	1	1	0	0	0
PF05124.15	1	1	0	0	0
PF01987.20	1	1	24	10	0.0609415862510417
PF01751.25	1	1	20	8	0.0539549966305738
PF01131.23	1	1	20	8	0.0305303580517263
PF01396.22	1	0.455602586713698	24	10	0.0843261573610665
PF02778.17	1	1	0	0	0
PF01974.20	1	1	0	0	0
PF04509.15	1	1	24	10	0.67956023254883
PF03358.18	1	0.455602586713698	24	8	0.0590525494452434
PF00596.24	1	1	24	6	0.155664933582788
PF00004.32	1	1	20	14	0.566685206960681
PF16193.8	1	1	20	8	0.0144900154110556
PF12002.11	1	1	20	8	0.0141319251639735
PF00872.21	1	1	20	14	0.265755499639863
PF00266.22	1	1	20	0	0.163254996914601
PF13395.9	1	1	24	6	0.00632303653097573
PF03990.17	1	1	20	8	0.0061252624658704
PF07501.15	1	1	24	12	0.0645264587769682
PF06737.17	1	1	24	0	0.00107471153186646
PF00501.31	1	1	20	0	0.168898368511713
PF13193.9	1	0.312045855379189	20	6	0.0459518392797478
PF00550.28	1	1	24	6	0.204285168417286
PF00668.23	1	1	20	16	0.0390903843222159
PF13434.9	1	1	0	0	0
PF01032.21	1	0.898239271017049	20	6	0.0280690640241366
PF13276.9	1	1	20	6	0.122727500350441
PF00665.29	1	1	20	6	0.215055209375939
PF13333.9	1	1	20	6	0.15616495125875
PF06808.15	1	0.898239271017049	20	12	0.0131386952521051
PF00378.23	1	1	20	0	0.526836308717983
PF07690.19	1	0.13380658436214	20	4	0.177511399791564
PF01925.22	1	0.312045855379189	24	6	0.0204788099025013
PF01557.21	1	1	20	0	0.00212084665992621
PF01566.21	1	1	20	6	0.0163788012151162
PF13091.9	1	1	20	4	0.137395368272266
PF11907.11	1	1	20	14	0.00198868883172636
PF02591.18	1	1	24	0	0.107649832690476
PF03033.23	1	1	20	0	0.0283784209155641
PF04101.19	1	1	20	0	0.0278882856146051
PF00310.24	1	1	20	8	0.00821696304778973
PF04898.17	1	1	24	10	0.00880868228128332
PF01645.20	1	0.455602586713698	24	8	0.0161840518681071
PF01493.22	1	1	24	6	0.0239555711970239
PF01565.26	1	1	24	6	0.138930912417211
PF04030.17	1	1	24	10	0.000698397003615196
PF12250.11	1	1	0	0	0
PF12249.11	1	1	0	0	0
PF12555.11	1	1	0	0	0
PF16715.8	1	1	0	0	0
PF12705.10	1	0.647739564961787	20	16	0.0144219218331511
PF01341.20	1	1	0	0	0
PF00553.22	1	1	20	8	0.00511384710677181
PF00348.20	1	1	24	18	0.0697879033941307
PF17848.4	1	0.898239271017049	24	6	0.0146419440853204
PF01039.25	1	1	20	16	0.27689717087641
PF00364.25	1	1	20	2	0.19693425310583
PF02817.20	1	1	24	18	0.0326451603282232
PF00198.26	1	1	24	18	0.0323595793660044
PF02749.19	1	1	24	18	0.0290945875022601
PF01729.22	1	1	24	18	0.0290336216212071
PF00873.22	1	1	24	0	0.0742409136405744
PF00912.25	1	1	20	18	0.044027664924874
PF00905.25	1	1	24	6	0.0925393124295479
PF06832.15	1	1	0	0	0
PF00012.23	1	1	20	8	0.42527798963111
PF04371.18	1	0.898239271017049	20	2	0.010797172056164
PF13489.9	1	1	20	16	0.0364331433732334
PF08442.13	1	0.0498794826572604	20	2	0.000201108574325234
PF00549.22	1	0.898239271017049	20	4	0.0299095226521114
PF00521.23	1	0.455602586713698	24	0	0.0602363245678672
PF03989.16	1	1	24	0	0.235122428089434
PF02518.29	1	0.455602586713698	24	6	1.90859774622533
PF00575.26	1	0.647739564961787	24	6	1.83518174847004
PF10150.12	1	0.312045855379189	24	0	0.0274588363530472
PF04313.17	1	0.13380658436214	24	2	0.0470313004919694
PF18766.4	1	1	20	0	0.0650295218795298
PF02534.17	1	1	20	6	0.0289507178880067
PF03583.17	1	1	0	0	0
PF17757.4	1	1	20	8	0.0288718176352993
PF02559.19	1	0.312045855379189	24	8	0.101581293497792
PF00270.32	1	0.898239271017049	20	4	0.105227180034271
PF03461.18	1	1	20	8	0.0128293351090721
PF00204.28	1	0.898239271017049	20	6	0.028609312381742
PF18053.4	1	1	0	0	0
PF00986.24	1	1	24	8	0.0107146283046796
PF02424.18	1	1	24	10	0.0126855263230672
PF13740.9	1	0.13380658436214	20	4	0.0305832572246285
PF00990.24	1	1	24	6	0.244888515100552
PF00278.25	1	0.0832745443856555	20	6	0.058750615771459
PF02784.19	1	0.0498794826572604	20	4	0.063174478780236
PF01909.26	1	1	20	0	0.112010334147806
PF04349.15	1	1	0	0	0
PF00155.24	1	1	20	0	0.275296701779705
PF04408.26	1	1	24	10	0.000215511792581563
PF07717.19	1	1	20	0	0.00279614436705384
PF11898.11	1	1	20	0	0.00251014496270549
PF01381.25	1	1	20	0	1.75295572544853
PF00232.21	1	0.312045855379189	24	20	0.621623050272495
PF01103.26	1	0.647739564961787	20	4	0.00666151091704969
PF01891.19	1	1	20	16	0.00368423670825182
PF03843.16	1	1	0	0	0
PF17200.7	1	1	20	4	0.116778108294839
PF04172.19	1	1	20	4	0.00381417845158655
PF07963.15	1	1	24	6	0.00623496021247559
PF00114.22	1	1	0	0	0
PF01926.26	1	1	20	16	0.132634509884918
PF07650.20	1	1	20	10	0.305802206355759
PF00849.25	1	1	24	22	0.0448129254452943
PF00171.25	1	0.455602586713698	20	14	0.707828547328606
PF00343.23	1	1	20	0	0.0951663678587597
PF01899.19	1	0.898239271017049	20	14	0.00752663923373536
PF13519.9	1	1	20	0	0.0183636700352705
PF00903.28	1	1	24	10	0.0339298078476488
PF03477.19	1	1	24	6	0.237167792295391
PF13597.9	1	1	24	6	0.236492277850208
PF11884.11	1	1	0	0	0
PF00512.28	1	0.455602586713698	24	8	0.997269027154573
PF13417.9	1	1	24	12	0.000879291287396607
PF00043.28	1	1	0	0	0
PF00356.24	1	1	24	6	0.109489156678762
PF13377.9	1	1	24	6	0.185724382429529
PF04879.19	1	1	20	0	0.0901453188750019
PF00384.25	1	0.647739564961787	20	18	0.0986041802409382
PF01568.24	1	1	20	0	0.0111717509114962
PF00704.31	1	0.13380658436214	20	6	0.028596874913467
PF06483.14	1	1	0	0	0
PF00085.23	1	0.312045855379189	24	6	0.43119005103832
PF00126.30	1	1	24	10	0.0897148352957978
PF03466.23	1	1	24	6	0.0953689680129587
PF08402.13	1	1	20	6	0.260253346905605
PF08447.15	1	1	24	6	0.132235837009301
PF02378.21	1	1	24	18	0.467351704725569
PF02302.20	1	0.455602586713698	24	20	1.17690072905158
PF00359.25	1	1	24	10	0.0910969847113743
PF00072.27	1	0.455602586713698	24	8	3.35975565344413
PF07228.15	1	1	24	10	0.0231677359302584
PF13581.9	1	0.000702527924750147	20	4	0.0109535543936201
PF06723.16	1	1	24	6	0.10393189789035
PF00590.23	1	1	20	8	0.0806797694968349
