CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF13561.9	13.8739658563854	1.43168373027584	48	0.0619148115793677	20	0.999999999831207	12	8	0.3	1
PF08240.15	13.0947379671744	1.26486715062632	1	0.819115167612957	24	0.990441197255857	12	8	0.3	1
PF00107.29	13.1118187542172	1.24779615014875	1	0.84084222280442	24	0.989066022189487	12	8	0.3	1
PF12698.10	12.9556607096577	0.318466580854352	21	0.475931650685416	22.1176470588235	0.999577031637809	12	8	0.3	1
PF01264.24	14.0104385485658	0.121021413627701	1	0.289502197183236	24	0.999984062412426	12	8	0.3	1
PF03703.17	1.00007368029384	0.0904478300184627	1	1.90853269027104	24	0.723113330857925	12	8	0.3	1
PF07905.14	10.1101720436617	0.0860774597499999	48	1.0338174768002	20	0.970283853197082	12	8	0.3	1
PF17853.4	9.48461098609826	0.590806623813929	1	0.83846401011453	24	0.98922301178308	12	8	0.3	1
PF13556.9	10.5365167027717	0.488060425530779	1	1.09033488690838	24	0.962260091321431	12	8	0.3	1
PF13649.9	1.00005646964543	0.54599436641171	1	0.406255971578323	24	0.99984564562847	12	8	0.3	1
PF00092.31	5.06503091971373	0.146474765543715	48	1.69645509239193	20	0.802137649841485	12	8	0.3	1
PF00144.27	20.9999451429062	0.0762398482342017	48	0.726913162730176	20	0.994927256988175	12	8	0.3	1
PF07732.18	5.233249604853	0.0721337677272189	36	1.12307239249913	20.8888888888889	0.957046904216805	12	8	0.3	1
PF00394.25	13.2153692534787	0.00166537342563398	1	0.420808565202154	24	0.999806244326916	12	8	0.3	1
PF07731.17	5.23404360570266	0.0710319327009895	36	1.12345089800676	20.8888888888889	0.956984173052494	12	8	0.3	1
PF00795.25	13.1882188011481	0.32141497364648	48	0.505869090110746	20	0.999382712217427	12	8	0.3	1
PF00672.28	12.9423128141605	4.5071371392828	1	0.60604914342581	24	0.998179221094906	12	8	0.3	1
PF01966.25	9.58896091527835	4.8573195873977	1	0.513404751019479	24	0.999324106990613	12	8	0.3	1
PF00587.28	13.1818721871758	2.01819078308409	1	0.593358430826358	24	0.998390885204613	12	8	0.3	1
PF04073.18	13.5878690023305	0.297144411217899	1	0.280849092829615	24	0.999987078576418	12	8	0.3	1
PF03129.23	13.0215973538828	1.66878409115808	1	0.480121311873025	24	0.99955325619985	12	8	0.3	1
PF01648.23	13.3471812629465	0.125383724690215	1	1.4999774774018	24	0.86733278419272	12	8	0.3	1
PF01134.25	5.08688409444747	0.182695243577522	48	0.747359139430231	20	0.994105815675612	12	8	0.3	1
PF03738.17	13.0002510511221	0.00854856590241061	48	2.91392974196696	20	0.360019940652183	12	8	0.3	1
PF00005.30	14.8628998038265	23.1836065889011	1	2.50712947953371	24	0.493445401122508	12	8	0.3	1
PF12848.10	5.0913931958914	0.685838122627211	48	1.3889980897394	20	0.899163976677501	12	8	0.3	1
PF16326.8	1.79507140786863	0.0958389573198856	26	0.710153403777979	21.6923076923077	0.995534627830742	12	8	0.3	1
PF01513.24	13.2885174254015	0.135452250599917	1	1.04318981192106	24	0.969037538286397	12	8	0.3	1
PF20143.2	12.9205771237098	0.128493346976143	1	1.40401024752994	24	0.895101990347662	12	8	0.3	1
PF12419.11	13.1701225367767	0.0508057746228556	1	1.37628317232878	24	0.902541853064971	12	8	0.3	1
PF00176.26	12.8866988561845	0.161822835304232	1	2.30383964880218	24	0.569052816894648	12	8	0.3	1
PF00271.34	5.2088059780805	1.74412788915984	48	1.77693025679962	20	0.77293336855977	12	8	0.3	1
PF10646.12	12.6415880736761	0.317059990794537	48	0.427547777071192	20	0.999785427995894	12	8	0.3	1
PF00977.24	11.02373639938	0.307935661714699	1	0.515140299981989	24	0.999310005816762	12	8	0.3	1
PF01205.22	6.96271011288187	0.135234305470903	48	1.59322366834035	20	0.837634970645177	12	8	0.3	1
PF09186.14	12.2796693682813	0.0519058736080671	1	1.21453075874211	24	0.940243186843108	12	8	0.3	1
PF03806.16	16.358679999729	0.00428850947162868	48	0.300115805714961	20	0.999979583301498	12	8	0.3	1
PF01471.21	9.02259761240656	0.229394837916844	1	0.153309776964066	24	0.999999833415602	12	8	0.3	1
PF07486.15	9.13159924858267	0.419381023996605	1	0.511194726040125	24	0.999341732168199	12	8	0.3	1
PF02463.22	13.0332858024994	0.561448038593458	1	0.841879761329934	24	0.988997026394927	12	8	0.3	1
PF13673.10	2.63583764308381	0.538477098384671	1	2.00375870670818	24	0.68607822373696	12	8	0.3	1
PF07670.17	15.0032439619107	0.236471687342148	1	1.78405888319275	24	0.770292960746567	12	8	0.3	1
PF00015.24	9.41579229052114	5.87013752220353	1	0.396729220562574	24	0.999867712264535	12	8	0.3	1
PF03807.20	13.6405347806758	0.189304704043289	1	0.659237070524521	24	0.997050092193018	12	8	0.3	1
PF14748.9	13.8821871034686	0.168289496531949	1	0.722844296029066	24	0.995080030089659	12	8	0.3	1
